Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:06,"U redu, mislim da možemo započeti."
0:00:06,0:00:15,Dobrodošli na ovaj drugi predavanje u seriji o monetarnim revolucijama.
0:00:16,0:00:34,"Danas navečer imamo sreće što imamo vrhunskog stručnjaka za digitalno financiranje koji će nam govoriti o protocentralnoj banci, Amsterdamskom banku."
0:00:37,0:00:44,privatna banka koja se kasnije pretvorila u središnju banku Nizozemske.
0:00:46,0:00:59,I ima mnogo zanimljivih veza s onim što središnje banke rade danas i zbog čega se danas brinu.
0:01:00,0:01:09,John vodi odjel za inovacije i digitalnu ekonomiju u Banku za međunarodne poravnate poslove u Baselu.
0:01:11,0:01:13,Nevjerojatno je produktivan.
0:01:48,0:01:52,BIS je također radio u Odboru za financijsku stabilnost.
0:01:55,0:02:08,"Prije dolaska u BIS radio je u akademskoj zajednici u Nizozemskoj, kao i u Nizozemskoj u središnjoj banci i u privatnom sektoru u Njemačkoj."
0:02:09,0:02:17,"Dakle, bez daljnjeg odgađanja, John, reci nam što je bilo tako zanimljivo u Amsterdamskom banku."
0:02:21,0:02:21,Hvala.
0:02:21,0:02:30,"Hvala Bravko i svima što ste sudjelovali i bili ovdje danas.as, bila sam vrlo sretna zbog poziva."
0:02:31,0:02:38,Razumjela sam da je Dubravko sada uključen u Kroatijsku nacionalnu banku i muzej.
0:02:40,0:02:46,I htjela sam napomenuti da redovito posjećujem muzeje novca diljem svijeta.
0:02:46,0:02:52,Moja supruga me često muči zbog toga što sam dosadna središnja banka koja voli učiti o novcu čak i u slobodno vrijeme.
0:02:53,0:03:00,"Posjetila sam muzeje novca u Kanadi, Finskoj, Meksiku, Maroku i Nizozemskoj, ali još nisam bila u Monterreyju."
0:03:00,0:03:06,Zato se nadam da ću u budućnosti imati priliku na posjeti Hrvatskoj.
0:03:06,0:03:10,"I naravno, sretan sam što mogu sudjelovati u ovoj raspravi."
0:03:10,0:03:18,"Kao što je Dubravko spomenuo, danas ću predstaviti dokument koji je zajednički rad s Vilkom Boltom, Hyunom Songom Shinom i Petrom Biertzom."
0:03:19,0:03:23,Naziva se Banka Amsterdama i granice fiat novca.
0:03:23,0:03:32,"To je dio šireg istraživačkog programa koji se bavi promjenama novca u digitalnom dobu i institucijama koje podupiru novac, uključujući središnje banke."
0:03:34,0:03:37,Na naslovnoj slajdu vidjet ćete da.
0:03:37,0:03:38,Novac se tijekom godina jako promijenio.
0:03:39,0:03:58,"Prelazio je od kowarijskih školjki i lydijskih kovanica do prvih kineskih papirnatih novčanica, engleskih kalkulatora, kamenih kovanica Yap, bakrenih novčanica i slično, sve do modernih bankomata, čitača kartica i novih sučelja na pametnim telefonima."
0:04:00,0:04:04,Banka Amsterdama imala je vrlo važnu ulogu u ovom prijelazu novca tijekom godina.
0:04:05,0:04:13,"Vidjet ćete papirnati glavni bilježnik u sredini naslovne slajdove, a to je zapravo određeni zapis iz glavnih bilježnika koji su se koristili tijekom godina."
