Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:04,0:00:04,Dobar večer.
0:00:05,0:00:16,Već smo se sada okupili peti puta po redu na našem naslovku predavanja Monetarne revolucije gdje pratimo povijest i budućnost naravno središnjih banaka.
0:00:17,0:00:29,"Gospodin Dubravko Mihaljek, naš već česti sada gost, inače suradnji HMBA, održati će za nas danas predavanje gdje ćemo malo pratiti što se to događalo između 1973."
0:00:29,0:00:31,godine i 2008.
0:00:31,0:00:34,"godine, kakve se zapravo promjene prolazilo središnje bankarstvo."
0:00:34,0:00:36,"Evo, izvolite da vam riječ."
0:00:37,0:00:39,Hvala da ste došli.
0:00:40,0:01:27,"Opet dakle danas pokrivamo jedno kratko razdoblje, ali jedno jako burno razdoblje puno događaja tih dvadeset pet godina se desilo stvarno puno više nego recimo u dvadeset pet godina nakon rata što se tiče same monetarne politike četiri teme ću pokriti i poanta cijelog izlaganja danas je tada, ne može se shvatiti te duboke promjene u središnjem bankarstvu bez jednog šireg društveno-ekonomskog konteksta."
0:01:28,0:01:45,"Makar će vam neki centralni bankari govoriti da su oni izmislili kotač, da je sve njihova zasluga, ali bez nekog šireg političkog konteksta ne bi se te promjene bile dogodile."
0:01:45,0:01:47,Vidjet ćete na što ja mislim.
0:01:50,0:02:29,"Kratki podsjetnik za one koji nisu bili ovdje i za vas koji ste bili gdje smo stali zadnji put, stali smo na sedamdeset tri godine dakle sedamdeset jedan godine nikson ukida mogućnost stranih središnjih banaka da traže od feda zlato u zamjenu za pričuve i to onda dovodi do kraha tog bretonwoodskog sistema zlatnog pariteta dolara prema zlatu i fiksnih pariteta drugih valuta prema dolaru."
0:02:31,0:03:08,"Jedno kratko vrijeme te godine smo imali plivajuće tečajeve, međutim već krajem godine se provodi jedan dogovor da se smanje fluktuacije tečajeva između glavnih valuta na plus minus dva i dvadeset pet posto međutim i dalje se nastavljaju te tenzije kapitalni tokovi neke ekonomija bolje posluju neke slabije i tako da taj dogovor o fiksnim tečajevima traje manje od dvije godine."
0:03:08,0:03:59,"Već početkom sedamdeset tri švicarska narodna banka prvo vodi plivajući tečaj nešto ranije je to napravila i kanadska središnja banka a ono što je stvarno bio okidač za prelazak na plivajuće tečajeve je bila odluka bundesbanke i kao što sam rekao zadnji put ta odluka nije bila jednostavna, nije ju mogla donijeti Bundesbanka samostalno jer ona nije bila u to vrijeme neovisna nego je bio jedan veliki politički sukob između vodstva i čak unutar vodstva Bundesbanke i savezne vlade."
0:04:01,0:04:14,Helmut Schmidt koji je onda bio ministar financija je glatko odbio zahtjev da Njemačka središnja banka prestane intervenirati i braniti tečaj dolara.
0:04:15,0:04:39,I onda jedantri je vice predsjednik Bundesbanke samostalno donio odluku da će tražiti Vili Abraanta da Bundesbanka prestane intervenirati i to mu je uspjelo i uskoro nakon toga je uslijedilo sedam osam drugih značajnih valuta koje su počele plivati.
0:04:40,0:05:26,A ono što je zanimljivo u ovom kontekstu u kojem govorimo o transparentnosti je to da su detalji tog sukoba unutrašnjeg u Bundesbanci objavljeni tek dvije tisuće trinaest godine a još zanimljivije da je jedan mladi student na kolumbiji napisao diplomski rad gdje je jako dobro opisao sve to što se dešavalo to vam je ova referenca dolje na dnu idemo sad mi na stakflaciju dakle kako je od tog poslijeratnog privrednog čuda došlo do stakflacije.
0:05:28,0:06:12,"Ovo je kumulativni rast bedepea u paritetima kupovne moći, sto je četrdeset šest godina i kad napravite ovaj graf vidite da je to kontinuirani rast više manje samo ovih par točki koje sam zaokružio je došlo do nekakvog usporavanja rasta dakle s neke dugoročne perspektive nisu to bile velike recesije pogledajte šta se recimo desilo sa istočnom Europom, a kakav je ona imala pad bedepea nakon tranzicije ogroman i onda postepeno je hvatala korak."
0:06:14,0:06:37,Ako gledate na godišnje stope rasta opet u tom paritetu kupovne moći vidite da je samo tu sedamdeset četiri godine i osamdeset dva godine bila neka recesija dakle opet nije to bilo tako katastrofalno razdoblje što se tiče rasta samog ekonomskog.
0:06:38,0:06:51,"Međutim, bilo je vrlo loše što se tiče zaposlenosti jer gledajte sve te zapadnoeuropske ekonomije su naučile bile na skoro punu zaposlenost."
0:06:51,0:07:13,Tu su stope zaposlenosti bile dva tri četiri posto tokom dvadeset i trideset godina i onda odjednom je počela rast nezaposlenost prvo u Sjedinjenim državama a onda početkom osamdesetih godina i u zapadnoeuropskim zemljama MUP-a.
0:07:14,0:07:29,"I možete se odmah pitati kako to s jedne strane rast je bio u redu, zaposlenost isto nije iz početka bila problematična tek nešto kasnije."
0:07:30,0:07:58,"Ono što se je desilo, pardon, malo e, ono što se je desilo je da su središnje banke akomodirale tu situaciju, one su imale vrlo ekspanzivnu monetarnu politiku, Vlade su imale ekspanzivnu fiskalnu politiku, davale su subvencije industrijama, odobravale su velika povećanja plaća."
0:07:59,0:08:10,"Nemojte zaboraviti da je u to vrijeme velik dio privrede bio u državnom vlasništvu, dakle Vlade su preko politike plaća mogle održavati zaposlenost."
0:08:11,0:09:14,"I vidite kako je inflacija otišla naglo gore sa vrlo niskih razina dva tri četiri posto na skoro dvadeset dvadeset pet posto francuska italija velika britanija a Sjedinjene države ali opet vidite nešto zanimljivo ovo su ovo je jedna grupa zemalja koje su imale vrlo visoku inflaciju a ovo je druga grupa austrija belgija njemačka nizozemska švicarska dakle i one su imale jedno kratko razdoblje u sedamdeset tri i sedamdeset četiri godini skoro dvocifrene inflacije ali vrlo brzo su uspjele smanjiti tu inflaciju i opet odgovor Odgovor na to, na tu zagonetku je taj što su središnje banke u tim zemljama iz početka već počele provoditi dosta restriktivnu monetarnu politiku."
0:09:18,0:09:27,"Uzroci stagflacije su višestruki, obično se u literaturi spominju naftni šokovi."
0:09:28,0:09:56,"Međutim, imali smo u to vrijeme velike promjene u tehnologiji, u privrednim resursima, došli su naftni šokovi, porast konkurentnosti izvan Europe u Japanu, istočnoj Aziji i duboke društvene i političke promjene, a svemu tome, toj stagnaciji, kao što ću malo kasnije govoriti, doprinio je i taj pogrešan kinesijanski okvir ekonomske politike."
0:10:00,0:10:10,"Obično jedna škola ekonomista uvijek tvrdi da sve polazi od tehnologije, preferencija i resursa."
0:10:10,0:10:15,"Dakle, to su te promjene koje su se desile sedamdesetih godina."
0:10:16,0:10:18,Stare industrije u Europi nestaju.
0:10:19,0:10:29,"Danas nam je teško vjerovati li nekad kopanje ugljena, željeza bila jedna od glavnih industrija u Europi."
