Start (HH:MM:SS),End (HH:MM:SS),Segment
0:01:18,0:01:37,"Veći buka oko neposrednog nastanka onoga što ljubitelji umjetne inteligencije nazivaju AGI, što je umjetna opća inteligencija, razina evolucije umjetne inteligencije koja obećava da će dovesti do strojnih sustava, pa i sustava umjetne inteligencije s kognitivnim sposobnostima usporedivima s ljudskom inteligencijom."
0:01:38,0:01:42,"Dakle, u ovom okruženju imamo sljedeće ključno pitanje."
0:01:42,0:01:50,"Kako svakodnevno komuniciramo s umjetnom inteligencijom i kako ćemo sve više komunicirati, jesmo li polako oblikovani tim interakcijama?"
0:01:50,0:01:55,"Ima li umjetna inteligencija potencijal da utječe na naše misli, ponašanje i čak naše razumijevanje sebe?"
0:01:56,0:01:58,"Drugim riječima, kakve su antropološke implikacije?"
0:02:36,0:02:41,AI je već privukao značajnu pozornost u teološkim krugovima.
0:02:41,0:02:45,I ovdje imamo samo neke od najnovijih primjera.
0:02:46,0:02:53,"Samo ove godine imamo tri glavna priopćenja pape Franje o AI-u, a vrlo značajna, dodajem."
0:02:54,0:02:56,I pravoslavna crkva jednako je uključena.
0:02:56,0:02:58,"Samo vrlo nedavni primjer, 47."
0:02:58,0:03:07,"kongres svećenika i svećenika grčke pravoslavne nadškofije Amerike, koji se održao prije manje od dva tjedna, uključio je panel o AI-u, osobnosti i teoziji."
0:03:08,0:03:11,Također imamo u Europi Konferenciju biskupa Vijeća Europe.
0:03:11,0:03:16,"Imaju godišnje sastanke, a tema ovogodišnjeg sastanka bila je AI."
0:03:16,0:03:21,"Bio je to o umjetnoj inteligenciji, a to je više o čovječanstvu i umjetnoj inteligenciji, pogled u budućnost crkvenog angažmana."
0:03:22,0:03:28,"Osim toga, ekumenistički patrijarh Bartolomeo sve više je počeo govoriti o umjetnoj inteligenciji u svojim propovijedama."
0:03:28,0:03:49,"Dakle, to je pozornost koju umjetna inteligencija dobiva od teologa, ali postoji i druga teološka implikacija oko umjetne inteligencije, a to je činjenica da imamo tendenciju da umjetnu inteligenciju oblikujemo u teološke ili mistične ili čarobne termine, što god želite."
0:03:51,0:05:58,"U ovim naslovima možemo vidjeti vijesti o umjetnoj inteligenciji koje su Nakon što sam izradio kontekst, želio bih opisati ključne točke rasprave za današnje izlaganje."
0:05:58,0:06:08,Prvo ćemo ispitati kako razvoj umjetne inteligencije izaziva naš kreativni potencijal i kako pokazuje rizik od gubitka smisla i kreativnosti u odsutnosti Boga.
0:06:08,0:06:14,Zatim ćemo raspravljati o performativnom informativnom paradigmatskom pomaku koji je potaknut umjetnom inteligencijom u današnjem digitalnom društvu.
0:06:14,0:06:18,Također ćemo se pozabaviti izazovima života u svijetu koji se može čitati strojem.
0:06:18,0:06:31,To uključuje razumijevanje kako se naše identitete i interakcije smanjuju na podatkovne točke i kakav utjecaj to ima na naše osjećaje vlastite identitete i zajednice.
0:07:09,0:07:16,Lampa tvrdi da je ljudska kreativnost usko povezana s ljudskom slobodom i da je stoga toliko podložna korupciji grijehom.
0:07:16,0:07:22,Na komunitarnoj razini teolog opisuje grijeh kao širok razvoj kreativnosti u vlastitom imenu.
0:07:22,0:07:31,Vjeruje da se ova korupcija može prevladati samo otvaranjem pozitivne kršćanske doktrine o svijetu i kreativnoj aktivnosti te manifestacijom njezine moći.
0:07:31,0:07:46,"Sada je ovo posljednje izjava posebno relevantna za našu raspravu jer naglašava potrebu za teološkim okvirom koji vodi i čisti naše kreativne nagoni, osiguravajući da su u skladu s božanskim namjerama i da im daju smisao i smjer."
0:07:48,0:07:58,"Dakle, kad razmotrimo značenje i smjer ljudske kreativnosti, važno je priznati da je umjetna inteligencija donijela neosporni napredak i potaknula značajan napredak."
0:07:58,0:08:04,"Međutim, mnoge njezine primjene upitane su kao potencijalno stvaraju više problema nego što ih rješavaju."
0:08:04,0:08:12,"Jedan klasičan primjer je utrka za stvaranje vrlo sposobne umjetne inteligencije za otkrivanje sadržaja koji je generiran umjetnom inteligencijom, zar ne?"
0:08:12,0:08:15,"Dakle, ovo je samopomoć umjetne inteligencije."
0:08:16,0:08:18,Joseph Ratzinger u propovijedi iz 1986.
0:08:18,0:09:14,"godine o značenju blagoslovljenja stroja vidi ovaj scenarij kao ishod zaboravljanja Boga i time gubitka istinskog značenja i smjera svog kreativnog potencijala koji je Druga antropološka implikacija umjetne inteligencije također je otkrivena od strane Benedikta, od strane Rasinga kao pape Benedikta XVI."
0:09:15,0:09:27,"u svojoj enciklici Salvi, gdje tvrdi da autentično kršćansko življenje nije osmišljeno na informacijama, već na ljubavnoj priči, osobnom susretu koji je inherentno performativan, promjenjujući život i održavajući život."
0:09:28,0:09:32,"U usporedbi s kršćanskim vjerovanjem koje se temelji na informacijama, što je samo zamjena za to."
0:09:32,0:09:42,"U ovoj kršćanstvu koje se temelji na informacijama, svaka poruka nije transformativna, ali će vjerojatno biti odbačena i zamijenjena novijom ili privlačnijom ili zanimljivom informacijom."
0:09:42,0:09:45,"Dakle, možemo ekstrapolirati i tvrditi da na kognitivnoj razini."
0:11:42,0:12:04,"I to je relevantno i za umjetnu inteligenciju jer donošenje odluka u biti uključuje praćenje etičkog prosudbe, a počinjemo se previše oslanjati na umjetnu inteligenciju za donošenje odluka, što može pogoršati moralno diskriminaciju jer ćemo sve više delegirati odluke umjetnoj inteligenciji, a možda ćemo izgubiti osnovne vještine potrebne za etičko i moralno razmišljanje."
0:12:04,0:12:13,"Kako sve više interaktiramo sa svijetom na način koji je posredovan umjetnom inteligencijom umjesto da ga izravno doživljavamo, taj nas preokret također utječe kao društvo."
0:12:13,0:13:52,"Ovaj prijelaz ubrzava ljudski put prema onome što je Ratzinger nazvao globalnim tehničkim svjetonazorom u kojem učinkovitost i korisnost postaju jedini kriteriji za U ovom svijetu čitljivim strojevima, smanjenje na brojčane reprezentacije ima svoje rizike jer riskira smanjenje bogatstva i dubine ljudske identiteta radi utilitarizma i algoritamske učinkovitosti."
0:13:54,0:14:00,Ratzinger ilustrira taj rizik u vrlo zanimljivoj meditaciji koju je napisao 1973.
0:14:00,0:14:08,"godine, tako da je predvidio svijet današnjeg dana pet desetljeća ranije, u kojem je govorio o svijetu u kojem su strojevi koje su ljudi konstruirali nametnuli vlastiti zakon njemu."
0:14:09,0:14:14,"Čovjek mora biti čitljiv za računalo, a to se može postići samo kad se prevedi u brojke."
0:14:15,0:14:18,"Dakle, u ovom svijetu funkcije su sve što postoje."
0:16:53,0:16:58,"Naša veza s Bogom je u suprotnosti povezana s odnosom koji stvaramo sa svijetom, sobom i drugima."
0:16:58,0:17:15,"Budući da umjetna inteligencija prodire u društvene odnose na različitim razinama, Ratzingerova razmišljanja naglašavaju važnost usporavanja naših života koji su podoprjeni umjetnom inteligencijom i razmišljanja o tome kako tehnologija utječe na naše odnose i osjećaj sebe."
0:17:16,0:17:24,"Dakle, s obzirom na to da se približavamo kraju našeg izlaganja, izvucimo neke zaključke iz teološke kritike umjetne inteligencije koju smo do sada vidjeli."
0:17:25,0:17:29,"Dakle, prvo i najvažnije, mislim da bismo trebali priznati da ljudska kreativnost dolazi od Boga."
0:17:30,0:17:34,Ovo priznanje osigurava da naš kreativni potencijal ne gubi svoju svoj pravi smisao i smjer.
0:17:35,0:17:42,"Na taj način plod naše kreativnosti, bilo da je riječ o umjetnoj inteligenciji ili bilo kojoj drugoj tehnologiji, može se vidjeti kao sinergija između Božje ljubavi i dobrote te ljudskog rada."
0:17:43,0:17:51,"Osim toga, čak i ako živimo u informativnom digitalnom svijetu koji se pokreće umjetnom inteligencijom, neophodno je da ne oslanjamo svoje živote samo na stjecanje informacija ili ideja."
0:17:51,0:17:56,"Umjesto toga, trebali bismo težiti cjelovitom učenju koje nas uključuje na dubljoj razini."
0:17:56,0:18:01,Naše digitalne iskustva i interakcije s umjetnom inteligencijom ne bi trebale ostati samo informativne.
0:18:01,0:18:07,Moraju se pretvoriti u stvarne transformacijske iskustva koja potiču osobni razvoj i međuljudske susrete.
0:18:08,0:18:15,"Nadalje, moramo biti svjesni da je ispravno razumijevanje i odnos s tehnologijom ključno je za naš odnos s Bogom i jedni s drugima."
0:18:16,0:18:21,"Istovremeno, ne bismo trebali mjeriti autentičan ljudski razvoj isključivo tehnološkim učinkom."
0:18:22,0:18:26,Naša vrijednost ne bi trebala biti ograničena samo na mjerne jedinice tehnološke učinkovitosti.
0:18:26,0:18:29,Također je važno da se ne predamo fascinaciji tehnologije.
0:18:30,0:18:34,"Umjesto toga, trebali bismo kontrolirati njezinu upotrebu i razvoj kroz odluke koje proizlaze iz moralnog odgovornosti."
0:18:35,0:18:50,"I naposljetku, ne bismo trebali koristiti tehnologiju samo za povećanje učinkovitosti i korisnosti, već bi njezina upotreba trebala omogućiti nam da ponovno usvojimo istinsko značenje slobode, što, kako Ratzinger elokventno kaže, u biti je odgovor na poziv na postojanje, počevši od našeg vlastitog osobnog bića."
0:18:50,0:18:52,"Sada jedna posljednja ideja, ako smijem."
0:18:53,0:19:04,Mislim da bismo kao kršćani trebali biti vrlo realistični u pogledu budućnosti kako bismo je mogli suočiti bez straha i tjeskobe.
0:19:04,0:19:10,Trebali bismo očekivati da će sustavi umjetne inteligencije postati sve precizniji i snažniji.
0:19:11,0:19:16,Mogu čak i dosegnuti i nadmašiti ljudske sposobnosti u svim zadacima.
0:19:16,0:19:19,Neki bi možda jednog dana mogli biti mogući i nazvati ga božanskim.
0:19:20,0:19:30,"Međutim, neophodno je prepoznati kritičnu razliku i mislim da je to područje na kojem se kršćanstvo mora uključiti u tehnološki razvoj."
0:19:30,0:19:42,"I ova razlika je da bez obzira na to koliko dobro algoritam umjetne inteligencije može obaviti zadatak, čak i ako ga može obaviti bolje od čovjeka, uvijek će ostati matematički algoritam s konačnim ciljem da maksimizira ili minimizira funkciju ili mjeru."
0:19:43,0:19:50,Bez obzira na to koliko se interakcija s umjetnom inteligencijom čini ljudskom ili imamo humanoidne robote koji se kreću i izgledaju i ponašaju se baš poput nas.
0:19:51,0:19:55,Za ove tehnologije nikad nećemo biti ništa više od numeričkih podataka.
0:19:56,0:20:01,Kršćanstvo nudi kontrastan pogled na to što znači biti čovjek i kako izgraditi zajednicu.
0:20:01,0:20:05,Uči da čovjek ima ime koje mu omogućuje da se obratimo.
0:20:05,0:20:06,Ime označava zajednicu.
0:20:06,0:20:08,"Kao što tvrdi Ratzinger, kršćanstvo nije."
0:20:09,0:20:18,"intelektualni sustav, već susret, ljubavna priča, a kršćanska poruka nije samo prenošenje informacija, već i iskustvo koje čini stvari stvarima i mijenja život."
0:20:19,0:20:23,Ovu duboku vezu temeljenu na ljubavi ne može replicirati nijedna umjetna inteligencija.
0:20:24,0:20:27,To naglašava jedinstvenu vrijednost ljudskog života i našu neuzimljivu ulogu u božanskom planu.
0:20:28,0:20:36,"Kako napredujemo tehnološki, kršćanska duhovnost istočnih i zapadnih tradicija uvijek bi nas trebala podsjetiti da cijenimo ovaj bitan aspekt naše ljudskosti."
0:20:37,0:20:37,Hvala.
