Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:22,"Drage dame i gospodo, dragi kolege, dragi braćo u Kristu, činjenica da je moj rad dobio čast i, naravno, odgovornost za otvaranje prve radne sjednice, mislim, više je povezana s kronološkim slijedom, da bi trebao obuhvatiti stvari prije raskida, a ne možda s njegovom relevantnošću."
0:00:23,0:00:28,I pitanje odgovornosti i relevantnosti možda zahtijeva neku vrstu pojašnjenja s moje strane.
0:00:29,0:00:38,"Iako sam osobno vrlo entuzijastičan zbog ove konferencije, iz, kako se kaže, duhovnih i osobnih razloga, i zato sam vrlo zahvalan organizatorima što su me pozvali."
0:00:38,0:00:39,da danas govorim ovdje.
0:00:39,0:00:52,"Istovremeno, osjećam se malo nezasluženim u smislu da se čini da će većina radova biti u, kako se kaže, užim crkvenim pitanjima, to jest teologiji, liturgii ili bilo čemu drugom."
0:00:53,0:01:01,"A moj pozadinski obrazac u povijesti i antropologiji čini me u određenoj mjeri sekularistom u smislu izvan vrlo, vrlo užeg crkvenog okvira."
0:01:02,0:01:10,"Ipak, možda će se taj nedostatak pokazati i nekom vrstom prednosti kao pogled izvan fokusa."
0:01:11,0:01:24,"Za to bih započeo s primjedbom Edwarda Gibbonaon u svojoj knjizi Upad i pad Rimskog Carstva citira njegove inače vjerojatno sarkastične riječi, ali smatram ih nadahnjujućim."
0:01:25,0:01:32,"Teolog može se prepustiti ugodnoj zadaći opisivanja religije kako je spustila s neba, odjevena u svoju prirodnu čistoću."
0:01:32,0:01:35,Povjesničaru se nameće još melankoličnija dužnost.
0:01:36,0:01:47,On mora otkriti neizbježnu mješavinu pogrešaka i korupcije koju je proturječila u dugom boravku na Zemlji među slabom i degeneriranom vrstom ljudi.
0:01:47,0:01:51,"Sada, ova razlika između povijesti i teologije može biti površna, iako ne mislim da je."
0:01:52,0:02:00,"tako, cijenim Gibbonsove primjedbe, ostavljajući na stranu njegovu ironiju, možda bismo mogli iskoristiti tu primjedbu."
0:02:02,0:02:14,"Dakle, ono što želim reći jest da nikad ne zanemarujem središnju važnost crkvene dimenzije raskida i njegovih posljedica, bilo da su to crkvene, teološke, liturgičke, duhovne, samo ih nabrojite."
