Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:02,Dobar dan.
0:00:02,0:00:03,Pozdrav još jednom.
0:00:05,0:00:10,"Prvo bih se želio zahvaliti organizatorima ovog događaja, a posebno dr."
0:00:11,0:00:12,"Findrichu, što su me pozvali."
0:00:13,0:00:20,"I vratimo se povijesti, iako je u ovom slučaju to zapravo vrlo lokalna povijest."
0:00:20,0:00:49,"Radi se o povijesti polemične teologije i iako se čini da je to vrlo, budući da smo u Zagrebu u Hrvatskoj, možda, ako nije pravo vrijeme, barem pravo mjesto za izdavanje ovog dokumenta."
0:00:51,0:01:12,"Dakle, ako smo se ovdje okupili danas kako bismo obilježili obljetnicu prvog ekumenističkog vijeća, neizbježno ćemo razmišljati i o Nikejskom Kretu, podjeli oko Kreta i pokušaji ponovnog ujedinjenja."
0:01:13,0:01:19,U svom radnom dokumentu predstavit ću vam kako su se ti problemi rješavali u polemičnom djelu iz 18.
0:01:19,0:01:31,"stoljeća, koje je sada uglavnom zaboravljeno, ali je u to vrijeme bilo prilično popularno u Hrvatskoj, Italiji i u Srednjoj Europi."
0:01:32,0:01:43,"Riječ je o djelu pod nazivom Zrcalo istine između istočnih i zapadnih crkava, a objavljeno je na latinskom prije točno tristo godina."
0:01:43,0:01:50,"Prije otprilike 300 godina, imamo još jednu obljetnicu u Ternavi u Slovačkoj, u današnjoj Slovačkoj."
0:01:51,0:01:55,Također je imao raniju verziju koja je objavljena 1716.
0:01:57,0:02:00,godine i objavljena je na južnom slovanskom jeziku.
0:02:00,0:02:05,Vratit ću se ovoj definiciji južnog slovanskog jezika za nekoliko minuta.
0:02:09,0:02:16,"Autor je bio Kristofor Pekic ili Krstu Pekic, bugarski katolički misionar u Srednjoj Europi."
0:02:17,0:02:27,"No prije nego što se vratim na njegovo djelo, prvo ću vam dati neke informacije o životu i kulturnom pozadini Pekica."
0:02:27,0:02:37,"Dakle, rođen je u Čiprovcu, malom gradu u današnjoj Bugarskoj, s nekoliko tisuća građana."
0:02:40,0:02:43,"I zapravo, kad se tamo rodio u 17."
0:02:44,0:02:59,"stoljeću, to je bilo središte bugarskog katolicizma jer su Bugarski narod je pravoslavni i postojala je mala katolička manjina, a on je pripadao toj manjini."
0:02:59,0:03:01,"Zapravo, u 17."
0:03:01,0:03:05,stoljeću ta je bugarska katolička manjina bila u rastu.
0:03:10,0:03:18,"Zapravo, ovo je malo selo Čiprovci bilo središte bugarskog katolicizma, a nadbiskup Sofije imao je svoje mjesto."
0:03:21,0:03:27,"No, uspon katolicizma u Čiprovci je došao do nagloh prek završio 1688."
0:03:28,0:03:38,"godine kada je regionalni ustanak protiv Osmanskog Carstva propao jer je u to vrijeme Ciprovci, kao i cijela današnja Bugarska, bili pod osmanskom vlašću."
0:03:39,0:03:42,Tako je 1688.
0:03:42,0:03:56,"godine došlo do ustanka koji je propao, što je rezultiralo uništenjem grada i bijegom više od dvije tisuće bjegunaca koji su tražili zaštitu na različitim mjestima diljem Valašije i Transilvanije."
