Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:09,"Kao što znate, naslov glasi: Daj Bogu ono što je Božje, Cezaru ono što je Cezaru, Crkvi ono što je Crkve, a meni ono što je moje."
0:00:10,0:00:24,"Prije svega, zašto se bavim tim stvarima, ne samo danas za ovu konferenciju, već i općenito, samo zato što sam fasciniran odnosom između Crkve i države."
0:00:25,0:00:36,"To uopće ne znači da razumijem problem na pravi način, pa nemojte očekivati previše od mene, samo sam fasciniran."
0:00:37,0:00:39,I mislim da je to neizbježno.
0:00:40,0:00:52,Ne možemo izbjeći pitanje tko ima pravo u tom smislu u razumijevanju pravilnog odnosa između cara i Boga ili države i crkve i tako dalje.
0:00:53,0:00:59,Ali možete biti i na pravoj strani bez pravilnog razumijevanja problema.
0:01:01,0:01:04,"Dakle, mislim da je moje znanje o tome vrlo loše."
0:01:05,0:01:08,"Veće je od prosječnog učenika, ali općenito je vrlo loše."
0:01:08,0:01:11,Ali pokušavam biti pravilno razmišljen.
0:01:11,0:01:14,Da bi bilo poticajno razmišljati i da nešto razumijem.
0:01:17,0:01:29,I utješit ću se riječima velikog Jacquesa Maritaina koji je rekao da je istraživao ovaj problem dvadeset pet godina.
0:01:31,0:01:39,"Dakle, da je morao istraživati taj problem dvadeset pet godina, moglo bi mi trebati mnogo više."
0:01:41,0:01:46,Nisam siguran što je s vama.
0:01:46,0:01:56,Još jedna kratka napomena jest da smo danas čuli mnogo s povijesnog i teološkog stajališta.
0:01:56,0:01:59,Čini mi se da je to samo osnovna stvar.
0:01:59,0:02:00,Volim.
0:02:00,0:02:05,Volim filozofiju jer mi se čini da se uvijek bavi vrlo osnovnim stvarima.
0:02:05,0:02:13,"To ne znači da je lako baviti se osnovnim stvarima, ali volim se baviti vrlo osnovnim stvarima."
0:02:13,0:02:20,"Dakle, razlika između povijesti, filozofije i filozofije uvida, etike, a zatim posebno političke filozofije."
0:02:21,0:02:34,"S moje točke gledišta, povijest se više bavi činjenicama, a filozofija se bavi i činjenicama."
0:02:34,0:02:46,"Uzima u obzir i povijesne činjenice, nemoguće je filozofirati bez povijesne perspektive, ali je i moguće filozofirati bez bilo kakvih povijesnih činjenica."
0:02:47,0:02:56,"Ali filozofija se više bavi načelima, a ne toliko činjenicama, pogotovo ne povijesnim činjenicama."
0:02:56,0:03:04,"U filozofiji je etika polje filozofije ili grana, ako želite."
0:03:05,0:03:20,"Možda je bolje reći polje filozofije, koje se bavi pitanjem zajedno s političkom filozofijom, a političku filozofiju razumijem kao granu etike, a ne kao neovisnu stablo."
0:03:20,0:03:23,"Dakle, politička filozofija je grana etike."
0:03:24,0:03:35,"Oboje se bave pitanjem što bi trebalo biti, a ne samo što bi je to, što bi moglo biti, nego i što bi trebalo biti."
0:03:35,0:03:39,Ne radi se o povijesti u užem smislu.
0:03:41,0:03:47,"Dakle, činjenice i načela, uzimamo ih oboje, ali ja sam mnogo više zainteresiran za načela, ne toliko ovdje."
0:03:47,0:03:57,"Zato imam cijenjene kolege iz odjela povijesti, iz odjela teologije i drugih odjela jer sam mnogo više zainteresiran za načela."
0:03:59,0:04:01,"Vrlo osnovna, još jedna osnovna stvar."
0:04:02,0:04:18,"Čini mi se da je ispravno reći da mi kao osoba kao pojedinci i kao čovjek, voljni ili ne, znajući da ili ne, tražimo nešto slično."
0:04:19,0:04:27,"Mir, sloboda, sigurnost i možemo sve zajedno nazvati, recimo, srećom."
0:04:27,0:04:29,"Mir, sloboda, sigurnost."
0:04:30,0:04:40,"Dakle, dio tog mira, slobode, sigurnosti je, naravno, pravda i neka vrsta reda."
0:04:40,0:04:46,Čini mi se da je ispravno reći da je mir posljedica nekog reda.
0:04:48,0:04:51,"To se može nazvati i pravdom, ali redom."
0:04:51,0:04:52,Odabrao sam riječ red.
0:04:53,0:04:56,Mir je posljedica nekog reda.
0:04:57,0:04:57,A što je red?
0:04:59,0:05:02,To znaju već mala djeca.
0:05:02,0:05:08,Red je kada su sve stvari na svojem mjestu.
0:05:10,0:05:15,"Dakle, stoljećima, čak i tisućljećima, pokušavamo uspostaviti."
0:05:15,0:05:28,"Da bismo stavili ove stvari, Boga, Cezara, države, čovjeka na pravo mjesto, a i dalje nismo previše uspješni."
0:05:29,0:05:30,To je moj stav.
0:05:31,0:05:31,Mislim da se slažete.
0:05:32,0:05:44,"Dakle, red je posljedica mira, a red je posljedica činjenice da su stvari na svojem pravom mjestu."
0:05:45,0:05:57,"Druga stvar, također osnovna i vrlo, vrlo jednostavna, jest da naša To je da je naš život kao pojedinaca i kao čovječanstvo svojevrsna osvajanja slobode."
0:05:58,0:06:00,"Dakle, u tom smislu nismo rođeni slobodni."
0:06:01,0:06:03,Moramo osvojiti slobodu.
0:06:04,0:06:16,"To ne znači da smo robovi, ali za malu bebu u tom smislu ne možemo reći da je još slobodna."
0:06:17,0:06:22,Ona ili ona mora osvojiti svoju slobodu.
0:06:23,0:06:36,"Dakle, vidim da je to i povijesna perspektivative, povijest smatram nekom vrstom vrlo velikog ljudskog hoda za osvajanje slobode."
0:06:37,0:07:00,"Na primjer, kad vidimo vrijeme Krista kad je bio na Zemlji, kad je rekao tu poznatu rečenicu daj ili vraćaj Cezaru ono što je Cezarovo, a Bogu ono što je Bogovo, zapravo je to bio početak oslobađanja religije."
0:07:00,0:07:12,"Od željeznog zagrljaja carstva, države ili cara, kako god želite."
0:07:14,0:07:27,"Dakle, kad pogledamo povijest Crkve, imamo mnogo vjerskih redova, čini mi se, ja sam filozof, a ne teolog, pa sam filozof unutar Katoličke Crkve, to je istina, ali ja."
0:07:28,0:07:30,"razmišljam kao filozof, a ne kao teolog."
0:07:31,0:07:35,"Čini mi se da možemo reći, i to je istina, jedan od..."
0:07:35,0:07:48,"Jedna od stvari, jedan od činjenica jest da su vjerski redom, između ostalog, uspostavljeni zbog traženja veće slobode unutar Crkve."
0:07:49,0:07:59,"I čini mi se da je cijela povijest Crkve, kao i povijest općenito, osvajanje slobode svake pojedince."
0:08:00,0:08:06,"Dakle, ovo su pitanja iz mog sažetka koje imate u svojim brošurama."
0:08:07,0:08:14,"Neću ih sve pročitati, samo ću ih pročitati samo nekoliko da se sjetim., što danas znači načelo daje Cezaru i slično?"
0:08:15,0:08:16,Tko je Cezar?
0:08:16,0:08:16,Tko je Bog?
0:08:17,0:08:20,Tko ima mandat da interpretira ovo načelo?
0:08:21,0:08:24,"Ja, vi, država, crkva, papa, tko?"
0:08:25,0:08:27,A što je s crkvom u ovom kontekstu?
0:08:27,0:08:34,"Mislim, obično mislim na katoličku crkvu, ali možete uzeti bilo koju drugu crkvu ako želite."
0:08:35,0:08:38,Je li odnos između crkve i države podrazumijevan jednakost?
0:08:38,0:08:39,To je vrlo važan pitanju.
0:08:40,0:08:43,Ili jedna strana ima prednost?
0:09:19,0:09:21,U ovoj cijeloj priči.
0:09:22,0:09:24,"Što mi pripada, ako nešto pripada?"
0:09:24,0:09:25,"Dakle, to su moje pitanja."
0:09:27,0:09:34,"Ako očekujete izravne odgovore, moram vas razočarati jer nemam izravne odgovore."
0:09:34,0:09:37,"Možda ih je malo, ali možda neizravne odgovore."
0:09:38,0:09:46,"Dakle, samo da vam pokažem što slijedim, slijedim ovog momka s desne strane zaslona."
0:09:47,0:09:48,To je Jacques Maritaine.
0:09:49,0:09:50,On slijedi sv.
0:09:50,0:09:54,"Tome Akvinskog, naravno, a oboje slijede Aristotela."
0:09:55,0:10:03,To je linija koju također slijedim u svojem istraživanju.
0:10:05,0:10:16,"Razlikovanje za ujedinjenje je vrsta, nisam siguran je li to prava riječ na engleskom, vrsta maksime, vrsta leitmotora cijele Maritainove filozofije."
0:10:17,0:10:32,"Dakle, imamo mnogo ovih rečenica i odmah možete prepoznati kada nešto kažete, na primjer, volim ili volim Platona, ali više volim istinu, odmah znate da je to ist Aristotel i još mnogo rečenica."
0:10:33,0:10:44,"Dakle, ako želite prepoznati Maritainovu filozofiju, morate znati da je razlikovanje, jedinstvo, njegov leitmotiv cijele njegove filozofije."
0:10:46,0:10:53,Preporučujem ove dvije knjige ako još niste upoznati s njegovom filozofijom.
0:10:53,0:11:01,"Ova na desnoj strani je starija knjiga, Primacija duhovnog ili o stvarima koje nisu Cezarove."
