Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:04,0:00:07,"Hvala vam puno, dragi predsjedniče, dragi kolege."
0:00:08,0:00:17,"Prije svega, duboko sam zahvalan i počašćen što imam priliku govoriti na ovoj uglednoj međunarodnoj konferenciji u Hrvatskoj."
0:00:17,0:00:27,"Iako sudjelujem na internetu zbog obiteljskih obveza, privilegij je sudjelovati s tako uglednom skupštinom učenjaka."
0:00:28,0:00:34,Vjerujem da moje videozapise i audio funkcioniraju ispravno i zahvalan bih vam.
0:00:34,0:00:39,se zahvalila da me obavijestite u slučaju bilo kakvih tehničkih problema.
0:00:40,0:00:54,"Kao što možete vidjeti, prefrazio sam početni naslov kako bih proširio perspektivu i stavio više naglaska na razvoj u Latinskom teologiji, posebno na njegovu potencijalnu vezu s Nicenom terminom homousios."
0:00:55,0:01:07,"Termin homousios znači od istog substance, jedan je od najznačajnijih u kršćanskom teološkom vocabularu, a koristio ga je i Father of the Council one thousand seven hundred years ago."
0:01:07,0:01:11,godina to artikulate divine konsubstantiality Sun s Fatherom.
0:01:12,0:01:22,"During my presentation, neću be reading the sources, ali they will be displayed on the power points on the slides and can be easily referenced throughout the presentation."
0:01:23,0:01:39,"Dakle, samo da begin, approximately seventy five years after the Council of Nica, at the outset of composing the Trinitate, Saint Augustine engaged in a public debate with Pacensius, an Aryan member of the Imperial Court, concerning the term homo."
0:01:39,0:01:40,upotrebljavajući term Homousios.
0:01:41,0:01:50,"Tijekom debate, Pacenzius je advanced well known argument protiv term, asserting da Homousios ne pojavljuje se u scripture."
0:01:51,0:01:54,"U response, Augustine je ponudio nuanced i strateški rebato."
0:01:55,0:02:03,"Prvo je primijetio da je kao grčki term, Homousios ne bi se očekivalo da se pojavljuje u Latin scripture."
0:02:03,0:02:13,"Međutim, umjesto da se fokusira na prisutnost termina, Augustine je naglasio važnost identificiranja njegovog scripturalnog značenja."
0:02:14,0:02:31,"Regarding its semantički ekvivalent, Augustine refrained from a straightforward translation, noting da alternativi kao što su Eusdem substantia ili una substantia mogli bi se slično kritizirati za lacking direkt scriptural attestation within the creed."
0:02:32,0:02:39,"Noneveles, argued that the concept itself resa is indeed found in scripture."
0:02:39,0:02:45,"Specifično, Augustine identificirao ego et pate unum sumus as the Latin scriptural equivalent."
0:02:46,0:02:47,Homousios.
0:02:48,0:02:56,Thrust this interpretation he asserted that the passage conveys the doctrinal truth that the Father and the Son share the same nature and substance.
0:02:57,0:03:06,The aim of this paper is to examine the Trinitarian issues addressed by the First Council from the perspective of emerging Latin Christian literature.
0:03:08,0:03:27,"The question of alleged Western influences on the historical and theological proceedings of the First Council of Nica has been a longstanding topic of scholarly deb on, the idea da je Western Theology influenced or even originated the Nincine Creed gain considerable support."
0:03:28,0:03:44,Scholarske suradnice kao što su Adolf von Harnachtaud or Zan i Gustav Kruger attempted to establish a connection between the strong emphasis on divine unity in the works of early Western Theologians like Tertullian i the content of the Nincine Creed.
0:03:45,0:03:52,"Međutim, over the past fifty years, this theory has been seriously challenged and subjected to significant criticizm."
0:03:52,0:04:22,"Sigurno je da je to bio slučaj s našim poslovnim radom, a to je bio slučaj s našim poslovnim radom."
0:04:24,0:04:29,specifično je li Latin Theological Total played a formative role u njegovom odabiru.
0:04:29,0:04:36,"Additionalno, a broader examination of the Latin Theological Tradition od Tertulian do Hilaryja je necessaran."
0:04:37,0:04:50,"Analizirajući ovu tradiciju u kontekstu Nicea i Nicea, albeit u preliminarnom manneru, možemo gain a deeper understanding of its potencijalne contribucije to the development of the Trinitarian doctrine."
0:04:51,0:04:58,"Dakle, it is crucial da počnemo pregledavajući ulogu Osius of Cordoba, koji je služio kao predsjednik Vijeća."
0:04:58,0:05:40,"Sad se osjećam kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da sam se osjećala kao da se osjećala kao da se osjećala kao da se osjećala kao da je osporio ideju da bi crkvene osobe, uključujući Hosiusa, mogle imati savjetodavne položaje u unutarnjem vijeću cara."
0:05:41,0:05:50,"Nadalje, na temelju Eusebianovih izvora, tvrdi da Hosiusova uloga u tim događajima možda nije bila tako odlučujuća kao što se tradicionalno pretpostavlja."
0:05:50,0:06:04,"Istovremeno, Semiel Fernandes predstavlja uvjerljiv argument da je Hosius bio taj koji je pokrenuo ideju o sazivanju vijeća i može se smatrati njegovim intelektualnim vođom."
0:06:04,0:06:14,"Evidence za ovo može biti pronađen u letu Synod of Antioch, written prije Hosiusovog posla s peace missionom had concluded, to jest, prije njegove return to Nicomedia."
0:06:15,0:06:26,"Ovaj letak meni plans for a great and priestly synod in Ancura, which was intended to offer a place for repentance for the condemned bishops, including Eusebius."
0:06:27,0:06:35,"It seems that Hosius had the authority and autonomy to independently convene the Council, based on his synodal experience."
0:06:36,0:06:39,adresirajući doktrinarne divizije koje su ugrožile uniju crkve.
0:06:40,0:06:51,"Dok Susuman kaže da je Konstantin convenirao sinod following Hosio's return, Rufinus sugerira da je decision bila made na advisor biskupov."
0:06:52,0:07:00,"Notably, Sopis Severus konačno je Hosio's centralni uloga, stating da je Nicene Council conveniran pod njegovom autoritetom."
0:07:01,0:07:27,"Razlike u izvorima mogu biti attribute to Eusebius deliberately omitne reference na Hosiosu misiju i Synod of Antioch, likely due to his excommunication there, a on također ignorira plan za priestly Synod of Ancura, instead presenting the Council of Nica kao soliconstantine's initiative."
0:07:28,0:07:40,"Kolektivno, ti faktori, u mom pogledu, strongly support the conclusion that Hosius was the driving force behind the convocation of what would become the first Council of Nica."
0:07:42,0:07:49,"i sinod reinforcira, he had the authority and autonomy to convene and preside over such a council."
0:07:50,0:08:03,"As previously mentioned, Homousios je jedan od najsignifikanijih termina introducirao se na Council of Nica, expressing the substantial unity of the Son with the Father in a Trinitarian context."
0:08:04,0:08:14,"Naš razumijevanje of its use in the Nicene Creed is primarily informed by three key sources the accounts of Eusebius of Caesarea, Athanasius at St."
0:08:14,0:08:33,"Ambrose.ose of Milan attribuira originalni term to Eusebius of Nicomedia, koji je u letu red at the Council explicitly rejected Homousios, condemning it as unacceptable due to its perceived Saberian konotations."
0:08:34,0:08:46,"According to Ambrose, Nicene Fathers adoptivno je term najviše polemikalni razlog, using it to counter the Aryan theologians who had explicitly rejected Homousios."
0:08:47,0:09:02,"Na drugi način, Atanacius krediti Hosius of Cordoba s draftingom krede koja je bila u konačnici usvojena u Nicea, sugerirajući da je kao predsjednik Kancla, on bio odgovoran za uvođenje tog termina."
0:09:02,0:09:15,"Ovaj se claim čini korroboriranim od strane Aryanovog historiana Philostorgiusa, koji izvještava da su Hosius i Alexander of Alexandria agreed na njegovu konceptu i jointly proposed it to the Council."
0:09:17,0:09:30,"Nevertheless, politički faktori možda su utjecali na Hosius, particularly njegov role kao medijator između konfliktnih frakcija, teološke motivacije ne bi trebale biti preuveličane."
