Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:05,0:00:32,"Ja sam Iva Kraljević, a sa mnom je danas sestra Zrinka Šutalo, služovka Malog Isusa, koja će nam danas ispričati svoje predivno svjedočanstvo, put, poziv, odaziv, danas njezin život u samostanu i kroz to sve obratiti se i naročito mladim djevojkama koje se muče sa donošenjem odluka u svojem životu."
0:00:33,0:00:36,Svakako ostanite i pogledajte do kraja ovu epizodu.
0:00:41,0:00:45,"Draga moja sestra Zrinka, kako je išla tvoja priča?"
0:00:45,0:00:46,Kako si osjetila poziv?
0:00:47,0:00:49,"Ali, ajmo prvo ispočetka, što je bilo prije toga?"
0:00:51,0:00:54,Prije toga je bilo jedno vrlo zanimljivo djetinstvo.
0:00:55,0:01:34,"Odrasla sam u šestročlanoj obitelji, ja sam najmlađa od četvero djece, imam tri starija brata i tada u periodu mog odrasanja, ovako kada se sjetim, na pamet mi pada odlazak u dječji katolički vrtić i vjerujem da to sve ima veze., jer ono kad čovjek pita kako si osjetio poziv ili u kojem trenutku se to dogodilo, vjerujem da to nije jedan trenutak ili jedan osjećaj, nego da je to nekakav, da kažem, zbir svega u životu što ti Bog stavlja od samog rođenja, od začeća, do tog trenutka kada ti zapravo dada spoznaš da trebaš ići tim putem."
0:01:36,0:01:49,"Mi smo svi išli u katolički dječji vrtić i moja braća i ja, imam tri starija brata i svakog smo dana običavali moliti zajedničku krunicu ili tanije."
0:01:49,0:01:59,"Ja se sjećam, ja sam tu bila dosta stroga, voljela sam predmoliti, bila sam najmlađa i onda je braća su već znala, pa su onda uvijek mene da ja predmolim da se naučim."
0:01:59,0:02:06,"Onda kad bi vidjela da je ova braća malo zaspala, ja bi uvijek na to dala koji zdravo Mariju da nadoknadimo to što smo prespavali."
0:02:07,0:02:15,"Tako da smo tu već tada njegovali i vjeru i tako smo se nekako kao obitelj trudili, nastojali osnaživati."
0:02:17,0:02:22,"Jako sam voljela časne u svom vrtiću, premda sada ne pripadam njihovom redu, nemojte ih sestre zamjeriti."
0:02:23,0:02:24,Nadam se da ni neće.
0:02:24,0:02:32,"Neće, vodila sam jako i te sestre i taj vrtić, ali život me poslao u neke druge vode."
0:02:33,0:02:39,"Dogodio se jedan taj zaokret u našim životima, u životima cijele moje obitelji."
0:02:39,0:02:57,"Na tadašnjoj župi, gdje smo tako kao obitelj još uvijek zajedno molili, bili su selezijanci i oni su već poznati kako puno rade sa mladima i sa obiteljima, tako smo i mi bili jako prisutni u župi, koliko smo znali i mogli u zboru, kao ministranti."
0:02:57,0:03:01,"Ja se sjećam, ja sam svoju haldjenicu gurala kod misnica."
0:03:01,0:03:08,misnice od svećenika samo zato da mogu svoju ministransku haljenicu da me može dočekati jer je bilo jako puno ministranata uvijek.
0:03:08,0:03:10,"A onako bi sakrivala, da, to hoću reći."
0:03:10,0:03:17,"Da, da, da, tražila sam nekoga od odraslih da mi digne gore haljenicu jer su haljenice od ministranata stajalo posebno u ormariću."
0:03:17,0:03:22,"I onda kad bi došli, znao se stvarno dogoditi da dođe još dodatno pet ministranata i da nema dovoljno haljenica."
0:03:22,0:03:31,"Ko prvi uzme, uzme, onda smo znali reći ti moraš skinuti jer ti je prekratka pa daj nekome kome paše i tako smo znali jer stvarno je puno bilo, bila je jako živa župa."
0:03:32,0:03:36,"Međutim, mi smo živjeli u jednom malom stanu od 70 km, nas je šestero."
0:03:38,0:03:40,Već nam je postalo dosta i tjesno.
0:03:40,0:03:49,"U tom periodu smo znali imati, kako je moja sestriča bila bolesna, onda su oni znali dolaziti k nama, pa nam je stvarno onako već bilo pomalo tjesno."
0:03:49,0:03:55,Moji roditelji su već tada razmišljali da se preselimo u veći sambeni prostor.
0:03:55,0:04:05,"I onda smo se preselili u drugi kvart, druga župa, druga škola, sve je nekako išlo drugačije i tu se ta naša zajednička obiteljska molitva nažalost raspala."
0:04:06,0:04:11,"U prvi plan je palo uređenje kuće, uređenje okućnice, ne znam."
0:04:13,0:04:16,Mama nas je pokušavala aktivirati u sve moguće dodatne aktivnosti.
0:04:17,0:04:23,"Ja sam tamo išla četvrti razred, što kažu da je na neki način prijelomni ako želiš dijete upisati na neku dodatnu aktivnost."
0:04:24,0:04:28,Tada sam sjećam se išla u isto vrijeme i na klavir i na sport.
0:04:29,0:04:33,"Tada sam prvi put, čini mi se, da me mama upisala na odbojku."
0:04:35,0:04:43,"I tada sam promijenila školu, još se nismo preselili u kuću, spavala sam malo kod bake, malo u stanu, više nisam znala gdje sam spavala."
0:04:44,0:04:48,"Sjećam se, to je bilo baš onako da kažem, turbulentno i teško razdoblje za sve nas."
0:04:48,0:04:54,"ali nekako je nosilo to svoje uzbuđenje jer smo dobivali nešto novo i to je bilo u centru, u toj novoj župi."
0:04:58,0:05:04,Kao da je nama puklo sve ono i ostalo jer nismo se mogli uklopiti kao u prijašnjoj župi.
0:05:04,0:05:13,"Ne mislim da je to kriv župnik ili bilo što drugo, nego jednostavno mi kao mi smo se ono zatvorili i ono je bio naš svijet i sad smo prešli drugdje i bilo nam je teško se uklopiti."
0:05:13,0:05:25,"I onda kako je bilo to svoje uzbuđenje zbog kuće, zbog svega novoga, braća su se i onako bavila sportom, imali su već svoje ekipe, postali su stari, njima je to više bilo važnije, treninzi su počeli biti na večer, utakmice."
0:05:25,0:05:25,itd.
0:05:26,0:05:29,Tako da je to pomalo počelo se razvodnjavati.
0:05:31,0:05:35,A zanimljiva je stvar ta odbojka koja obilježila zapravo moj život.
0:05:38,0:05:49,"Ja sam bila djete koja mi je onako, sam ovako gledala u svoju mamu i šlag mama kaže to je to i mama je mene uvjerila da je klavir super stvar i da trebam sirati klavir i ja sam išla, ok."
0:05:50,0:05:58,I da trebam trenirati odbojku zato što je u odbojci trebam neki sport jer je ona htjela da se mi držimo svi ravno.
0:05:58,0:06:03,"I odbojka je kaže taj sport, ona je njezina prijateljica.ica su zaključila da je odbojka taj sporta."
0:06:03,0:06:06,"Odbojka ima onako, glavni je stav, onako dignuta ramena."
0:06:06,0:06:09,"Kao što ste rekli, uvijek ramena moraju dodirivati uho."
0:06:10,0:06:12,Tako da nema veze s vezom.
0:06:13,0:06:20,Ali opet potvrda da je to stvarno sam bog vodio i da je Bog htio da tamo dođem iz određenog razloga.
0:06:21,0:06:29,"I kad sam počela trenirati tu odbojku, nisam htjela to raditi."
0:06:30,0:06:32,Nisam o tome toliko uživala.
0:06:32,0:06:41,"Bilo mi je zanimljivo jer mi je išlo od ruke, stekla sam neka nova.ova prijateljstva, to me je bilo zabavno, ali ništa ozbiljno."
0:06:43,0:06:44,Baš ništa.
0:06:46,0:06:47,"Malo sam se, da kažem, igrala."
0:06:48,0:06:52,"Mi smo nastavili kao obitelj nedjeljom, redovito ići na misu, ali ništa više od toga."
0:06:54,0:07:21,"I ta odbojka, sjećam se moj trener, sad kad zovem moj trener jer je dugo godina to i bio i više od trenera, on je došao jednom na školsku odbojku, on je osnovao novi klub i rekao je tko želi trenirati u tom klubu, on je taj klub predstavio, to je sve lijepo išlo i mene ne da nije zanim nije zanimalo, nego mi je bilo, OK, kad će on otići, da mi možemo se igrati odmeko i zabavljati se na treningu školskom."
0:07:22,0:07:29,"Ali, međutim, školski trener, on kao da je bio moja druga mama, jer mama je u svemu tako bila uporna i gurala i gurala."
0:07:29,0:07:36,"Tako je i on htio da se počnem baviti sportom, da krenem na tu odmeko, pa ti si talentirana, pa šteta, pa šteta, pa daj, pa daj."
0:07:37,0:07:41,"Ja nikako nisam htjela i onda je rekao, dobro, iditi u drugi klub."
0:07:41,0:07:50,"Onda sam krenula u mladosti, pa u mladosti mi se ništa nije sviđalo jer je bilo dosta, to je onako pravi klub., mehanički se odrađuje."
0:07:50,0:07:53,"Imaš trening, odradiš svoje šta imaš i to je to."
0:07:53,0:07:58,"Nema nikakvih emocija, nema nikakvog druženja, meni to nije bilo, meni je to bila zabava."
0:08:00,0:08:01,Onda sam i od toga odustala.
0:08:03,0:08:10,"Svakako odustajanja, sada kad pogledam u životu krenula, a tako mlado dijete, četvrti razred, peti osmogodišnjak."
0:08:10,0:08:12,"To je taj neki, ja mislim, period kad se malo i tražiš."
0:08:12,0:08:16,"Pa da, nešto te mama malo gura, nešto ti sam bira, šada."
0:08:16,0:08:19,I kako si onda završila ipak u odbojci ozbiljno?
0:08:19,0:08:24,Došao je taj trener ponovno u klub i oni su bili uporni da ja krenem trenirati.
0:08:26,0:08:29,Ali isto sam mislila to je zabava pa tako dalje.
0:08:29,0:08:38,"I zanimljivo je da su moji prvi mjeseci, možda čak i godina, ako ne i više tog treniranja bili prepuni laži."
0:08:41,0:08:51,"Nisam to voljela, nije mi se dalo, bila sam ljena, nisam htjela ići na trening, bilo mi je dosadno onako navečer od 9 do 11 treninga jer tad jedino bila dvorana slobodna."
0:08:51,0:09:01,"Nakon cijelog dana ja sam znala sjesti u autobus, sresti nekoga iz škole i otići op skroz okrećišta i vratiti se natrag i sjesti ima negdje na kavu i onda doći kući kao da sam došla."
0:09:01,0:09:02,s treninga.
0:09:03,0:09:06,U male su mi to mami kad rekla i tati.
0:09:08,0:09:09,Nisam htjela.
0:09:09,0:09:14,Znala sam onda čak i ostati u kući pa ne otići na trening i reći da ne želim to.
0:09:16,0:09:18,Ili sam znala reći da.
0:09:18,0:09:21,Jednom sam rekla da je pukla guma na vama na ocu.
0:09:23,0:09:24,Kome treneru da.
0:09:24,0:09:26,Mislim on je samo napisao u redu.
0:09:26,0:09:28,Znala sam da zna da lažem.
0:09:28,0:09:36,Drugi put sam rekla da imam termin kod zubara ili da sam bila kod zubara pa od rana dođem na trening da on nema od zubara niza.
0:09:36,0:09:37,Mislim to boli.
0:09:37,0:09:39,čovjeka ili ostane ili nešto tako.
0:09:42,0:09:48,"Tako da nisam baš bila obećavajuća o početku, ali što su oni o meni vidjeli, ja ne znam."
0:09:49,0:09:57,"Jer terenar je bio takav, kad je rekao, bio dosta neozbiljan, on je rekao, čujmo, ajmo biti iskreni, ni si za to i nemoj ići i odići kući i to je to, mislim, nećemo se natezati."
0:09:58,0:09:59,"A mene je trpio, ne znam zašto."
0:10:00,0:10:01,I do danas ne znam zašto.
0:10:01,0:10:04,"Sad kad bih ga pitala, mislim da ni on ne bi znao zašto."
0:10:04,0:10:06,Nisam ga nikad to ni pitala.
0:10:06,0:10:17,"Ali onda je u jednom trenutku on meni počeo govoriti, odnosno priznati.avati me kao najboljom, kao onom koja sam potrebna."
0:10:17,0:10:26,"I tada, djevojka koja je tada bila kapetan ekipe, ona je se razbolela i više nije mogla trenirati tim tempom i tako."
0:10:26,0:10:31,I onda je sve to nekako išlo da ću ja preuzeti tu vodstvenu palicu ekipe.
0:10:33,0:10:35,"Što je mene, moram priznati, tada iznenadilo."
0:10:36,0:10:41,"Ali, godi svakome kad u neko malo pomazuje, kad ga malo nahrani."
0:10:41,0:10:49,Tako da to me zadržalo i ta neka vjera njihova u mene da ja to mogu i da sam potrebna tamo.
0:10:50,0:10:56,"I onda sam sve više, i ja počela vidjeti koliko meni to dobro ide i počela sam u tome više uživati."
0:10:56,0:11:11,"I onda kad su se počeli nizati uspjesi, kada je klub malo počeo postizati, da kažem, bolje rezultate, i mi smo se kao ekipa formirali i poslali smo nekako među sobom, dosta je to bilo onako obiteljska atmosfera."
0:11:12,0:11:14,"Onda sam već počela uživati, onda je to bilo to."
0:11:15,0:11:54,"Onda je već tada od boje ka, ja to govorim uvijek na svjedočanstvima, ono što je bio presvetio Tarski sakramenac, sada je to postala lopta koja je zapravo šuplja i prazna, u njoj je običan zrak, to stalno spominjem i govorim, to je sada strašno, ali ja sam kao dijete dok sam bila kod Calezijanaca, ja sam toliko vjeru imala onako dječju čistu da sam vjerovala da u taj tabernakul gospodin svaki dan kad je misao, točno zna koliko ljudi ima jer on sve zna i stavi točno određeni broj hostija koliko će se ljudi pričesiti."
0:11:56,0:11:57,To je tako preslatko.
0:11:58,0:12:01,"Da, ja sam to vjerovala ako mala i ne znam kako mi je to promaklo uopće."
0:12:01,0:12:05,da je on ima ciborina na oltaru i da pretvorba ide tada.
0:12:05,0:12:31,"Ja sam znala da on diže hostiju i da se tada događa taj trenutak, ali ja sam mislila da je to samo ta njegova hostija za svećenika jer je on svećenik, a da gospodin tada za vrijeme misa u tabernakul, onda on otvara tu, meni je to tada bila čarobna kutija, nisam znala da se to zove tabernakul, to je bila čarobna kutija koju će on otvoriti i unutra će biti točno određen broj hostija koliko treba i on će to tamo vratiti da gospodin može ponovno staviti koliko treba."
0:12:32,0:12:35,"To je meni bilo kraj priče, nije bilo uopće dileme, ja to nikom nisam ni rekla, to je bilo tako."
0:12:35,0:12:38,"Da, da, to je lije i to je ljepota te vječje vjere."
0:12:38,0:12:45,"Da, i kažem, od te vjere je došlo do toga da je zapravo to zamijenila lopta."
0:12:46,0:12:52,"Nisam više uopće toliko na Boga mislila, na misu sam išla kad sam stigla, kad je nedjelja bila utakmica, bila je utakmica."
0:12:54,0:13:12,"I zapravo volim to spomenuti jer ja to gledam kao nekakav kontrast i kao nešto u što me Bog pustio i dalje ne znam zašto, radi iskustva, radi spoznaje same sebe, radi poniznosti."
0:13:13,0:13:23,"Ali došlo je do toga da trener je došao jedan dan, to je još bilo zapravo u školi, i rekao je da je on osnovao klub odbojke na pijesku."
0:13:23,0:13:26,I tko želi se time baviti?
0:13:27,0:13:28,Ja ono znači ne.
0:13:29,0:13:43,"Ja sam bila skomplikirano dijete, koje nikad nisam bila mršavica neka i uvijek mi je bilo ono, ne volim da ljudi vide da imam malo deblje noge, da imam terbušić, da imam jače ruke, da imam ramena ili nešto."
0:13:43,0:13:45,Bilo mi je teško to kao djetetu.
0:13:46,0:13:54,"I onako mi je bilo ne, znači ta odbojka da ja moram tamo oko u kupačnom kostimu paradirati na pijesku i da me ljudi gledaju."
0:13:54,0:13:55,Meni je to bilo strašno.
0:13:56,0:14:03,"I oni su došli, pa ja bih sad rekla, možda sam u krivu, ali imala sam osjećaj kao da su došli po mene."
0:14:04,0:14:09,"Oni su tražili tko želi od sura, ali kogod je od sura digo ruku, bilo je dobro, dobro, dobro, dobro."
0:14:09,0:14:11,"I stalno pogled prema meni, a ti, a ti."
0:14:11,0:14:14,Ja uopće nisam digla glavu jer me to nije zanimalo.
0:14:14,0:14:17,"Onda je bilo paz Rinka, pa hajde, pa hajde, pa hajde."
0:14:17,0:14:19,"I nagovaranje, pritisak, pritisak."
0:14:20,0:14:37,"Ja sam tom pritisku popustila i onda sam došla poslije treninga u taj ured kabinet, kako već da nazovem, to je školska dvorana, pa onako kabinet profesora, tamo je kao trener bio poslije treninga i on mi je dao ured u taj dress koji je stao u njegovu šaku."
0:14:37,0:14:46,"Ojoj, meni su se noge odsekle, kako ću ja to staviti na sebe, kako ću ja to donijeti mami doma da mi opere u mašini i reče mama kud ideš, što i šta radiš."
0:14:46,0:14:47,Bilo mi je strašno to.
