Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:02,Može li inhaliranja biti previše?
0:00:03,0:00:05,Može se desiti takav napad.
0:00:05,0:00:18,"Roditeljima to izgleda izuzetno dramatično jer razni moji pacijenti koji su to doživjeli prvi puta, to ti izgleda taj čas ako nisi upoznati, ne znaš kao da dijete odlazi."
0:00:18,0:00:24,I sada su kolala internetom neki savjeti kako napraviti doma u svojoj kućnoj radinosti fiziološku.
0:00:25,0:00:26,Je li to preporučate?
0:00:26,0:00:29,To su sitne točkice na bilo kojem dijelu tijela.
0:00:29,0:00:32,To može biti znak ozbiljne bolesti.
0:00:32,0:00:40,"Kad smo već kod ove temperature, znate što mi se dogodilo nedavno i tome u I to me uplašilo kao nijedna povišana temperatura."
0:00:41,0:00:46,Molim sve da se beba nikada ne ostavlja bez da je se drži lagano pridružava rukom.
0:00:47,0:00:52,"Da čak i dok je presvlačimo, još se ne okreće, samo da se okrenemo da kao dohvatimo siručnik."
0:00:53,0:00:53,To je man niti sekunda.
0:00:54,0:00:55,"Apel svima, ne ljubite male bebe kad dođete u goste."
0:00:55,0:00:56,Hvala vam puno.
0:00:56,0:00:56,Hvala vam puno.
0:00:56,0:00:56,Hvala vam puno.
0:00:57,0:00:57,Hvala vam puno.
0:00:57,0:00:57,Hvala vam puno.
0:00:57,0:00:58,Hvala vam puno.
0:00:58,0:00:58,Hvala vam puno.
0:00:58,0:00:59,Hvala vam puno.
0:00:59,0:00:59,Hvala vam puno.
0:00:59,0:00:59,Hvala vam puno.
0:00:59,0:01:00,Hvala vam puno.
0:01:00,0:01:00,Hvala vam puno.
0:01:00,0:01:01,Hvala vam puno.
0:01:01,0:01:01,Hvala vam puno.
0:01:01,0:01:01,Hvala vam puno.
0:01:01,0:01:02,Hvala vam puno.
0:01:02,0:01:02,Hvala vam puno.
0:01:02,0:01:03,Hvala vam puno.
0:01:03,0:01:03,Hvala vam puno.
0:01:03,0:01:03,Hvala vam puno.
0:01:03,0:01:04,Hvala vam puno.
0:01:04,0:01:04,Hvala vam puno.
0:01:04,0:01:05,Hvala vam puno.
0:01:05,0:01:05,Hvala vam puno.
0:01:05,0:01:05,Hvala vam puno.
0:01:05,0:01:06,Hvala vam puno.
0:01:06,0:01:06,Hvala vam puno.
0:01:06,0:01:07,Hvala vam puno.
0:01:07,0:01:07,Hvala vam puno.
0:01:07,0:01:08,Hvala vam puno.
0:01:08,0:01:08,Hvala vam puno.
0:01:08,0:01:08,Hvala vam puno.
0:01:09,0:01:09,Hvala vam puno.
0:01:09,0:01:09,Hvala vam puno.
0:01:09,0:01:10,Hvala vam puno.
0:01:10,0:01:10,Hvala vam puno.
0:01:10,0:01:10,Hvala vam puno.
0:01:11,0:01:11,Hvala vam puno.
0:01:11,0:01:11,Hvala vam puno.
0:01:11,0:01:12,Hvala vam puno.
0:01:12,0:01:12,Hvala vam puno.
0:01:12,0:01:13,Hvala vam puno.
0:01:13,0:01:13,Hvala vam puno.
0:01:13,0:01:18,Ivu Palčić predstavit ću onako kako ju opisuju pacijenti na stranici Najdoktor.
0:01:19,0:01:29,"Bilo je teško izabrati samo jednu recenziju, svaka je toliko predivno sročena, ali recimo liječnica kakvu se rijetko susreće, toliko stručna, smirena, topla i draga."
0:01:30,0:01:39,"Dijete koje se inače boji doktora ju obožava, čak i u svoje privatno vrijeme brine o svojim malim pacijentima i strpljivo odgovara na sve naše roditeljske upite."
0:01:40,0:01:43,Ne postoji dovoljno riječi hvale za doktoricu Palčić.
0:01:44,0:01:48,Ovako moju današnju sugovornicu opisuju njezini pacijenti.
0:01:49,0:01:53,"Bilo je teško izabrati od toliko recenzija, ali svaka je hvala uspjev."
