Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:02,"Mi smo film napravili uz masu, masu problema."
0:00:03,0:00:10,"Ja ću vam samo reći da sam ja imao 614 novinskih i raznih drugih napada, uključujući da su me gazili ciglom."
0:00:10,0:00:18,Mislite za sebe da ste kontroverzan čovjek i je li vas nekad brinulo stavljali to možda teret dodatan na brak?
0:00:19,0:00:20,Kažu film je umjetnost.
0:00:20,0:00:22,Rijetko se dogodi umjetnost.
0:00:22,0:00:22,Rijetko.
0:00:22,0:00:25,"To je komercijalan posao, posao koji je svaki drugi."
0:00:25,0:00:30,"Kad se radi o filmu o njemu, kad sam ga pitao koji je najvažniji moment u životu, to ima četvero djece, tri četrke i sina."
0:00:31,0:00:32,I oni su malo vidno ljuti na to.
0:00:32,0:00:35,On je rekao najveći trenutak u mom životu je stvaranje Hrvatske države.
0:00:36,0:00:39,drago čuti da se sprema još jedan film tematikom Vukovara.
0:00:40,0:00:48,"Onda sam bio sa predsjednikom Tuđmanom i on je rekao, znaš šta, ajde, napravi ti film o Bleiburgu jer to inače ako se sa sad ne napravi neće ga napraviti nikako više."
0:00:48,0:00:58,"Kada je se prvi put pojavila ideja da stvarate filmove o hrvatskoj povijesti, ali sa američkim glumcima i engleski jezik?"
0:00:59,0:01:04,Ja sam igrom slučaja u Međimurje došao šest dana nakon kaznenja gospe.
0:01:04,0:01:08,"Da li mi moramo znati tko smo, što smo, kroz što smo prošli, mislim da moramo."
0:01:08,0:01:09,Samo to.
0:01:09,0:01:15,"Zašto bismo mi učili o Napoleonu ili o Hanibalu ili o partizanima, a ne da znaš poeziju."
0:01:15,0:01:16,Zbog čega ne?
0:01:16,0:01:26,"Marija Gubina je prije nekoliko godina, on je pred katedralom u Osijeku vidio jednog čovjeka bez ruke, bez noge, koji je obučen u hrvatski dres."
0:01:26,0:01:27,Koji je prosio?
0:01:27,0:01:34,"Koji je došao do njega, izvadio je neku novčanicu i pogledao u oči i shvatio da je to jedan od onih ljudi koji su ih mučili."
0:01:36,0:01:38,I Marija Gubina je u tom času.
0:01:43,0:01:46,"Bog, ja sam Ivo Kraljević i dobrodošli u podcast."
0:01:46,0:02:01,"Moj današnji sugovornik je Jakov Sedlar., redatelj čiji filmovi godinama izazivaju snažne reakcije, što kritike, što odobravanje, u svakom slučaju emocije, ali i otvaraju pitanje povijesti, prošlosti, pamćenja i uopće identiteta."
0:02:02,0:02:30,"U današnjem razgovoru pričali smo o njegovim aktualnim filmovima, počevši od ovog 260 dana koji je ovih dana oduševio publiku diljem Hrvatske, o politici, o njezinom utjecaju na kulturu, o cijelom tom sustavu koji ne da ne štiti, ne podržava, nego vrlo često ide kontra mladih autora i mladih autora i mladih redatelja koji bi možda htjeli progovoriti o nekim temama, ali nemaju sredstva."
0:02:31,0:02:40,"Razgovarali smo o tome kako se on snalazi, kako je tome doskočio i kako kaže sam izgradio vlastiti sustav kako bi uopće mogao raditi filmove o temama o kojima želi."
0:02:41,0:02:48,"Dotaknuli smo se i privatnog dijela njegovog života, obitelji, pričali smo o braku, o ljubavi općenito, o djeci."
0:02:49,0:02:54,"U svakom slučaju je bio to zaista vrlo, vrlo zanimljiv razgovor i ostanite do kraja s nama."
0:03:01,0:03:02,"Gospodine Sedlar, dobro mi došli."
0:03:03,0:03:05,"Hvala lijepa na pozivu, drago mi je da sam s vama."
0:03:06,0:03:06,Kako ste?
0:03:06,0:03:19,"Odlično, savršeno, prošla je Božić, prošla je godina, u novoj smo godini, slijede novi izazovi, a to je uvijek lijepo, znate kako je, uvijek kad stvari počinju iznova, neovisno je li se radi o godini ili o nečem drugom, uvijek je lijepo, ja mislim."
0:03:20,0:03:48,"Što biste rekli da je obilježilo vaše dvije tisuće dvadeset pet definitivno bi obilježilo film dvjesto šezdeset dana definitivno to je nešto što je bilo izuzetno meni važno i što je ne samo meni nego i mnogima od onih šezdeset pet tisuća ljudi koliko je film do sada vidjelo, i meni to je definitivno nešto što je bilo najvažnije ako govorimo o ovim uzbuđenjima, posebno što se tiče posla, ali i duhovnosti."
0:03:48,0:03:50,"Znači, taj film nije samo."
0:03:51,0:03:53,"Jer gledate, kažu film je umjetnost."
0:03:54,0:03:55,Rijetko se dogodi umjetnost.
0:03:55,0:03:56,Rijetko.
0:03:56,0:03:59,"To je komercijalan posao, posao koji je svaki drugi."
0:04:00,0:04:03,"Međutim, kad se dogodi i komercijalna dobra stvar."
0:04:03,0:04:14,"I kad se dogodi umjetnost, a mislim da se ovdje dogodilo da je čovjek može biti zadovoljan, odnosno mora biti zadovoljan, bio bi nezahvalan kada bih rekao da nisam s tim zadovoljan."
0:04:14,0:04:15,Jesam i sretan sam zbog toga.
0:04:15,0:04:17,I to je obilježilo moju dvadeset pet godinu.
0:04:18,0:05:03,"Jesu li tako i bile i prognoze i planovi ili je nadmašilo mislim na sami odaziv publike i dolazak na premijere i projekcije filma kada smo započeli raditi ovaj film ja sam se nadao znate uvijek se nadate da će biti sve sjajno kao što uvijek se nadate kad počne nešto da će biti sjajno međutim znate to je u božjim rukama sve mi do neke mjere možemo utjecati na stvari nakon toga više to nije u našim rukama nadali smo se jer se radilo o jednoj teškoj životnoj priči o jednoj neispričanoj priči jer mi nažalost zbog ludosti ljudi koji ili nečega drugoga koji upravljaju hrvatskim institucijama, još nismo napravili de facto film o Hrvatskom oslobodačkom ratu."
0:05:03,0:05:16,"Do sad najbolji film koji je napravljen je Harrisonov cvijeće, znači američki film sa Andy McDowell i nadali smo se, znate, jer ovo je ipak priča koja je gdje se ljudi prepoznat preko sudbine Marijana Gubine."
0:05:17,0:05:35,"Međutim, nitko nije mogao očekivati ovako fantastičan odaziv ljudi, a posebno zato što mi nismo u sustavu distribucije Sinestara gdje je uobičajeno da ljudi idu u kine u Sinestaru gdje je ugodno, gdje su stolice zgodne, gdje atmosfera imate kokice i sve one stvari koje idu s kinoprikazivanjem filmova."
0:05:36,0:06:38,"Mi smo montirali film uglavnom po dvoranama, sportskim dvoranama i naravno da je fascinantno da je velika premijera prva svjetska u Osijeku, da je bilo dvije tisuće šesto prodanih ulaznica u velikoj dvorani gradskog vrta a da ne govorim da zadnja projekcija u zadru je nadmašila sva očekivanja jer u zadru koji nije zagreb ali gdje je očito je situacija duhovna drugačija da je tamo prodano pet tisuća šezdeset ulaznica za tu veliku dvoranu u višniku dvorane Krešmijera Ćosića tako da očekivali smo dobar odaziv ali moram priznati da ne ovako velik ali očito dogodila se jedna sinergija ljudi koji su vidjeli film jer nismo imali novaca dovoljno za plati PR da su ljudi prepoznali jednu pravu priču sjajne glumce engleske i američke i dogodilo se to da su ljudi povjerili u priče svojih susjeda ili prijatelja ili dio onoga što je pisalo po novinama i otišli su gledati film tako da eto zadovoljstvo je zaista veliko."
0:06:39,0:06:45,"Da, očito postoji želja i potreba, čak bih rekla i glad za takvim filmovima, za takvim sadržajem."
0:06:46,0:06:57,"Znam da su ljudi pljeskali nakon projekcije što ja ne znam, mislim da inače nije baš običaj nakon projekcije filma u po kinodvoranama da ljudi plješću, da ostaju, da izlaze tako ono ganuti u suzama."
0:06:59,0:07:09,"Sada kada ste spomenuli i duhovno neko stanje Zadar naspram Zagreb, evo mi smo u Zagrebu, kako biste rekli da je stanje u Zagrebu?"
0:07:11,0:07:14,"Znate što, ako pogledamo malo povijest od 90."
0:07:14,0:07:23,"godina na ovom, ljudi imaju prigovore na hadeze na ovo, na ono jer hadeze je na vlasti državno najveći broj godina i tako."
0:07:24,0:07:28,"U najnevinije doba hadezea kada još nije bilo privatizacije, znači to su 90."
0:07:29,0:07:32,godine hadeze nije pobijedio u centru Zagreba nikada.
0:07:32,0:07:32,Zašto?
0:07:33,0:07:40,Zato što je u velikoj većini stanova u Gradu Zagrebu 1941.
0:07:41,0:08:26,"godine ustaški režim iselio, izbacio židove i neke druge ljude su izbacili iz stanova, međutim to je trebalo četiri godine, ali nakon toga četrdeset pet su se uselili ovi takozvani osloboditelji koji nisu bili osloboditelji nego su bili nešto drugo i izbacili su te ljude iz stanova uselili su se i njihovi nasljednici su još uvijek u tim stanovima kućama to nikada nije na jedan pošten i pravedan način riješeno recimo židovima još nije vraćena njihova imovina i tko zna hoće li uopće biti vraćena ako i bude bit će vraćena nekoj trećoj generaciji ne vjerujem u to ali evo tako je znači u najnevinije doba hadezea hadezeov centar nije pobijedio."
0:08:26,0:08:31,"Ne govorim ja ništa tko je trebao pobijediti šta je, ali govorim vam o stanju duha."
0:08:31,0:08:47,"A stanje duha u gradu Zagrebu je nažalost tako da mi danas imamo vlast koja je sve samo ne ona koja bi služila građanima ovoga grada, svima neovisno tome tko je kakvog opredjeljenja, koje vjeroispovijesti, boje kože, ne znam što."
0:08:47,0:08:51,Ja mislim da je to odgovor na ovo vaše pitanje.
0:08:51,0:08:55,"U Zagrebu je nešto drugačije, a bitno je drugačija situacija znate."
0:08:55,0:08:57,E sad što je moguće napraviti?
0:08:57,0:09:11,"Znate, danas imate u svijetu situaciju da će se, događaju se mnogi apsurdi i dogodilo se vjerojatno to da će demokratskim putem nešto što je nama danas smiješno, što je žao, tragično zapravo došlo na vlast."
0:09:12,0:09:17,"Zašto je to tako sada, to je, ovaj naš razgovor je kratak za objasniti, da li je tako nažalost?"
0:09:17,0:09:28,"Da, baš kad je napadao snijeg pa je netko napisao molimo građane iz Zagreba da ostanu doma, nešto kao kad su bili izbori, ostanite doma, kad su izbori, pošutimo se."
0:09:29,0:09:40,"Da, spomenuli ste sami četrdeset pet i zagreb film četverored ja ne znam vjerojatno malo starijoj ekipi iz moje publike odmah upali se lampice, a ovi mlađi možda i ne znaju."
0:09:41,0:09:44,Kakve se vama emocije javljaju na spomen uopće tog filma?
0:09:45,0:10:00,"Pa to je miks emocija, znate miks emocija zato jer film je nastao na način da je u razgovoru sa predsjednikom Tuđmanom i sa Aralicom, mi smo tražili zapravo dogovorili smo se za film o Vukovaru."
0:10:00,0:10:12,"I onda kada je izašao Roman četvrti red onda sam bio sa predsjednikom Tuđmanom i onda je rekao, znaš šta, ajde napraviti film o Bleiburgu jer to inače ako se sa sad ne napravi neće ga napraviti nikada nitko više."
0:10:12,0:10:13,I onda smo mi napravili taj film.
0:10:14,0:10:16,"Bilo je vrlo komplicirano ga napraviti, znate."
0:10:16,0:10:29,"To je bio kraj života Franja Tuđmana, to je bio kraj jedne epohe, herojske, nezaboravne epohe u povijesti hrvatskog naroda, kad je ostala hrvatska samostalnost."
0:10:30,0:10:32,"Mi smo film napravili uz masu, masu problema."
0:10:32,0:10:41,"Ja ću vam samo reći da sam ja imao 614 novinskih i raznim drugih napada, uključujući da su me gazili ciglom itd."
0:10:42,0:10:44,"To je bilo, to je bilo haha te vrna."
0:10:46,0:11:00,"Bilo je vrlo komplicirano, međutim, nije mi žao da sam ga napravio, dapače, vrlo sam ponosan na taj film, u njemu je igralo pa pedesetak, ponavljam, hrvatskih glumaca iz haenbea najveći broj, je tamo najveći broj sjajnih glumaca i bio i trebao bi biti."
0:11:03,0:11:10,"Međutim, kad govorimo o tom filmu onda je miks emocija u smislu, bilo je teško ga napraviti, ali bio sam ponosan što sam ga napravio."
0:11:11,0:11:19,"Jer nikada više, evo vam to sad kažem evo ovdje, a to ljudi znaju, nikada se više o Bleiboru film napraviti neće, a to je najveća tragedija hrvatskog naroda."
0:11:20,0:12:07,"To je taj film odnosno ta priča za koju Vlada gotovo, za koga se ne može reći da je desničar i ustaša i ne znam tko, rekao mi je nakon premijera u Zagrebu ukinuo Tuškanac, rekao je jako je otišao otprilike trideset posto onoga što je stvarno bilo prema tome to što su mene poslije napadali da je to ekstremizam i ne znam što to su čiste buda lažne to je žalosna priča o najvećoj tragediji hrvatskog naroda koju su uzrokovali jugoslavenski komunisti od kojih su mnogi bili hrvatske nacionalnosti ali oni Hrvatsku nisu željeli oni su željeli jugoslaviju nekakvu Hrvatsku u okviru toga ali Hrvatska njima nije bila ni u pet je li istina da je to zadnji film za koji ste dobili nekakvu pomoć, podršku od države i ministarstva?"
0:12:08,0:12:09,To je bio prvi i zadnji.
0:12:09,0:12:10,Prvi i zadnji.
0:12:10,0:12:13,Ja nikada nisam dobio i da nije bilo Tuđmana ne bih bio dobio ni tada.
0:12:14,0:12:43,"A i tada je bila, ja sam dobio za taj film gdje je bilo par tisuća statista, gdje je bilo ogroman film, bio produkcijski, bilo je šta, znam koliko, oko sto pedeset glumaca statista svega je bilo ja sam dobio jednako za taj film novaca kao što su dobili drugi filmovi za neke vrlo komorne priče gdje ima možda petnaest glumaca znate tako da ni tada nije bilo adekvatno ali bila strast mnogi su ljudi pomogli pomogli su od antona kikaša pa do Franka Lurića, do Marka Frankovića, do ne znam koga sve ne spominjem da nekoga ne izostavim."
0:12:43,0:12:46,"Ljudi su pomogli jer su željeli da taj film se napravi, znate."
0:12:46,0:12:53,"I ja neću nikad zaboraviti, mi smo bili na Puličkom festivalu, film je išao vani u 12."
0:12:53,0:13:02,"mjesecu, to smo na Puli, svi su mislili da neću doći, jer film mora biti prikazan na Puli pošto je financiran od strane Hrvatske."
0:13:02,0:13:23,"Ja sam naravno došao tamo, mi smo držali preskonferenciju, ja sam rekao što smo smjeli kazati, ovi su neki govorili tamo o svoje stvari, ja sam rekao o svoje stvari i to je bilo zapravo smiješno jer kažem, nije nitko očekivao da ću doći jer su mislili da ja iza toga filma ne stojim jer su kao nove okolnosti, to što su komunisti na vlast, mene to nije zanimalo, mene nisu me zanimale stranke nikada."
0:13:23,0:13:38,"Ja sam bio s predsjednikom Tuđmanom zato što je on uspio ostvariti nešto što je bio san generacija i ja nikada neću zaboraviti to vrijeme, nikada ga se neću odreći ni njega niti ideja koju je zastupao i na temelju tih ideja je nastojao film četvrti."
0:13:38,0:13:48,"Prema tome, mene je bilo smiješno u Puli reakcija nekih ljudi koji su rekli pa niste to očekivali, a ja sam rekao gledajte vi možete očekivati što hoćete, ja stojim iza toga šta radim."
0:13:48,0:13:58,"Ja hvala Bogu, do sad nisam nikada morao raditi nešto što mi je bilo nametnuto, radio sam po svojoj savjesti i po želji da nešto napravi i da ostane iza mene."
0:13:59,0:14:01,"Sad, koliko se to nekome sviđa, to je druga stvar."
