Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:04,"To je veliki dečka, ti se ne bi trebala voziti u kolicima."
0:00:04,0:00:06,"Ja kažem, vi bi trebali gledati svoja posla."
0:00:06,0:00:09,"O, kje ovo je preemotivno, postalo prerano."
0:00:09,0:00:11,Tvoje djete ima poteškoće u razvoju.
0:00:11,0:00:12,Poremećaj spektra autizma.
0:00:13,0:00:14,Jesi li se zastitila priča o tome?
0:00:14,0:00:16,Ne mogu se zastititi kad je to moj život.
0:00:16,0:00:19,Da sad je već kao pandemija autizma da se događa.
0:00:20,0:00:29,"To je jednostavno cijelo dnevni angažman roditelja i onaj koji si ne može priuštiti da bude po cijele dane doma s tim djetetom i da to radi, provodi, razvozi."
0:00:29,0:00:31,Tu se događa da obitelji pucaju.
0:00:31,0:00:39,"Uvjerena sam da je ta rana intervencija i rano što smo jako rano krenuli raditi s njim jako puno., napravilo je njegovom napredku."
0:00:39,0:00:42,Moja djeca neće se igrati sa akuškom.
0:00:42,0:00:48,Ja sam imala osjećaj da svjedočim jednom onom procvatu jedne žene čijem sam burnautu svjedočila na društvenim mrežama.
0:00:49,0:00:53,"Muža nisam baš puno pitala, rekla sam o starim mojoj, dosta sam ja podnijela i imam pravo to ostaviti tu unutra."
0:00:54,0:00:58,"Meni je bilo čudno kad sam jednom srela jednu influencericu, prvo sam joj djecu prepoznala."
0:00:59,0:01:00,Kako je kod vas bila situacija?
0:01:00,0:01:01,Je li bilo kriza?
0:01:02,0:01:03,Mislim svaki brak ima krize.
0:01:04,0:01:05,Kako izgledaju krize?
0:01:05,0:01:06,Ja sam imala krizu i jutro sam ga vidjela.
0:01:06,0:01:09,"A on je otišao u suzama, ja sam bila žena s tijena."
0:01:09,0:01:12,Prva stvar da bude na misi mir s tobom.
0:01:12,0:01:14,To bi prvo trebalo biti.
0:01:14,0:01:22,"I brak nakon 20 godina ne možeš mi reći da svaki dan intenzivno proživljavaš leptiriće i ono, ne znam, nije baš takav da on uđe na vrata."
0:01:22,0:01:29,Treba malo cijeniti sebe i slušati sebe i slušati svoje srce i odrediti sam sebi svoje prioritete.
0:01:29,0:01:33,Meni je prioritet bio da taj moj brak i ta moja obitelj funkcionira.
0:01:42,0:01:45,"Bog, ja sam Iva Kraljević i dobrodošli u podcast."
0:01:45,0:01:50,"Moja današnja sugovornica je žena, majka, glumica., Marijana Mikulić."
0:01:51,0:01:59,"Razgovarali smo o njezinoj monodrami, o životu, majčinstvu, o sinovima, o braku, o odrastanju u Hercegovini."
0:02:01,0:02:07,"Baš kao i u životu i u ovom razgovoru, bilo je i suza i smijeha."
0:02:08,0:02:12,"U svakom slučaju, ostanite s nama do kraja jer vrijedi vašeg vremena."
0:02:13,0:02:25,"Prije nego što krenemo, pretplatite se na ovaj YouTube kanal i ako želite financijski podržati moj rad, odite na Patreon, poveznica je u opisu ove epizode gdje ćete saznati više."
0:02:25,0:02:26,o samoj platformi.
0:02:27,0:02:28,A sada krenimo s razgovorom.
