Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:02,Dobar večer svima.
0:00:13,0:00:15,Kako vam je bilo u radionicama?
0:00:28,0:00:32,"Volio bih da ste imali više prilika, da ćete imati više prilika da budete u radionicama."
0:00:41,0:00:46,Obično tijekom jednog razdoblja obuke imamo najmanje tri do četiri radionice.
0:00:53,0:00:58,"To vam pomaže da dobijete dublje, dublje iskustvo proročkog zagovaranja."
0:01:05,0:01:10,"I imao sam dojam da ste imali nekih poteškoća, o tome ćemo pričati sutra."
0:01:14,0:01:16,Jer večeras imamo jednu jako bitnu temu.
0:01:19,0:01:24,"To je jedna duga tema, a vremena je sve manje."
0:01:34,0:01:38,"Dakle, večeras ćemo razgovarati o duhovnom ratovanju u zagovornoj molitvi."
0:01:44,0:01:53,Zašto rat?
0:01:55,0:01:56,Došli ste moliti.
0:02:04,0:02:06,Zašto bih vam ja uopće govorio o tom ratovanju?
0:02:30,0:02:34,"Dakle, razumjeti duhovno ratovanje je jako bitno."
0:02:40,0:02:43,Svaki kršćanin je uključen u duhovno ratovanje.
0:02:51,0:03:03,"Ako je kršćanin dobar, ako prakticira svoju vjeru, on ili ona će u svakom slučaju biti suočen s duhovnim ratovanjem."
0:03:08,0:03:23,"I zato sveti Petar kaže u svojoj prvoj poslanici petog poglavlja osmi redak, ona nas upozorava i kaže otrijeznite se, budite, protivnik vaš džavao kao ričući lav obilazi tražeći koga da proždre."
0:03:29,0:03:32,To nam znači dakle da moramo biti budni.
0:03:35,0:03:38,"To je ono što on želi od nas, sveti Petar."
0:03:43,0:03:59,"A sveti Pava u poslanici Efežanima šesto poglavlje dvanaest redak kaže jer nije nam se boriti protiv krvi i mesa nego protiv vrhovništava, protiv vlasti, protiv upravljača ovoga mračnog svijeta, protiv zlih duhova po nebesima."
0:04:08,0:04:13,Mi dok zagovaramo se suočavamo i borimo sa silama tame.
0:04:18,0:04:27,"Ako ste recimo otišli u Svetu zemlju, tamo imamo dvije države, Palestinu i Izrael."
0:04:30,0:04:49,"Ljudi, oni koji su palestinci, oni tvrde kako je Izrael ustanovio više od četiristo kolonija svojih izraelskih na preostalu njihovog teritorija."
0:04:54,0:04:58,"I uvijek imamo tu tenziju, sukobe i napetosti između Palestine i Izraela."
0:05:09,0:05:20,"I palestinci tvrde na svakom mjestu na kojem se nalazi neka pitka voda ili bilo kakav koristan ljudima izvor, tu će doći Izraelci i oni automatski uspostavljaju svoj teritorij."
0:05:37,0:06:01,"U isti način, Satana je uspostavio svoje područje."
0:06:01,0:06:10,"svoja područja na raznim mjestima zemlje, na raznim duhovnim sferama, kada mi molimo, kada zagovaramo, mi ulazimo u duhovno ratovanje."
0:06:17,0:06:22,Na taj način vi molite za osobu koja je okovana s otoninom vlašću.
0:06:26,0:06:39,"Ona ili on je u okovima grijeha, a vi kada počnete zagovarati borba."
0:06:43,0:06:53,"Vi pokušavate tu osobu osloboditi, no osobu drži zli Satona."
0:06:58,0:07:01,I čak bez da ste toga svjesni odvija se borba.
0:07:08,0:07:12,I mi kao zagovaratelji trebamo biti svjesni da postoji duhovna borba.
0:07:17,0:07:42,Za vrijeme jedne obuke u Botswani prišla mi je jedna žena iz Mombije i tvrdila je kako je te noći vidjela džavla Satonu i Saton joj je kazao nemoj uznemiravati moje područje.
0:07:49,0:08:00,Prošle godine sam bio u Austinu u Teksasu i tada sam održao jednu obuku za ljude koji su bili hispanskog podrijetla.
0:08:03,0:08:14,"Jedan čovjek, stariji mi je prišao i rekao, prošle noć sam se utrkivao sa crnim psom."
0:08:28,0:08:38,"I rekao je jedva sam čekao da svane dan jer svaki put kada bi zatvorio oči, taj crni pas je bio pred mnom i ja sam bježao i borio se s njim."
0:08:43,0:09:01,"A ove godine dok sam bio u Kaliforniji za vrijeme jedne obuke, jedan od župljana mi je dao sljedeće svjedočanstvo: Rekla je da je ona kupila moju knjigu."
0:09:06,0:09:13,"knjigu i da je to bila knjiga, dakle molite podignuti ih ruku."
0:09:16,0:10:21,"I dok je počela čitati tu knjigu, rekla je kako je usnula, usnuo joj se u kazneni satona i rekao je zabranjujem tebi i tvojoj grupi, skupini da čitate knjigu koju čitaš i rekla je kako je otkrila kako je bio jako ljut, to je podijelila sa svima koji su tamo bili i naravno svi oni su nastavili i pročitali su knjigu i dakle ona je rekla kada sam ja bila na tom tečaju sada za vrijeme obuke shvatio sam, shvatila sam zašto je Sotona bio tako ljuti jer smo mi bili ušli u to ratovanje."
0:10:24,0:10:36,"Kada sam to rekao, kada to kažem, želim vam reći da se vi ne trebate oko ovoga brinuti."
0:10:38,0:10:45,Ja vas ne pokušavam preplašiti i nemojte pobjeći odavde zbog ovoga što ste čuli.
0:10:52,0:10:57,"Dakle, ako se dogodi da sutra pola vas ne dođe ovdje, Lordan će vam odmah pitati zašto si morao pričati o toj temi."
0:11:02,0:11:05,Jednostavno vam želim reći kako se te stvari događaju.
0:11:10,0:11:15,"Možda svatko od vas neće imati fizički sukob, fizičku borbu sa Satonom."
0:11:17,0:11:19,To se uobičajeno baš i ne događa.
0:11:28,0:11:35,Ja vam sada mogu navesti najmanje imena deset ili dvadeset svetaca koji su se fizički uistinu borili sa Satonom.
0:11:38,0:12:13,"Padre Pio, Ivan Marija Vienej, sveti Ante Padova, sveta Teresa Avila, dugi popis svetaca koji su se fizički borili, ali morate shvatiti da su ti ljudi bili na samom vrhu ljestva koje vode prema svetosti."
0:12:15,0:12:21,Zamislite da je svetost su ljestve i postoje mnoge stube.
0:12:25,0:12:40,"Možda se mi ili vi nalazimo na prvoj ili drugoj stubi, ali oni su bili na samom vrhu tih ljestva i oni su bili spašavali mnoge duše."
0:12:45,0:12:48,Možda mi spašavamo jednu ili dvije duše u svoje vrijeme.
0:12:53,0:12:59,"Tako da Satona ima jako, jako, jako profinjen način kako da djeluje da uništava."
0:13:04,0:13:10,I on će jako kalkulirati prije nego što će se koristiti tom sofisticirano moći da uništi.
0:13:14,0:13:21,"vjerojatno nema ni vrijeme, a ni snagu da se bori s nama oko našeg malog broja duša."
0:13:24,0:13:26,"Dakle, naša bitka je malena."
0:13:31,0:13:47,"Jednom tijekom sna dok je sveti Ivan Marija Vijane ispavao probudio se od sna i shvatio je da ga Sotona pokušava ubiti, zataraviti."
0:13:51,0:13:55,"I otac Ivan Marija Vijenega je zapitao što činiš, što radiš."
0:14:03,0:14:14,"A Satan mu je rekao iz mojih kanđa šaka si istrgnuo osamdeset tisuća duša, dakle njegove brojke su jako velike."
0:14:18,0:14:26,"Što se tiče nas, mi moramo biti svjesni da postoji duhovni rat."
0:14:34,0:14:48,"Većina nas, većinu vremena neće doći u fizički sukob sa Satonom, no to je jedna duhovna bitka i mi moramo toga biti svjesni."
0:14:52,0:15:07,"I upravo zato nas sveti Pavao potiče da naša borba nije protiv krvvi i mesa, nego protiv vlasti, protiv načnog svijeta."
0:15:15,0:15:23,"Što više u jednom prijevodu koji postoji samo na engleskom jeziku, to je engleska Biblija."
0:15:33,0:15:36,"U tom prijevodu se koristi riječ hrvati se, da se mi hrvemo."
0:15:37,0:15:38,umjesto borimo.
0:15:41,0:15:42,To je više nego rat.
0:15:51,0:15:57,"Dakle, jedini razlog zašto vam ovo govorim je da vi znate tko je naš jedini neprijatelj."
0:16:02,0:16:03,Tko je neprijatelj?
0:16:12,0:16:15,"Dakle, jako je važno da mi poznajemo tko nam je neprijatelj."
0:16:20,0:16:24,U ratu ne možemo pobjediti ako ne poznajemo svog neprijatelja.
0:16:29,0:16:47,"Sveti Pavao u Efezijanima šesto poglavlje, recici dvanaest i trinaest kaže jer nije nam se boriti protiv krvi i mesa nego protiv vrhovništava, vlasti, upravljača ovog mračnog svijeta, protiv zlih duhova po nebesima."
0:16:58,0:17:06,"Dakle, ovdje nam Sveti Pavao navodi četiri razine hijerarhije koje postoje u džavolskom svijetu."
0:17:09,0:17:19,"Baš kao što i mi imamo svoju hijerarhiju, i Satana isto ima svoju hijerarhiju."
