Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:06,"Evo hvala i nisu si Marija, dobro vam jutro braćo i sestre jeste spremni za malo priče o poslu?"
0:00:08,0:00:14,"Nakon osobne molitve, nakon obitelji, nakon ovih krasnih stvari, mene je dopalo da pričamo o poslu."
0:00:15,0:00:29,"Iskreno, kad me nitko nazvao i pitao me, brate, znaš šta, trebali bi malo progovoriti o toj jednoj stvarnosti bivanja kršćaninom, odgovornim, vjernim, autentičnim kršćaninom na radnom mjestu."
0:00:29,0:00:44,"Rekao sam, ajde dobro, to mi je ovako tema, bliska srcu, snalazim se u tome, imam tu nešto za reći, može, nema problema, ali onda kad je razgovor završio, mislim si, pa niko jel ti znaš šta hoćeš, jesi siguran da to želiš."
0:00:47,0:00:53,"Dakle ljudi će doći tamo, putovat će stotinama kilometara, ostavit će svoje poslove, neki će uzeti godišnje da se maknu od poslova."
0:00:55,0:01:15,"Tamo ćemo doći i bit ćemo u zajedništvu pred gospodinom, doživjet ćemo silna božja djela, on će se očitovati među nama u svojim ozdravljenjima, oslobođenjima, slavit ćemo svoga kralja i onda ja trebam doći i pričat o poslu."
0:01:17,0:01:22,"Dakle to će biti vjerojatno najgori segment u ovih dva, tri dana, ali dobro, izdržat će."
0:01:22,0:01:27,"Da, bit će o financijama, nikim će biti o financijama, to je još gore, to je iza mene."
0:01:30,0:01:41,"Dobro za početak, ja sam Matija, dolazim iz Osijeka isto kao moj brat Ivan i član sam iste molitvene zajednice moje drage duhovne obitelji, molitvene zajednice svete obitelji."
0:01:43,0:02:14,"Isto tako sam, ako je on kralj, onda sam i ja kralj, samo što je kod mene, kod mene je kraljica malo je kriva zašto sam se vratio gospodinu i zašto sam danas ovdje pred vama i zato ću joj biti vječno zahvalan što je bila poslušna gospodinu i evo što je, sad nemam vremena ulaziti u svoje svjedočanstvo, ali da, ona je krivac."
0:02:15,0:02:28,"Tata sam jedne male vrskave, ovako dosta žive, strastvene lote i jednog malog proroka Samuela, on isto tu negdje trči i imamo od njih troje malih svetaca na nebu, dvoje blizanaca."
0:02:29,0:02:30,Evo to sam ukratko ja.
0:02:31,0:02:40,"Dakle, ajmo sada konkretno, samo ću si staviti ovu štapericu da ne promašim, već sam potrošio dosta vremena."
0:02:41,0:02:50,"Dakle, okupili smo se ovdje iz različitih poslovnih, radnih stanja i situacija."
0:02:51,0:03:12,"Neki od vas tek studirate, pripremate se za svijet rada, neki od vas ste u naponu radne snage, neki od vas djelujete u ovome svijetu, služite u crkvi, možda nemate nekakvu profesionalnu karijeru u svijetu, možda ste aktivni u crkvi."
0:03:12,0:03:25,"Dakle, neki od vas ste zaboravili svoje karijere, pogotovo tu se obraćamam možda vama majkama koji ste stavili pauzu na svoje životna poslanja i posvetili ste se svojoj kućnoj crkvi o kojoj je Ivan pričao."
0:03:26,0:03:36,A neki od vas ste završili svoj poslovni radni vijek i sada uživate u mirovini.
0:03:37,0:03:40,"Tko je među vama blaženi, uživa?"
0:03:41,0:03:47,"Vi možda možete i preskočiti, možete otići na kav dok ja pričam o ovome."
0:03:50,0:03:54,"Dakle, ja danas ovdje u ovih ovih kratkih dvadesetak minuta imam dva cilja."
0:03:56,0:04:16,"Prvi cilj je da nas, samo da nas malo podsjetim na istinu koja nam je objavljena o našem Gospodinu Isusu Kristu i o njegovoj Crkvi na temu našega odnosa prema pitanjima djelovanja u svijetu, našega djelovanja u poslovima ovoga svijeta."
0:04:17,0:04:18,To mi je prvi cilj.
0:04:18,0:04:33,"A drugi cilj mi je, evo nekako mi je došlo stvarno da probamo dozvoliti duhu da se obrati konkretno određenim ljudima i određenim skupinama među vama, među nama."
0:04:34,0:04:47,"Baš zato kako bi dokazali zajedno u jednom kratkom meditativnom promišljanju kako je Duhu Svetom itekako stalo do vaših poslova, do vaših karijera, do vašega rada."
0:04:48,0:05:19,"Ne znam jeste li ikada razmišljali o tome, ali ako je Duh Božji živ i prisutan u nama, a jest, a mi većinu svoga budnoga dana veliki broj nas, velika većina nas vjerojatno provedena poslu, minimalno osam sati, devet sati, to znači da je u velikoj mjeri Duh Božji s nama u jednome danu ponajviše prisutan dok radimo, količinski, vremenski."
0:05:19,0:05:20,Jeste li razmišljali kada o tome?
0:05:25,0:05:50,"Ako je ovo jedina stvar koju ćete zapamtiti danas, ako ćete ponijeti ovu stvar sa sobom kući, onda molim vas zapamtite da je Duh Sveti prisutan u svakome trenutku vašega radnoga vremena, vaše posvete, vašega predanja u vašem radnom mjestu, u vašoj karijeri."
0:05:50,0:05:57,"Ok, idemo vrlo kratko napraviti jedan pregled učenja Crkve na ovu temu."
0:05:59,0:06:37,Katehizam naše Crkve u članku dvjesto četiristo dvadeset sedam kaže sljedeće ljudski rad proizlazi neposredno od osoba koje su stvorene na sliku božju te osobe su pozvane produžiti jedni s drugima jedni za druge djelo stvaranja ovladavajući tako zemljom hajmo raspakirati ovu nevjerojatnu stvar dakle mi smo stvoreni na sliku božju dobro i u zajedništvu jedni s drugima drugima smo pozvani obladati ovoj zemlji kroz sve što radimo.
0:06:40,0:06:52,"Sad jedno pitanje u koje nemamo sad vremena ulaziti, koliko smo mi kršćani obladali svime stvorenime, koliko smo mi kršćani ustvari vladari zemlje koja nam je predana na upravljanje."
0:06:55,0:07:17,"Jer ako ovdje nas Crkva uči da smo pozvani obladati zemljom, sebi je podložiti, nastavljajući, produžujući Božje djelo stvaranja, onda to nije samo nekakvo učenje Crkve, to nije samo naš nekakav poziv na koji smo pozvani pa neki od nas će se na to odlučiti, neki od nas neće na to odlučiti."
0:07:17,0:07:20,"Ne, to je tvoja i moja odgovornost."
0:07:22,0:07:38,"Dakle mi smo odgovorni, pazite, jednog dana ćemo stati pred gospodinom, mi ćemo odgovorni odgovoriti na sljedeće pitanje, jesi li produžio moje djelo stvaranja na zemlji?"
0:07:39,0:07:52,"Jesi li nastavio, nastavila ono što sam ja započeo, ja veliki bog sam nešto započeo, a ti mali čovjek u mojoj službi, veliki kraj, svećenik i prorok si pozvan nastaviti to djelo stvaranja."
0:07:53,0:07:55,Nisam rekao ja crkva uče.
0:07:58,0:07:58,Dobro.
0:08:00,0:08:06,"Kaže dalje isti članak katehizma, rad je dakle dužnost, naša odgovornost."
0:08:07,0:08:13,"Jer kaže druga Solunjanima, tri glava, deset stih, tko neće da radi, neka i ne jede."
0:08:15,0:08:15,Dobro.
0:08:16,0:08:23,"Dakle, Božja riječ kaže, oka, ako ne želiš prihvatiti tu odgovornost na koju te poziva Stvoritelj, ne zaslužuješ da jedeš."
0:08:25,0:08:33,"Zašto nastavlja se isti članak, zato što rade, časti stvoriteljeve darove i primljene talente."
0:08:35,0:08:45,"Rad koji ulažem u šta god radim, časti stvoritelja koji mi je dao sposobnosti da obavljam taj posao."
0:08:45,0:08:49,"To je poanta moga rada, to je poanta zašto sam pozvan raditi."
0:08:49,0:09:01,"E sad vi možete reći, ali ja to ne mogu na svom radnom mjestu, zato što teško radim, zato što radim jako dosadne poslove, zato što me zlostavljaju na poslu."
0:09:03,0:09:09,Ja to jednostavno ne mogu živjeti u stvarnosti konkretnog posla koji radim.
0:09:11,0:09:13,"Dobro, priznajem to."
0:09:13,0:09:41,"Dakle, papa Franjo kaže mi živimo u ekonomiji koja ubija, mi živimo u jednom ekonomskom sustavu kojemu nije cilj dozvoliti čovjeku da izraste u ono za što ga je stvoritelj stvorio nego je cilj ekonomskog sustava, ja bi rekao u velikoj mjeri iako ima tu nevjerojatnih pokreta, nevjerojatnih stvari koje duh radi, u velikoj mjeri cilj ovoga sustava je probiti čovjeka."
0:09:43,0:09:51,"Cilj je učiniti da čovjek služi ciljevima profita, zarade."
0:09:55,0:10:07,"Dakle, ako živimo u takvoj jednoj ekonomiji koja ubija, kao što kaže papa, kako ja mogu biti vjeran, kako ja mogu odgovoriti na poziv da produžim Božje djelo stvaranja?"
0:10:08,0:10:14,"Pa gledajte, ključ je u tome da otkrijemo kako smo stvoreni, na koji način smo satkani."
0:10:15,0:10:32,"Jer i u najmanjim poslovima, u najtežim radnim uvjetima, da ne pričam sada o svim drugim ovim kategorijama, ako se zadržimo na toj našoj brutalnoj stvarnosti da među nama, među vama žive ljudi koji teško zarađuju svoj kruh."
0:10:34,0:10:43,"Ako želimo biti odgovorni i vjerni u tome što radimo, makar nam bilo jako teško, moramo znati kako smo satkani."
0:10:43,0:10:46,"Dakle, šta je to jedinstveno što nam je gospodin dao?"
0:10:47,0:10:56,"Možda sam stvoren kao jako suosjećajan, pa mogu to svoje suosjećanje, sposobnost da slušam druge ljude, mogu donijeti na svoje radno mjesto."
0:10:58,0:11:02,"To će ti možda omogućiti da bolje trpiš, da više nosiš."
0:11:05,0:11:11,da ti gospodin ne razvije šira pleća za teret križa koji nosiš na poslu.
0:11:12,0:11:14,Dakle bitno je da znamo za šta smo stvoreni.
0:11:17,0:11:44,"I nakon toga, kad znamo kako smo stvoreni, kako smo satkani, Ivan je pričao, malo progovorio o tome koji su nam to talenti, naravni, nadnaravni, koji nam je gospodin dao da se njima služimo, da gradimo njegovo kraljevstvo, tek onda možemo naravno i početi otkrivati u kakvu službu, u kakav posao, u kakav poziv životni, profesionalni, s ime gospodine poslao."
0:11:46,0:11:50,Isto tako Crkva kaže da rad može biti i otkupiteljski.
0:11:52,0:11:57,Isti članak katekizma govori da rad može biti otkupiteljski.
0:11:58,0:12:12,"Kaže da mi podnoseći mučan trud rada u jedinstvu s Isusom koji je zanatlija iz Nazareta raspeti na kalvariji, čovjek na neki način surađuje sa Sinom Božjim u njegovom otkupiteljskom djelu."
0:12:13,0:12:19,On se iskazuje učenikom Kristovim noseći križ svaki dan u djelatnosti koju je pozvan vršiti.
0:12:20,0:12:32,"Nastavlja isto nastavlja isti članak i kaže da rad može biti sredstvo posvećenja i prodahnjivanje zemaljskih stvarnosti Duhom Kristovim, prožimanje zemaljskih stvarnosti Duhom Božjim."
0:12:33,0:12:35,Jeste li ikad razmišljali o tome?
0:12:36,0:12:37,Čudesna stvar.
0:12:38,0:12:47,Dakle kaže katekizam ovdje da mi radom prožimamo materijalnu stvarnost Duhom Božjim.
0:12:49,0:13:10,Dakle rad koji ulažemo kao ne znam prodavačica na blagajni u trgovini ili kao šumar drvosjeća u šumi ili ili kao nekakav šalterski radnik u banci ili kao nekakav voditelj menadžer u nekakvoj međunarodnoj korporaciji.
0:13:10,0:13:19,"Rad koji ulažem, rad koji ulažem donosi Božjeg duha u stvarnost oko mene."
0:13:20,0:13:23,Ja proživam stvarnost oko mene Božjim duhom.
0:13:27,0:13:44,U devetsto dvanaest članku katekizma kaže crkva sljedeće kristovi vjernici se trebaju naučiti pomno razlikovati između prava i dužnosti kojima su obvezani ukoliko su članovi Crkve i onih koji im pripadaju kao članovima ljudskog društva.
0:13:46,0:14:05,"I sada kaže ključ, vjernici se trebaju truditi oboje skladno združiti imajući na pameti da se u svakoj vremenitoj stvari moraju voditi kršćanskom savješću jer se nijedna ljudska djelatnost pa čak ni u vremenitim stvarima ne može oteti Božjoj zapovijedi."
0:14:08,0:14:24,"I tako je svaki laik pogotovo se obraćam nama laicima po samim darovima koje je primio, po poslove po poslovima koje radi, ujedno i svjedok i živo sredstvo poslanja Crkve prema mjeri Dara Kristova."
0:14:25,0:14:41,"Svaki od nas u svojoj mjeri je poslan biti svjedok i živo sredstvo poslanja Crkve, a glavno poslanje Crkve je obratiti narode, evangelizirati svijet, donijeti Boga svijetu."
0:14:42,0:14:53,"U našim poslovima mi smo pozvani raditi istu stvar, istu stvar, sudjelovati u istoj misiji Crkve."
0:14:57,0:15:10,"Dalje, sveti Ivan Pavao, sveti Papa naš Ivan Pavao, drugi kaže da je evangelizacija svijeta rada i ekonomije, gospodarstva općenito uključuje tri stvari."
0:15:12,0:15:18,"Vjernost, iskrenost u izvršavanju svih naših radnih dužnosti, vjernost i iskrenost."
0:15:19,0:15:36,"Dakle da svemu što radimo pristupamo vjerni nauku Crkve, vjernim moralnom društvenom nauku Crkve i iskreno da obavljamo to što radimo, dakle da to ne radimo preko volje nego da istinski, iskreno prijanjamo u svoj posao."
0:15:36,0:15:59,"Druga stvar, kaže da moramo biti moralno dosljedni u svim odlukama koje donosimo u poslovnoj sferi, bilo te odluke male ili velike, bile one nama beznačajne ili utjecale na jako veliko mnoštvo ljudi ako smo na takvim pozicijama, one moraju biti dosljedne, mi moramo biti moralno dosljedni u onome što radimo."
0:16:00,0:16:18,"I treća stvar, meni možda najčudesnija, kaže Sveti Papa sljedeće, evangelizacija svijeta, rad, odnosno materijalno zajedništvo nas u Crkvi."
0:16:19,0:16:41,"O tome će više pričati nitko pa ja se neću ovdje zaustavljati previše na ovoj temi, međutim ja duboko vjerujem da dok mi kršćani pa čak i na razini naših malih zajednica ne uđemo i u tu dimenziju zajedništva, materijalnu dimenziju zajedništva da mi ne možemo biti istinski svjedok ovome svijetu."
0:16:42,0:16:46,"Sveti Papa Benedikt, nije još Sveti Papa Benedikt ali bit će."
0:16:46,0:16:56,"Papa Benedikt šesnaest kaže sljedeće, pravo zajedništvo kristovih vjernika se sažima u tri dimenzije."
0:16:57,0:17:11,"Morat ćeš dati svoje talente, cijeloga sebe, svoj karakter zajedništvu Crkve, moraš dati svoje vrijeme zajedništvu Crkve i naposljetku moraš dati svoja materijalna dobra zajedništvu Crkve."
0:17:11,0:17:16,"Ako falimo u neke od ove tri dimenzije, mi se nismo dali potpuno jedni drugima."
0:17:17,0:17:21,Ali evo prepustit ću Nikki da malo više o tome kaže.
0:17:24,0:18:04,"Na kraju završiti ću ovaj jedan evo teoretski pregled sa prekrasnom mišlju svetog Žaoze Marije Skrive, osnivača Opusa Deja, ja bih rekao sveca običnosti radnoga života, vjerojatno ste neki od vas upoznati sa ovim prekrasnim svecem koji kaže da svaki posao koliko god on bio beznačajan, koliko god on bio dosadan, koliko god nam se činio nevažnim u velikom Božjem planu spasenja je u stvari sveti poziv, sveti poziv."
0:18:05,0:18:44,"To je način da mi svaki posao učinimo ljudskim, dakle da je ovu ekonomiju koja ubija pretvorimo u ekonomiju koja je usmjerena na čovjeka, a to je onda prilika za spasenje cijeloga svjedočanstva, to je prilika za nas kršćane da kroz svoje poslovne odnose, kroz svoj pogled na poslovanje, na radna mjesta, na stvaranje unutar toga segmenta društva da donesemo jedan novi način mišljenja, jedan novi način djelovanja za ovoga svijeta."
0:18:44,0:18:52,Sveti Josip Marija isto kaže da naš posao ovisi o našoj molitvi.
0:18:53,0:18:56,Vraćamo se na početak ovoga segmenta nagovora.
0:18:57,0:19:10,"On kaže prvo moli, onda se pokaj i redovito prinosi zadovoljštinu gospodinu za svoje grijehe, a tek onda ide u akciju, tek onda ide u posao."
0:19:12,0:19:22,"Dakle, tvoj posao, tvoja služba u ovome svijetu, tvoja karijera je ništa bez molitvenog života i bez davanja zadovoljštine."
