Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:02,0:00:04,Ova slika mi je došla u molitvu.
0:00:05,0:00:50,"Prije par godina papa sam na trgu i nekako kad smo molili, osluškivali, a i meni je nešto na srcu bilo jedna tema koja bi mogla biti zanimljiva za sve nas i onda mi je u molitvi došla ova slika, papa sam i onda ono pope, pop i došla je reći ima ono, baš ono pope, ja cijelo vrijeme ono gruntan u glavi, disi pope, disi pope, šta to pope, šta vrti, šta ovo, a vjerujem i vama kad ste gledali program tema pope, šta je to."
0:00:52,0:01:21,"I nekako osobno, osobno želim prenijeti neke poticaje koji su mi na srcu da s vama podijelim i to mi je onako jako, jako važno jer ja sam se pronašao u ovome i nekako u zadnje vrijeme gdje sam bio na par nekih stvari i situacija, ta tema je bila prisutna u raznim oblicima."
0:01:22,0:01:59,"I riječ koja je došla našoj zajednici prije možda dva tjedna otprilike, a želim samo jedan segment, znači jedan segment koji je onako zanimljiv za mene ali mislim da je i za sve nas, a to je riječ koja je došla zašto bježite od tišine, zašto se bojite moje riječi?"
0:02:01,0:02:03,Zar mislite da ću ja ići protiv vas?
0:02:05,0:02:36,"I ta riječ mene već evo piše sedam jedanaest znači već skoro dva tri tjedna u meni ono ozvanja zašto se ja bojim tišine, zašto ono idem kroz život i pitam se ono Bože, pa ne bojim se tišine jer nekako osjećam da bi trebao ući u tu tišinu, a nekako opet stavljam na distancu, ulazim u tišinu tolko koliko ja mislim da treba i onda se dogodi pop."
0:02:37,0:02:47,"I ono što bih htio prije svega staviti naglasak, svako ovo slovo p o p e ima neko značenje."
0:02:48,0:03:23,"Evo, ekipa je pokušavala odgonetniti oni koji nisu znali, pa neki su bili na tragu, neki su bili skroz, otišli u neke druge vode, nema veze sa papom Franjom i njegovim govorima, niti imam, možda neki segment ima, ali nekako evo probam ulaziti u osluškivanje i želim podijeliti kao jedan model koji je nama jako važan za ovo vrijeme, a mislim da smo ovdje dotakli kroz ove dane upravo ovo što ćete čuti."
0:03:25,0:03:35,"Prvo pa nosi tripa, a to je pokajanje, poniznost, poslušnost."
0:03:36,0:03:39,"Znači pokajanje, poniznost, poslušnost."
0:03:40,0:04:01,"Mi ulazimo znači u svaki dan u njegovu prisutnost i nekako osjećamo da smo pozvani ući i gledati sebe u tom stanju, u toj prisutnosti i da kroz pokajanje ulazimo sve više i više u ono što on želi dati i učiniti."
0:04:03,0:04:15,Ono što mi je nekako na srcu da podijelim s vama i nekako otkrivam u životima našim poniznost otvara jasnoću Božje volje.
0:04:16,0:04:19,Znači poniznost otvara jasnoću Božje volje.
0:04:19,0:04:27,"I kada ja ulazim u stavu poniznosti pred Boga, Bog hita da mi obavi svoju volju."
0:04:28,0:04:38,I nekako želim služiti toj Božjoj ljubavi jer ona je ta koja pokreće.
0:04:40,0:04:54,"I taj stav srca, poniznog srca da shvaćaš tko si ti, a tko je taj Bog koji ti daje sve u životu otvara dimenzije da upoznaješ jasnoću njegove, njegove bolje."
0:04:55,0:05:11,"I došla vam je slika za ovu poniznost koju svi mi bi trebali usvajati, a to je da ta slika su otvorene ruke i da u tim rukama ne držiš ništa."
0:05:12,0:05:38,"Znači otvorene ruke je daješ Bogu svoje ruke da on blagoslivlja tvoj život i da otvara tvoj život i ono bez briga, Bože ja ti predajem ovu brigu, ne držim ništa u svojim rukama, nema kontrole, nema želje da kontroliram svoj život, svoju situaciju, svoju zajednicu, svoje životno stanje."
