Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:05,Dobrodošli u Launched.
0:00:05,0:00:10,"Ja sam Charlie Chapman i danas sam uzbuđen što vam predstavljam plodnog razvijača iOS-a, Isha Shabaza."
0:00:23,0:00:24,"Isha, dobrodošao u emisiju."
0:00:25,0:00:25,Pozdrav.
0:00:25,0:00:26,Kako ti je?
0:00:26,0:00:27,Ja sam stvarno dobar.
0:00:27,0:00:27,A ti?
0:00:28,0:00:30,Ja sam prilično dobar za 2020.
0:00:30,0:00:30,godinu.
0:00:30,0:00:31,Uvijek sam sretan zbog toga.
0:00:31,0:00:34,"Da, to je niska granica, ali vi ste je prošli."
0:00:34,0:00:36,Za normalno vrijeme sam grozan.
0:00:36,0:00:37,Ali za 2020.
0:00:37,0:00:38,je prilično dobro.
0:00:39,0:00:50,"Dakle, slušatelji emisije dugo vremena, ili mislim od samog početka, znaju da sam imao Heidi Helen Polypas kao svoju prvu gostiju."
0:00:51,0:00:59,I to me stavilo u neku čudnu poziciju jer smo razgovarali o vašim nedavnim aplikacijama na njezinoj emisiji.
0:00:59,0:01:06,I vi ste bili na mom popisu kao osoba s kojom sam samo htio pronaći izgovor da razgovaram i provodim vrijeme ovdje.
0:01:06,0:01:07,I bilo je nekako čudno.
0:01:07,0:01:13,"I tako smo naposljetku u posljednja dva epizoda koja sam snimio, na kraju napravili nešto poput."
0:01:13,0:01:14,"To je više poput pokretanja karijere nekog, kako se kaže."
0:01:14,0:01:18,I osjećao sam da su to stvarno zanimljive priče.
0:01:19,0:01:25,I volio sam slušati priče ljudi o tome kako su došli do toga jednako kao i priču o samoj aplikaciji.
0:01:25,0:01:27,"I pomislio sam, znaš što?"
0:01:27,0:01:30,Tko brine ako se ne uklapa savršeno u moj model?
0:01:30,0:01:41,Mislim da mogu konačno dovesti Isha i barem ga prisiliti da se sastane sa mnom sat vremena i razgovara s osobom koja je bila utjecajna na mene dok sam se pridružio ovom svijetu.
0:01:41,0:01:42,"Hvala, to je sjajno."
0:01:43,0:01:45,"Dakle, mislim da ćemo početi od početka."
0:01:46,0:01:54,Zapravo sam slušao nekoliko predavanja koje ste održaliržali u kojima ste upoznali računalni svijet i ja.
0:01:54,0:01:54,Sigurno.
0:01:55,0:02:00,"To je za mene vrlo snažna priča, pa bih vam samo htjela reći kako ste uopće došli do toga."
0:02:00,0:02:03,"Dakle, mislim, počevši od mjesta gdje ste odrasli."
0:02:04,0:02:05,"Od samog početka, od samog početka."
0:02:05,0:02:16,"Dakle, odrastao sam u onome što se sada zove Južni LA u osamdesetima, što je bilo poznato kao neka vrsta grube i siromašne regije."
0:02:18,0:02:23,"I, u osnovi, bilo je to jadno vrijeme, i kod kuće i u školi."
0:02:23,0:02:29,"I jednog dana, moj učiteljica, gospođa Meade, došla je do mene i pitala me mogu li naučiti nešto o svijetu."
0:02:30,0:02:30,Što bi to bilo?
0:02:31,0:02:37,"Rekao sam joj da bih želio naučiti o računalima, što je stvarno čudno jer je to bilo 1986."
0:02:37,0:02:37,godine.
0:02:38,0:02:43,"U to vrijeme imao sam osam godina, ali čak ni odrasli nisu znali mnogo o računalima."
0:02:43,0:02:46,Kako ste znali o računalima?
0:02:47,0:02:48,To je stvarno čudno.
0:02:48,0:02:50,To je samo slučajna stvar.
0:02:51,0:02:55,"Čudno je da sam se puno šetao po susjedstvu, a kad se vratim, pomislim, što sam zapravo radio?"
0:02:56,0:03:01,I bilo je tu trgovina koja je prodavala tipkovnice Casio klavijature.
0:03:01,0:03:08,"Mogu svirati sve ove zabavne stvari, ne samo klavijature, mogu svirati trube i flaute i sve te druge instrumente."
0:03:08,0:03:09,"Oh, dobro, kao klavijature."
0:03:10,0:03:12,"Da, a rekli su mi: O, to su računala."
