Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:04,Dobrodošli u Launched.
0:00:04,0:00:10,"Ja sam Charlie Chapman i danas sam uzbuđen što ću vam predstaviti razvijatelja prekrasne aplikacije za vremenske pozore, LIMS-a, Eliz Killich."
0:00:23,0:00:26,"Eliz, hvala ti što si došla u emisiju."
0:00:26,0:00:27,Pozdrav.
0:00:27,0:00:29,"Hvala ti, Charlie, što si me primio."
0:00:29,0:00:39,"Dakle, originalna ideja za ovaj podcast zapravo je bila da ću, kad izađu nove aplikacije, pozvati ljude i pričati o njihovom lansiranju."
0:01:18,0:01:21,I jako sam uzbuđena što ste ovdje da o tome pričate.
0:01:22,0:01:23,"Da, hvala vam puno."
0:01:24,0:01:32,"Delimbs postoji već šest ili sedam mjeseci, pa možete reći da je nedavno pokrenut."
0:01:33,0:01:38,Mislim da je dobar kandidat za pokrenuti podcast.
0:01:39,0:01:44,"Dakle, da, hvala vam na lijepom povratnom informaciji o aplikaciji."
0:01:44,0:01:46,"Da, hvala vam što ste je napravili."
0:01:47,0:01:50,"Ali prije nego što se pozabavimo Delimsom, želim svima dati uvod u to tko ste."
0:01:50,0:01:54,"Dakle, tri pitanja koja postavljam svima su: odakle ste?"
0:01:54,0:01:57,Imate li formalno obrazovanje vezano uz ono što radite ovdje?
0:01:57,0:02:01,A kakva je bila vaša karijera prije nego što ste došli do LIMS-a?
0:02:01,0:02:02,Pozdrav svima.
0:02:02,0:02:07,"Kao što ste čuli, ja sam Ellis."
0:02:09,0:02:11,Došla sam iz Ankare u Turskoj.
0:02:11,0:02:19,Već više od deset godina sam razvijačica i imam diplomu iz računalnih znanosti.
0:02:20,0:02:30,"Zapravo sam voditeljica proizvoda za softver koji se zove Kubo u tvrtki Unscrambled, koja je američka tvrtka."
0:02:31,0:02:37,"Većinu vremena radim na prednjoj strani, ali LIMS je tvrtka koja se bavi računalnim znanostima."
0:02:37,0:02:38,Ovo je moj stranski projekt.
0:02:38,0:02:48,"Dakle, neko vrijeme radim na ovoj ideji i mislio sam da mi je ova aplikacija potrebna."
0:02:48,0:02:55,I tako nisam mogao pronaći ono što želim i jednostavno sam je napravio.
0:02:55,0:02:58,Jeste li prije radili na razvoju iOS-a?
0:02:58,0:03:02,"Zapravo sam, ali to je bilo pomoću React Native."
0:03:03,0:03:03,U redu.
0:03:04,0:03:07,"Dakle, prije nisam radio na razvoju Native-a."
0:03:08,0:03:09,To ima smisla.
0:03:10,0:03:13,Rekli ste da je ovo nešto što tražite za sebe.
0:03:13,0:03:15,Pretpostavljam da.
0:03:15,0:03:19,I zapravo bih vam trebao dati kratko uvodno pitanje o tome što je DLIMS zapravo.
0:03:20,0:03:24,"Dajem vam pitanje, a onda ću objasniti zašto mi tako dobro funkcionira."
0:03:25,0:03:27,"Da, DLIMS je postavka vremenskog pojasa."
0:03:27,0:03:31,"Dakle, potreba je zapravo došla od mene."
0:03:32,0:03:37,"Kao što sam rekao, radim u multinacionalnoj tvrtki."
0:03:37,0:03:47,"Dakle, imamo ureda u SAD-u, Indiji, Filipinima, Singapuru, Turskoj, na mnogo mjesta."
0:03:49,0:03:55,I svakodnevno radim s tim ljudima.
0:04:33,0:04:38,To je samo smanjena verzija mobilne aplikacije koju danas vidimo.
0:04:40,0:04:43,"Dakle, zapravo je to hrpa traka i linija."
0:04:44,0:04:55,Ali to se osjećalo tako ispravno da sam to želio imati na telefonima drugih ljudi i tako je došla DLIMPS.
0:04:56,0:05:12,"Da, i kao što ste spomenuli, postoje ove trake i ono što je nevjerojatno u tome je, mislim, kao i u većini aplikacija za vremenske zone, dobivate popis različitih vremenskih zona koje ste naveli i možete vidjeti, kao u mojoj, imam, znate, trenutno vrijeme, koje je srednja američka, a zatim vrijeme u Kaliforniji."
0:05:12,0:05:19,"Kalifornijski čas, a zatim Indija, Ujedinjeno Kraljevstvo, New York, Novi Zeland, a zatim Ankara, jer sam zapravo planirao zakazati ovaj poziv s vama."
0:05:19,0:05:26,"Ali ono što pokazuje, mogu odrediti koje su mi uređaje u svakoj od ovih zona važni."
