Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:02,Dobrodošli u Launched.
0:00:03,0:00:11,"Ja sam Charlie Chapman i danas sam uzbuđen što vam mogu predstaviti pisca i podcastera iza 512 piksela i mreže Relay FM, Stevena Hackett."
0:00:24,0:00:25,"Steven, dobrodošao u emisiju."
0:00:25,0:00:26,"Hej, hvala što si me primio."
0:00:27,0:00:34,"Osjećam se malo izvan svoje dubine, znaš, pričate s ljudima o brzoj korisničkoj sučelju i svim vrstama stvari."
0:00:34,0:00:35,Nisam vam ništa rekao na tom području.
0:00:35,0:00:40,Ti nisi tajni programer koji je bio u izradio aplikacije za brzu korisničku sučelje iza kulisa?
0:00:40,0:00:43,"Ne, nekoliko sam puta pokušao naučiti."
0:00:44,0:00:45,Nisam to radio ni u Swiftovoj eri.
0:00:46,0:00:51,"To vam govori koliko je to dugo prošlo, ali iz nekog razloga mi se to nikad nije svidjelo."
0:00:52,0:00:57,Također sam netko tko je stvarno imao problema u školi s stranim jezikom.
0:00:58,0:01:01,"Znate, znate, godina španjolskog ili bilo čega."
0:01:01,0:01:05,I stvarno sam se borio da bih se probio kroz to i bio sam dobar učenik.
0:01:06,0:01:06,I tako ne znam.
0:01:07,0:01:11,U svojoj glavi uvijek sam imao osjećaj da su te stvari na neki način povezane.
0:01:11,0:01:12,Ne znam.
0:01:12,0:01:13,To je stvarno zanimljivo.
0:01:13,0:01:25,"je jer imam osjećaj da svi uvijek spominju matematiku, a vjerojatno je polovica ljudi u emisiji u svojoj priči o podrijetlu rekla: Znaš, kao dijete nisam baš dobar u matematici, pa nisam mislio da ću se u to upustiti, a onda se pokazalo da mi se stvarno svidjela."
0:01:26,0:01:37,"I ja sam na neki način sličan, nikad nisam bio baš zaljubljen u matematiku, ali nikad nisam razmišljao da je možda više poput stranog jezika, jer sigurno učeš puno različitih jezika."
0:01:37,0:01:39,"Mislim, nemojte me krivo shvatiti, matematika je i problem."
0:01:41,0:01:42,"O, čovječe."
0:01:42,0:01:44,"Da, ne, definitivno nisi izvan svog okruženja."
0:01:45,0:01:47,"Zapravo, imao sam i druge voditelje u emisiji."
0:01:47,0:01:52,"Da, htio sam reći da je zli blizanci, ali to je strašna stvar koju bih rekao."
0:01:52,0:01:57,Mike Hurley je moj dragi prijatelj i volim ga i tako sam sretan što imamo zajedničku tvrtku.
0:01:57,0:02:09,"Sada, jedan od grešaka koje sada shvaćam da sam napravio jest da kad su ljudi, za one koji to ne znaju, vode Real Life i podcast mrežu, imate puno različitih podcastova."
0:02:10,0:02:12,A ja sam osoba koja sluša puno njih.
0:02:12,0:02:20,"Dakle, čuo sam vaš glas puno tijekom godina, ali sam jedan od onih čudnih ljudi koji slušaju podcaste velikom brzinom."
0:02:20,0:02:22,"O ne, zvučam pijan, zar ne?"
0:02:22,0:02:23,Baš to se događa sada.
0:02:24,0:02:26,To je kao da se igram s mozgom.
0:02:26,0:02:44,"Dakle, nešto što sam naučila vrlo rano jest da moram slušati epizode u normalnom brzini za ljude koje sam često slušala, kao cijelu epizodu prije nego što se uključim i pričam s nekim jer mi mozak treba malo vremena da se prilagodi i jednostavno ne shvaćam da zvučite potpuno pijan."
0:02:45,0:02:49,"I to je snimka kasno noću, što zbog razloga za vremenski zone obično ne radim."
0:02:50,0:02:54,I tako mislim da kombinacija tih dvaju čini da se osjećamo vrlo opušteno i mirno.
0:02:54,0:02:55,Sigurno.
0:02:55,0:02:57,Možda će to dati drugačiji osjećaj.
0:02:57,0:02:58,"Da, sasvim je suprotno."
0:02:58,0:02:59,Pila sam malo kofeina.
0:02:59,0:03:00,"Dakle, ovo sam ja."
0:03:01,0:03:06,Snimate mi se s brzinom od dvostruke brzine ili bilo čega što slušam na Connectedu.
0:03:06,0:03:06,Tako je.
0:03:07,0:03:08,"Da, ne mogu tako brzo slušati emisije."
0:03:09,0:03:10,Ne mogu tako brzo uređivati.
0:03:10,0:03:14,"Mislim, ja sam s juga, pa je možda samo zato što sam navikao da ljudi govore sporo."
0:03:14,0:03:16,Samo ne mogu dovoljno brzo razumjeti.
0:03:17,0:03:26,"Da, moje se uglavnom svodi na očaj, i na želju da slušam više emisija, a onda i na želju da se emisije uređuju brže, jer, naravno."
0:03:27,0:03:32,"Znate, sve što radim je nakon radnog vremena, pa da, uvijek pokušavam sve komprimirati."
0:03:32,0:03:36,"U svakom slučaju, prije nego što razgovaramo o pet stotina dvanaest piksela i Real Life M."
0:03:36,0:03:42,"Želim dobiti pozadinsku informaciju o vašoj karijeri koja je dovela do, ehm, posla koji radite."
0:03:42,0:03:45,"I tako, uvijek postavljam tri pitanja svima: odakle ste?"
0:03:46,0:03:48,Imate li formalno obrazovanje vezano uz ono što radite?
0:03:49,0:03:56,"A kakva je bila vaša karijera prije, recimo, pet, dvanaest piksela jer mislim da je to bila prva od tih dvaju."
0:03:57,0:03:59,"Da, to je, to je stvarno stara u ovom trenutku."
0:04:00,0:04:03,"Ehm, da, pa sam iz Memphisa, Tennessee, rođen i odrastao sam ovdje."
0:04:03,0:04:05,Pohađao sam fakultet ovdje.
0:04:05,0:04:10,Oženio sam se svojom srednjoškolskom ljubavnicom koja je također iz ovuda i nikad nisam živio nigdje drugdje.
0:04:11,0:04:13,Živim uglavnom petnaest minuta.
0:04:13,0:04:16,od roditelja i svekra i svih ostalih.
0:04:17,0:04:19,I to mi se stvarno sviđa i našoj obitelji.
0:04:20,0:04:23,Ja sam vrlo bliska obitelji i stvarno volim biti ovdje.
0:04:25,0:04:30,"I to definitivno nije grad koji se bavi tehnologijom, zar ne?"
0:04:30,0:04:36,"Ima neku vrstu tehnološke scene, ali ne mislim da se baš uklapa u nju."
0:04:36,0:04:40,To je više poput vibracije za prostor za stvaranje.
0:04:40,0:04:42,I to jednostavno nije ono što me nužno zanima.
0:04:42,0:04:49,"Dakle, nema baš tehnološke zajednice u kojoj sam odrastao ili sam je zaista poznavao."
0:04:49,0:04:54,Ali došao sam do onoga što radim sada kroz novinarstvo.
0:04:55,0:04:58,"Dakle, u srednjoj školi radio sam na novinama."
0:04:59,0:05:05,"Tamo sam prvi put upotrijebio Mac, a zatim sam stekao diplomu iz novinarstva na Sveučilištu u Memphisu."
0:05:06,0:05:10,"Kad sam počeo školu, mislio sam da želim raditi na grafičkom dizajnu."
0:05:11,0:05:13,To me je zaista zanimalo u srednjoj školi.
0:05:13,0:05:15,I iz više razloga to nije uspjelo.
0:05:15,0:05:22,"Dakle, nakon dvije godine studija promijenio sam studij i umjetnička škola na Sveučilištu u Minnesoti bila je jako intenzivna."
0:05:23,0:05:25,I tako nisam imao toliko generacije X.
0:05:25,0:05:28,"Mnogo je generacijskih predmeta, znate, poput predmeta koje svi moraju pohađati, zar ne?"
0:05:28,0:05:30,Kao da svi moraju pohađati sociologiju ili bilo što drugo.
0:05:31,0:05:32,Svi su me sociolozi sada ljuti.
0:05:33,0:05:34,"Žao mi je, svi šest vas."
0:05:35,0:05:41,"I tako sam zapravo počeo studirati nakon dvije godine, što nije bilo dobro, ali tako je."
0:05:42,0:05:47,"Ali radio sam za sveučilišni časopis, bio sam urednik tamo dugo vremena."
0:05:48,0:05:56,"I tako, da, uvijek sam bio zainteresiran za korištenje tehnologije za komunikaciju."
0:05:57,0:06:01,"Znam da je to prilično opće, ali i to sam rekao."
0:06:01,0:06:07,"i na drugim mjestima, ali stvarno sam volio osjećaj objavljivanja i nisam jedini u tome."
0:06:07,0:06:12,Mnogi ljudi vole taj dopaminski udarac kad pritisnete objavi ili pošalji ili bilo što drugo.
0:06:12,0:06:19,I samo da mogu imati ideju ili neku vrstu kreativnosti i onda je staviti u ruke grupe ljudi.
0:06:20,0:06:28,"Dakle, u srednjoj školi i fakultetu to su bili moji kolege i ljudi s kojima sam pohađao školu čitali su novine, zar ne?"
0:06:28,0:06:30,Kao što je to bilo u srednjoj školi ili fakultetu.
0:06:30,0:06:31,Uvijek sam mislio da je to stvarno cool.
0:06:31,0:06:36,"Neka vrsta tkanine kroz školsku organizaciju, osjećam se kao da je to bilo često."
0:06:37,0:06:37,Da.
0:06:39,0:06:47,"I bilo je jednostavno, bilo je cool, znaš, ući u kavanu na kampusu i svi su čitali sveučilišni list koji sam osmislio."
0:06:47,0:06:52,"I, znaš, otišao sam spavati četiri sata ranije, znaš, jer smo cijelu noć bili budni radeći to."
0:06:52,0:06:58,Jer smo objavljivali četiri puta tjedno i cijelu noć sam bio budan radeći to.
0:06:58,0:07:00,A ti su bili fizički ispisani?
0:07:00,0:07:04,"Da, fizički ispisani i dostavljeni na kampus do šest ujutro."
0:07:04,0:07:05,"O, čovječe."
0:07:05,0:07:08,I mogao si samo dobiti list na putu u nastavu ili bilo gdje.
0:07:08,0:07:11,"I imali smo web-stranicu, ali zapravo nismo ništa radili s njom."
0:07:11,0:07:15,"Mislim, počeo sam stud fakultet 2004., pa je to već neko vrijeme."
0:07:16,0:07:18,To je bilo prije nego što su društvene mreže postale stvar.
0:07:18,0:07:26,"Sjećam se kad je Facebook postao dostupan Sveučilištu u Tennesseeju prije nego što je došao na Sveučilište u Memphisu, bili smo poput, u gadu, zašto ne možemo biti na Facebooku?"
0:07:27,0:07:28,I konačno smo ga dobili.
0:07:28,0:07:32,To je bilo prije nego što smo svi znali da će to dovesti do propasti društva.
0:07:32,0:07:49,"Ali, da, pohađao sam školu ne znajući što želim raditi, samo znajući da želim raditi nešto kreativno, novinarstvo, nešto što se više fokusira na produkcijsku stranu nego na pisanje."
0:07:49,0:07:51,U srednjoj školi nisam puno pisao.
0:07:51,0:07:55,"Počeo sam pisati na fakultetu, ali stvarno sam volio stvarati."
0:07:55,0:08:02,"Stvaranje znači fizički objekt ili ga postavljanje i otkrivanje tko piše što, takve stvari."
