Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:03,Dobrodošli u Launched.
0:00:03,0:00:24,"Ja sam Charlie Chapman i danas sam uzbuđen što ću vam predstaviti Daniela Gauthiera, izvođača koji stoji iza predivne aplikacije Countdown."
0:00:24,0:00:25,"Daniel, dobrodošao u emisiju."
0:00:25,0:00:27,"Hej, hvala ti što si me primio."
0:00:27,0:00:35,Ovo će biti čudno jer obično imam ljude i često je to prvi put da ih upoznam izvan Twittera ili nešto slično.
0:00:35,0:00:37,Već smo razgovarali.
0:00:37,0:00:40,I također sam vas pratio tijekom cijelog procesa izrade ove aplikacije.
0:00:40,0:00:42,Vrlo sam uzbuđen.
0:00:42,0:00:46,"Tako da sam se veselio snimanju ove epizode, osjećam da je to bilo jako dugo."
0:00:47,0:00:48,Zato sam uzbuđen što ću se uključiti u to.
0:00:49,0:00:52,Morat ću se pobrinuti da vam ne pričam sve iste priče koje sam vam prije ispričao.
0:00:53,0:00:55,"Bit će malo komplicirano, ali ćemo to riješiti."
0:00:55,0:00:56,"Da, riješit ćemo se."
0:00:57,0:01:02,"Ali prije nego što se pozabavimo Up Aheadom, dajmo svima drugima uvod u to tko ste."
0:01:02,0:01:05,"Dakle, tri pitanja koja uvijek postavljam svima su: odakle ste?"
0:01:05,0:01:08,Imate li formalno obrazovanje vezano uz ono što radite?
0:01:08,0:01:11,A onda možemo razgovarati o vašoj karijeri prije Up Ahead.
0:01:11,0:01:11,Da.
0:01:12,0:01:17,"Prvo, ja sam iz Ottawe, koja se nalazi u Ontariju, u Kanadi."
0:01:17,0:01:19,"Odrastao sam ovdje, sada živim ovdje."
0:01:20,0:01:24,"To je svojevrsna prijestolnica Kanade, ali je to svojevrsna srednja gradska."
0:01:25,0:01:34,"Da, tako da sam odrastao u Ottawi, završio sam školu u jugozapadnom Ontariju, u blizini Toronta, u školi Western u Londonu, Ontario."
0:01:35,0:01:38,"A onda sam neko vrijeme živio u Torontu i oko njega, ali sam se vratio ovdje."
0:01:38,0:01:40,Još uvijek imam puno obitelji i prijatelja ovdje i slično.
0:01:40,0:01:42,"Dakle, da, to je gdje sam sada."
0:01:42,0:01:45,"Što se tiče obrazovanja, mislim da sam se dotaknuo toga."
0:01:45,0:01:49,"Na Westernu sam studirao, studirao sam neku čudnu dvostruku glavnu predmete."
0:01:49,0:02:04,"To je bilo svojevrsna čudna dvostruka studija informatike i diploma popularne glazbe, koja nije bila tradicionalna, usmjerena na izvedbu, već je više bila o glazbenoj produkciji i povijesti glazbe i kulturnim utjecajima glazbe."
