Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:04,Dobrodošli u Launched.
0:00:04,0:00:10,"Ja sam Charlie Chapman i danas sam uzbuđen što vam predstavljam razvijača koji je izradio aplikaciju za fotografiranje profila AI-ja, Ronnieja Fidela."
0:00:24,0:00:25,"Ronnie, dobrodošao u emisiju."
0:00:26,0:00:26,"Pozdrav, Charlie."
0:00:26,0:00:27,Hvala ti što si me primio.
0:00:27,0:00:28,Hvala ti što si došao.
0:00:28,0:00:36,"Zapravo smo razgovarali prije mjesec dana kad smo razgovarali o tome da napravimo emisiju, ali u smislu rasporeda, malo pogledajte iza kulisa."
0:00:36,0:00:40,Mi se nekako okrećemo blagdanima i odmorima i slično.
0:00:42,0:00:44,"Ovu kategoriju umjetne inteligencije, kako je zovete?"
0:00:44,0:00:50,"Kao što znate, chat GBT kao i sve ostalo što se tiče stabilnog difuzije, zovete je samo umjetna inteligencija?"
0:00:50,0:00:50,Ima li ime za to?
0:00:51,0:00:54,Mislim da biste je možda htjeli nazvati generativnom umjetnom inteligencijom?
0:00:54,0:01:00,"Generativna, u redu, jer je umjetna inteligencija poput, čini se starijom i širej kategorijom od ovih stvari."
0:01:00,0:01:01,Mhm.
0:01:01,0:01:01,Da.
0:01:02,0:01:09,"Ali, kao što se ovaj prostor kreće tako nevjerojatno brzo da nisam htio snimati rano kao što često radim za ovu emisiju."
0:01:09,0:01:11,"Dakle, ovo je prva nakon pauze."
0:01:12,0:01:13,Zato sam uzbuđen što ste ovdje.
0:01:13,0:01:15,"Da, bilo je divno, zar ne?"
0:01:16,0:01:21,"O tome što se događa iza zavjesa, razgovarali smo o tome prije mjesec dana i još uvijek se brzo događa."
0:01:21,0:01:24,I dalje se svakog tjedna mijenja.
0:01:24,0:01:31,Osjećam da svi samo nastavljaju dohvaćati sve što je novo.
0:01:32,0:01:37,"Da, bilo je divno i mislim da će i dalje biti divno u predvidivoj budućnosti."
