Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:06,"Imamo aplikaciju pod nazivom Cassible Pro Webcam, koja je bila naša preokretna točka u panici COVID-a koja je zapravo spasila tvrtku."
0:00:07,0:00:07,Wow.
0:00:07,0:00:09,Moramo se u to upustiti.
0:00:09,0:00:13,"Srećom, to je bila slučajna, odlična poslovna odluka prije mnogo godina."
0:00:14,0:00:17,Uključio sam logiku veze s kamerom i slično u svoj vlastiti okvir.
0:00:18,0:00:19,To je još jedan izvor prihoda za tvrtku.
0:00:19,0:00:20,Kao što smo licencirali.
0:00:21,0:00:26,"Rekli smo: O, mogli bismo upotrijebiti SDK za izradu virtualne webkamere na Macu."
0:00:26,0:00:29,"Dakle, možete povezati svoju kameru i onda je to webkamera."
0:00:29,0:00:32,"Dakle, od ideje do novca trajalo je tri tjedna i jako sam ponosan na to."
0:00:33,0:00:34,To je ispunilo rupe u prihodima.
0:00:34,0:00:35,Dobrodošli u Launched.
0:00:35,0:00:37,Ja sam Charlie Chapman i danas sam uzbuđen.
0:00:39,0:00:56,"što vam predstavljam Daniela Kennetta, izvođača izvrsne aplikacije za fotografiranje Caskable."
0:00:56,0:00:57,"Daniel, dobrodošao u emisiju."
0:00:58,0:00:58,Hvala ti.
0:00:58,0:00:59,Drago mi je da sam ovdje.
0:00:59,0:01:03,"Prije nekoliko tjedana provodili smo malo vremena u Chicagu, zar ne?"
0:01:03,0:01:04,Za Deep Dish Swift.
0:01:04,0:01:06,A vi ste bili govornik tamo.
0:01:06,0:01:12,"I neko vrijeme ste bili najzabavniji, s velikom razlikom."
0:01:12,0:01:14,"Chad Etsel, također je bio gost emisije prije dugo vremena."
0:01:15,0:01:18,Došao je u posljednji trenutak i natječe se s vama.
0:01:18,0:01:22,To su bili neki od najzabavnijih predavanja koje sam ikad vidio.
0:01:22,0:01:24,To je bio moj omiljeni govor na toj konferenciji.
0:01:24,0:01:25,Bio je tako dobar.
0:01:25,0:01:27,Toplo preporučujem da ga ljudi pogledaju.
0:01:27,0:01:40,"Dakle, da, jako sam uzbuđen što ste ovdje čim sam to vidio i iskreno, čim sam vidio ili slušao podcast koji ste napravili prije te konferencije koju održavaju, pomislio sam, dobro, vrijeme je."
0:01:40,0:01:43,Dugo ste bili na mom popisu i moramo to ostvariti.
0:01:44,0:01:46,I tako sam sretan što ste konačno ovdje.
0:01:46,0:01:46,Hvala.
0:01:46,0:01:48,Drago mi je da sam ovdje.
0:01:48,0:01:48,Da.
0:02:24,0:02:26,Fotografima se sviđa automatizacija ovoga i onoga.
0:02:26,0:02:35,"Dakle, to je poput profesionalnijeg, znate, naprednih, amaterskih fotografa koji ga koriste, posebno za astrofotografiju i slično."
0:02:35,0:02:43,To je alat u tom području za napredne amatere i profesionalne fotografe koji mogu učiniti više s kamerom nego što mogu s onim što dolazi s njom.
0:02:43,0:02:43,Savršeno.
0:02:43,0:02:48,"I, uh, u redu, pogledajmo, znate, kako ste završili s izgradnjom ovih aplikacija."
