Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:13,"Dame i gospodo, moje ime je Vinko, a vi slušate LOOT podcast, mjesto gdje istražujemo koncept uspjeha sa ljudima iz raznih životnih polja, otkrite ideje i akcije koji ih vode na njihovom autentičnom putu."
0:00:14,0:00:27,"Gost ove emisije je Nikola Stolnik, gamer, e-sport entuzijast, CEO tvrtke Good Game Global i samoprozvani antimotivacijski govornik."
0:00:28,0:00:43,"U ovoj epizodi razgovarali smo o tranziciji iz uloge zaposlenika u onu poduzetničku koja vjerujem je zanimljiva velikom broju slušatelja, služitelja i isto tako pričali smo o mentalnom sklopu koji je potreban da bi se postigao uspjeh u biznisu."
0:00:44,0:00:55,"Razgovarali smo i o mnogim drugim zanimljivim i edukativnim temama i nadam se da će vam sadržaj biti koristan, stoga uživajte u još jednoj epizodi Lud Potkesta."
0:00:56,0:00:58,"Nikola Stolnik, kako si šta ima?"
0:00:59,0:01:01,"Evo Vinko, malo došao, hvala ti na pozivu."
0:01:01,0:01:11,"Malo dobro došao ti kod mene, kako ti izgleda ovaj, da li se osjećaš lijepo u mojoj dnevnoj sobi, u tvojoj jazbini, u brlogu u mojoj jazbini, da."
0:01:12,0:01:13,"Supere, baš je lijepo."
0:01:15,0:01:19,I setup tehnički je dobro napravljen i ambient je onako topao.
0:01:20,0:01:35,"Znaš šta, prvih par podcasta koje sam snimao sam radio u audio formatu, po meni isto nekakva novina, sad ovako tu dva neka čovjeka nas gledaju iza ovih kamera, puno je to nekakve rasvjete pa mi je ovo nešto novo."
0:01:35,0:01:36,Iza svojih masaka.
0:01:37,0:01:38,Šta kažeš iza?
0:01:40,0:01:54,"Iza maske da, mislim čisto da civilna zaštita zna, testirali smo se svi na koronu prije, svi smo negativni, safety first, ovaj, kakav si, kakav ti je bio dan?"
0:01:55,0:02:01,"Pa dobar, evo upravo sam došao od direkcije posla, imali smo danas nekakve sastanke, početak je godine pa onda smo još u planiranjima."
0:02:02,0:03:00,"Htio bih reći da smo planiranje odradili u četvrtom kvartalu za dvije tisuće dvadeset jedan ali bi žestoko lagao jer smo bili onako u high lifeu nekakvog operativnog moda poslovnog ovaj za kraj godine na kraju godine nas je najviše udarilo ovaj imali smo taj period od osam vikenda bez prestanka puno radno vrijeme, znači sedam dana za redom i to nas je sve maksimalno iscrpilo i onda ono kada je došao Božić kada je sve to stalo mogli smo se mi nalaziti i planirati, raditi naš crtice, skice kako će izgledati dvadeset jedan ali sam rekao svima ljudi iduća dva i pol tjedna ne želim nikog vidjeti tako da ovaj tek sada radimo taj posao koji smo trebali raditi u dvanaest mjesecu skiciramo planiramo ovu godinu gledamo koje projekte bi radili u kojim smjerovima bi se razvijali tako da dosta su intenzivni dani ali su zabavni to je meni najzabavnije je planirat naša onda izjedva je teška to je onda dolazi ona frustracija i stres."
0:03:01,0:03:14,"Tako da je bio dosta zanimljiv dan, digo sam se kad god mi se ustajalo negdje tamo šta ja sam oko pola devet došao na posao, odradio i eto me sad tu."
0:03:14,0:03:18,Nekako smo odmah uletili u žiču događanja u sadašnjost.
0:03:20,0:03:30,"Možemo reći možda ljudima onako da dobiju nekakav dojam s čim se trenutno baviš, hoćemo pokušati vratiti priču unazad deset i petnaest godina dvadeset vidjet ćemo dokli ćemo daleko ići."
0:03:32,0:03:39,"Tvoja je zona komfora dobro nema, nema reke trenutno se bavim time da imam svoju firmu koja se zove Good Game Global."
0:03:40,0:03:43,Bavimo se e-sportom i gamingom.
0:03:43,0:03:50,Neko smo si dali krilaticu da je to e-sport development company gdje se firma zove?
0:03:50,0:04:04,"Good Game Global gdje u stvari mi koristimo mediji videoigara za promociju brendova, recimo to tako da smo mi gaming marketinška agencija."
0:04:06,0:04:12,"To sada uključuje razne projekte, prvo su to bili eventi što sada više nije moguće trenutno."
0:04:13,0:04:14,ili su baš fizički eventi.
0:04:15,0:04:31,Baš fizički eventi gdje ti je sve krenulo sa pričom da sam odlučio testirati koncept eventa na kojem kompanije šalju svoje zaposlenike tojest svoju reprezentaciju i onda se kompanije međusobno natječu u igri Counter-Strike.
0:04:32,0:04:55,"I mi smo ti to radili tipa u Jadranom filmu u MSU na tim venijima srednje veličine gdje je bilo došlo ne znam par tisuća ljudi da gledati svoje kolege kako prebijaju kolege iz druge firme tipa ne znam nama biti protiv Impina, Marimac protiv ne znam nekog tamo trećeg, infobipel, koja god, i to je pogodilo nekakvu nišu koja je super funkcionirala."
