Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:08,"Daniel, Bog, ali prvo ajde živio, već kad si ti popio, popit ću ja živio."
0:00:11,0:00:12,Da razgovor bude lakši.
0:00:13,0:00:14,"Da razgovor bude lakši, da."
0:00:14,0:00:15,Da pitanja budu lakši.
0:00:17,0:00:24,Prvo ti želim zahvaliti što si se odazvao pozivu da sudjeluješ u Lud Potkestu.
0:00:26,0:00:26,Hvala na pozivu.
0:00:27,0:01:19,"I da naravno zajedno pokušamo pomoći ne samo mladim osobama u Hrvatskoj nego i recimo osobama naših godina u tridesetima, čak možda i četrdesetima, ja ne vjerujem baš previše u taj koncept da je nešto prekasno, tako da ako se netko slučajno nađe i da je stariji i vi ste isto pozvani i dobrodošli, da malo zajedno pomognemo dati inspiraciju nekim ljudima koji žele ići na nekakav možda malo hrabri u stazu svog života kao što si ti se odlučio prije dvanaest godina, a isto tako i da pomognemo možda dati nekakve korisne praktične savjete ljudima kako bi krenuli bolje na taj put i jako su na tom putu da im pomognemo da bude uspješniji."
0:01:22,0:01:38,"Hvala na pozivu zbilja i evo veliko mi je zadovoljstvo biti ovdje i stvarno baš smo pričali prije, ali nekako sam pratio potke se stvarno na jako visokoj razini tako da mi je i čast biti ovdje i nadam se da ćemo super razgovor imati i da ćemo pomoći u ovome što si rekao."
0:01:39,0:01:41,"Ja sam siguran, ja sam siguran."
0:01:43,0:01:54,Uglavnom nekako počinjem pa ajde kratko ćemo tako proći par kratkih crtica tvoje nekakve background priče.
0:01:56,0:02:22,"Dosta mi je uvijek zanimljiv taj dio i odrastanja i tog formalnog sustava obrazovanja, kakav je tvoj odnos bio ili koje si recimo možeš pouke izvući kroz te ranije godine, kroz odgoj, kroz formalni sustav obrazovanja i šta misliš, kako ti je taj dio života pomogao da danas budeš tu na ovom mjestu na kojem jesi sada."
0:02:22,0:02:24,Pa samo reci koliko široko hoćeš.
0:02:25,0:02:41,"Kol Evo šta ti misliš, kad bi neke highlighte izdvojio i kada bi se onako mogao prisjetiti jedne stvari možda da ne idemo dalje koja misliš da ti je pomogla da budeš sada tu gdje jesi da možeš živjeti ovakav život?"
0:02:42,0:02:59,"Pa ima više stvari, dakle, mislim moj put je nekako krenuo u srednjoj školi, recimo tu sam jako zahvalan, bio sam u Mijeću tada, recimo što je Mijeć nekako jako forcirao da ono u čemu si dobar, da stvarno budeš vrhunski, a ono u čemu si loš da te ne opterećuju previše i to mi se super pristup."
0:02:59,0:03:09,"Meni su jezici uvijek jako loši,še išli, ali uštali su mi da imam trojku, a recimo matematika i informatika mi je išla brutalno i tu su mi pomogli da odem do državnog iz matematike i sl."
0:03:09,0:03:11,što mislim da je isto jako velika stvar.
0:03:11,0:03:13,Tako da to je jedna stvar koja mi je bila jako važna.
0:03:14,0:03:20,Drugo zapravo što mislim da je bilo meni jako pomoglo da sam jako rano počeo nešto raditi.
0:03:20,0:03:24,I zapravo sam ja u srednjoj školi počeo raditi neke web stranice.
0:03:24,0:03:38,"Mislim danas je to puno lakše, tada je ipak bilo malo teže napraviti web stranicu, ali zapravo sam ja ono već sa ne znam 17 godina, 16 godina imao nekakvu iskustvo da sam nešto radio, pa čak sam i naplatio to, ne znam, mislim da je bio prvi posao jedna tisuća kuna."
0:03:38,0:03:42,"Mislim, nema veze, meni je to bilo ono ogromno, ogromno za sedamnaest godina."
0:03:44,0:05:33,"Tak nešto je bilo i sjećam se to je bio neki posao na Ugljanu sam dogovorio za nekakav hotel da napravim web stranicu jedna tisuća kuna na kraju kad sam zbrojao kao koliko sam puta morao putovati na Ugljan i nazad i da sam više potrošio na putovanje nego što sam zaradio ali nema veze, ne, to je super nekakvo iskustvo tako da zapravo mislim da je to ono mi je bilo jako dobra stvar kojoj nisam odlučila i tako je ispala a treća stvar zapravo da moj poduzetnički put je isto tako nekako brzo krenuo dakle nisam ja otvorio firmu, tada se zvala i Studio, ne Gordian, sa dvadeset dva godine kao ono, igrao sam igrice cijeli dan i odjednom sam otvorio firmu nego sam zapravo ja pokušao već prije imao nekakvih tri četiri pokušaja koji nisu uspjeli i onda sam uspio iz pete i zapravo svaki taj pokušaj koji sam imao prije bio loš a svaki taj pokušaj mi je pomogao da prepoznam neke probleme i da idući bude malo bolji pa idući put je opet bio loš pa opet bio loš negdje iz pete je bio dobar tako da mi se to isto super stvar bila da sam krenuo nekako što prije i onda što prije zapravo došao do nekakvog dobitnog modela i zapravo da smo onda otvorili firmu kad smo imali dvadeset dva godine što je isto mislim da je bilo rano i mislim da je jako fora taj koncept studentskog poduzetništva i to recimo jako često pričamo o tome nekakvi je bar moje generacije bilo vrijeđeno ja sam ferovac bio kasnije i ona krpa ljudi je rekla kao joj ja bih htio biti poduzetnik ali kao idem ja završiti faks pa ću onda radit dva tri godine pa kao kad nešto naučim onda ću zapravo se samostalit ali to jako često ono ne bude tak jer ne znam recimo kad ti počeš radit kad počeš imati nekakvu plaću pa ne znam se oženješ imaš djecu kredite i onda onako jako ti je teško iz tog sigurnog ekosustava otići nešto riskantno što možda uspije, možda ne."
0:05:33,0:05:47,"A kad si ti student, dakle ja sam tu iz Zagreba, živio sam sa roditeljima, dobivao sam džeparac od njih i realno to što sam ja radio, ako uspije super, ako ne uspije to mi je ono kao neka izvan nastavna aktivnost, dakle ništa ne bi fulio."
0:05:48,0:05:57,"Ja doslovno kad je firma nastala prvih šest mjeseci nisam si ni kunu plaće isplatio, onda sam si isplatio minimalac tipa 3500 kuna, ali sam si ja to mogao priuštiti."
0:05:58,0:06:00,Recimo danas nema šanse da bi mogao sa takvim novcem živjeti.
0:06:01,0:06:14,"I to isto mislim da recimo meni je bila sreća, ali svima koji su mladi preporučujem zapravo što prije krenu, čak ako ne uspješ puno ćeš naučiti iz toga, tako da evo to su neki ubrzo, mogu ja nastaviti."
0:06:16,0:06:26,"U tom konceptu recimo studentsko poduzetništvo nekako kad u tom periodu života se odlučiš na tako nešto, vi upside je velik, downside možda i nema toliko puno."
0:06:29,0:07:03,"Baš smo pričali nedavno s kolegama o tom konceptu, zapravo u Hrvatskoj koliko se meni čini iz mog iskustva, možda ćeš me ti ispraviti, možda ti imaš drugačiju nekakvu percepciju, čini mi se da je vrijednost sigurnosti jako, jako visoka na ljestvici prioriteta nekako u Hrvatskoj i čini mi se da je to nešto što ljude odvraća od te ideje možda da se okuraže i da preuzmu nekakav rizik i da uđu u to poduzetništvo."
0:07:04,0:07:19,"U ovom recimo slučaju dok se radi o mladoj osobi ili kraj srednje škole, fakultet itede još dok imaš taj sport taj suport, onaj nekakav, taj safety net od roditelja onda je puno, puno nekako jednostavnije."
0:07:20,0:07:40,"Da li se ti slažeš sa mnom da, da, da, da, da ako recimo možda izuzmemo studente, da je u Hrvatskoj, kad bi kroz tu prizmu poduzetništva promatrali, da je vrijednost sigurnosti dosta visoko na prioritetima i da možda ljude odvraća od te ideje."
0:07:40,0:07:52,"I kako bi ti, ako možeš hipotetski razmisliti, kako bi ti danas, ne znam, da li imaš ženu ili djecu od taj dio nisam istražio."
0:07:55,0:08:03,Kako bi se danas odlučio recimo na tako nekakav put u odnosu na onaj koji si imao recimo za vrijeme studija?
0:08:04,0:08:23,"Pa se apsolutno slažem s tobom i mislim da je u Hrvatskoj još uvijek preveliki strah od poduzetništva odnosno neizvjesnosti nekog rizika iako mislim da jako napredujemo i mislim da recimo danas je već puno bolja situacija ne naspram prije petnaest godina, dvanaest godina ali mislim da recimo ni blizu ko u jednoj Americi."
0:08:24,0:08:40,"Ja se uvijek sjetim tu dva primjera, recimo ja držim često predavanja na FAQ-u, recimo ekonomija po poduzetništvu i onda ih uvijek pitam kao dobro ono koliko od vas razmišlja kao u nekakvom poduzetništvu, imaš dvoranu od tipa sto ljudi i ona tipa jedna osoba diže ruku što je onak jako mali postotak."
0:08:40,0:09:04,"Recimo kad slušaš predavanje na Stanfordu i onda dođe neki ne znam tamo poduzetnik ili šta već priča i kad ti gledaš pitanja koje dolaze iz publike, onakva sva pitanja su već kao ono evo ja imam firmu pa zaposlio sam prvih deset ljudi jel nisam sad siguran kako ne znam nešto, onda dođe neki drugi i kaže evo ja sam sad re rezio prvih pet milijuna dolara investicije, pa opet koji su mi idući koraci."
0:09:04,0:09:13,"Kad ti vidiš naprosto tu razliku u pitanjima, ono ogroman je nekakav disbalans i mislim da je naprosto u Hrvatskoj još uvijek prevelik strah od toga."
0:09:13,0:09:32,"Mislim da se stvari mijenjaju, mislim da je to jako dobro i mislim da evo svi koji slušaju, ja bi stvarno preporučio da ono to nije nekakav bauk, dakle stvarno ima ono toliko prilika, pogotovo u Hrvatskoj, ono tu još nema hrpa, hrpa stvari pokrivenih, ima toliko prilika, naprosto treba probati."
0:09:32,0:09:47,"I zapravo ti kad probaš, ako uspiješ, mislim super, ti si uspio, ti si nekakva uspješna priča i slično, ali čak i ako ne uspiješ, onda to je takva nekakva avantura, ti ćeš toliko puno naučiti u tome, mislim da ti je puno vrijednije nego ono nekakva faks ili nekakva škola."
0:09:48,0:10:15,"I zapravo ako ne uspiješ, mislim da puno lakše možeš neki posao kasnije, tako da se apsolutno slažem s tobom, ne znam koja je dobitna formula da taj strah pre, kako se to kaže, da se prijeđe, ali vidim da se gibamo, ali mislim da je to čak i ona malo politička situacija, mislim mi smo ipak u devedeset tek ono neki pravi kapitalizam počeli imati i ono treba generacije i generacije da stvarno dođemo na razinu jedne Amerike danas?"
0:10:16,0:10:28,"Dobro, čini mi se zapravo da možda u Americi i kroz mainstream mediju, a možda i kroz nekakve alternativne medije se jako puno pričalo o poduzetništvu."
0:10:29,0:10:40,"Danas u Americi po meni status poduzetnika, uspješnog poduzetnika je kao nekad prije status svjetske rog zvijezde."
0:10:41,0:11:08,"To se sada izjednačilo što prije trideset četrdeset pedeset godina nije bio slučaj i sada recimo evo ovaj podcast koji ja radim osim što ima taj fokus generalno na self improvement, na nekakav rad na sebi, to je baza, baza, nekakva osnovna vrijednost, rad na sebi, jako puno je tu fokus i na poduzetništvo i na biznis jel."
0:11:10,0:11:22,"I jako puno ljudi, sad mogu tako reći puno, ali evo nekolicina ja primjećujem, pa pretpostavljam da i neki drugi isto primjećuju, ognjem bagati ne recimo radi sad onaj poduzetnički mindset."
0:11:24,0:11:49,Mislim da je bitno čak i kroz alternativne medije ako već ovi mediji koje mi plaćamo kao što je haerte ako oni nemaju dovoljan broj emisija o poduzetništvu ne samo i edukativnog karaktera ali ja mislim čak da je bitno da budu čak i nekakve emisije i nekakav sadržaj i čak i možda i onako kombinacije zabavnog i edukativnog karaktera.
0:11:50,0:12:27,"Ne znam šta misliš da se u prostoru više priča o poduzetništvu i da ljudi dobiju to nekako osnovno znanje i nekakve ideje da steknu kako krenuti u tu priču i da ne mora to biti tako ni crno-bijelo nego jednostavno možeš uz svoj posao recimo možeš paralelno uz to krenuti i raditi nešto posljepodne i koračiti uz to pa se u isto vrijeme educirati malo o poduzetništvu, malo to što si naučio i prakticirati u životu pa ćeš možda doći do te prilike."
0:12:29,0:12:33,"Da li misliš da fali takvog sadržaja možda, a ti čak i predaješ na fakultetima si rekao?"
0:12:34,0:12:59,"Pa slažem se s tobom i mislim da to velikaiki doprinos, mislim ne samo bagatino, nego i ovog podkesta i takvih aktivnosti ima sve više i mislim da se cijeli taj nekakav ekosustav diže, koji stvarno mislim da je bitan, jer zapravo je nekakav lakše biti poduzetnik kada već ima i drugih poduzetnika i drugih nekakvih mjesta gdje možeš nešto naučiti, čuti i mislim naprosto puno lakše."
0:12:59,0:13:12,"A isto što mislim da zapravo jako dobro za poduzetništvo je uspješni primjeri, jer nekako se sjećam, evo kad smo mi kretali prije 12 godina, tada ono kad si bio poduzetnik je bila nekakva priča ili si nečiji ili..."
0:13:12,0:13:18,"ili preko veze dobivaš posao ili propadneš, a da, takvi u Hrvatskoj."
0:13:18,0:13:29,"Dakle, automatski ako si bio uspješan moraš biti ili nečiji ili si trebao biti preko veze, a ako nisi uspio je bilo kao, a dobro, probosti to je Hrvatska, ono naprosto nisi uspio."
0:13:29,0:14:02,"No sad mislim da ima sve više fenomenalnih primjera koji su pokazali da ono nisu ničiji, da su od nule napravili ono super uspješne priče, ne znam, evo Primat, Sinfobit, Pnanobit, sad sve ne nabrajam, ono to su fenomenalne priče, koje mislim da ipak pokazuju da ono u jednoj Hrvatskoj možda napravi nekakav globalni uspjeh, jedna fenomenalna stvar i mislim da je to super poruka i mislim da je to ipak super ohrabrenje, tako da mislim stvarno da se gibamo na bode, ali nismo tamo gdje trebamo biti."
0:14:03,0:15:02,"A kad još malo bi se zadržao na poduzetništvu, okej, čini mi se da zapravo sve ove stvari, težnja sigurnosti, možda nedostupnost nekakvih informacija, isto otežava, možda, okej, sad si rekao da primjeri u uspješnih tvrtki i vlasnika tih tvrtki SIO-a isto nam počinju dolaziti u nekakav naš eter, ali nekako mi se čini da najveća kočnica ljudima u toj akciji recimo, sad ne znam da li su samo te stvari nekakva blokada toj akciji, ne znam kako bih ti rekao, recimo dok sam bio mlađi jako sam puno razmišljao o nekim stvarima i analizirao."
0:15:02,0:15:22,"I sad me zanima da nam ti kažeš iz svog primjera, ok, ti kad si bio mlad si imao nekakvu ideju, neku web stranicu, iz tvoje priče sada i posjećaja koji imam, mi se čini da ti nisi previše to analizirao nego si samo jednostavno došao, došla je ta ideja i ti si brzo od ideje došao, prešao u akciju nekakvu."
0:15:25,0:15:39,"Šta te ljude spriječava da, mislim, nisi to nekakvi megalomanski potezi nego ono, radiš, koračaš, koračaš, koračaš i svakog tog pokušaja i svake te pogreške, nešto naučiš i ideš dalje?"
0:15:40,0:15:45,"Ja mislim da je najbitnije nekako ono, naprosto početi nešto raditi."
0:15:45,0:15:54,"Mislim, isto moja obitelj nije poduzetnička obitelj, dakle, praktički ja sam prvi koji je krenuo u nekakvo poduzetništvo, tako da nije da je meni to prirodno bilo nametnuto."
0:15:55,0:16:00,"Ali, s druge strane, nekako ono, počeo sam raditi neke webove, bilo je tisuću kuna, ali nema veze."
0:16:00,0:16:04,Onda sam počeo raditi još webova pa sam radio svoje nekakve projekte.
0:16:04,0:16:23,"Već sam naučio ono, dogovoriti nekakav posao, dogovoriti nekakvu suradnju, već sam došao do te nekakve ideje koja je tada zapravo bila Facebook, koji je onda tada bio potpuno nešto novo, tu sam prepoznao veliki potencijal i nakon mi je ono jako prirodna bila poteza da otvorim firmu, dakle nije više bila nekakva barijera."
0:16:24,0:16:38,"I tako mislim da ono kad god, ono ti si rekao super jednu stvar, da danas ti možeš raditi nekakav posao devet do pet, ali nakon pet zapravo počne nekako drugo vrijeme i ti ono što god ti je nekakva strast, što god ti je zapravo nekakva želja, možeš tada početi raditi."
0:16:38,0:16:46,"Ako te zanimaju webove kao ja, možeš početi raditi webove, ako te zanima ne znam napraviti nekakav online community, pa možeš napraviti online community."
0:16:46,0:16:54,"Tako kreneš nekako korak po korak, ne možeš sutra napraviti firmu, ne možeš ti sutra biti super uspešan, ali korak po korak i počećeš se bližiti tome."
0:16:55,0:17:02,"I mislim da je to jako bitno i da nekak, pogotovo to moderno vrijeme to omogućuje i da to mnogi zapostavljaju."
0:17:03,0:17:17,"Mislim, Jack May ima tu neke super citacije i kako je on to rekao od Alibabe, on je rekao kao, ne mogu se sad sjetiti, ali zapravo da određuje čovjeka ne ono što radi od 9 do 5, nego ono što radi nakon 5."
0:17:18,0:17:39,"I kako on zna onu hrpu ljudi, ne znam, ovo je bio, ne znam, dizajner, htio je biti nekakav developer i on je onda svaki dan u pet uče programirati i takvi svaki dan, svaki dan, svaki dan, za godinu dana je naučio programirati, za godinu dana je počeo onda programirati za nekakvu firmu i ti pa pet godina kasnije taj je došao do nekakvog CTO-a negdje."
0:17:40,0:17:51,"I zapravo to super, čim god se baveš zapravo da prepoznaš tu nekakvu strast i da negdje nakon pet počneš se baviti time i korak po korak, sad da li to poduzetništvo može biti nešto drugo."
0:17:52,0:18:08,"Mislim na kraju krajeva poduzetništvo, ja obožavam poduzetništvo, volim pričati o poduzetništvu, to je super stvar, ali nije jedini put isto, mislim nekome stvarno nije poduzetništvo strast, nekome više da radi nekakve korporacije, ali nema veze, ako to navečer vrijeme posvetiš tome doćiš jako daleko."
0:18:09,0:18:09,Ok.
0:18:10,0:18:19,Ajde nam reci ispričana malo priču o samim početcima Degordijana.
0:18:21,0:18:38,"Znači rekao si dok si bio još srednja škola možda već krenuo na fakultet da si krenuo raditi web stranice, da li je to bila uvertira u tu priču osnivanja i studija jednog dana, pa kasnije firme koje koja je posjela DeGordian."
0:18:38,0:18:46,Da nam malo tog mesa onako kako je to krenulo i kako je to sada došlo do te ideje i studija ili DeGordiana.
0:18:47,0:18:53,"Pa mislim mi smo kao radili te webove, bilo je kao, prvo smo radili dizajn, web dizajn, onda smo skurili kao."
0:18:54,0:18:54,Koliko je bilo ljudi?
0:18:55,0:18:57,Bio si ti i Tomislav u to vrijeme sada ili ne?
0:18:57,0:18:58,Tada sam bio čak i ja sam.
0:18:59,0:19:14,"Sam sam radio te dizajnove kao jedna tisuća kuna pa sam zaključio da ne mogu puno zaraditi kako si došao do dizajna to si nešto imao strast oko toga pa si sam se vratio otišao na algebru naučio sam nekakav tečaj nešto kaže nešto, nešto učim."
0:19:14,0:19:17,I onda sam zaključio kao da tog ne mogu baš živjeti i onda sam naučio programirati.
0:19:18,0:19:22,Ja sam rekao kao pa ti dizajneri kao to ne vrijedi to svako može nešto nacrtat.
0:19:22,0:19:24,Pa vidim da programirati.
0:19:24,0:19:27,I onda sam već sa Tomislavom dogovorili smo posao.
0:19:27,0:19:29,A skupa ste studirali vas dvoje seli?
0:19:29,0:19:41,"Pa i srednje i studirali, tada smo već počeli surađivati i onda smo dogovorili posao vrijedan dvadeset sedam tisuća kuna šta je tad bilo puno dvadeset sedam tisuća kuna to je sami početak ili što?"
0:19:42,0:20:27,tada smo bili ti pod dvadeset godina nije još bilo financijsko znači krenuo si oprosti ja baš hoću da ljudi da da ljudi shvate jel nekako brzo dođeš do dvadeset sedam tisuća kuna onda se oni možda izgube i počeli si sam raditi malo dizajnirati malo programirati i tako si došao do nekakvih prilika da radiš evo za neku firmu si rekao u dalmaciji za hotel jel tako nekakve pizanije i zapravo si u to vrijeme se tako kao freelancer jel tako i nešto zarađivao novce e i onda sam naučio programirati to je već bilo dvadeset godina recimo i onda sam počeo raditi kao veći projekti i prvi posao koji smo dogovorili bio je dosta velik tako da zapravo smo onda to Tomislav i ja skupa radili.
0:20:27,0:20:31,"I to je bilo 27.000 kuna, to je kod nas valjda 50.000 kuna."
0:20:31,0:20:40,"Ja sam mislio, kako sam ja sad bogat, mogu Felge kupiti na auto, ne znam, mogu cure izvojiti van, fenomenalno."
0:20:41,0:20:50,"Na kraju mi smo taj posao radili valjda dva godine i kad smo zbrojili sve sate koliko smo mi to radili, ispalo je da smo naplaćivali 3 kuna po satu."
0:20:50,0:20:56,"I onda opet onako, čovječe ima 3 kuna po satu pa u McDonald'su bi valjda više zarađivao, opet to nema smisla."
0:20:57,0:21:06,"Mi smo zapravo kao rekli, ajmo mi raditi sad kao webove za druge, nego ćemo mi svoje projekte napraviti, pa ćemo zarađivati od oglašavanja."
0:21:06,0:21:21,"Mi smo napravili 20.5, to je bio nekakav komunity za studente, mi smo bili studenti pa nam je to bilo forum i oni smo tam kao to je bio nekakav forum pa su oni mogli se dogovarati za izlaske, pa ne znam šerati skripte i tak neke stvari."
