Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:06,"Moje prvo prodajno iskustvo bilo je prodaja božićnih drva, ovih drvaca, kako se to kaže."
0:00:06,0:00:16,"Mašutno će me negdje izbaciti, će mi 50 borova na neku autobusnu stanicu tu u Rijeci, ustavili me u 6 ujutro i donavičili do 7, smrzio sam se, još mi se prsti slijepili."
0:00:16,0:00:26,Prodaja je samo još jedan od naziva za umijeće i sposobnost uzrokovanja promjena u svojoj okolini.
0:00:26,0:00:37,"Jako je tanka, gotovo nevidljiva linija između toga da budem uporan u tome da te pokušam nekako promijeniti i tvoje mišljenje, a napravi milimetar pogrešnog koraka ili kažem nešto pogrešno."
0:00:37,0:00:39,i već sam na strani napornosti.
0:00:39,0:00:42,Kad ti faka ide na živce i ti želiš čim prije završiti naš razgovor.
0:01:01,0:01:06,"Dame i gospodo, dobrodošli u još jednu epizodu Lud Potkesta."
0:01:07,0:01:27,"Naravno, kao i svaki puta do sada, s vama istražujemo, tojest sa gostom također istražujemo ovaj koncept uspjeha, pa evo nadam se da će vam Danielovo razmišljanje, način razmišljanja i njegove ideje koje ga vode kroz život da će vama pomoći i na vašem putu."
0:01:28,0:01:35,Daniel Bićanić evo sjedi sa druge strane u Viškovu jel tako?
0:01:36,0:01:42,"U Viškovu Daniel je na engleski sales trener, na hrvatski trener prodaje."
0:01:43,0:01:55,"Pa evo Daniel ako možeš se kratko predstaviti publici i publici kako si došao do ovog trenutka, u kojem mjesecu sada?"
0:01:58,0:02:00,Koliko smo rekli da će ovo trajati?
0:02:02,0:02:07,"Dobar dan svima koji gledaju i koji su odlučili ovo gledati, na čemu sam zahvalan."
0:02:07,0:02:11,"Hvala tebi na pozivu, ugodno si me iznenadio ovaj tjedan."
0:02:11,0:02:21,"I tamo on uhvatio kad sam lagano krenuo sa godišnje gradi, tako da sam još malo zahrđao, pa mi oprosti ako nešto bubnem, bez veze."
0:02:23,0:02:25,"Pa da, ja sam prodeni tren."
0:02:25,0:02:28,"Prodajni trener, nekih 15 godina."
0:02:31,0:02:58,"Ušao sam taj posao kako god obično biva, poslali profesiju ili poziv, ne znam kako to nazvati, slučajno, ali sam se pronašao, uživam u tome, radim tu lokalno, za mene lokalno znači od Slovenije do Kosova, radim u EU, fokusiran uglavnom na sajvjetodavnu prodaju proizvoda, usluga, dodane vrijednosti, kompleksnog karaktera."
0:03:00,0:03:15,"A kako sam došao tu do ovog utrudnje, gdje sam sad, osim što si me ti pozvao, mislim da ima tu zapričati, kao i svako drugi koji je sjedio pred tvojim mikrofonom, ima tu neka priča."
0:03:17,0:03:19,"Ok, hajde da čujemo tu priču."
0:03:19,0:03:26,"Znači, kako si došao do ove pozicije trenutno, kako se zove firma koju si ti osnovao, zove se bičanički consulting?"
0:03:27,0:03:30,"Već neki consulting, vrlo originalno, vrlo kreativno."
0:03:31,0:03:36,"Ne znam, naš, to je ako ćemo krenuti s imenom, ja sam do 2007."
0:03:37,0:03:38,Postao samostalni trener.
0:03:39,0:03:45,Do tada sam proveo neki 2-3 godine radeći u branši za druge tvrtke.
0:03:45,0:03:51,"Međutim, onda sam neko osjetio poziv da stvari počnem raditi kako bih ja želio."
0:03:51,0:03:54,"Ne smatram da su ispravne, ali kako bih ja želio."
0:03:55,0:03:59,A za to onda čovjek jednostavno mora napraviti taj korak i otići.
0:04:00,0:04:03,Mada sam ja poduzetnik praktički od 2002.
0:04:03,0:04:03,godine.
0:04:04,0:04:06,Tada sam osnovao taj svoj obrt.
0:04:09,0:04:11,Tako da imao sam sad već 19 godina.
0:04:11,0:04:16,"Krenuo sam sa nekim tim buildingom., to je bila moja ideja od 2002."
0:04:16,0:04:16,godine.
0:04:18,0:04:29,"Pričao sam na jednom drugom podcastu kako je to sve bilo, da naravno kao i svaki drugi poduzetnik, sam propao, naravno, na pola propao, pa propao."
0:04:31,0:04:39,"I iz toga nešto naučio, malo se vratio raditi za nekoga, ali onda evo, kao što reko, odlučio se tada osamostaliti."
0:04:40,0:04:48,"I ono, kao i svaki drugi poduzetnik, borba, preživljavanje prvih 4, 5, 6, pa možda i 7 godina."
0:04:49,0:04:57,"U smislu stabilizacije, stvaranja nekog imena na tržištu, stvaranja nekog kruga klijenata, te prepoznatljivosti."
0:04:59,0:05:13,"I onda, razvijajući se kao trener, upoznaš ogroman broj ljudi, ogroman broj branši i specifičnosti svakog tržišta, specifičnosti svakog biznisa."
0:05:14,0:05:22,"I onda sve to na kraju danas čini mene kao trenera i u mom nastupu, u načinu kako vodim treninge."
0:05:24,0:05:25,"Evo, pričali smo ranije."
0:05:25,0:05:30,o tome kako nastupam pred tom nekom ciljanom publikom putem društvenih mreža.
0:05:31,0:05:33,"Ali, znaš što je meni najvažnije?"
0:05:33,0:05:35,Najvažnije je što uvijek da mi je zabavno.
0:05:38,0:05:39,Da imam svoju slobodu.
0:05:40,0:05:42,"Znaš, to je broj jedan, ja sam ti."
0:05:46,0:05:50,"Znaš, imaš one testove, disk, sve ti neki psihološki testovi."
0:05:51,0:06:01,"Svi do jednog mi govore da sam taj neki tvrdoglavi vuk, samotnjak koji uvijek pokušava održati."
0:06:01,0:06:02,To treba slobode puno.
0:06:02,0:06:11,"Da, i to, meni poduzetništvo ne znači, mislim novac od novca, svi živimo da se razumijemo, nećemo se lagati, nema to ništa romantično."
0:06:12,0:06:20,"Ali ono što meni poduzetništvo daje tu moju slobodu, koja je meni osobno na mjestu broj jedan."
0:06:22,0:06:40,"I to zaista cijenim i to dan danas cijenim i to činjenicu da mi je zabavno, izrazito cijenim, da guštam u tom svom poslu, da uvijek pronalazim neke nove načine kako se izražavati, kako biti od koristi mojim klijentima i nadam se da će to još dugo, dugo potrajati."
0:06:41,0:07:02,"Ajde mi reci, zašto si se zaljubio u prodaju i šta je u prodaji toliko tebi interesantno da si evo godinama u toj niši a pogotovo da si se odlučio trenirati druge kako da bolje prodaju?"
0:07:03,0:07:03,Da.
0:07:05,0:07:08,"Pa naš, sad ima više razina odgovora na to pitanje."
0:07:08,0:07:20,"U prodaji sam ja završio više manje, ja sam ti slučajan, ja sam ti završio hotelsku turističku školu, opatio nomad prije 24 godina, otišao u Njemačku studirati."
0:07:21,0:07:28,"Moja ideja je nekako bila da ću ja raditi u turizmu, mislim, tu živim na moru, nešto je onako logično."
0:07:30,0:07:34,"Međutim, onda te život odvede u nekim drugim smjerovima."
0:07:34,0:07:51,"Počeo sam raditi za neku ekipu koja je otvorila, iz Austrije su došli, otvorili su tu tvrtku u Hrvatskoj, među ostalim su se bavili edukacijama, pošto sam ja dobro znao njemački, prvo su me uzeli da im pomognem oko prodaje, oko toga svega."
0:07:51,0:07:59,"Ja onda u prodaji nisam imao, mislim, moje prvo prodajno iskustvo bilo prodaja božičnih drvaca, kako se to kaže."
0:07:59,0:08:00,Jelki.
0:08:00,0:08:03,"Jelki, da, prije 90., ne znam, 4."
0:08:04,0:08:04,ili 3.
0:08:04,0:08:11,"ili ne znam koliko sam imao, 15, 16 godina, sjećam se još da su mi prsti bili slijepeni od spole i da mi je bilo izrazito neugodno."
0:08:12,0:08:13,"Sigurno nije bilo ni toplo, ali."
0:08:13,0:08:22,"Ma šutno će me negdje izbaciti, će mi 50 borova na neku autobusnu stanicu tu u Rijeci, ustavili me u 6 ujutro i do najviše do 7, smrdio sam se."
0:08:23,0:08:24,Još mi se prsti slijepili.
0:08:25,0:08:29,Tako da to moje prvo prodajno iskustvo nije baš bilo ugodno.
0:08:29,0:08:36,"Nisam ja nešto smatrao prodaju nečim što mene dramatično interesira, nego je došlo nekako jednostavno."
0:08:36,0:08:50,"A onda malo po malo bavivši se tim poslom, uglavnom, kažem, ili u hotelijskoj industriji ili kasnije u industriji edukacija, učiš, razvijaš se, shvaćaš da postoje neki bolji način i manje bolji način."
0:08:50,0:08:52,"Sopfisticiraniji, da."
0:08:52,0:09:01,"I sad se to razvija kad ja gledam sad prodaju prije 20 godina, kad sam ja krenuo i prodaja sad, to su ogromne razlike."
0:09:01,0:09:09,"Razlike, i u svemu tome čovjek onda uči, prvo od drugih, a onda na temelju vlastitih iskustava."
0:09:10,0:09:27,"U prodaju danas, mi, treneri, ćemo često reći, kako bi objasnili svoje postojanje pod ovim plavim nebom, da je prodaja svega."
0:09:28,0:09:30,"Ne, da se čuva za taj pojam."
0:09:30,0:09:30,Jesen.
0:09:33,0:09:36,"Mislim, kužim logiku iza tog načina razmišljanja."
0:09:37,0:09:40,Mene je neko moje iskustvo odveo u drugom pravcu.
0:09:42,0:09:49,Ja prodaju gledam kao samo još jedan naziv za nešto puno veće.
0:09:50,0:09:53,A što je nama svima u životu jako važno.
0:09:56,0:10:05,Prodaja je samo još jedan od naziva za umijeće i sposobnost uzrokovanja promjena u svojoj okolini.
0:10:08,0:10:13,"E sad, ima još i bolje ako želiš, ulazimo u duboke filozofske val volje."
0:10:13,0:10:14,Odlična.
0:10:15,0:10:15,"Volim ti, a to."
0:10:16,0:10:18,Svašta izlazi iz ove moje čelave glave.
0:10:21,0:10:24,"Mislim, to jednom prilikom opet šaljivo objavio na LinkedInu."
0:10:24,0:10:38,"Imam samo taj neki haha trenutak i onda sam shvatio da u biti mi kao bića, ali kao sva živa bića koji tu su na ovoj planeti, ovisni smo o svojoj sposobnosti prihvaćanja i uzrokovanja promjena u našem okruženju."
0:10:39,0:10:39,Ok.
0:10:40,0:10:53,"Mislim, kako ti se dogodi neka promjena, kako će se prihvatiti, kako će se sebi obrazložiti, kako će se prilagoditi, a s druge strane, ako ti želiš uzrokovati neku promjenu u svom okruženju, kako ćeš to napraviti?"
0:10:53,0:11:01,"Sad, nevezano da li je ta promjena nešto da ideš zidat, kao što sam ja tu sad zidon neki zid, ili promijeniti nešto u ljudima oko sebe."
0:11:02,0:11:32,"A to može biti u situaciji da si prodavač, pa želiš promijeniti nečije mišljenje, možda si poslodavac, pa želiš promijeniti mišljenje svojih djelatnika, možda si političar, pa želiš promijeniti mišljenje svojih glasača, možda si liječnik, pa želiš promijeniti mišljenje svog pacijenta, možda si djelatnik, pa želiš promijeniti mišljenje svog šefa, možda si suprug pa želiš promijeniti mišljenje svoje supruge ili otac pa želiš promijeniti mišljenje svoje djece."
0:11:32,0:11:39,Znači svi se mi baziramo na našoj sposobnosti promjene koju želimo uzrokovati kod nekoga.
0:11:40,0:11:46,U slučaju transakcije tobara i usluga za novac to se zove prodaja.
0:11:48,0:11:55,"U slučaju vođenja, menadžiranja ljudi to je onda upravljanje ljudima."
0:11:56,0:12:00,Ali sve je to po meni jedna onako ista priča.
0:12:00,0:12:07,"To je jesmo li u stanju i na koji način pokušavamo stvoriti, uzrokovati promjenu u našem okruženju."
0:12:08,0:12:10,"Evo, tako ja to gledam."
0:12:11,0:12:19,Vrlo sam te pozorno pratio i milijardu pitanja mi je palo na pamet dok si priča ovo.
0:12:20,0:12:37,Ja isto kad god razmišljam o nekim vještinama ja ti to pokušavam postaviti više pitanja zašto i doći nekakvu dublju nekakvu strukturu svega toga pa sam ja uvijek sebi govorio šta je prodaja nego ništa drugo dio komunikacije jel tako?
0:12:38,0:12:39,A onda šta je komunikacija?
0:12:39,0:12:56,"Zapravo komunikacija sama po sebi kao vještina može nama pomoći da budemo kvalitetniji prodavači ili što god, ali popularno na engleski ljudi kažu mindset, možda bi na hrvatski bilo mentalni sklop ili mentalitet jedne osobe."
0:12:56,0:13:12,"Ja mislim da je to baza, to je baza svega, znači način na koji mi razmišljamo, uvjerenja koje imamo, kakva je naša percepcija ili pogled svjetonazorno općenito, naš filter za svijet koji vidimo tu realnost."
0:13:12,0:13:17,"I stoga I iz toga sve kreće onda do te komunikacije, onda na vrhu svega toga to ispada ta prodaja."
0:13:18,0:13:36,"A ovo mi je vrlo zanimljivo kako si ti rekao, da to je zapravo sredstvo pomoću kojeg mi mijenjamo svoju, imamo mogućnost ili možda sposobnost promijeniti svoju okolinu, to je pogotovo mislimo na ljude, na njihov način razmišljanja, možda na njihova uvjerenja itd."
0:13:38,0:13:39,"Vrlo, vrlo, vrlo interesantno."
0:13:40,0:13:49,"Po meni je sklop, kako si ga ti navao, ja se bavim više s kilovima nego mentalnim sklopom, to stavljam ljudima koji se tu bolje razumiju."
0:13:49,0:13:54,"Bolje razumijem, mada sam potpunosti duboko svjesna činjenice da prvo ide mentalni sklop, onda idu vještine."
0:13:54,0:13:56,Ja sam odlučio baviti tim vještinama.
0:13:57,0:14:13,"Ali da rezimiram, za mene je prodajni vještine samo još jedan naziv, situacijski naziv za isti set sklop vještina koje nam inače trebaju u životu."
0:14:13,0:14:23,"Tako da možda mi malo prodajni treneri pritjerujemo kad govorimo da je prodaja sve, pa si uzimamo previše, kako bih rekao, zasluga."
0:14:23,0:14:24,Zasluga.
0:14:24,0:14:31,Prodaja je samo još jedan naziv za isti set vještina koje nam trebaju bilo gdje u životu.
0:14:32,0:14:52,"Možda će tako nekome onda biti lakše, jer znaš ono kad neko kaže i ovo i znaš šta ja ne volim prodaju ili nikad se ne bi bavio prodajom, onda ja to svačam, ha, ok, ti ne želiš koristiti taj set vještina u okruženju kojeg zovemo prodaja."
0:14:52,0:14:59,Pa ga pitam kako inače pokušavaš da li koristiš taj isti set vještina negdje drugdje.
0:15:00,0:15:05,"Onda se to zove drugačije, to se zove odgoj, to se zove vođenje, to se zove upravljanje, to se zove utjecanje."
0:15:06,0:15:08,"Samo je pitanje konteksta, koji je kontekst."
0:15:08,0:15:15,"A set vještina, svi smo mi ovisni o tome, još jednom da pa ću prestati, ovisni o našoj sposobnosti da uzrokujemo te promjene."
0:15:16,0:15:19,Ako to tako želimo ili nam treba u životu.
0:15:20,0:15:28,"A isto tako, naravno, to je opet jedan drugi dio kojim se ja ne bavim, to je ta sposobnost prihvaćanja promjena i suočavanja sa promjenama."
0:15:28,0:15:31,"To je još jedna, ali opet to je nešto s čime."
0:15:32,0:15:36,"To možda nekad se kao coach, jer jednostavno radim kao coach, onda tu odem."
0:15:37,0:15:47,"Pa, kao koluč, nekad pokušavaš pomoći nekome da se suoči s nekom promjenom, ili da prihvati tu promjenu, ili da je ono ono."
0:15:47,0:15:56,"A da, tako da, ajde, može se reći da se bavimo i ovim dijelom kako uzrokovati promjenu, ali i ovim dijelom kako prihvatiti promjenu, suočiti se s promjenom."
0:15:56,0:15:57,Jasno.
0:15:57,0:16:02,"Ajde da probamo naći jedan avatar, recimo, u publici."
0:16:04,0:16:07,"Naprimjer, Marko Perić."
0:16:08,0:16:08,Dobro.
