Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:08,"I sve do trenutka kad sam shvatila da me alati, strategije, pravila koja slijedim počinju ograničavati."
0:00:08,0:00:09,Ne pomažu mi u rastu.
0:00:10,0:00:12,Jer sam banalan primjer.
0:00:13,0:00:17,U tome dugo sam bila ponosna na činjenicu da je moj kalendar isplaniran.
0:00:17,0:00:19,Svaki moj dan je isplaniran u minutu.
0:00:20,0:00:28,I onda se dogodio jedan taj prijelaz gdje sam počela govoriti ne sjajnim prilikama koje su se otvarale jer nisu u planu.
0:00:29,0:00:35,Odnosno shvatila sam da se stvari dogode puno ljepše i veće i zanimljivije nego što ih ja mogu unaprijed isplanirati.
0:00:36,0:00:53,"I to je bio jedan baš moment osobnog rasta kad sam shvatila da strategija, da okviri, da planovi i alati do jednog trenutka kada prepuštamo zapravo sebe intuiciji."
0:01:12,0:01:15,"Moje ime je Vinko, a ti pratiš Lud Podcast."
0:01:16,0:01:20,Mjesto gdje istražujemo koncept uspjeha s ljudima iz raznih životnih polja.
0:01:21,0:01:24,Otkri ideje koje ih prate na njihovom autentičnom putu.
0:01:25,0:01:33,"Ako si osoba koja želi rasti i pratiti svoje najluđe ambicije, ovaj podcast je za tebe."
0:01:34,0:01:42,"Ako ti se sviđa što stvaramo na YouTube, klikni like, subscribe i komentiraj ispod ovog videa."
0:01:43,0:01:58,"Ako ti se više sviđa audio podcast, možeš nas potražiti na platformama kao što su Spotify, Apple Podcast ili Google Podcast, a i aktivni smo na Instagramu pa zaprati lud.ig."
0:01:59,0:01:59,Ok.
0:02:00,0:02:14,"Današnja gošća je Tea Zavacki, inženjerka elektrotehnike koja s pletom okolnosti, ali i planiranjem danas pomaže poduzetnicima, freelancerima da rade i žive po svom."
0:02:15,0:02:23,U tijeku svoje karijere otkrila je da voli prenositi znanje drugima i to je ono čime se danas bavi.
0:02:23,0:02:24,Jedan na jedan konsulting.
0:02:25,0:02:36,"Poslovne radionice za tvrtke na teme produktivnosti, prezentacijskih vještina, crowd mindseta, storytellinga, design thinkinga itd."
0:02:37,0:02:41,Tea je najomiljeniji osobni brand u Hrvatskoj.
0:02:42,0:02:46,"Uz ljubaznost, vječni osmijeh na licu i dobru energiju koju prenosi na sve nas."
0:02:47,0:02:50,A sve ostalo saznat ćemo upravo sada.
0:02:51,0:02:53,"Tea, dobrodošla."
0:02:54,0:02:54,Hvala ti.
0:02:54,0:02:55,"Mene je iznenadio, hvala ti."
0:02:57,0:03:00,Jako mi je lijepo biti ovdje i nakon ovog uvoda se još više veselim.
0:03:00,0:03:01,Ovo će biti jako lijepi rad razgovor.
0:03:02,0:03:05,Ja se nadam da hoće.
0:03:06,0:03:16,"Krenit ćemo ovako, možda u glavu onoga s čim se ti trenutno baviš, pa ćemo vidjeti kako ćemo dalje razvijati tvoj priču."
0:03:17,0:03:26,"Ti osnažuješ, kako sama si rekla, kako sam ja to uspio iščitati iz svega što radiš, osnažuješ druge da žive i rade po svom."
0:03:27,0:03:31,Je li nam možeš malo dublje objasniti taj tagline?
0:03:32,0:03:38,Prije svega ono što moram spomenuti na temelju ovog uvoda koji nisam čula prije ovog sada trenutka uživo.
0:03:40,0:03:48,Očito je ono što komuniciram na van uspjelo doći do pravih ljudi na pravi način.
0:03:48,0:03:53,"Tako da sam jako, jako sretna slušajući ovaj uvodi i ovo što si i prvo pitanje zapravo."
0:03:55,0:03:56,Živi radi po svom.
