Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:12,"Međutim, kozmička tajnica je napravila da u to vrijeme počnu lagano infopada neke druge gaže, naš pisao se zdravo znanje modra lasta i to je već sam tada u svoju nogometnu filozofiju, ako dobiješ loptu da pucaš po golu, a ne pucaš po golu, onda ćeš dobiti gol."
0:00:12,0:00:14,"To je sto posto tako, ne znam zašto, ali je."
0:00:14,0:00:18,I oni su zamislili da svakog ponedjeljka u 11.00 idu emisije najizmince.
0:00:18,0:00:24,"Jedna emisija je bila o etici i bioetici, jedna je bila o prirodnim znanostima, jedna o društvenim i jedna na rubu znanosti."
0:00:24,0:00:32,"I oni su rekli ovako, sinhronizitet je događaj koji krši uzročno-posljedični slijed i ima značenja za onog kom se događa."
0:00:32,0:00:36,"Puno bi bolje, milo rečeno, da ne donosimo mi odluke, nego odluke donose nas."
0:00:36,0:00:42,"Ti si sad postavio pitanje u kojoj ti podrazumijevaš da si ti playing character, a da su ovi okolo non-playing character."
0:00:42,0:00:46,Ali ključno pitanje života je da li si ti non-playing character.
0:00:50,0:00:58,"Dobar dan, onako iz jednog olujnog Zagreba i kišovitog, sa 14."
0:00:58,0:01:03,"kata pa ako budete čuli neke zvuke, hukanja vjetra, to je radi toga."
0:01:06,0:01:18,"Danas ćemo imati, to jest danas imamo jednog gosta koji možda će dobro doći uz ovako neko vrijeme malo će biti i nekih misterioznih pričica."
0:01:19,0:01:28,"To je čovjek kojeg neću previše najavljivati, mislim kad se kader okrene na njega da će vam biti sve jasno o kome govorim."
0:01:30,0:01:52,"Evo ja bi zamolio Krešimira Miška da sam sebe možda opiše svoj rad, ono što je napravio do sada, prvenstveno po čemu si prepoznat po emisiji na rubu znanosti, a kasnije još nekakvih punih zanimanja."
0:01:55,0:01:56,Kako bi ti sebe opisao na te stvari?
0:01:57,0:01:59,"Jednu stvar, jednu stvar, sigurno reči."
0:02:00,0:02:04,"Da, kada se mijenja u druge pareže, onda i greši mira mišaka."
0:02:05,0:02:09,"To smo puno raspravljali sa mojim nekim prijateljima na našoj Bosni, recimo, mišak."
0:02:10,0:02:10,Onda je mišaka.
0:02:11,0:02:14,"Ali kada se kaže realno kratko, mišak, onda je mišaka itd."
0:02:14,0:02:19,"Ali nema veze, kako veli Jimmy Kardashian, kako veli Peru, Jimmy, mišak, a najviše volim da mi zovu Štef."
0:02:20,0:02:22,"Uglavnom, ha ne znam, pitaj."
0:02:23,0:02:27,Kako bi ti sam sebe opisao svoj život i ono što trenutno radiš.
0:02:28,0:02:34,"Gle, nemogu ti uopće odgovoriti na to pitanje kako bi ti htio, jer naši vanjski opisi se razlikuju od naših unutarnjih opisa."
0:02:34,0:02:40,"Izvana čovjek nekom izgleda ovo je radio ovo, ovo je radio ono, a iznutra u stvari imaš sasvim drugu alkemiju."
0:02:40,0:02:52,"Te stvari ti imaju sasvim drugačije značenje, ne znaš ni tko si i tako pogotovo u nekom trenutku kad vidiš da stvari dolaze i prolaze, da postoje neka sudbina i sad to staviti u riječi, nemam pojma."
0:02:52,0:02:56,"Šta misliš, na šta ljudi prvenstveno pomisle kad čujem i kad reži mi riječ?"
0:02:56,0:02:59,"Pa mislim vjerojatno pomisle na misiju na rubu znanosti, pretpostavljam."
0:03:00,0:03:01,Pa to ti bolje znaš od mene.
0:03:01,0:03:01,Istina.
0:03:01,0:03:02,E pa onda.
0:03:02,0:03:03,"Istina, da."
0:03:03,0:03:05,Htio sam vidjeti da li imaš ovaj.
0:03:05,0:03:07,U objektivnosti.
0:03:08,0:03:09,Pa nije to baš teška objektivnost.
0:03:10,0:03:12,U zadnje vrijeme sviramo neki finger picking style.
0:03:13,0:03:14,To je za svoju dušu.
0:03:14,0:03:18,"Po nekim klubići imao sam već desetak koncerata, pa kao vješam to neki YouTube kao Krećev i Mišak Musik."
0:03:18,0:03:19,Uživam.
0:03:19,0:03:21,"No, na 150 pregleda, 200 fenomenalno."
0:03:21,0:03:24,Tako da mi je očigledno jasno da me ne vide kroz finger picking.
0:03:25,0:03:36,"Možda kroz knjige neke, ali mislim da me televizija tu jako dugo vremena, jer mislim da je tu još iz vremena dok nije bila ovakva zagušenost u medijima, dok su postojala samo dva programa, dok zapravo nije bilo nečeg drugog."
0:03:36,0:03:38,"Ja se sjećam tog vremena, nije ni tih tema bilo."
0:03:39,0:03:42,"Tako da tijekom godina tako ispadne, samo po sebi."
0:03:43,0:03:43,To ti je dovoljno.
0:03:43,0:03:45,"Ako dovoljno dugo živiš, sredno ćeš postati legenda."
0:03:46,0:03:47,Pa makar bio legenda u kvartu.
0:03:48,0:03:49,Samo poživi dosta dugo.
0:03:49,0:03:53,"Znači, konsistentnost je najbitnija kod uspjeha."
0:03:54,0:03:55,Ne kod uspjeha.
0:03:55,0:03:58,"Ti možeš biti neuspjehaš, ali nakon puno godina ćeš svejedno postati legenda."
0:03:58,0:04:02,"Znaš što, znamo i puno neuspješnih ljudi na našem ovom planetu."
0:04:02,0:04:03,On je legenda iz kvarteta.
0:04:03,0:04:13,"Znaš šta, poslušao sam nekolicinu podcasta koje si radio sa ljudima ovdje u regiji, čak sam i radio na podcasta."
0:04:13,0:04:15,Pod regija misliš bivša Jugoslavija?
0:04:16,0:04:18,"Zabranjene, tako je da."
0:04:21,0:04:30,"Moramo neke, moramo biti, ne moramo zapravo biti, ali evo sad sam u ovom trenutku očito bio politički korektan što mi se baš ni ne sviđa kao neka tehnika."
0:04:31,0:04:42,Jako puno si zapravo spominjao nekakve termine koje bih ja htio danas malo s tovom na početku definirati pa da bi ljudi znali pratiti naš razgovor.
0:04:45,0:04:57,"Prvo što bih htio proći s tovom, odakle ta ideja za nazive emisije na rubu znanosti, odakle dolazi zapravo ta tvoja znatiželja da bi proučavao tako neko polje ljudskog života?"
0:04:58,0:05:02,"Dakle, to pitanje u sebi sadrži neke pretpostavke koje jesu i nisu točne."
0:05:02,0:05:03,I zapravo su to dva pitanja.
0:05:04,0:05:16,"Prvo je, mislim svi koji me znaju, kao prvo ja sam pre inertan i ne bih se toga ni sjetio, jer nekadaavno ja sam se bavio muzikom, radio sam na radiju i televizija za mene je bila pojam politike koja mi nije zanimala, nešto dosadno, bezvezno i bog."
0:05:16,0:05:28,"Dakle, sam dolazak moj na televiziju, odnosno prelazak s radija, u biti je došlo do njega zbog Jasne Burić, odnosno i Domagovića s obzirom da je tome kumovao jedan čudan niz sinhroniziteta."
0:05:29,0:05:36,"Ja danas vidim da su ti sinhroniziteti bili smješteni u vrijeme i prostor i da imaju svoju širu logiku kad čovjek vidi da postoji neki algoritam njegovog života, doista."
0:05:36,0:05:42,"Ali u to vrijeme je Domagović postao mladi urednik znanstvenog programa, on je kojega godina 30."
