Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:03,Dobrodošli u novu epizodu Lut Podkesta.
0:00:04,0:00:12,"Danas s nama dijeli svoje znanje i iskustvo osoba koja je postala referenca u svijetu sporta, zdravlja i osobnog razvoja."
0:00:12,0:00:23,"Danas je s nama fitness edukator Nemanja Milović, osoba koja je završila fakultet sporta i tjelesnog odgoja u Novom Sadu."
0:00:23,0:00:27,"Ti bi to najvjerojatnije na srpskom rekao drugačije, ja sam preveo na hrvatski."
0:00:28,0:00:37,"i koja je zapravo nekako i meni upala u oko, a pretpostavljam i velikoj većini ljudi, kao jedan od najgenijalnijih content kraja."
0:00:37,0:00:41,i kontent kreatora na prostoru Balkana.
0:00:41,0:00:50,"Znači njegova strast prema tjelesnom i mentalnom zdravlju kao i duboka razmišljanja o životu, među ljudskim odnosima i društvenim temama inspiraju mnogi."
0:00:50,0:00:58,"Samo ću ja kratko prije nego što krenemo reći koje teme ćemo nas dvojica danas zahvatiti, znači naravno zdravlje, sport."
0:01:00,0:01:11,"Ali saznat ćemo nešto više o tvojim stavovima o modernim izazovima s kojima se suočamo danas kao što je naprimjer tema muškosti koja je, ne znam ti si mi nekako dobar fit da prođemo to."
0:01:12,0:01:31,"ili zapravo muško-ženjskih uloga isto općenito osim teme muškosti, odnosa, koje su njegova promišljanja o najdubljim životnim konceptima balansa, zahvalnosti, davanja, pa čak i onih možda onako nekako ljudi bježe od tih negativnih tema."
0:01:32,0:01:41,"Ja ne bježim i volim pričati o njima kao što je bolest, kao što je starost, kao što je smrt, kao što je dobro, kao što je zlo itede Tako da nemojte propustiti."
0:01:43,0:01:43,Dobrodošao.
0:01:44,0:01:46,Bolje te našao u ovom dugačkom uvodu.
0:01:47,0:01:48,Bolje te našao.
0:01:48,0:01:53,Ja bi Ja bih zapravo krenuo sa sljedećim.
0:01:54,0:02:04,Mislim da ovaj naš razgovor će biti fantastičan ako krenem s ovim komentarom jedne osobe na YouTube-u ispod jednog videa.
0:02:05,0:02:16,Naziv videa je bio humanirani panel samo posmatranje i rad na sebi gdje ste gostovali ti i Srđan Žirojević.
0:02:18,0:02:19,Zerojević nije žao.
0:02:20,0:02:31,"Znači komentar je bio, drago mi je da smo došli do ove razine svesti, dva muškarca na Balkanu učestvuje u panelu na ovu temu, bravo i hvala momci."
0:02:32,0:02:33,Srce mi je puno.
0:02:33,0:02:35,Kako ti to komentiraš uopće?
0:02:36,0:02:40,"Pa znaš šta, s vremena na vrijeme organizujem humanitarno predavanje."
0:02:41,0:03:04,"Ovaj put mi je moj partner, kolega, prijatelj veliki, moram ga pozdraviti, Srđan Zirojević mi je pravio društvo upravo na tom predavanju i skupilo se petsto šesto mladih ljudi koji su imali nevjerojatna pitanja i koji su došli da podrže cijelu priču na ekonomskom fakultetu u Beograd i meni je to nekako on daje mi smisao mom nekom putu, viziji, životu itd."
0:03:05,0:03:17,"Ti ljudi, ok je digitalno ti kada daješ neku vrijednost, kada daješ neku energiju, kada daješ neku informaciju kao što to radim ja, ali drugo je skroz uživo kad to radiš."
0:03:17,0:03:37,"Jer uživo imaš taj prenos te energije koji se vraća i na tebe u vidu neke zahvalnosti od tih ljudi i mislim da je ovaj komentar upravo potekao iz te neke zahvalnosti, u istog nekog komentara da nama vrati malo te energije i onako je krajnje simpatičan komentar dva."
0:03:37,0:03:46,"muškarca na Balkanu, koji komentar u stvari govori koliko je to puno stereotipa u tome, ali i oduševljenja da je tako neko nešto uradio."
