Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:06,Ravnoteža je doslovno prepoznat koliko treninga snage u tjednu u prosjeku ti treba.
0:00:06,0:00:13,"Koliko se često bez nekakve, ajmo reći, dugoročne štete možeš i trebaš prepustiti manje kvalitetnoj hrani."
0:00:13,0:00:16,"Koliko puta otići tjedno, ne znam, u kafić, ako je to tvoj trigger."
0:00:16,0:00:19,"Znači nećeš si ga zabraniti, ali ga možeš limitirati."
0:00:20,0:00:21,I tako vrijedi zapravo za sve.
0:00:21,0:00:28,"Dozad čini i otrov, a to svi mrze jer onda je sve sivo, ništa nije crno-bijelo."
0:00:28,0:00:29,A zapravo je sve sivo.
0:00:32,0:00:35,Jako je zanimljivo čuti zapravo šta ljudi govore.
0:00:36,0:01:57,"I ono što često čujem je da naš, kao ma vidi njega ili vidi nju, ma pušio čitav život, bio, nije se kretao, jeo loše, pa je onoga 99 godina doživio i nekako ljudi idu u te ekstreme, onda će reći s jedne strane, ma vidi Sebastiana čitav život, promicao preventivno zdravlje, dugovječnost itede, ok, sad tebe uzimam kao primjer, mogu nekog drugog i onda uzmemo te ekstreme, znaš, kao uzmemo u ekstreme nekoga tko živi izuzetno zdravo pa mu se desi neka bolest ili uzmemo nekoga ko živi izuzetno loše pa se njemu ne desi neka teška bolest i ono umre u snu u devedeset devet godini ali mislim da je u pitanju da su ekstremije da smo ono ćeri pikali neke stvari sad je pitanje šta se događa u onom spektru između da ispod gausove krivulje pa mi volimo kao homosapiens i te anegdote a anegdote su jako zanimljive ali anegdote upravo su najčešće iznimke koje potvrđuju pravilo i to se sad zapravo dešava vrlo često najdugovječnija osoba do sad u in the book što bi se reklo, odnosno u arhivi je Jen Kalment, francuskinja, koja je pušila do svoje smrti, doživjela je 122 godine."
0:01:59,0:02:15,"I sad ja recimo na svim predavanjima stavim sliku nje i pored stavim sliku laboratorijskog miša na čemu se nažalost najviše tog nekog mainstream priče oko biohackinga i dugovječnosti temelji, a što je poput mi promašaj."
0:02:16,0:02:24,"Mi prvo nismo laboratorijske životinje, nama je socijalni aspekt života ekstremno bitan za zdravu dugovječnost, to dokazuje fenomen plavih zona."
0:02:25,0:02:36,"a pogotovo nemamo ni brzinu metabolizma, ni promet proteina, ni sve druge parametre koje vole kvantificirati znanstvenici na miševima, ni blizu nisu usporedive kod nas i kod tih laboratorijskih životinja."
0:02:36,0:02:40,Tako da kod ljudi je to ekstremno kompleksnije.
0:02:41,0:02:57,"Evo mi smo, baš sam nedavno stavi objavu na društvenim mrežama, to sam gotovo isto u svim predavanjima spomenuo, mi smo do koju godinu primali devet obilježja starenja koje je prepoznala znanost, danas ih imamo dvanaest, vrlo izgleda da će ih biti bar petnaest možda iduće godine već."
