Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:04,Kad si klinac ili uzmeš loptu ili uzmeš autić.
0:00:04,0:00:05,Ja sam muzao autić.
0:00:05,0:00:10,"Da bi bio dobar sportaš, prvo moraš znati na koji način reagiraš u određenoj situaciji."
0:00:10,0:00:16,"Postoje ljudi koji velje, odnosno ja se ne bojim, reko, mene je u ovim situacijama tak strah da je to strašno, onda dođe rezultat i ja ispred ovoga."
0:00:16,0:00:18,Možda ti ipak malo strah.
0:00:18,0:00:22,"Nije nikakav problem u sportu pričati iskreno, zato što onda jedino možeš ići naprijed."
0:00:22,0:00:26,U svakom sportu ti moraš vizualizirati šta će ti te dan napraviti i kako će to izgledati.
0:00:26,0:00:31,"I svaka stvar koja bi te mogla izbaciti iz stakta, i nju vizualiziraš da te ne bi izbacila iz stakta."
0:00:31,0:00:35,"Ali zona, ono što je na utrkama, to je ono divot, to je nešto divno."
0:00:35,0:00:44,"Otkucaj su na 170, ne razmišljaš više o ničemu, pretvoriš se jednostavno u mašinu koja vozi auto i nemaš strah, ne razmišljaš više o ničemu."
0:00:44,0:00:45,I dođeš na cilj i znaš da si prvi.
0:00:50,0:00:53,"Dobrodošli u Specijalu Lud, moje ime je Ana Čerenšek."
0:00:53,0:00:59,Danas nas čeka jedan zanimljiv razgovor sa našim najboljim reliv vozačem.
0:00:59,0:01:02,Vidjet ćemo kolika je konkurencija uopće u tom području.
0:01:02,0:01:04,"Juraj Šebalj, dobro mi je došao."
0:01:05,0:01:09,"Pitaju ljudi koji auto ti voziš, ne znam koje namjere imaju, ali."
0:01:09,0:01:19,Ako ne želiš propustiti ni jednu epizodu Lud Potkesta za zaprati naš YouTube kanal i primaj obavijesti nakon izlaska svakog novog videa.
0:01:19,0:01:20,"Dobro, te našao."
0:01:20,0:01:20,Dobar dan.
0:01:21,0:01:21,Pozdrav svima.
0:01:22,0:01:22,Dobar dan.
0:01:22,0:01:25,"Samo da te možemo na ti, danas smo na ti."
0:01:25,0:01:26,Danas smo na ti za inače.
0:01:28,0:01:28,Inače smo na vida.
0:01:29,0:01:29,Dobro.
0:01:30,0:01:41,"Nisam najbolji religiozni vozač, najtrofeni možda u Hrvatskoj zato što sam imao, bio sam, bio sam dovoljno lud da to idem raditi jako dugi niz godina."
0:01:41,0:01:44,"Ti si kolukama odrećao, ali u automobilskom svijetu."
0:01:45,0:01:45,"Dobro, drago mi je."
0:01:46,0:01:46,Hvala ti najljepša.
0:01:47,0:01:47,"Da, hvala ti najljepša."
