Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:04,"Da te sad zatvorim u kutiju metar sa metra, bio bi jako nesretan, jel tako?"
0:00:05,0:00:09,"A da te onda pustim u kutiju 10 sa 10, bio bi jedno kratko vrijeme sretan."
0:00:09,0:00:13,"A onda te stavim u kutiju 100 sa 100, bio bi sretniji nego što si bio prije."
0:00:14,0:00:18,"To je zato što ti ne znaš gdje je sreća, u čemu je sreća, razumiješ?"
0:00:18,0:00:20,Ti ne znaš koliko trebaš imati da bi bio sretan.
0:00:21,0:00:26,Ti si okrenut prema toj granicama koje te okružuju i one ti određuju sreću.
0:00:27,0:00:35,"Kada ne bi razmišljao o tim granicama, nego samo o sebi, kada ne bi razmišljao o ovim vanjskim utjecajima koje imaš tu, ti bi bio uvijek sretan."
0:00:39,0:00:40,Koja je tvoja igra?
0:00:42,0:00:43,Tvoja igra te čini posebnim.
0:00:45,0:00:46,Ona te pokreće i inspirira druge.
0:00:48,0:00:49,Kako kad se krećeš?
0:00:50,0:00:52,"To je tvoja igra, intersport."
0:00:53,0:00:57,Odakle ti je opće ta strast za boksom?
0:00:58,0:01:00,Kako si krenuo u taj svijet?
0:01:00,0:01:03,"Ljudi iz Kosova su inače ratnički narod, naš."
0:01:03,0:01:06,"Malo nastrojeni, primitivno da se tuku."
0:01:07,0:01:12,A pogotovo iz Dubraves sam i odrasla sam tamo u toj sredini gdje si mogla opstati biti papa ili frère.
0:01:12,0:01:13,Ne možeš ništa biti drugo.
0:01:13,0:01:14,Ne možeš biti drugo.
0:01:14,0:01:23,I sad ti misliš da si frajer ako se tučeš i mogu si vani ići šetat ulicom ako si pa pak moraš biti u dvorištu i ne smiješ izaći van iz ulice.
0:01:23,0:01:35,"Ja sam i zapravo ipak to, a nisam baš bio visok, jak, veliki, onda me uvijek to vuklo i znao sam da ako ne budem da se bavim barelačkim sportom, neće baš biti preveliki frajer na ulici."
0:01:36,0:02:00,"Iako ne mogu ja reći da sam se puno tukao vani, međutim, rano sam počeo trenirati i ta istička disciplina i taj način života me privuko da budeš onaj naš pravedan, da budeš discipliniran, da paziš na sve što možeš, zdravlje, na okolinu, na ljude u onome i to me tako profiliralo dobro i to mi se toliko sviđalo da sam ono ostao u tome."
0:02:00,0:02:05,"Ostvario sam počeo prvo boks trenirati ali se klub raspao u Dubravi, u Trnavi jedan mali klub već bio nešto."
0:02:06,0:02:08,"Koliko je to godina bilo, koliko si imao godina?"
0:02:08,0:02:13,Bilo sedamdeset devet godina osam devet godina sam imao kad sam se boksom svega.
0:02:13,0:02:29,"i onda je prestao i onda je klub se ugasio i onda sam najbliži klub borilačke bio tek u ondo studenskom gradu iz dubraja i onda sam otišao na to i onda kad sam već bio stariji kad bi mogao otići u grad ali već je gotovo bilo, već sam ovdje počeo rezultate raditi, već sam bio u reprezentaciji Jugoslavije i to."
0:02:30,0:02:57,"Tako da, ali ti bolesni sportovi su mi uvijek bili, ne znam zašto, uvijek me je to privlačilo, imalo neku svoju dušu, znači da, znači, udirnete ono najprimitivniji onaj dio opstanka naša, da budeš nešto, da budeš brajer, da budeš naša, da se boriš nekako u životu, znaš ono, neki taj intelektualni dio nam nije bio jača strana, znači onda budemo matematičari, književnici, to nismo puno."
0:02:58,0:03:04,Jesi kao ostatak mladeži pronašao neku inspiraciju u Bruce Leeu recimo možda.
0:03:04,0:03:05,On mi je bio najveći i dola.
0:03:06,0:03:10,"Da, on je bio najveća inspiracija, u to vrijeme je bio najveća zvijezda."
0:03:10,0:03:12,I ono što me uvijek vuklo je muzika.
0:03:13,0:03:13,Da.
