Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:09,Ljudima je potpuno našiban moj životni stil i to su neke stvari koje još uvijek prorađujem da se ja ne moram nikome dokazati da je ono što smo rekli da je dovoljno da sam samo tu.
0:00:10,0:00:15,Ljudi će o meni misliti uvijek što god žele misliti i ja nisam tu da to promijenim.
0:00:15,0:00:21,"Kad netko ima neko mišljenje o meni ja mu zapravo kažem ti si u pravu, ja sam u miru."
0:00:24,0:00:33,"Ja se sjećam trenutka, ja se upustim sa ženom i sada ono vidimo da to ide u nekom smjeru koji će biti ozbiljan itede to je jako brzo išlo kod nas."
0:00:34,0:00:45,"I sjećam se jednog dana mi u Istri i sad ono navečer ono naš, nas zove sami ludilo romantika, ono mi u Savoniji sad pričamo o tome, o djeci znaš."
0:00:47,0:00:53,"I sad se pitamo da li želimo imati djecu i ako želimo, koji je osnovni motiv."
0:00:53,0:01:04,"I sad, evo, ružno možda za reći, ali moj osnovni motiv je bio da možda sam se bojao proći kroz život da nemam to iskustvo."
0:01:06,0:01:16,"Nisam htio doći u poziciju da jednog dana imam pedeset ili šezdeset godina da skužim da sam sebe nisam mogao zadovoljiti sa svojom karijerom, sa svojim ambicijama."
0:01:17,0:01:25,Mislim nije ni pitanje toga da li ćete s djetetom zadovoljiti ili neću nego je baš pitanje onako nekog bogatstva tog iskustva recimo.
0:01:25,0:01:29,Mislim da je to jedno onako jako bogato iskustvo koje je možda šteta propustiti.
0:01:30,0:01:36,"Da, ne više lijepo si to rekao, ali opće mi nije, zapravo si rekao iskreno što misliš i to je lijepo."
0:01:36,0:01:42,Mogu si mi sad reći neki razlog da zadovoljiš mene ili tak nešto ali si rekao točno kako je.
0:01:42,0:01:47,Ali mislim i da je to opet puno bolji odgovor jer ste vi imali taj prekrasan opći razgovor.
0:01:48,0:01:48,Aha.
0:01:48,0:02:14,naš nije bilo ono jer to tako ide jer se djeca imaju i zapravo mislim možda i nakon što si i dobio i dijete i prvo i drugo da ti se sad to samo još i povećalo i da onak da gledaš možda tu djecu koju ne želim reći kao projekt ali meni je uvijek se imao dojam da nekako često vidim roditelje koji gledaju kao djecu kao nešto što je njihovo.
0:02:17,0:02:36,"Oke ti jesi tu ono bio sukreator tog bića ali kao to biće ide dalje i ti ga nekako usmjeravaš i daješ mu tu neko znanje, ono, prekrasno je šta možeš napraviti od djeteta, a i prežalosno šta možeš napraviti da dijete bude, a ne bi trebalo biti takva nekakva mala."
0:02:37,0:02:54,"Jedna prekrasna stvar što se tiče djece i ono roditelja djece tog odnosa, mislim da sam čuo Petersona da je pričao o tome da ako to napraviš kako treba da imaš šansu izgraditi jedan od najdubljih i najljepših odnosa koje možeš imati."
0:02:55,0:02:56,To je prekrasno.
0:02:57,0:02:58,To je prekrasno da.
0:02:58,0:03:11,"Jer ja si nekako razmišljam, mislim možda Mislim, može to onako žalosno i vjerojatno bi to mojoj mami bilo teško čut, ali nekad i vjerojatno i tati, ali nisu mi oni prvi ljudi kojima se obratim kad mi je teško."
0:03:12,0:03:52,"A kako bi prekrasno bilo ono da recimo glam uvijek mi je sestra referenca za puno stvari u životu, glam njezino dijete ono to malo bit će onako četiri godine, sada ja primijetim kako ona sestri sve bez filtera kaže, kompletno ono ako joj se nešto dogodi sve joj kaže, onda si mislim kako bi bilo lijepo da sam ja imala tu neku sigurnost, ali evo nema veze, nije toga bilo, ali evo baš primjećujem koliko je lijepo da je sestra recimo možda i hrabri od mene pa i ima dijete, ali ona to potpuno drugačije sada radi i drugačiji stil odgoja."
0:03:52,0:03:53,To je baš divno za vidjeti.
0:03:54,0:03:56,Jako si blisko sa sestrom.
0:03:56,0:03:57,"Jesam, jesam."
0:04:00,0:05:25,"Ono ako si primijetio da, ja jedva znam koja je sada godina, tako da sestra od mene tripet godine starija i nismo naravno uvijek bile bliske, ono prije to bilo naravno, mislim, doma bi se tu kleču pa svađale itede Ali sad recimo zadnjih možda četiri, pet godina i ona i ja intenzivno radimo na sebi i svaka ide i na terapiju i neke svoje životne puteve i škole prolazimo i to nas je jako zbližilo i sad zapravo i neposredno i surađujemo skupa i radimo u istom prostoru i prvu stvar koju je onako mama rekla sestri kao nemojte skupa raditi, to bi naš moglo narušiti vašu odnos i to uvijek je, ali ja se nikad u životu nisam tuđim metrom mjerila i onda i taj mali INA ti imam u sebi i onda kad mi netko to kaže onda baš ide istražiti zašto je to tako i naravno da dođe možda i do nekakvih trzavica itede ali to mislim, to su izazovi koji dođu i samo pokazuje koliko radiš na sebi i način na koji te nekakve trzavice rješavaš jer ni jedna ni druga nemamo neki sad egomoment da ja kažem e ovo je moj prostor bit će kako ja kažem ili ona meni kaže ja sam stari, ja sam prometnija, ne divan odnos imamo."
0:05:25,0:05:29,"Odnos imamo, baš prediva, tako da sretna sam da je uz mene."
0:05:30,0:05:32,Kakvo je to radi sa sestrom?
0:05:33,0:05:39,"Ma super, sestra je takva legenda, ja uopće ne mogu vjerovati da je ona toliko snalažljiva."
0:05:40,0:05:45,"Znači, ona je završila ekonomiju, radila je u korporaciji."
0:05:47,0:05:56,"Dok je radila u korporaciji, ja nisam bila toliko bliska, ja sam je putovala po svuda, samo da budem što dalje od tud, iskreno."
0:05:57,0:06:16,"I onda kad god bi se vratila, bi joj nekako čeljenčirala i ja kakva jesam, ja sam jako onako i znam kad mi je do nekog stalo i strastvena i onako jako želim izbaviti tu osobu, onda bi ja stalno čeljenjirala kao pa seko sve što ti radiš, ovo što radiš."
0:06:17,0:06:23,"I onda bi uvijek kao neka onako ona sleeping beauty, pa ne, meni je ovo ok, meni je ovo super."
0:06:24,0:07:14,"Kao moj život počne i za pet kad dođem s posla i meni je to ono, ja bi ju najrađe tada naša ono protresla, idemo, ali to su bila moja očekivanja, a po putu sam se negdje shvatila da nisu tu ljudi da ispunjavaju moja očekivanja i kad je ona bila spremna, ona je poletila i odlučila slijediti svoj san i eto sada ono da ubrzamo priču, nas dvije sad radimo skupa, imamo taj prostor, ona ima svoju cvjećarnu, ja imam svoj dio gdje je hrana, međutim učim ja od nje, uči ona od mene i kad god mi treba pomoć ona uleti i toliko je sposobna i ne treba baš i dva puta reći, ona vidi osjeća i toliko je inteligentna i sve ono, svega se uhvati."
0:07:15,0:07:16,Takve smo zapravo jedna i druga.
0:07:17,0:07:31,"Meni da mi uzmeš moju profesiju, sad je nešto drugo, ja bi našla nešto treće, sad bih ja tu s tom smisla neki poslovni projekt, ja uvijek nešto smišljam, našao, tako da nije mi strano nešto počet skroz iz početka zapravo."
0:07:33,0:07:37,Evo primijetio sam da ti nije problem ni prekinuti nešto.
0:07:38,0:07:38,Ne.
0:07:38,0:07:40,To mi je bilo fascinantno baš.
0:07:41,0:07:42,"Nije, nije, nije mi problem niti."
0:07:44,0:07:46,"Da, da, da, ovo nije mi problem."
0:07:46,0:07:51,Što je ispalo po medijima recimo da je bilo izuzetno uspješno ali da ste vi na vrhuncu uspjeha?
0:07:51,0:07:59,"Zatvorila, da, zato što sam kao što zapravo nisam ni ja tu da ispunjavam tuđa očekivanja."
0:07:59,0:08:04,Ja sam negdje funkcionira na način da dosad sam intuitivna.
0:08:06,0:08:14,"I sad to ljudima koji su strogo znašu u glavi, to im je potpuno čudno da im ja kažem da ja to više nisam osjećala."
0:08:16,0:09:04,"I ja sam pogledala svojeg kolegu Grgu Bačiću i mi smo doslovno u tri dana, ja sam njemu rekla, ja mislim, ja bi ga zvala Diko, Diko Moda, da smo i kod ikoga, a da smo mi tu napravili što smo mogli napraviti jer to je ti počelo sve nekako romantično, ja sam radila u svijetu visoke gastronomije gdje je sve nevjerojatno nabrijano, gdje je ono velike su tenzije itede i naprosto ja više nisam htjela taj stres i taj pritisak i rekla sam ako ću se vratiti u Zagreb otvorit ću nešto svoje, nešto totalno ono, simple i tak sam ti u tom malom prolazu otvorila, u toj maloj kućici, ja uopće ne znam kako bi to nazvala, plez gdje si ti mogao doći poez Gablec i mi bi ti svaki dan tri nova jela skuhali, kad bi skuhali, prodali i otišli bi."
0:09:04,0:09:16,"Ja sam ti nekako u svojoj glavi imala računi su da će se pojaviti u tom prolazu možda dvadeset i trideset ljudi i bit će dovoljno nas dvoje da to handlamo, ja si odem na plac, ja tu nešto malo skuham i tako."
0:09:16,0:09:26,"Međutim, to je u jednom trenutku baš ono počelo prelaziti brojke od sto ljudi koji bi jeli svaki dan i postala je mašinerija, a to je bio jako mali prostor."
