Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:11,"Puno danas istraživanja govori o tome koliko je ta podrška kod liječenja iznimno važna i koliko je ta neka komunikacija zdravstvenih radnika prema ljudima zapravo dosta, mogu reći, ključna u tom uspjehu."
0:00:12,0:00:21,"Ja mislim da nitko nije zdravstveni radnik slučajno, jer to je njegov životni zadatak da svoje kapacitete i resurse i možda neku svoju svrhu proživi kroz to da pomaže ljudima."
0:00:21,0:00:35,"Jako puno fotografiramo, radimo puno pretraga da bi dobili neku informaciju, a zapravo jako malo vremena provedemo da razgovaramo sa čovjekom, da vidimo kako je živio, što je radio, da bi mogli doći do možda neke konkretnije informacije o tome zašto se razbolio."
0:00:36,0:00:38,Zdravstveni sustav nije tržište zdravlja nego pažnje.
0:00:38,0:00:41,Čak možda sama ta pažnja ih više izlječi.
0:00:41,0:00:47,Zapadna društva pa i Hrvatska zapravo ima sve veću ponudu različitih alternativnih modela ako ih možemo tako nazvati.
0:00:47,0:00:49,Oni su radili sve što ne radi zdravstveni sustav.
0:00:50,0:00:52,Tim nekim drevnim tradicijama kažu da je bolest učiteljica.
0:00:52,0:00:56,"I ona se uvijek dogodi da bi nas na neki način, kako moja baka kaže, opomenula."
0:00:57,0:01:04,Ali da nam ukaže da neke stvari radimo zapravo krivo i da negdje nas poziva da budemo bolji prema sebi.
0:01:04,0:01:11,"A mi polako, slabljenjem tog javnog sustava i jačanjem privatnog, idemo u to da ćemo morati imati 100.000 eura, ali nismo počeli skupljati."
0:01:11,0:01:13,I nismo ni rekli ljudima da počnu skupljati.
0:01:13,0:01:21,Misliš da sustav ide u tom smjeru i da zapravo ovo što uplačujemo kroz doprinose za zdravstveno da neće biti dovoljno za brigu o svom zdravlju?
0:01:21,0:01:22,Mislim da ne.
0:01:23,0:01:24,"Ana, dobrodošla."
0:01:24,0:01:25,Hvala lijepo.
0:01:26,0:01:39,"Postoje naših gledatelja recimo i u tim godinama gdje bi mogli biti zainteresirani za ove tematike, znači općenito zdravstveni sustav, pa isto tako i ta farmaceutska vertikala da se tako izrazim."
0:01:42,0:02:10,"Čini mi se nekako posebno kroz period COVID-a da se povjerenje u taj prvenstveno farmaceutski sustav povjerenje smanjilo jel, ali općenito i u cjelokupni zdravstveni sustav u Hrvatskoj pogotovo gledajući kakav je pristup pacijentima, koliko se pažnje posvećuje pojedincu, cijela jedna velika zbrka u cijelom tom zdravstvenom sustavu."
0:02:11,0:02:19,"Odakle taj tvoj motiv da kroz svoj rad, pogotovo i kroz javno komuniciranje to učiniš boljim?"
0:02:20,0:02:24,"Tu smo i ja ti pričali, bili u tom nekom utopijskom svijetu."
0:02:25,0:02:30,Prvo moramo razdvojiti taj dio koji ja radim od farmaceutskog na kojeg si ti možda mislio.
0:02:31,0:02:33,Ljekarnička komora se ne bavi farmaceutskom industrijom.
0:02:34,0:02:42,"Mislim da je korona općenito zadnjih desetak godina, imamo puno teorija zavjera različitih ideja šta farmaceutska industrija radi, a ne bi previše ulazilo u to."
0:02:43,0:02:52,"Moj posao je zapravo da se brinemo o ljudima koji rade u ljekarnama na način da bude njima dobro i da pacijentima bude dobro, ako mogu tim jednostavnim jezikom to reći."
0:02:53,0:03:08,"Ljekarne su mjesto gdje čovjek kad putuje kroz rastveni sustav dođe prvo i završi, zapravo to je svoj put u ljekarni i za mene je važno da ljudi u ljekarnama razumiju pacijente, razumiju njihove potrebe i da nekako dobro rade svoj posao."
0:03:09,0:03:23,"Motivacija mi je, pa šta znam, neka ona unutarnja, obiteljska, neka iskustva, osobna iskustva su me zapravo naučila da ta podrška u bilo kojem problemu je ključna za rješenje svakog problema."
0:03:24,0:03:41,"I ja sam dugo radila u ljekarni, radila sam u ljekarnama gdje ima relativno malo pacijenata pa sam onda imala puno vremena pričati s ljudima i ta povratna informacija o tim ljudima mi je zapravo bila stalni dokaz koliko je važno da nađemo vremena i da nekako svoje resurse i znanja i empatije koristimo da im bude bolje."
0:03:42,0:03:55,"Puno danas istraživanja govori o tome koliko je ta podrška kod liječenja iznimno važna i koliko je ta neka komunikacija zdravstvenih radnika prema ljudima zapravo dosta, pa mogu reći ključna u tom uspjehu."
0:03:56,0:04:19,"Ta podrška ne može biti samo od zdravstvenih radnika, ona mora biti neka i naša unutarnja, moramo imati i obitelji, prijatelje, moramo imati i taj sustav organiziran da nam bude podrška, ali ta ljudska riječ i neko dublje razumijevanje bolesnika ja mislim da je iznimno važna i nekako moj zadatak kad razgovaram sa ljekarnicima je zapravo da ih usmjerim na to koliko je važno da daju sebe u tom dijelu."
0:04:20,0:04:35,"To je dosta teško jer zdravstveni radnici su isto samo ljudi i nemaju uvijek kapaciteta za to odraditi na nekoj najvišoj razini, ali moj nekako je da stavljamo fokus na to, na znanje i na komunikaciju, odnosno razumijevanje i empatiju."
0:04:35,0:04:36,To je ključna stvar.
0:04:37,0:04:41,S kim se ljudi prvo zapravo susreću kad se razbole?
0:04:42,0:04:48,"To je vjerojatno obiteljski liječnik, liječnik opće medicine u ambulanti, on zaista."
0:04:48,0:04:53,"O tome koliko se loše osjećaća kod ljekarnika, onda idu specijalistima."
0:04:53,0:05:03,"Zapravo, ti si spominjala da se vani to funkcionira na taj način da doslovce osoba kao da ima nekog koordinatora u sebi."
0:05:04,0:05:13,"U tom nekom procesu ozdravljenja, nažalost kod nas u Hrvatskoj koordinatori smo sami sebi palutamo, tražimo."
0:05:15,0:05:18,Često pričamo o tome kako je pacijentima putovati kroz taj sustav.
0:05:19,0:05:35,"Imam jedan slajd na prezentaciji koji je onako kao šema nekog brutalno kompliciranog stroja koji ima tisuću puteva, tisuću kontakata, tisuću neke kućica, samo da prezentiram i ljekarnicima i liječnicima koliko je teško zapravo pacijentu kad se razboli."
0:05:38,0:05:50,"Ako imamo neki lakši simptom, odemo u ljekarnu, ako imamo neki teži simptom, odemo kod liječnika obiteljske i onda dobijemo tisuće nekih uputnica i prepuštani smo sami sebi i tražimo mjesto gdje će nam biti ona neka sljedeća faza liječenja."
0:05:51,0:06:00,"A nekako moramo biti svjesni da većina ljudi zapravo nema ni dovoljno znanja, a ja bih rekla možda i hrabrosti i snage da to sam za sebe odabere."
0:06:01,0:06:10,"I ja vjerujem da ćemo u budućnosti, a nadam se brzo zapravo i osmisliti to ime i mjesto koordinatora u sustavu koji će voditi pacijente kroz to."
0:06:12,0:06:34,"Ja sam imala neka iskustva ljudi u moje blizini koji su bili jako bolesni i oni su svoje koordinatore našli u nama, u nekim svojim prijateljima koji su bili zdravstveni radnici pa im je bilo jednostavnije, ali taj koordinator u njihovom životu je zapravo bila jedna od važnih uloga i važnih mjesta da bi oni danas bili zdravi ljudi jer jesu, a prognoze su bile ful loše."
0:06:35,0:06:37,Koja bi bila ljepša riječ za koordinator?
0:06:40,0:06:41,Podržavate.
0:06:45,0:06:56,"Osim ovih tehničkih nekakvih znanja i vještina gdje trebaš ići dalje u tom zdravstvenom sustavu, možda je dominantnija ta uloga kao emotivne podrške nekim, pogotovo osobama koje su teško bolesne."
0:06:57,0:07:13,"Tako je, jer medicina se bavi našim fizičkim tijelom, a nekako mislim da nam je svima važno da znamo da osim našeg fizičkog tijela postoji to mentalno tijelo, emocionalno tijelo, duhovno tijelo, koje svako od njih zapravo."
0:07:13,0:07:19,"treba biti zdravo da bi manifestacija naša, odnosno naše tijelo medicini izgledalo zdravo."
0:07:20,0:07:48,"I to je zapravo jedna onako, slušala sam gospodina Rajevića kad je bio tu pa je priča o tome koliko je obrazovanje zastarjelo, da knjiga iz fiziologije se nije mijenjala 40 godina, tako imamo puno novih znanstvenih istraživanja koji pokazuju zapravo koliko je važno možda i ključno gledati čovjeka u nekoj cjelini sa svim tim tijelima, ne samo fotografirati glavu, kosti i vaditi krvne nalaze jer jednostavno to nije dovoljno."
0:07:49,0:07:59,"Ne znam koliko imaš susreta sa bolesnim ljudima, ali kad se ljudi razbole, naročito sa nekom teškom dijagnozom, onako možemo reći da njihova energija jako padne."
0:07:59,0:08:08,"To znači da je njihovo mentalno tijelo u velikom stresu, da imaju tisuće misli, strahova, ne mogu biti prisutni da bi donijeli neku dobru odluku."
0:08:08,0:08:13,"Njihove emocije su uglavnom tuga, strah."
0:08:14,0:08:24,"I cijela ta nova okolnost zapravo u njihovom životu utječe značajno na njihovo fizičko tijelo, odnosno na njihovo tijelo koje mi opipamo kad nam treba."
0:08:26,0:08:45,"I po meni je budućnost zapravo medicine odnosno liječenja pa i farmacije zapravo sigurno mora ići u tom smjeru da se obrazovanje zdravstvenih radnika usmjeri da mogu što bolje, što dublje razumjeti cijelo to stanje pacijenta jer ako to budemo mogli i budemo znali onda će uspjeh u liječenju većine bolesti sigurno biti puno bolji."
0:08:46,0:08:55,"I već sad postoji ogromna znanost iza toga, imamo puno dokaza za to, samo to nije dio bazičnog obrazovanja i taj dio mislim da je važno da mijenjamo."
0:08:56,0:09:07,"Mi u Lekarničkoj komori imamo taj sustav cjeloživotnog obrazovanja, tako smo se zapravo i Ana i upoznale, mi smo angažirali Anu da nauči ljude u ljekarnama nositi sa stresnim situacijama."
0:09:07,0:09:16,"Jer ako ih naučimo da se lakše nose sa stresom, onda će oni biti bolji prema sebi, bit će bolji prema pacijentima."
0:09:16,0:09:18,To je baš onako bio meni jedan važan zadatak.
0:09:18,0:09:24,"Krenuli smo nakon COVID-a i jedno dvije, tri godine smo zapravo se bavili tim stvarima, postavljanjem granica."
0:09:28,0:09:29,Ja bih rekao da je to dosta važno.
0:09:30,0:09:51,"Jer i ti ljudi koji rade u zdravstvenom sustavu su zapravo isto samo ljudi i isto imaju svoje probleme, možda i veće nego što imaju pacijenti kad dođu kod njih, ali ta jedna odgovornost naša prema njima zapravo mora biti neka onako nit vodilja koja nas tjera da se mijenjamo, odnosno vodi nas, da se mijenjamo sebi, pomognemo da bi bili bolji njima."
0:09:51,0:09:54,"I kad smo pričali nedavno, pričali smo o tim nekim životnim zadacima."
0:09:55,0:10:05,"Ja mislim da nitko nije zdravstveni radnik slučajno, to je njegov životni zadatak da svoje kapacitete i resurse i možda neku svoju svrhu proživi kroz to da pomaže ljudima."
0:10:07,0:10:12,"To je neka koja, mislim, lijepa poruka za sve nas, ali možda i tako pozivna odgovornost."
