Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:01,"Andrija, Vinkov."
0:00:05,0:00:10,Jel ti je Slava malo udarila u glavu nakon prve naše epizode?
0:00:11,0:00:20,"Jučer sam ti iščisto brojke, preko tri milijuna impresija, sto pedeset tisuća pogleda kako se nosiš sa podcast Slavom?"
0:00:21,0:00:37,"Pa ne znam ja to ne bi nazvao slavom ali svjesna sam i ja da to nisu brojke neke koje mi se ni ti ni ja nismo očekivali te epizode pogotovo jer je tema bila ništa tako reći da meni je ogroman šok, meni je ogroman šok i sve te brojke brojke."
0:00:38,0:00:42,Tako da moram odmah reći na početku da je zato veća nervoza nego prvi put.
0:00:43,0:00:45,"Prvi put, znači, nisi ništa očekivao pa je."
0:00:45,0:00:45,"Ne, ništa dobro."
0:00:48,0:00:53,"A sad je već nekako ono očekivanje što će sad biti, što ako sad probali neku glupost."
0:00:54,0:00:55,Sad ćemo vidjeti.
0:00:55,0:00:56,Ostanite.
0:00:56,0:00:58,Stiže li glupost ova?
0:00:58,0:00:59,Sigurno će biti nešto zanimljivo.
0:01:02,0:01:11,"Znaš šta mi još recimo bilo zanimljivo osim tog uspjeha te tog našeg prvog razgovora, ti si zapravo preporučio bio u vidu Demarina."
0:01:12,0:01:12,Točno.
0:01:13,0:01:22,"I vidite da je Marinije još veći uspjeh polučila nego što ste vi, pa evo hvala na tome što ste se i naspojili, a to ljudi možda ne znaju."
0:01:24,0:01:32,"Pa sad, znaš kako je ono Vida zastupa nekako ovaj mozak, fokusirana je na mozak, a ti si fokusiran na crijeva."
0:01:33,0:01:41,"I kako vas dvoje se borite, tko pobjedi u toj borbi između vas dvoje, kako se uopće dogovorite tko je u pravu?"
0:01:41,0:01:49,"Pa ovako, Vida i ja se odlično slažemo i surađujemo, tako da nikakve tu razdora, konflikata nema."
0:01:49,0:01:56,"I ono što vi da uvijek ističe da je OSCE, CRIV, Mozak, Mozak glavni i ja se zaista moram tu složiti."
0:01:57,0:02:03,"Zato što ako gledamo kako ta dva sustava funkcioniraju, mislim definitivno da je tu Mozak glavni."
0:02:04,0:02:16,"Dosta se često sad pokušava to predstaviti kao da CRIV ima tu nekakvu funkciju kontrole i ja mislim da je to više uloga nekakvog, rekla je sada engleska riječ, feedbacka."
0:02:17,0:02:20,Povratne informacije odnosno kakva je situacija u CRIV-ima.
0:02:20,0:02:29,"Onda se često zna, postoji taj argument kao da ipak od deset razmijenjenih informacija, D devet informacija ide od crijeva prema mozgu, a samo jedna informacija od mozga do crijeva."
0:02:30,0:03:08,"E, ja tu volim zapravo reći da mozak ne sluša crijeva, nego mozak voli puno toga čut što se događa u crijevima i to je ta velika razlika, je možda veća količina informacija koja ide iz crijeva u mozak, ali ipak je naš mozak taj koji određuje kakvi smo mi odnosima, na kojem smo mi mjestu, znači naš mikrobiom, naša crijeva nemaju svoje noge, svoje emocije, ne mogu one odlučivati tako da ipak mozak ima tu zadnju riječ i zato mislim da ipak u OSEC-u je mozak kao što vidi da kaže šef cijelim tijelom."
0:03:08,0:03:15,"Znači, mozak je šef koji hoće poslušat svoje zaposlenike, ali on je taj koji će donijeti odluku."
0:03:15,0:03:18,"Da, uz pomoć informacija koje dobije iz srca."
0:03:18,0:03:40,"Da, zanimljivo je kad pričate s ljudima koji su nekako fokusirani na srce, oni će isto reći da više komunikacije, što se tiče smjera komunikacije od srca prema mozgu, pa sad ti kaže da je takav slučaj isto i za crijeva, da li nekako svi favorizirate svoj dio nekakve profesije i struke, pa evo, lijepo tebe da si priznao."
0:03:41,0:03:45,"Pa nije da sam priznao, ali evo recimo i u radu s ljudima se to vidi."
0:03:45,0:04:06,"Znači često mi vidimo da netko ima loš mikrobijom, ali ako su crijeva glavna onda se ti ljudi ne bi mogli pomaknuti sa mrtve točke, a mi svjedočimo upravo drugo da ljudi ako imaju volju, ako imaju znanje, ako taj mozak ima informacije što napraviti da se taj mikrobijom vrlo kvalitetno može oporaviti što ipak znači da je mozak e tu glavni."
0:04:06,0:04:14,Ono što mi je još bilo fascinantno je zapravo nakon tog našeg prvog razgovora koliko ljudi je zainteresirano za temu crijevnog mikrobioma.
0:04:15,0:04:23,"I sad ti si mi napomenuo da posjeti jedan vrlo popularan dokumentarac na Netflixu koji se zove Hack Your Health, the secrets of your gut."
0:04:24,0:04:28,"Hakirajte svoje zdravlje, tajna tvojih crijeva."
0:04:29,0:04:32,Šta je to toliko ljudima primamljivo?
0:04:32,0:04:38,"Dosta onako zvuči, znaš, teško, suhoparno, znanstveno, teorijski kao crijevni mikrobiom."
0:04:39,0:04:50,"Šta je ljude toliko zainteresiralo, pogotovo da Netflix to njihov originalni dokumentarac, da su uložili toliko novaca i da je taj dokumentarac toliko gledan i da je tvoj rad zapravo isto toliko."
0:04:50,0:04:51,"Pa da, obrnuto je nešto."
0:04:52,0:05:10,"Da, pa ja sam u tom smislu, ja isto sam iskreno nisam očekivao, ja sam isto prvi put mislio da je to nekakva nišna tema gdje je ono čemu se mi često bavimo, znanost je to, ali onda se zapravo vidi da taj mikrobion kao je povezan sa toliko stvari koje su nama jako bitne."
0:05:12,0:05:26,"I ono što je nekako zanimljivo je da kako sve što mi radimo po pitanju našeg zdravlja, što jedemo, koliko spavamo, pušimo, ne pušimo, pijemo, ne pijemo, da se sve to odražava na tom mikrobiomu."
0:05:27,0:05:35,Nema stvari u našem organizmu koja je toliko dinamična i koja toliko jasno može reflektirati zapravo sve što mi radimo kroz dan.
0:05:36,0:05:57,"I onda naravno mislim da je to jedna druga stvar i sve taj nekakav i misterij jer sve to što se događa u našim crijevima nekakvoj nesvjesnoj razini, mi se nekako imamo osjećaj da mi tu nešto i kontroliramo, da smo mi na toj polozi ali mi vam vi kad progutajete nekakav zaloga i on je pod kontrolom probavnog žičanog sustava."
0:05:58,0:06:05,"Ništa mi više tu ne određujemo, a toliko toga u tom crijevu, u tom probavnom sustavu onda poslije određuje nas."
0:06:06,0:06:15,"Tako da to je, mislim da je ta druga komponenta, ta nekakva misterioznost i taj osjećaj da se u nama nešto zbiva a mi to ne možemo potpuno to razumjeti."
0:06:16,0:06:25,"A onda treća stvar, mislim da su jednostavno i te spoznaje koje su se generirale sad tijekom zadnjih deset godina, to tih zadnjih deset godina se smatra kao dobom mikrobioma."
0:06:27,0:06:52,"Mislim da je to jednostavno fascinantno, sve te neka pitanja koje mi prije nismo mogli objasniti, koji bi oni ljudi možda i mislili u sebi, ali ne bi htjeli podijeliti jer nam je bilo neugodno, a sad mi točno znamo, možemo objasniti, imamo reference, imamo u praksi, možemo ono kroz jednostavan pokus pokazati, tako da to je, mislim da je taj veliki šok i ta fascinacija cijelom pričom."
0:06:52,0:07:10,"Zapravo općenito naš životni stil, ovo što si sad spomenuo, san, prehrana, tijelo vježba, psihičko, emotivno naše mentalno stanje itede zapravo ne utječe samo na crveni mikrobiom nego utječe na sve aspekte nas kao ljudskog bića."
0:07:11,0:07:18,Pa mi je zanimljivo zašto toliko pozorno toliko pozornosti onda obratiti na taj dio koji zapravo ni nismo mi jel tako to je?
0:07:18,0:07:37,"Da, mislim, mi znamo da ovisno o tome što smo jeli, ovisno o tome kako smo proživjeli dan će naravno drugačije funkcionirati naša jetra, naši mišići, koža će se drugačije razgrađivati, izgrađivati, ali ono što sad znamo da se to događa sve preko informacija iz mikrobioma."
0:07:38,0:07:45,"Tako da taj mikrobiom je samo taj most, ta spojnica između onoga što mi radimo i onda što se poslije događa u našem tijelu."
0:07:45,0:07:52,"I to je ta fascinacija zato što smo mi dugo i smatrali da nekako to nije pod našom kontrolom, nego to je genetika, epigenetika."
0:07:53,0:08:07,"A sad imamo taj nekakav sustav na kojem mi teoretski i u idealnom svijetu s jednom kapsulom možemo promijeniti razgradnju alkohola, recimo izgradnju mišića, suzbitost oporavu."
0:08:08,0:08:13,Tako da to je nekakva atrakcija u cijeloj priči.
0:08:13,0:08:47,"Ajmo mi napraviti jedan onako lijepi veliki presjek životnog stila i utjecaja životnog stila na mikrobiom, pa ćemo se možda kasnije dotaknuti mentalnog zdravlja i to psi.hološkog aspekta prehrane, suplementacije, što god, ali idemo naprijed jedan presjek onako malo opširniji, što točno to u životnom stilu utječe na mikrobiom, koje su to posljedice onda na naše zdravlje, onako pokušaj nekako po prioritetima."
0:08:49,0:08:57,"Pa ovako, mislim da na prvu bi svi naravno rekli da je prehrana glavni čimbenik, ali ja bi sad tu rekao odgovorno tvrdio da je ipak san."
0:08:58,0:09:10,"Onda kad gledamo mi naše rezultate iz istraživanja, ako gledamo i praksu u radu s pacijentima, ako dijelimo dobre i loše mikrobiome, jedan od najvažnijih čimbenika pri tom nam je san."
0:09:12,0:09:44,"San je ključan zato što je to jedini proces u našem tijelu tijekom kojeg se naše tijelo regenerira, a to isto vrijedi i za mikrobiom, odnosno ako i ti hraniš, imaš najbolju prehranu na svijetu, ideš najkvalitetnije namirnice, ako i treniraš, ideš u saunu ili hladno se tušaš i sve to radiš i šalješ zapravo te pozitivne impulse u svoj cijenjeni mikrobiom, ništa od toga se neće implementirati ukoliko ti ne daješ vremena svom mikroju da se on oporavi i da te zapravo pozitivne impulse preuzme i iskoristi."
0:09:45,0:09:53,"I to je, zvuči jednostavno, ali mislim da je u današnje vrijeme san postao on nedostižen luksus."
