Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:12,"Kod nas igra ne smije završiti tako da jedni izađu s terena i viču mi smo pobijedili, a drugi izlaze s terena i viču mi smo izgubili jer to je loša igra, netko se osjeća loše, mi se želimo svi dobro osjećati u igri."
0:00:12,0:00:37,"Vidite nama fali taj mentalitet, mi na zapadu volimo igre u kojima netko nekog zabije u pod, uništi ga, smlavi ga, jel i takvi smo onda i u biznisu i u svemu drugom i u politici i to su te destruktivne sile kroz povijest koje su rađale ratove od križarskih na ovamo, koje su stvarale cijeli taj cirkus kroz koji je ljudski rod prošao, zapravo zato jer ne znamo razmišljati na ovaj način, idemo pobjediti zajedno."
0:00:38,0:00:44,"Sjever, jug, podjela je više bila podjela bogati i siromašni nekad kad se gledala Afrika."
0:00:45,0:01:06,"Dakle, Lula da Sila, brazilski predsjednik je svojedobno u prvom mandatu probao baš po tom sjever-jug dijeliti svijet i pokušati obnoviti one ideje koje su još od Marxa zamrle kad je pao recimo Sovjetski blok, a to je da zapravo najveći problem svijeta je sukob siromašnih i bogatih, a sve drugo zapravo je maskiranje toga."
0:01:07,0:01:25,"Mi kad stvaramo sukob istog-zapada onda zaboravljamo da živimo u svijetu silnih nepravdi sa stanovišta bogatih i siromašnih, a te postoje svuda i na istoku i na zapadu i na sjeveru i na jugu i mislim da je to objektivno puno veći problem za čovječanstvo nego što je problem sukoba nekih ideologija."
0:01:25,0:01:33,"Međutim, takvi sukobi se formiraju kao stereotipi od povjesničara, od političara, od poslovnih ljudi."
0:01:34,0:01:38,Svi zapravo vole svijet u kojem su karte podijeljene tako da ih razumijem.
0:01:38,0:01:45,"Što drugim riječima, a ovo su prijatelji, ovo su neprijatelji, sad ja znam kako ću se ponašati, a svijet je puno složeniji od toga."
0:01:45,0:01:47,I prijatelj može biti neprijatelj i obrnuto.
0:01:48,0:01:49,Ja sam to najbolje vidio u politici.
0:01:49,0:01:55,"Najveći neprijatelji su bili oni koji su sjedili sa mnom u istoj grupi, ali su mi radili za leđa."
0:01:56,0:02:14,"Da, meni se nekako čini kada razmišljam tako na globalnoj razini o politici, geopolitici, o kulturi itede kao da nekako i kroz taj kontekst istoka i zapada kao da se često zaboravi južna Amerika i Afrika, kao da uopće nisu dio te igre."
0:02:14,0:02:21,Pa recimo ono zanimljivo je da recimo Australija i Novi Zeland pripadaju zapadu kao da.
0:02:23,0:02:24,Pa to je zanimljivo razmišljanje.
