Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:04,Da li možemo zdravo mršaviti i kako?
0:00:05,0:00:06,Pa definitivno možemo.
0:00:07,0:00:21,"Mislim, evo opet spomenut ću ovaj velik fenomen lijekova za mršavljenje koji su, kako je rekla, plus size model dosta su naštetili biznisu jer su ubili priču o body positivitiju."
0:00:21,0:00:30,"Znači odjednom više ljudi može smršaviti, što znači da su prepreke za mršavljenje u modernom životnom stilu prevelike za većinu ljudi."
0:00:30,0:00:33,"Jer ako možemo smršaviti na lijeku, možemo i bez."
0:00:35,0:00:42,Ali to zahtjeva promjenu životnih navika koji je jako bolan i dugo trebam proces koji većina ljudi nije spremna proći.
0:00:44,0:00:53,"Kako ja radim u svojoj praksi, ja primam ljude u tromjesečna mentorstva, jer iz iskustva znam da u manje vremena nemamo šansu izgraditi, teoretski izgraditi novu naviku."
0:00:53,0:00:59,"Sada ćemo gledati one studije psihologije, kognitivne, biheuroralne."
0:00:59,0:01:06,"Prosječan homosapiens treba 66 dana da nešto novo postane navika, a u manje od 90 dana neće skupiti."
0:01:07,0:01:10,"Dobrih, po navodicima 60, 65, 70 dana."
0:01:11,0:01:24,"I definitivno je moguće smršaviti koliko god se i farmaceutska medicinskaka industrija polako, nažalost, previše orijentiraju na taj lakši put, znači, ajmo uzeti lijek."
0:01:25,0:01:30,"Ali, opet, kod ljudi koji nisu opetovano uspjeli smešaviti bez lijeka, apsolutno taj lijek ima smisla."
0:01:31,0:01:36,"Ali, apsolutno rekao bih da nema smisla ako ga koristimo za par kilograma viška za plažu."
0:01:37,0:01:42,"Pa, idemo reći da osoba možda ima 5 do 10 kilograma viška, nije super precila, recimo."
0:01:43,0:01:43,Ne bi.
0:01:44,0:01:50,"Savjetovo, čisto iz razloga što je to prekratko među nama i nemamo pojma profil, dugoročni, sigurnosni profil."
0:01:51,0:01:58,"Lijekovi su uglavnom sigurni, ali nema lijeka bez nuspojave, to znamo svi., kako se kaže na engleskom, there is no free lunch, nema besplatna brčka."
0:01:59,0:02:01,"Pitanje je što si dobio, što ti je odnijelo."
0:02:02,0:02:07,"Tako da smišljavati ti je itekako moguće da je lagano nije, da jednostavno je."
0:02:07,0:02:09,"Znači, jednostavno je lagano nisu."
0:02:10,0:02:12,"Nažalost, isto znači se."
0:02:13,0:02:18,"Kako bi izgledao taj proces po potrebi, na nekakav siguran način?"
0:02:19,0:02:22,"Jer ono vidim što ljudi uobičajeno rade, prestanu jesti."
0:02:22,0:02:23,Idu na djete.
0:02:24,0:02:41,"Ali doslovce prestanu jesti i onda ako osoba ima možda malo afiniteta prema slatkom ili malo junk foododa, recimo, če rađe ništa ne jesti i onda si u danu ubaciti malo toga što joj paše."
0:02:41,0:02:44,"I onda si narušiš zdravlje, ono totalno."
0:02:44,0:02:50,"Da, znači, cijela ta industrija mršavljenja, nažalost, slabi, potpuno krivo stvara, to je gubitak kila."
0:02:52,0:03:02,"Mi moramo pratiti koje tjelesne strukture smo izgubili, jer ako gubimo mišićnu masu, radimo si negativni scenarij na svim planovima."
0:03:03,0:03:13,"Od toga koliko nam energije treba u mirovanju, do šanse za zdravu dugovječnost i definitivno je potrebna potpuna promjena paradigme u mjerenju drugih stvari."
0:03:14,0:03:25,"Dijete kao takve, to je riječ koja kažu slušnici, moralo bi možda izletiti iz rječnika jer je promašena, djete univerzalno ne rade zato što opet rade kontra naših evolucijskih postavki."
0:03:25,0:03:28,"Mi bi voljeli da možemo prebrisati našu evoluciju, ali ne možemo."
0:03:29,0:03:35,"Mi moramo pomiriti naš okoliš, naš moderan životni stil i naše evolucijske postavke."
0:03:36,0:03:49,"Mi ako ne jedemo, naše tijelo, neko će otići u onu kardinalnu starvation mode, znači ulazimo kao neko podje gladovanja, tijelo gasi sve funkcije koje mu nisu vitalne za preživljavanje, koji je prvi prioritet."
0:03:50,0:03:54,Znači zato svaka dijeta rezultira jojo efektom.
0:03:54,0:04:01,"Znači ako ćemo biti objektivni prema sebi i gledati duži vremenski period, mi smo nakon svake dijete deblji nego prije nje."
0:04:01,0:04:09,Jer smo x mjeseci nakon kraja dijeta imamo više kilograma namjerno pričam na vagi nego kad smo krenuli u istu dijetu.
0:04:11,0:04:18,"Znači zdravo mršavljenje je i tekako konzumacija hrane, ali prvenstveni prioritet zadovoljiti energetski balans."
0:04:19,0:04:26,"Što znači, mi moramo ako nešto već imamo na našem tijelu, da bi to izgubili, unositi manje kalorija nego što trošimo."
0:04:28,0:04:40,"Ono što je često jako težak, taj reality check, odnosno susreć s realitetom, ne može tako nisko pasti tvoj apetit koliko su niske potrebe tog tijela ako se to tijelo ne kreće."
