Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:33,"Vraćajući sestre, članovi Marijanskog zavjeta za domovinu i svi koji nas pratite, započinjemo ovogodišnje hodočašće na ovaj lijepi Gospin blagdan, gospe Snježne, odnosno blagdan posvete Svete Marije Velike, Santa Marija Maggiore, Bazilike u Rimu."
0:00:35,0:00:49,"Ovaj blagdan gospe Snježne, vezan je najprije uz ekumenski koncil u Efezu koji je 341."
0:00:50,0:00:57,godine svećano definirao da je Marija majka gospodinova Bogorodica.
0:00:59,0:01:07,"Sljedeći nauk tog velikog marijanskog concila, papa VI."
0:01:09,0:01:21,dao je sagraditi baziliku svete Marije Velike koja je najprije nosila titul Marije Bogorodice.
0:01:22,0:01:26,"Prema predaji, upravo na ovaj dan, 5."
0:01:27,0:01:35,"kolovoza, na brdu Esquilinu gdje je kasnije sagrađena ta bazilika, pao je snijeg."
0:01:38,0:01:55,"Zanimljiv fenomen koji se pripisuje predaji, gdje je papa i vjernici u tome vidjeli znak Božje providnosti, znak nade, kao da je taj snijeg želio pokazati."
0:01:56,0:02:22,"ne samo bezgrješnost i čistoću presvete Bogorodice Marije, nego i put kojim vjernici koji slijede ovaj blagdan, odnosno koji slijede ovaj nauk da je Marija gospodinova majka u istinu Bogorodica jer je rodila Krista Boga čovjeka."
0:02:23,0:02:36,"Dakle, znak kojim putem treba ići, putem čistoće i bijeline snijega, čistoće i bijeline ljudskih srdaca."
0:02:37,0:02:54,"A ta čistoća se postiže, naravno mi vjernici znamo najprije u sakramentu pomirenja i ispovijedi, ali se podržava molitvom, postom i žrtvom."
0:02:56,0:03:00,Ovo naše hodočašće koje danas započinjemo uključuje sve to.
0:03:02,0:03:07,"Čovjek koji se Bogu predaje, predaje mu se dušom i srcem."
0:03:08,0:03:26,"Nije dovoljno samo u srcu nešto nešta željeti, nego i kroz tjelesno predanje, pa i kroz napor i žrtvu čitav čovjek dušom i tijelom sudjeluje u svome predanju Bogu."
0:03:27,0:03:34,U ovome hodočašću gdje hodamo prema nekom određenom cilju.
0:03:36,0:03:41,"Cilj su naši hodočašća, marijanska svetišta u našoj domovini."
0:03:42,0:03:49,"No ona opet, kao i onaj snijeg, pokazuju cilj našeg istinskog zemaljskog izgleda."
0:03:49,0:03:51,i vjerničkog putovanja.
