Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:12,"Nečisto srce Marino, prepuno dobrote pokaži svoju ljubav prema nama."
0:00:16,0:00:18,Ili pjevamo ili šutimo.
0:00:20,0:00:27,"Toga srca plamenom Mario, neka siđe na sve ljude."
0:00:28,0:00:35,"Mi te beskrajno volimo, mi te volimo, Mario."
0:00:36,0:00:43,"Toga srca plamenom Mario., neka si žena svoje ljude."
0:00:44,0:00:49,"Mi te beskrajno volimo, mi te volimo."
0:00:53,0:00:58,Putisni u naša srca pravu ljubav.
0:01:01,0:01:04,"Da, čestitamo za to."
0:01:08,0:01:12,"O Mario, plakaj ponizno srca."
0:01:16,0:01:20,Sjetina se kad zagriješimo.
0:01:23,0:01:30,"Toga srca plamenom Mario, neka siđe na sve ljude."
0:01:31,0:02:00,"Mi te beskrajno volimo, miimo, mi te volimo."
0:02:13,0:02:16,U ime Oca Nisina idu pasivno.
0:02:17,0:02:23,Molim da dođete svi ovdje što bliže.
0:02:34,0:02:36,Pozovite me vani koji još ne ulaze.
0:02:40,0:02:44,Zatvorit će se vrata i koji ostanu vani znate kako se to piše.
0:02:53,0:02:56,Bolje što sam ja stao tamo da vam hoću od mene kad ste.
0:03:01,0:03:01,Pa nisam baš.
0:03:04,0:03:06,"Evo, još ću imati mali kratki naglasak."
0:03:06,0:03:23,"Još jednu stvar, ja sam malo isto pogriješio u percepciji rasporeda, ja sam napisao na Facebooku da je misao u 11 sati, a pod njom bi je u toj misao u 11 sati, a ona bi trebala biti u 10 sati pa ćemo malo ćemo kasnije, neće biti ni u 10 sati ni u 11 sati, vidjet ćemo."
0:03:24,0:03:31,"Evo pa, to nije providence nego je to altar, to nema nikakve probleme."
0:03:33,0:03:39,"Često bi Bog prepisivao svoje greške, Bog tako nije, Bog tako dopustio."
0:03:42,0:03:48,"I novca isti je u 10 sati, to je u 11 sati."
0:03:49,0:04:01,"Stvarno mi je misli, Isus Krist, Sini je Božji, ne si Božji, Duše su sreti koje nas čuju."
0:04:02,0:04:15,"Djevojce na kraju, Božja majka, Smisljenje srca Božja, Ađurne peske, prismijem moju."
0:04:17,0:04:25,"To mojim je misli, koji je čudo učinio i pobijedio, srce moj čest."
0:05:05,0:05:10,"Sve ono što je dobro shvatio, što je nebesko, to uvijek želimo."
0:05:12,0:05:12,Sve je nebesko.
0:05:14,0:05:20,A sve ono što nije i što nije ovdje prezentao.
0:05:22,0:05:26,Zanimljivo je osjetiti to i to su oni koji su podvojili.
0:05:28,0:05:29,To i uvijek želimo vidjeti.
0:05:30,0:06:25,"To je zato što je Koji želi nasiliti, pozovem, gospodine."
0:06:26,0:06:40,"Ne dopusti da se pretvori u pukog prostora da ovaj nije vlast za sebe, već samo za sebe."
0:06:40,0:06:45,"Ne dopusti da se prijedlo neki aktur da vidi gdje je, koji je za sebe."
0:06:47,0:06:59,"I koji otvori srce, da mu kažem kako pomoći, što će ljudi vidjeti."
0:07:36,0:07:40,Možda bi dovoljno toga da zauzimate mjesto.
0:07:45,0:07:45,Što me to.
0:07:54,0:07:56,"Gospodine, prođeš ovu zemlju."
0:07:58,0:07:59,I dozimaš.
0:08:01,0:08:02,I govoriš danas.
0:08:05,0:08:07,"Žetva je velika, radnika je malo."
0:08:09,0:08:10,Žetva je velika.
0:08:11,0:08:19,"Onih koji su se posvetili, znaju da je to žetva."
0:08:20,0:08:23,Žetva je velika i dalo je že zrelo.
0:08:25,0:08:32,"Da čoraj se bavi nekim drogama, i strukom."
0:08:35,0:08:39,"To je ono što je u ovom vremenu, što ne bi sve više poznato, ništa više ne znači."
0:08:39,0:08:43,"Što ne bi sve već poznato, ništa ne znači."
0:08:44,0:08:51,"Što ne bi sve već poznato, ništa ne znači."
0:09:47,0:09:51,"Ako bi ova oprava potrajala još tjedan dana, usporili bi čak natrag u dvorano, ja mislim."
0:09:55,0:10:09,"Dobro, evo jedan natrag, dakle, blago su ova naprave predlažeći da će biti nakon svete misije, a svetu misiju nažalost neće ovdje stražiti Grbiš jer je evo dobio nagovor u biskupa da ide blagosloviti jednu crkvu i digne."
0:10:09,0:10:17,"i nikako to nije mogao drugačije riješiti pa je pričao sa jučer, pa će javno."
0:10:18,0:10:22,"Dakle, evo, nagovijesio sam o čemu ću sada pričati, jesam li?"
0:10:28,0:10:36,"Čovjek spašenik koji je ljubljenik da prepozna ljubav, da bi ljubav sačuvao, da bi."
0:10:37,0:10:52,"Doživljaj ljubav u njemu prebivao, da bi osjećaj i svijest o tome koliko bi bilo ljubi, da bi to u njemu živjelo, što je važno je uzvratiti ljubav, važno je djelovati ljubav."
0:10:52,0:11:03,"Dakle tko god prima ljubav a ljubav ne uzvraća vjerojatno se događa to, dakle vjerojatno se događa da se gasi povjerenje u tu ljubav."
0:11:04,0:11:10,"Ne možeš vjerovati da netko ljubi a ti ne, dakle ne možeš dugo vjerovati da te netko ljubi a ti ljubav ne uzvraćaš."
0:11:11,0:11:12,Prema tome on i dalje ljubi.
0:11:14,0:11:22,"I često ljubavi, naše ljudske ljubavi pucaju zato jer se izgubi povjerenje u ljubav, a povjerenje se izgubi zato što ne uzvraća ljubav."
0:11:23,0:11:27,U stvari ljubav u nama postoji tek onda kada dogode se djela ljubavi.
0:11:28,0:11:39,"Ako ljubav samo na riječima, samo na emocija, samo na pjesmama, samo na poeziji, samo na riječima, dakle to u biti nije pravilno."
0:11:41,0:11:46,"Kada mladi ljudi djeluju samo emotivno, to nije pravilno."
0:11:46,0:11:57,"Dakle pravilno počinje kada on za nju počne činiti nešto, kada počne za nju živiti na neki način da ili obratno ili ona njega itede."
0:11:58,0:12:07,"Recimo kad bi majka djetetu kojima sto potreba stalno govorila ja tebe ljubim, ja tebe ljubim, ja tebe ljubim, ja tebe volim, a ono vama je stotinu problema, ima, bi li to bila ljubav?"
0:12:07,0:12:49,"Naravno da to nije, može čovjek imati taj osjećaj i doista ima takvih majki koji imaju osjećaj, plaču zbog toga što nisu učinili dovoljno za svoje dijete ili nekakav mužec koji stalno čini loše svojoj ženi ili je otporan prema njoj, možemo zamisliti takvog muža koji stalno plače zbog toga što je bio takav prema njoj, ali sutra će opet biti takav, to nije prava ljubav, on nije slobodan za ljubav, nešto njega zarobljuje i mene Ima jedna knjiga koja je napisana iz ispisa Duhovnih vježbi Slavko Pavin, koja se baš tako zove Sloboda za ljubav."
0:12:49,0:12:51,To je tako lijepo rečeno.
0:12:51,0:12:55,Nas i grijehe drži neslobodnima za ljubav.
0:12:55,0:12:58,"Htio bih povući, ali ne mogu, zaobljen sam."
0:12:58,0:13:03,Sjećam se kad sam čitao to zanimljivo kod sv.
0:13:03,0:13:31,"Augustina iskustvo, ono propisuje tamo kako su četiri neka njegova, sad sam zaboravio da sam to čitao, mislim da su bili čak četiri vojnika koji su hodali negdje i sutra su u neku pobožnu zajednicu i kad su upoznali s tom zajednicom i njezinim životom vrlo brzo dvojica su odmah preskočila i otišla su u taj samostan živjeti tako."
0:13:32,0:13:39,"A dvojica su plakali jer nisu bili slobodni tako, nisu bili tako slobodni da to mogu napraviti."
0:13:41,0:14:05,"Dakle, uistinu pravi kršćanin, slobodan kršćanin, autentičan kršćanin nije onaj koji samo živi kreposno u smislu pobožan je, molim, ne krade, ne laže, ne vara itede Zadovoljstvo, malo prije sam mislio da ću to spomenuti, dakle tamo Zadovoljstvo sv."
0:14:05,0:14:17,"pisma, Isus govori o dvojci, jedan je raskajano molio, Borec, uvijek si meni griješnik, a drugi je molio, hvala ti gospodine što nisam kao ovaj car."
0:14:18,0:14:27,"I nabrajao sve vrline, sve osobine jednog pravog kršćanina, da li daj da sjeti to, molim, posti."
0:14:30,0:14:31,A što je tom čovjeku falilo?
0:14:32,0:14:43,"Dakle, fale su dvije zapravo stvari možemo reći, prvo dakle bio je utosit, dakle nije bio svjestan da je grešnik, to je vrlo važno, nije bio svjestan da je grešnik, ali i drugo, vjerojatno nije imao djela ljubavi taj čovjek."
0:14:44,0:15:02,"Dakle, može čovjek biti utosit od krepasta, ali to nije pravo, to nije nasljedovanje Krista, nije nasljedovanje Krista brinuti samo o čistoći svoje duše, o krepostima, o pobožnostima, molimo, to nije nasljedovanje Krista."
0:15:04,0:15:18,"Nego osim toga, nasljedovanje Krista je osim toga svoj život organizirat organizirati oko zapovijedi ljubavi, svoj život ustrojiti oko zapovijedi ljubavi."
0:15:20,0:15:26,Nasledovali Krista jer je Krist zapovjedio ljubiti druge kao što sam ja ljubio vas.
0:15:26,0:15:31,Ja moram naći dakle kako moj život može biti ljubav prema čovjeku.
0:15:33,0:15:52,"Jednoga sam godine mislio na pašnjaku provesti intervju sa svim svjedočnicima i imao sam plan ovako, razmišljao sam zapravo, nije to bio baš plan, razmišljao sam o tome, neka pitam kak se zoveš, odakle si, koja su tvoja djela?"
0:15:53,0:15:55,Neko je zanimanje tvoje?
0:15:55,0:15:58,Neko je tvoja djela?
0:16:00,0:16:03,I to je prava definicija čovjeka.
0:16:03,0:16:06,"Dakle, identitet tvoj si i što činiš?"
0:16:07,0:16:08,Neko je profesija?
0:16:09,0:16:15,"Ajde u nekoj vjeri odakle si, neka su tvoja iskustva što su još životi prošle, neka su tvoja djela?"
0:16:15,0:16:18,Zapravo je to pitanje koje će postaviti Isus.
0:16:19,0:16:26,"I to je najopće to pitanje koje će postaviti Isus, to je ja sebe, sad sebe, ja to trebam pitati."
0:16:26,0:16:27,Koja su moja djela?
0:16:29,0:16:46,"I vidjet ćemo kako, dakle, postoji mnoštvo zapetljaja, mnoštvo prevare koji te uvijek nekako drže daleko da kružiš od smisla svoga života oko ljubavi, nikako da skočiš u to središte ljubavi i da tvoj život postane dijelom ljubavi."
0:16:48,0:17:01,"Ja propitam to, dakle, što ja trebam činiti, što ja trebam činiti, koje je moje mjesto u crkvi, koje je moje mjesto s Kristom, gdje me je Krist pozvao?"
0:17:01,0:17:33,"Toliko je potrebitih, toliko je gladnih, toliko je željnih, toliko je bezpravljenih, toliko je ostao, toliko je evangeliziranih, toliko je bolesnih, toliko je starih, toliko je ubijenih, toliko je narkoma, toliko je branitelja zagorjenih, toliko je njihove djece, njihove žene, toliko je državnih službenika, toliko je ne znam liječnika, toliko je profesora, toliko, toliko, toliko ljudi u raznim, raznim, raznim potrebama, toliko je onih koji gnijete ovaj sustav, toliko je onih koji gnijete politika, toliko je onih koji gnijete njihova stranka, htjeli bi vidjeti čarobnstvo stranke, ali ne znaju, a ne."
0:17:34,0:17:44,"Toliko je onih koji gnijete državnu službu, toliko je svećenika koji su sami ili ostavljeni itede Toliko, toliko, toliko potrebitih Božje ljubavi."
0:17:47,0:17:52,"A kristi ima jedan jedini način da dođe do njih, to smo mi kršćani."
0:17:53,0:18:09,"Dobro, ne govorimo sada o izvanrednim čudesima, ali neće sudsku parnicu nekome, neće službeni dopis nekom iz Petrinje, tko ne zna kako se izboriti za svoju obnovu, neće mu anđos iz nebe napisati tu, neće."
0:18:11,0:18:14,Neće vlada u Africi nakrniti anđos nebe sa.
0:18:16,0:18:25,"Neće nekog branitelja riješiti njegov status, doći neka državna, nebeska služba pa tako pa itede Ne, to sam ja, to sam ja."
0:18:26,0:18:29,"Ja sam taj koji to treba riješiti, to smo mi."
0:18:29,0:18:40,"Toliko je onih koji su toga potrebni, toliko je onih koji su toga potrebni s jedne strane, a s druge strane, to je najvažnije što ja ovdje, zato sam ovdje."
0:18:41,0:18:49,Ja moram naći način kako da moj život postane ispunjenje zapovijedi i ljubavi.
0:18:50,0:18:55,"Neke su druge stvari važne da bih imao što jesti, da bih imao što biti."
