Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:08,"Dragi građani, lijepe naše koju mi svi volimo i lijepe njihove koju oni ne vole, ali tako je to, živimo jedni s drugima."
0:00:09,0:00:13,Što hrvatski građani nikada nisu željeli priznati sebi?
0:00:13,0:00:17,"A ja ću vam to sada, dragi moji, ispričati, pa vi kako hoćete."
0:00:18,0:00:36,"Svi prozivaju Tuđmana zbog one nesretne pretvorbe, privatizacije kada su nekolicina njih, većinom potpuno neobrazovani ljudi, ljudi koji nisu imali mnogi od njih niti dvije tisuće njemačkih maraka u džepu itede privatizirali sve naše tvrtke."
0:00:38,0:00:40,"Šta je bilo s tim tvrtkama, čije su to bile tvrtke?"
0:00:40,0:00:43,To su bile tvrtke u društvenom vlasništvu.
0:00:44,0:00:46,Što znači društveno vlasništvo?
0:00:46,0:00:56,Društveno vlasništvo znači vlasništvo svakog od nas pojedinaca i koji ga nitko ne može otuđiti i nikoga ne može prisvojiti.
0:00:57,0:01:25,"I sad mnogi ljudi se ljute na tog Tuđmana, zašto je on to dopustio da sve te tvornice odu, a nitko do sada nije govorio, pa zašto si Tuđman ne dopustio da milijun stanova iz stambenog fonda za nikakav novac, za par stotina maraka, par tisuća maraka prestane biti naše društveno vlasništvo i naše bogatstvo i postane vlasništvo nekoliko stotina tisuća pojedinaca."
0:01:26,0:01:28,Zašto nitko ne govori o tome?
0:01:29,0:02:10,"Zašto stalno ukazujemo prstom one druge koji su privatizirali neku tvrtku znači koja je vrijedila dva tri milijuna maraka za jedna tisuća maraka a ne govorimo i nikada to ne želimo priznati sami sebi da smo svi mi odnosno oni koji su kupili društvene stanove privatizirali ono što pripada nama da naravno svi ćete reći ili mnogi od vas će reći, to nije isto, mi smo bili, uplaćivali smo u fond, u ovoj tvrtki, u onoj tvrtki itede Pa naravno da je to istina, zato što su svi građani uplaćivali u fondove svih državnih poduzeća."
0:02:10,0:02:14,Vrlo je malo bilo poduzeća koja su bila stvarno profitabilna.
0:02:15,0:02:27,"Ta profitabilnost je bila ostvarena uzmi ovima, dodaj ovima, daj ovome itede Pa je sljeve bilo malo bolje, tvrtka, industrogradnja još bolja, neke malo lošije."
0:02:28,0:02:38,"Međutim, cijelo društvo je radilo da bi te tvrtke egzistirale i da bi kada bi bile u problemu, one dobile dovoljno novaca."
0:02:39,0:02:45,Nije bilo nikada situacije da je neka tvrtka stvarno bila uistinu profitalna.
0:02:46,0:02:47,To se nije dogodilo.
0:02:48,0:03:06,"I sada imamo, znači mi zatvaramo oči već trideset godina da je više od milijun građana sudjelovalo u pretvorbi društvenog u vlastito privatno vlasništvo i govorimo e da nije bilo one pretvorbe a kako bi mi sad živjeli sve te tvornice bi bile."
0:03:07,0:03:19,Pa isto tako da nije bilo i pretvorbi društvenih stanova da su oni i dalje ostali društveni i da se plaćala zakupnina prema realnim tržišnim cijenama mi bismo kao društvo bili iznimno bogati.
0:03:19,0:03:40,"Mi bismo bili danas bogato društvo koje bi imala fond, znači iz tog fonda gdje bi se znači prikupile desetine milijardi eura od zakupnina i mogle bi se graditi nove stambene jedinice koje bi onda se davale u najam mladim ljudima i mi bismo kao društvo bili bogati."
0:03:40,0:03:45,Ovako smo iscrpili svoje bogatstvo dijeleći ga pojedincima.
0:03:46,0:04:15,"Znači netko je u toj pretvorbi uzeo dva milijuna maraka, netko tri, netko je uzeo mali stančić četrdeset kvadrata pa možemo reći da je on uzeo samo četrdeset tisuća eura itede itede Na stanu na Zrinjevcu od dvjesto kvadrata taj koji ga je otkupio je uzeo devetsto tisuća maraka itede Mi smo društvo koje nikada nije pogledalo istini u oči i zato se nalazimo danas gdje se nalazimo."
0:04:16,0:04:19,Zato danas većina ljudi bira dokazane lopove.
0:04:20,0:04:21,A tko su dokazani lopovi?
0:04:22,0:04:25,esdepe i hadeze nema drugih lopova.
0:04:26,0:04:29,Ne može onaj tko nema pristup novcu ukrasti novac.
0:04:30,0:04:31,"Ne može, jednostavno ne može."
0:04:32,0:04:33,Samo oni koji imaju pristup novcu.
0:04:34,0:04:42,"A jedini koji su imali pristup državnoj blagani su znači Milanović i Plenković, nitko drugi nije."
0:04:42,0:05:10,"I kada se pitate šta je s mojim mirovinama, zašto ja imam dvjesto tristo eura, e pa tamo zbog one brojke od šezdeset tri milijarde duga dakle pretvorili su sto milijardi vrijednosti naše imovine znači društveni stanovi društvene tvrtke društvene banke itede znači ne sto milijardi sadašnjeg novca nego ondašnjeg novca, sadašnjeg tko zna koja bi to vrijednost bila."
0:05:12,0:05:14,Da li je tko želi promjenu u Hrvatskoj?
