Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:04,"Gospodine Kolokušić, svjedočimo pravoj drami u srcu EU."
0:00:04,0:00:14,"Belgijski premijer Bart de Wever odbija pristati na, kako on sam naziva, krađu ruske imovine, točnije 140 milijardi eura ruskih suverenih sredstava."
0:00:15,0:00:21,Pričali smo na tu temu prije nekoliko dana i vi ste izrazili nadu da će biti dovoljno razuma da do te krađe ne dođe.
0:00:21,0:00:25,Je li belgijski premijer upravo to malo razuma što je preostalo u EU?
0:00:31,0:00:33,da i to financijske interese.
0:00:33,0:01:10,"Jer kada bi on pristao na to, ogromna je razina vjerojatnosti da bi Rusija tužbama uspjela dobiti povrat sto četrdeset milijardi eura i to od belgije jel belgija je znači ta banka euro clear je odjel za ajmo reći za pohranjivanje vrijednostnih papira odnosno obveznica koje glase na rusiju koje su neke već dospjele neke dospijevaju znači bi dovelo do ovrhe Belgije, države Belgije i državljana, znači građana Belgije i on to jednostavno ne želi pristati."
0:01:11,0:01:27,"Nakon toga je rečeno u redu, ajde neka svi građani EU preko svojih država članica budu garanti na prvi poziv da će isplatiti u gotovini onaj dio Rusiji koji otpada na svaku od država."
0:01:27,0:01:33,I imali smo ovaj treći neki pokušaj koji pokušava uključiti Europsku banku.
0:01:33,0:01:41,"Vrlo brzo je belgijski premijer postao meta eurofanatičnih medija, a politika ga već naziva najvrjednijom ruskom imovinom u Europi."
0:01:41,0:01:47,Kreće li sad proces demonizacije belgijskog premijera kako bi ga se slomilo ili zamijenilo čak na mjesto belgijskog čelnika?
0:01:48,0:02:09,Pa sigurno zato što kad vi želite nekome prosjeći sto četrdeset milijardi prema svemu onome što smo do sada vidjeli u eu tu će trideset posto nestati u mitu i korupciji znači on spriječava ne samo otimanje ruske imovine jer otimanje to ruske imovine je povezano sa imovinom svih drugih država.
0:02:09,0:02:23,"Jer sve druge države će povući ako se to dogodi sve što imaju u Eurokliru, zato što bi oni mogli biti sljedeća meta i nitko to više neće tamo imati ništa i doći će odmah do financijskog kolapsa."
0:02:23,0:02:29,"Znači on brani temelje institucija EU, povjerenje u institucije."
0:02:29,0:02:36,"Znači on ne brani samo Belgiju, on brani cijelu EU i to su postupci zdravog razuma."
0:02:36,0:03:16,"Ovo što želi EU odnosno čelnici njih nekoliko, znači to nema veze sa nikakvom realnošću, to će dovesti do strahote, e potpunog gubitka povjerenja u institucije EU od strane drugih država Kine, Belgije, Kine pardon, Južne Afrike ili tko god već ima, znači tko drži bilo šta unutra, znači i svih država Europe koji još nisu članice EU, znači doći će do potpunog potkopavanja sustava, ali oni kažu pa on nama želi spriječiti da mi tu zaradimo trideset milijardi neto novca."
0:03:16,0:03:20,"Znači, a takvi pokušaji su znači to su herojski pokušaji."
0:03:21,0:03:28,"M što brane zdrav razum, M što brane ekonomiju, M što brane same temelje funkcioniranja EU."
0:03:29,0:03:42,"Ali oni, takav je bio i Orban, takva je bila i prošla poljska Vlada, naravno oni su najveći neprijatelji, prikazuju se potpuno izmišljenim činjenicama itede On je otvoreno čak rekao da se tijekom II."
0:03:42,0:03:49,svjetskog rata čak nije dirala ni zamrznuta imovina nacističke Njemačke i da bi se radilo o presedanu povijesnih razmjera.
0:03:49,0:03:55,Smatra li današnje vodstvo EU Putina u Rusiju većem opasnosti od nekadašnje nacističke Njemačke?
0:03:55,0:03:56,Pa tako postupa?
0:03:57,0:04:00,"Da, znači, od kojeg je temelj prava?"
0:04:00,0:04:06,Temelj prava znači u međunarodnim odnosima on itekako poznaje zamrzavanje imovine određenih država.
0:04:07,0:04:11,"Ali otimanje te imovine, e to nije zabilježeno u povijesti."
0:04:11,0:04:19,Znači nacističkoj Njemačkoj nisu oduzeta sredstva nego su samo bila zamrznuta.
0:04:20,0:04:42,"I sada prvi puta u povijesti se želi, znači nacistička Njemačka pobila desetine milijuna građana Europe, napravila neviđene genocide, masakre, nema što nije ta Njemačka napravila, međutim opet se je držao temelj prava koji se nije pogazio."
0:04:42,0:04:59,"I zbog toga što nije čak niti tada temelj prava pogažen, a to je da se tuđa imovina ne otima, je EU izgradila povjerenje koje je imala u cijelom svijetu i financijske institucije smještene u Europi i EU."
0:04:59,0:05:02,Znači to povjerenje je ključ svega.
0:05:02,0:05:10,"To kad jednom nestane, onda više je Europa gotovo da nema šta ponuditi ostatku svijeta."
0:05:11,0:05:17,Belgijski premijer je dao još niz izjava koje iz pozicije europskog političkog mainstreama zvuče kao svetogređe.
0:05:18,0:05:21,Izjavio je da je potpuna bajka da će Rusija izgubiti ovaj rat.
0:05:21,0:05:29,"Postoji li šansa da tako misle i čelnici nekih drugih država EU, ali da prevlada u ovom trenutku mentalitet krda na tim njihovim sastancima?"
0:05:31,0:05:37,"Ono što je naj, jedno meni barem najgora ljudska osobina, to je licemjerje."
0:05:37,0:06:38,"Znači licemjerje iznimno često obuhvaća ono onaj dio da ja znam šta je realnost, ja znam da Rusija stalno napreduje, ja znam da je Rusija osvojila dvadeset posto ukrajinskog teritorija i unatoč stotinama milijardi eura koje su poslali i eu i Sjedinjene američke države eu podsjetimo poslala je sto osamdeset milijardi eura unatoč tome rusija je osvojila dvadeset posto ukrajinskog teritorija i sada šta ali ti to znaš, ti si svjestan da je ruska vojska neusporedivo nadmoćnija ukrajinskoj vojsci bez obzira na oružje koje se šalje i sve i znaš da što će se dogoditi, znaš da će Rusija osvojiti sve, međutim ti kao licemjer što su većina čelnika država u EU ti kažeš ne, Rusija će sigurno izgubiti."
