Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:07,EU nastavlja grčevito tražiti načine kako se zadužiti za nove stotine milijardi eura za financiranje rata u Ukrajini.
0:00:07,0:00:10,U prošlosti je primjerice njemačko financiranje I.
0:00:10,0:02:37,"svjetskog rata zaduživanjem dovelo do hiperinflacije u Njemačkoj jedna tisuća devetsto dvadeset tri godine nalazimo se danas u sličnoj situaciji imamo rat imamo ogromna zaduživanja imamo ekonomsku stagnaciju nažalost možemo sa sigurnošću reći da trenutno u eu gotovo identična situacija rat u ukrajini se financira isključivo ogromnim zaduživanjem država članica eu do sada smo se zadužili sto trideset milijardi, poslali smo sto osamdeset milijardi u planu je zaduženje od još nekoliko stotina milijardi eura koje čelnici EU imaju namjeru poslati u Ukrajinu a dok će EU ostati stotine milijardi eura duga znači gotovo identična situacija nakon završetka rata u ukrajini građani EU i države članice bit će dužne možemo pretpostaviti ako se nastavi ovakvim tempom između petsto do jedna tisuća milijardi eura i bit ćemo u vrlo sličnoj situaciji kakva je vladala u Njemačkoj jedna tisuća devetsto dvadeset tri godine koja je bila opterećena enormnim dugovima i zahtjevima za reparaciju hiperinflacija nosi sa sobom ekstremni rast cijena a rast cijena vidimo i danas u eu i to sve veći i veći svakako znači ono što vidimo u eu to je ogromni rast inflacije ona kvazi se ono govori da je to od dva do četrnaest posto međutim svatko tko nešto kupuje zna da je većina proizvoda u hrvatskoj a i u brojnim državama drugim državama eu EU poskupila sto posto znači sto posto su poskupili i stanovi u erha i u nekim drugim državama tu se govori a to je krivac znači dnevni najam itede itede krivac je inflacija cijene odlaze zbog inflacije kada novac više ne vrijedi onoliko koliko je vrijedilo a zašto zato što ga se u sustav upumpava bez ikakve kontrole i ikakvih ograničenja a on nastaje zaduženjem znači a zadužuje se kod banaka koje samo šalju neke brojke taj novac ne postoji."
0:02:37,0:03:22,Da li vi na običnom bezrednom papiru štampate neke stotine milijardi i pišete sto milijardi eura novčanica jedna tisuća milijardi ili to štampanje provodite kroz zaduženje kroz banaka koje ne emitiraju pravni nego lažni novac u konačnici vam je to isto znači ključ je znači kako se mjeri inflacija od hiperinflacije inflacija se mjeri onim godišnjim stopama ako je znači sto posto inflacije to bi još uvijek bilo sto posto u godinu dana se izgubi vrijednost to je još uvijek inflacija a hiperinflacija je ono što se mjeri u satima kada dođe do udvostručenja cijene nečega u samo određenom broju sati.
0:03:22,0:03:58,Tako je hiperinflacija u Njemačkoj tada bila dvadeset pet sati dvostruka cijena što u prijevodu znači ovako ako jedno jaje košta jednu milijardu maraka u osam sati ujutro u ponedjeljak znači u devet sati utorak će ono koštati dva milijarde eura novac danas gubi vrijednost sve brže i brže tu brzinu gubitka vrijednosti novca svijet je možda i po prvi puta vidio tada za vrijeme velike njemačke krize nakon prvog svjetskog rata što se točno tada dogodilo i zašto se dogodio takav rapidan gubitak vrijednosti novca?
0:03:58,0:04:29,"Pa u Njemačkoj se dogodilo ono što se dogodilo i u brojnim drugim državama koje su doživjele ne onu hiperinflaciju nego onu mega, mega, mega hiperinflaciju kada se vi vraćate kući sa kolicima novca i kada vam je jeftinije grijati se na taj novac i na taj otisnuti papir nego što ćete dobiti trešća, znači možete dobiti jednu cijepanicu za cijela kolica novca i onda vam se bolje grijati na taj novac nego kupiti jednu cijepanicu."
0:04:29,0:04:36,Znači to su jednostavno situacije koje su u povijesti već nek već nekoliko puta bile zabilježene.
0:04:36,0:04:39,Kako u takvim ekstremnim uvjetima uopće izgleda isplata plaća radnicima?
0:04:40,0:04:41,Čemu nas povijest uči?
0:04:41,0:04:47,Znači radnici su često primali plaće i dva puta dnevno ili tri puta dnevno.
