Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:05,0:00:11,"Dragi gledatelji i slušatelji podcast-a Vladi Zdamojdov, danas je sa mnom saborski zastupnik ispred kluba Mosta Nikola Grmljana."
0:00:11,0:00:13,"Dragi Nikola, dobrodošli podcast."
0:00:13,0:00:16,"Evo, hvala vam na pozivu i pozdrav svim vašim gledateljima."
0:00:16,0:00:17,"Što ima, kakve ste?"
0:00:18,0:00:18,Pa malo umoran.
0:00:19,0:00:20,Težak danas.
0:00:20,0:00:25,"Pa nije posebno težak, ali se nakupilo toga aktivnosti."
0:00:25,0:00:30,Prošli tjedan je bio jako zahtjevan oko putovanja i vožnja.
0:00:30,0:00:36,"Inače sam svaki tjedan na relaciji Metković-Zagreb, ima i tu kilometara."
0:00:36,0:00:55,"dakle tih tisuću kilometara ukupno onda još sve ove obaveze tako da sam umoran ali ne smijem se žaliti, dakle radi jedan privilegiran posao dakle ne u smislu onoga što građani uvijek vežu uz politiku ne znam plaće i privilegije nego privilegiran u smislu da možeš nešto napraviti za svoj narod."
0:00:55,0:01:00,"Evo to si bio neki dan na moru vidio sam šta se to događa, već u prijevremeni odmah neki."
0:01:01,0:01:21,"Nije bio samo ovaj kući onda je rođač kupio ovaj primor, brod koji bi sredio, onda bi rekao idemo se provozati, na kraju smo završili na Pelješcu, a ja tu nisam planirao s djecom, ovaj malo je bilo nesreće da djeca i bilo je neosnovno da djeca su ogledala, nismo podijelili ništa pa smo morali tražiti imali što otvoreno u Dračama na Pelješcu, tako da evo bilo je zanimljivo."
0:01:21,0:01:32,"Nismo se kupali još ali ja očekujem da bi se moglo već iako su neki moji zastupnici bili smo u Mišu, u Političkoj akademiji pa se Mino Raspolić je okupao."
0:01:34,0:01:41,"Da, on je malo kraći i kaže pobornik je ovo puširanje od 20 godina pa kaže da bi ovo čak bilo i pretopljeno."
0:01:41,0:01:43,"Ne, vjerojatno, ovo sve još navik."
0:01:44,0:01:47,"Dobro, to je sada već pripremljeno, znači je sutar izbor godine, ja bi rekao to je dobar format."
0:01:48,0:01:48,"A je, pa treba."
0:01:48,0:02:01,"treba, ja sam to zanemarivao često, dakle bio sam dosta ovako unutra mentalno oko politike, uvijek fokusiran, predan, ali nisam radio puno na svom tijelu."
0:02:02,0:02:23,"Tako da evo sad sam odlučio i ja konačno sam počeo nešto malo trenirati kod Josipa Vučka, poznati ovim i katoličkim krugovima kao čovjek koji je pokrenuo Fit Catholic, tako da evo s njim nešto malo i treniramo, a mislim da je i to važno za ove izazove političke koje nas čekaju."
0:02:23,0:02:31,"Kako ne uopće podržavati form kao političar, da je to moguće, jer već je bilo i drugih političara, više vas je dala za udomce, samo negativne."
0:02:31,0:03:06,"Ali, u ovom i našem klubu MOST-a su ovako svi dosta pristupni, tu sam ja ovako bio malo zakazao, ali evo ja sam sada krenuo, ali svi ostali, evo od Marija Miletića koji je aktivni sportaš, Nina koji vježba, Bože također, Kujundžić je ovako za ove fizičke poslove, ne ide u teretanu, ali on radi naše fizičke poslove u Miloci, koji krajevi, tako da je fit zone, prostor, sportaš, Marija je naša, vrlo brzo se vratila u formu nakon poroda tako da svi su uglavnom u formi."
0:03:06,0:03:12,"Evo još mene treba doista reć, mislim dobro je pobogao sa svojom osobom, ja mislim."
