Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:11,0:00:15,"Dragi gledatelji i slušatelji podcast Mlađa domovina, danas razgovaram sa Marijom Bebekom."
0:00:15,0:00:33,"Mario je diplomirani sanitarni inženjer koji je paralelno završio pedagoško-psihološko obrazovanje na učiteljskom fakultetu, postao je asistent na zdravstvenom veleučilištu, uz to je poznati motivacijski govornik i hrvatski reprezentativac u Paratech Vandu i sve to kao osoba sa invaliditetom."
0:00:33,0:00:41,"Mario i ja ćemo danas porazgovarati o nekim izazovima, bilo psihološkim, bilo društvenim s kojima se osoba sa invaliditetom suočava i kako ih nadvladati."
0:00:42,0:00:43,"Mario prijatelju, dobrodošao."
0:00:44,0:00:45,Hvala lijepo na pozivu.
0:00:45,0:00:46,Gdje si ti zadnjih dana?
0:00:46,0:00:47,Vidim da partijaš opasno.
0:00:47,0:00:48,Šta se to radi?
0:00:48,0:00:49,Održavaš svoj duh mladim?
0:00:50,0:00:57,"Pa ne bi rekao da partijam, samo bi rekao da ispunjavam svoje obveze prema svojim bližnjima."
0:00:59,0:01:00,Možemo to i tako nazvati.
0:01:01,0:01:02,Jesi dobro inače?
0:01:02,0:01:03,Kako si zadnjih dana?
0:01:04,0:01:18,"Pa e, sam malo umoran od svega toga, promijenio sam posao i uz to, znači, trenzi, predavanja, posao, učenje za."
0:01:18,0:01:24,za državni ispit i tako sve u svemu turbulentno.
0:01:24,0:01:26,"Znači veselo je, dan je ispunjen, tako i treba biti."
0:01:26,0:01:28,Evo ajmo krenuti onda sa tim.
0:01:28,0:01:37,"Mislim dotaknut ćemo se svih ovih tema što si spomenuo kroz cijeli današnji razgovor, kako ti kao osoba sa invaliditetom prolaziš kroz sve te stvari, ali evo predstavio sam te kao motivacijskog govornika."
0:01:38,0:01:49,"Koliko je, uvijek me zanimalo koliko je tebi teško ili jednostavno stati pred vino i govoriti o nekim stvarima koje možda iz svog kuta gledanja su teške ili iz kuta gledanja ljudi koji te slušaju su isto teške za slušati."
0:01:49,0:01:52,Jesi li ikad imao taj strah da staneš i govoriš pa tako pred ljudima?
0:01:54,0:02:01,Pa ovo je jako zanimljivo pitanje i Pa rekao bih čak zapravo da im nemam straha.
0:02:02,0:02:20,"Moja neka teorija je da je svaki čovjek ovdje stvoren da nešto stvori sam, znači da nešto napravi od sebe i da bude poznat, mislim poznat, da bude upečatljiv na ovome zemaljskom svijetu."
0:02:22,0:03:26,"Tako da mislim da sam ja to prirodno dobio od Boga da jednostavno mogu stati pred dosta puno ljudi, ne pred jednog dva čovjeka nego pred veliku količinu ljudi, mislim broj ljudi i pričati o sebi, svoju životnu priču što me sve zadesilo kroz evo sad imam trideset jedan godinu i ne znam evo zahvalan sam Bogu na tome jer kad pričam sa drugim ljudima koji imaju isto invaliditet i tako nešto imaju taj strah govora ne samo strah nego prvenstveno ih je možda sram, srame se jer se nisu prihvatili takvim kakvim jesu ali dobro o tome možemo malo kasnije ali eto zapravo što sam htio reći je to da smo mi svi pozvani da nešto napravimo od sebe i da budemo jednostavno, da zapravo da pridonesemo boljitku ovoga svijeta."
0:03:26,0:03:28,"Odlično, lijepa poruka za početak."
0:03:28,0:03:31,Evo ispričam i za početak onda tu svoju životnu priču.
0:03:32,0:03:37,Pa evo rodio sam se sa jednom rijetkom bolešću koja se zove agripozis multipolskog genita.
0:03:38,0:03:47,"Sad našim slušateljima, gledateljima to ništa ne znači, ali to je ajmo reći lajčki rečeno ograničenje u pokretima, znači skraćena agripoza."
0:03:48,0:03:54,To je rijetka bolešća koja obuhvaća i gornje i donje ekstremitete i još rjeđim slučajem obuhvaća i jedan dio ekstremiteta.
0:03:54,0:03:56,To to su kod mene ruke.
0:03:56,0:04:20,"Znači nemam razvijene mišiće i ruke su zapravo šake su zakrivljene, to se zove šake kao kuke, znači to su ti nazivi, znači jednostavno su zakrivljeni mišići i nisu razvijeni dovoljno, zglobovi su ukočeni, tako da ono."
0:04:21,0:04:48,"Osobe koje imaju problema sa nogama, oni su nenužno ali u većim slučajevima u invalidskim kolicima ili na nekim drugim potrebnim pomagalima kao što su možda hodalica da uz pomoć toga mogu normalno funkcionirati i hodati i obnašati svoje dužnosti svakodnevne."
0:04:51,0:05:22,"Neki su me pitali što mi je bolje, mislim kad bi mogao birati da se rodim sa problemom s rukama ili problemom s nogama, pa rađe birao ovako, ok, zato što sam se naviko, a mislim da je moj invaliditet zapravo se ne može mjeriti sa invaliditetom ljudi koji imaju obuhvaćene znači noge jer oni ne mogu hodati, ja mogu hodati, ja mogu trčati, oni sukobicima ne mogu trčati."
0:05:23,0:05:27,Tako da tu je neka ta ajmo reći tu je plus kod mene.
0:05:28,0:05:35,Ali mislim da svaki čovjek treba uvijek pokušati svoj minus pretvoriti u plus kakav god on bio.
0:05:35,0:05:38,Imao si preko trideset operacija je li to točno?
0:05:38,0:05:44,Pa evo točno trideset ali to nije ni četrdeset tako da nećemo davati neku pažnju tome.
0:05:44,0:05:45,Kako je išlo to od početka?
0:05:45,0:05:48,Kako trideset operacija imaš kod trideset godina?
0:05:49,0:06:06,"Pa evo nije baš išlo svaka godina jedna operacija, ali pa prvenstveno pri rođenju sam već imao operaciju, znači gastroeskize, znači prilikom rođenja gdje su eto s organima svi imali problema."
0:06:07,0:06:35,"Bio sam u inkubator tri mjeseca, doduše moram napomenuti da znači rođen sam se dvadeset osam deset trideset deset sam se devedeset jedan tristo deset sam se krstio odnosno na zahtjev ne zahtjev nego na upit doktora dao mojim roditeljima da li smo katolici vjernici da li žele krsiti svoje dijete iz razloga zato što su jako male šanse da beba preživi."
0:06:36,0:06:45,"I evo, krstili su me tristo deset i bio sam tri mjeseca u kubatoru i evo preživio hvala Bogu da je to."
0:06:46,0:07:14,"Kasnije znači od tristo operacija ovoga naravno tu su bile rehabilitacije razno razne i mama je vježbala sa mnom po dva do tri puta dnevno ona je bila moj fizioterapeut praktički samouk i jako sam zahvalna tome i njezin uspjeh je i znači i moj uspjeh i svaki moj uspjeh i njezin uspjeh, svaki moj pad je njezin pad, znači ne samo mame nego i roditelja, znači i tate."
0:07:16,0:07:19,"Kao i u ovome, tako i u cijelom ovom životu, u svim radnjama koje obavljam."
0:07:23,0:07:51,"Nakon koliko, tako, jedno, dva, tri godine sam otišao u Ameriku da se može vidjeti kako se može poboljšati uopće moje zdravstveno stanje jer su tamo bili doktori koji su eto znali nešto o mojoj dijagnozi, pošto ta dijagnoza nije bila tako poznata i nisu znali za tu dijagnozu, nisam znao nešto više o tome i rekao sam da mi je potrebna fizikalna terapija zbog reoksacije mišića zglobova i kasnije da su potrebne operacije."
0:07:52,0:08:13,"No međutim, kasnije, znači kroz osnovnu školu i to, ok, bilo je tu puno operacija, operacije, ne znam, oka, skapole, uho, stopalo, ne znam, noga, mišići odnosno presađivanje, transplantacija mišića."
0:08:14,0:08:24,"Evo, izdvojio bih par ključnih operacija koje su ajmo reći zapečatile moj život odnosno, ostavilo je traga."
0:08:25,0:08:35,To je bila operacija stopala gdje mi se nažalost prilikom te operacije zbog liječničke pogreške doktore skratio stopalo i nogu.
0:08:38,0:08:52,"No bio sam na operaciji mandula ili takva nešto, operacija bezazna i prilikom te operacije sam dobio bakteriju u lijevom uhu i pojavio sam se nesposobno pupnića, takva nešto, skoro ništa stvarno neće na lijevo uho."
0:08:53,0:08:56,"I to sam imao tri, četiri operacije na lijevom uhu."
0:09:00,0:09:08,"Kasnije što je zapravo jedna od težih operacija, to je bila u Njemačkoj transplantacija mišića od tissimozdorsi na biceps."
0:09:10,0:09:33,"Naravno, godinu dana sam morao vježbati od tissimozdorsi da mi se osposobi jer je jedino taj mišić bio adekvatan koji se može presariti jer ne mogu se svi mišići presariti na mjesto koje zapravo bi mi htjeli jer nisu jednostavno kompatibilni da se mogu primiti i da mogu opstati."
0:09:35,0:09:56,"Taj mišić na desnoj ruci je presađen i uspješno je obavljena i mogu bolje pokretati s rukom, mogu znači u ovaj pokret mogu napraviti i mogu puno bolje sada funkcionirati što se tiče samostalnog jedenja i samostalnog pijenja i takve neke radnje."
0:09:57,0:10:34,"To je trebalo biti na lijevoj ruci, no međutim, isto tako, godinu dana vježbanja dobio sam dva tri bakterije, među toga je bilo i mrsa i bilo je osam operacija u dva i pol mjeseca da mi se eto nažalost došlo do toga da se može spašavati ruka i zapravo moglo sam dobiti sepsu i sve nešto krenulo po zlu, ali evo uz drago Boga sve je dobro uspjelo i iz toga svega sam izukao i ne samo iz toga nego iz uvijek negativnog pokušavam izući neku posebnu priču, posebnu poruku."
0:10:34,0:10:43,Evo Mario zaista potresna priča ali lijepo si opet na kraju spomenuo koliko unatoč svemu tome pronalaziš toliko toga pozitivno i dalje si zahvalan Bogu kroz to.
0:10:43,0:10:52,"Dajmo sad malo produbiti tu priču, malo ući da vidimo kako je zapravo izgledalo tvoje odrastanje paralelno uz to, koliko je zapravo bilo teško stvoriti prijatelje."
0:10:53,0:11:01,"I pamtiš li neke stvari, neke anegdote koje si imao u srednjoj ili osnovnoj školi vezano uz svoje prijatelje, kako je bilo prihvaćanje od strane njih?"
