Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:13,0:00:25,"S nama je danas saborski zastupnik MOST-a Nino Raspudić, ali prije nego što krenemo u razgovor želim se zahvaliti studiju Regnare, našem sponzoru, to je studio za fotomontažu i video produkciju koji sponzorira ovaj video."
0:00:25,0:00:29,I naravno potičem vas da lajkate ovaj video kako bi došao do što većeg broja ljudi.
0:00:30,0:00:33,"Gospodine Raspudić, evo hvala vam na vašem vremenu i dolasku u podcast."
0:00:34,0:00:35,Hvala vama na pozivu.
0:00:35,0:00:39,Pričam li s kandidatom datum za premijera iz kluba MOST-a?
0:00:40,0:00:43,"Još uvijek se ne zna, moguće."
0:00:43,0:00:47,Kad budemo znali kada će biti izbori onda ćemo izaći i sa tom osobom.
0:00:47,0:00:56,Iako stvorila se nekako preko noći pompa oko kandidata za premijera što do sada nije bio slučaj.
0:00:56,0:01:11,Izgleda kao da mi imamo nekakve paralelne predsjedničke izbore pa sada više ne natječu se stranke i liste koje onda u Saboru većina koja se formira predlaže kandidata za predsjednika Vlade nego imamo nešto što su kvazi predsjednički izbori.
0:01:12,0:01:32,Sada u početku je to moglo izgledati simpatično ali kasnije je otišlo u nekakvom smjeru koji je pa evo čak rekao bih i čudan na neki način jer je teoretski moguće a taj primjer smo već imali da predsjednik Vlade postane osoba koja uopće nije bila na izborima ili koja nije bila u Saboru kao u onoj situaciji gdje je Tihomir Orešković postao predsjednik Vlade.
0:01:32,0:03:01,"Da, ali evo nešto je Hrbak govorio ili tako, ne izašao neki dan sa nekim datum dvanaestpet Ne može Hrbak reći koji će datum biti jer u trenutku kad vladajuća većina odluči raspustiti Sabor ili ako Sabor dogura do kraja mandata, to je sedam mjesec, po Ustavu predsjednik Republike je raspisio izbore između trideset i šezdeset dana dakle predsjednik Republike ima mogućnost poigravati se sa četiri nedjelje u tom razdoblju tako da hrbak ne može znati koju nedjelju će biti izbori e eventualno hrbak ako ga iko išta pita može znati kada će vladajuća većina raspustiti sabor on je bio rekao da su izbori u svibnju upravo traje saborsko zasjedanje sabora koje završava dvadeset dva tri teško je vjerovati da će sada oni reći prekidamo ovu sjednicu i raspuštamo sabor dakle šta tamo Sabor, dakle najranije što izbori mogu biti je da se Sabor raspusti dvadeset dva tri onda između konca četiri i konca pet mjeseca na to je aludirao hrebar a mi smo se šalili ako hrebar kaže da garantira da će izbori biti na proljeće da onda sigurno će biti na ljeto ali vidjet ćemo mi smo u svakom slučaju spremni iako bilo bi korektno od vladajuće većine da kaže kada će izbori biti a ne da igra te nekakve taktičke igrice kao evo ne bi li oporbu zatekli spremnom ili nespremnom a to je to da klasika već viđeno."
0:03:02,0:03:15,"Ali ono što vas želim pitati vezano je uz te predizborne ili neke poslizborne koalicije, često se veže uz vas vaša teza ili tvrdnja o tom potencijalnom ideološkom moratoriju sa možemo."
0:03:16,0:03:25,"Koliko sam pratio vaš rad, opovrgnuli ste tu tezu, rekao sam da to nije otvorena opcija, ali možete garantirati da možemo i hadeze nisu postkoalicijske opcije."
0:03:26,0:03:50,"Pa gledajte, to su spinovi koji su dolazili od strane Domovinskog pokreta, meni je u nebi jasno da stranka koja je u svom vrhu ima pola kabineta Iveja Sipovića, dakle dva savjetnika Iveja Sipovića su u vrhu domovinskog pokreta, Stjepo Bartuljica je dijelio stol sa Dejanom Jovićem, Petreli je bio član esdepea Drele i Prosperov Novak su bili članovi Bandićeve stranke."
0:03:50,0:04:04,"Dakle, kad imate toliko ljevičara, toliko članova bivših ljevičaranka i bliskih suradnika najvećeg valjda ljevičara u Hrvatskoj da oni nekoga optužuju da je trojanski konj ljevice u nebi."
0:04:04,0:04:14,"Mi nikada nismo rekli da možemo koalirati sa možemo, dapače stalno smo ponavljali da je nemoguća politička suradnja sa nama dalekim opcijama."
0:04:14,0:04:19,"Nama bliske opcije su onom gdje se mi pozicioniramo, to je od centra prema desnom."
0:04:19,0:04:29,Mi smo stranka koja je jasno artikulirala svoje pozicije i vrijednosti u programskoj deklaraciji i crno na bijelo se vidi što je MOST i za koje politike i vrijednosti se zalaže.
0:04:30,0:04:38,Hipotetski odgovor na hipotetsko pitanje je bio da se ne može formirati politička Vlada nego što znači ideološki moratori.
0:04:39,0:04:47,To znači da su zamrznuta te ideološka pitanja i to je bila u biti situacija u kojoj se ne bi mogla formirati većina.
0:04:47,0:05:10,"I prije nego što se ide na ponovljene izbore, vrijedilo bi pokušati promijeniti izborni zakon, promijeniti zakon o haerteu i smijeniti ravnatelja haertea promijeniti glavnog državnog odvjetnika, zabraniti oglašavanje javnih poduzeća monopolista u komercijalnim medijima, dakle sasjeći ove krakove hadezeove i hobotnice, e onda idemo ponovno na izbore na čistom i fair terenu."
0:05:11,0:05:17,"A ako u ostatku oporbe, bilo to lijevo ili desno, ne bude sluha za tako nešto, ako dođe do te situacije to je njihov problem."
0:05:17,0:05:19,Dakle to je bilo sve.
0:05:19,0:05:27,"Ono gdje sigurno nema sluha to je taj odnos između MOST-a i DP-a, kako vrijeme sve ide, to se sve više razgranjuje, rastače."
0:05:28,0:05:33,Koji su to neki uvjeti pod kojima bi MOST i DP mogli funkcionirati barem iz perspektive MOST-a?
0:05:34,0:05:40,Ja ne dvojim i dan danas da u DP-u ima čestih ljudi koji su djelom ispali politički najamni.
0:05:40,0:05:52,"Danas je to potpuno jasno, a o tome možete pitati i Miroslava Škoru koji je dogurao njih sve na svoju slavu u Sabor po kojem je stranka nosila ime što je DP i kako je nastao."
0:05:52,0:06:01,"Dakle očito je da je to jedan biznis projekt par ljudi, prije svega Radića i Vujno, sad Škoru su uključili u taj projekt, onda su ga šutnuli na način na koji jesu."
0:06:02,0:06:08,"Njihov cilj je bio da se hadeze ne može formirati vlast bez njih i da oni uzmu svoj dio kolača, prije svega energetskog."
0:06:09,0:06:13,"Nakon što to nisu uspjeli, došlo je do onog vrlo ružnog raskola."
0:06:14,0:06:22,Oni su od šesnaest zastupnika koji su ušli na njihovim listama danas pali na pet i mislim da to dovoljno govori kakav je to milje.
0:06:22,0:06:26,Nas je osam složenih ušlo i osam nas je složenih i dan danas na kraju mandata.
0:06:26,0:06:27,Gdje je Miroslav Škoro?
0:06:27,0:06:28,Šta on radi sada?
0:06:28,0:06:37,"Ne znam, ne vidim ga u Saboru iako bilo bi dobro da dođe povremeno u Sabor, ne samo on nego i neki drugi saborski zastupnici."
