Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:13,0:00:17,"Dragi prijatelji, dobrodošli u novi podcast Udruge Mladi za domovinu."
0:00:17,0:00:25,"Moje ime je Gabrija Lukić, a danas je sa mnom članica predsjedništva stranke Domino i kandidatkinja za predsjednicu Republike Hrvatske Branka Lozo."
0:00:26,0:00:30,"Branka, hvala vam na dolasku u podcast Udruge Mladi za domovinu i dobrodošli."
0:00:30,0:00:31,Hvala vam na pozivu.
0:00:31,0:00:37,"Evo, krenuli smo zapravo sa pričanjem o Blažanu Ionu Mercu i simpatično mi je to što."
0:00:37,0:01:06,"Blaženir Merc upravo je rekao da kada pri odabiru, kako bi katolik trebao djelovati u politici odnosno kako bi on trebao izabrati svog kandidata, on je rekao da prije svega mora, da obično da onaj koji glasa, onaj glasač treba promotriti je li ta osoba koja se kandidira na mjesto recimo predsjednika ima katolička načela u svojem programu, a nakon toga živi li ta katolička načela zapravo onako kako su u tom programu napisana."
0:01:07,0:01:23,"Pa evo mi ćemo sigurno kroz ovaj potkas ostvariti barem taj prvi dio, a to je da vidimo ono kakva su to načela programa Branke Lozo buduće evo kandidatkinje za predsjednicu erha pa evo bit će mi drago da se možete predstaviti mladim ljudima pa evo možemo krenuti možda sa time."
0:01:24,0:01:29,Tko je Branka Lozo i možemo onda kasnije produbiti raspravu zašto ste se kandidirali za predsjednicu.
0:01:30,0:01:54,"Ovo je baš lijepi uvod pogotovo s toga što se mogu pohvaliti premda tu nema nikakve moje osobne zasluge ali je činjenica da je moj dida, djed Dragan Kalenić osobno poznava oblaženog Ivana Merca, s njime je vodio određenu korespondenciju koju je kasnije moja mama ustupila u postupku beatifikacije."
0:01:55,0:02:08,A što se tiče svjetonazora i svjetonazorskih pitanja bez lažne skromnosti usuđujem se reći da bi Blaženik bio zadovoljan mojim stavovima i da bi ih sve redom potpisao.
0:02:08,0:02:12,"Ja sam se tako trudila živjeti od mladosti, to svjedočim svojim životom."
0:02:14,0:02:28,"Udana sam majka petero djece, zauzimam se za zaštitu života od začeća do prirodne smrti i nastojim živjeti u skladu sa naukom Svete Katoličke Crkve."
0:02:29,0:02:37,"Kako ste procijenili da se želite kandidirati sa predsjednicom Republike Hrvatske, odnosno kako je izgledao vaš proces razmišljanja prilikom donošenja te odluke?"
0:02:38,0:02:40,To zaista je bio određeni proces.
