Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:12,0:00:15,"Dragi prijatelji, dobrodošli u novi podcast udruge Mladi za domovinu."
0:00:15,0:00:23,"Ja sam Gabrijel Lukić, a danas je sa mnom hrvatski predstavnik u Europskom parlamentu i član stranke Domino Stjepo Bartuljica."
0:00:24,0:00:33,"Sa Stjepom ću pričati danas o Trumpovoj inauguraciji budući da je bio pozvan u Washington prije dva tjedna, pa evo vjerujem da će vas zanimati puno dojmova sa te strane."
0:00:33,0:00:39,Pričat ćemo također i o Europskom parlamentu koliko je on koristan za Hrvatsku šta se stvarno može tamo napraviti.
0:00:39,0:00:48,"Pričat ćemo i o lokalnim izborima, nešto sitno i o domino stranci, tako da evo ostanite do kraja, svakako lajkajte ovaj video kako bi došao do većeg broja ljudi."
0:00:49,0:00:53,"Stjepo, evo vidimo se nakon godinu i pol dana, pozdrav i dobrodošli."
0:00:56,0:01:07,"Evo primarni razlog zašto smo se našli, odnosno zašto radim ovaj podcast je upravo ta Trumpova inauguracija na kojoj ste bili prije dva tjedna, evo trebao bi podcast izaći sad unutar par dana, tako da će on biti relativno aktualni."
0:01:08,0:01:32,"Kako ste uopće došli na Trumpovu inauguraciju, tko je bio onaj koji vas je pozvao, ali uopće ne ali općenito ono što me još zanima malo iza toga je kako funkcionira, to se nije dogodilo samo ovako, dakle to je nešto, to je jedna baza umrežavanja koja se gradi godinama, pa evo ako možete mladim ljudima tu dati jedan pogled kako ste se vi umrežavali kroz godine pa da vrhunac toga bude Trumpova inauguracija odnosno poziv na nju."
0:01:32,0:01:44,"Da, to jest nešto što je trajalo i nije tajna da u politici je bitno ulagati u odnose, osobne odnose s ljudima."
0:01:45,0:02:03,"Ja dobivam puno poziva i sudjelujem na razno razno na raznim konferencijama, ali glavni bit je da se zaista izgradi jedan dobar odnos sa pojedincima koji danas sutra mogu biti jako bitni."
0:02:04,0:02:23,"Poznato je da ja zapravo ne samo što sam rođen u Americi nego zalažem se za stvari, za politike koji su ipak sklonije Trumpu nego ljevici, mislim da svi to znaju."
0:02:24,0:02:29,Ja sam ga javno podržao mjesec dana prije izbora.
0:02:30,0:02:35,"Neki su me kritizirali da se miješam u američke izbore, ali ne vidim to kao miješanje."
0:02:36,0:02:43,"Ja kao političar imam pravo zapravo komentirati što god hoću, pa i američke izbore."
0:02:43,0:03:20,"Smatrao sam da Amerika pa i Zapad ne bi opstao kad bi Kamala Harris pobjedila, to je otišlo predaleko i vidi se zapravo stanje naslijeđeno u Americi, čime se Trump treba sad baviti od južne granice na Inauguracija ova je povijesna zaista jer samo jednom prije u američkoj povijesti je jedan predsjednik nakon gubitka vlasti se vratio, to je Grover Cleveland, uspio jedini on."
0:03:22,0:03:37,"Na neki način, kad pitaju Trumpa je li ovako ispalo čak bolje nego da je imao dva mandata za redom, mislim da je u pravu kad kaže da je možda bolje jer ipak sada se dogodio jedan valj."
