Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:10,"Nas ne treba zanimati ti obračuni Republike Srpske sa visokim predstavnikom, nego Republika Hrvatska isključivo se treba fokusirati na poziciju Hrvata u BiH."
0:00:10,0:00:11,Zašto nam ljudi odlaze?
0:00:11,0:00:15,"Oni uvode najnekvalificiraniju radnu snagu u Europi, dolazi u Hrvatsku."
0:00:15,0:00:17,1% ih samo ima fakultet.
0:00:28,0:00:30,"Evo dragi prijatelji, dobrodošli."
0:00:30,0:00:32,S nama je danas po drugi put dr.
0:00:32,0:00:42,"Nina Raspudić, saborski zastupnik, sveučilišni profesor, stručnjak za razne stvari, tako da imat ćemo puno toga danas za proći, nije na dobro došli."
0:00:43,0:00:44,Hvala na pozivu.
0:00:44,0:01:02,"Evo prije svega vi jeste sada saborski zastupnik u Zagrebu i sve to, ali nekako javnosti ste poznati prije svega kao stručnjak za beiha i stanje u beiha tako da ja bi volio da se dotaknemo prvo Dodika i njegove presude i same budućnosti beiha koja je za mnoge u ovom trenutku klimava."
0:01:03,0:01:14,"Većina ljudi zna, ali evo ponovit ćemo, Dodik je osuđen u Sarajevu na godinu dana zatvora i šest godina zabrane političkog djelovanja nakon kršenja odluka visokog predstavnika Kristijana Šmita."
0:01:15,0:01:29,"To je izazvalo veliku političku nestabilnost, Dodik poziva na povlačenje Srba iz državnih institucija, poziva na uhićenje visokog predstavnika, poziva po ko zna koji put na odcijepljenje RS-a i na isto poziva i Hrvate."
0:01:29,0:01:32,Pa kakva je vaša prvotna reakcija na sve to?
0:01:32,0:01:33,Jel vas išta iznenađuje?
0:01:34,0:01:42,"Prvo bi trebalo definirati što je Bosna i Hercegovina, tko je Milorad Dodik i što je visoki predstavnik i njegova funkcija."
0:01:42,0:02:06,"Dakle, Bosna i Hercegovina kakva danas postoji je stvorena Daytonskim mirovnim sporazumom kao rezultat kompromisa, a kompromis je nešto gdje svaka od strana koja ulazi u kompromis, ako ćemo se našaljiti, se kompromitira na neki način, mora odustati od nekih svojih zahtjeva, nešto žrtvovati za veće dobro, u tom slučaju to je bio mir, završetak rata, a mir je uvijek dobar."
0:02:07,0:02:11,"I ove danas kada se govori o Ukrajini i pravednom miru, treba reći da ne postoji pravedni mir."
0:02:12,0:02:30,"Dakle, osim u ratovima gdje čisto jedna strana satare i pobjedi drugu, mir u ratu gdje nema potpuno pobjednika uvijek znači žrtvovanje dijela onoga što smatramo da nam pripada, da je pravično, da je ispravno da bi se postiglo veće dobro, a to je završetak rata."
0:02:31,0:02:43,"Dakle, u Dejtonskom mirovnom sporazumu je stvoren i taj okvir države Bosne i Hercegovine i aneks četiri Dejtonskog mirovnog sporazuma je Ustav BiH."
0:02:45,0:02:52,Tu je napravljena jedna početna asimetrija gdje je Bosna i Hercegovina podijeljena ne na tri entiteta nego na dva entiteta.
0:02:52,0:03:06,"Jedan je Republika Srpska koji je jedan unitarni entiteta, drugi je federacija koja je složena od deset kantona ili županija u koju su nagurani muslimani, kasnije primjenovani u bošnjake i Hrvate."
0:03:07,0:03:18,Kao prijelaznu fazu je tu zamišljeno je bilo kao prijelazna faza je određena figura visokog predstavnika koji je trebao pomoći u prvim godinama implementiranja mira i funkcioniranja te države.
0:03:18,0:03:25,Dakle bit kao nekakav arbitar koji će pomoći u rješavanju eventualnih nesuglasica između aktera u BiH.
0:03:26,0:03:58,To je kasnije pervertiralo u jednu situaciju da dvije tisuće dvadeset pet godine dakle trideset godina poslije rata imamo i dalje visokog predstavnika u ovom slučaju je nelegalno i određen jer ga vijeće sigurnosti nije potvrdilo što je po daytonu trebao biti slučaj koji je iznad svih institucija i svih izabranih dužnosnika u beiha dakle visoki predstavnik u svakom trenutku može smijeniti svakoga izabranog u beiha od načelnika općine do člana predsjedništva što je i ranije činio.
0:03:59,0:04:04,"Ono što je, pa da, jedan absolutistički vladar i to je šprnja od države."
0:04:04,0:04:09,"Dakle, mi smo, a tu šprnju radi međunarodna zajednica i ti koji drže visokog predstavnika."
0:04:10,0:04:19,"Dakle, tu ide dotle da smo na zadnjim izborima imali situaciju da visoki predstavnik mijenja izborni zakon u izbornoj noći nakon što su okončani izbori."
0:04:20,0:04:23,"Evo, koja je to razina lakrdije?"
0:04:24,0:04:46,"Dijelovanje visokih predstavnika i petljanje međunarodne zajednice u dogovoreni Washingtonski, Detonski okvir su na svojim leđima najviše osjetili Hrvati jer je nametnutim odlukama visokih predstavnika, Berijevim i Petrićevim amandmanima, Hrvati su dovedeni u poziciju da im Bošnjaci u svakom trenutku kada se slože mogu izabrati sve političke predstavnike."
0:04:47,0:05:08,"I to se u nekoliko navrata događalo da se ne vraća sad daleko u prošlost sa takozvani alijansom, poslije platformom, imamo ovaj notorni primjer Željka Komšića, njegov izbor nije rezultat tih intervencija i promjena nego toga da nitko nije vjerovao da bi Bošnjaci se usudili tako nešto prljavo raditi kao što su radili s Komšićem."
0:05:08,0:05:20,"Uglavnom da ne duljim, visoki predstavnici su vrlo konkretno djelovali na gaženju političkih prava Hrvata u beiha a vrlo virtualno protiv Republike Srpske."
0:05:20,0:05:22,Toliko o figuri visokog predstavnika.
0:05:22,0:05:34,"Znači on je tamo nelegalan, on je paradoksalan, on je tu trideset godina nakon Daytona ne kao netko tko pomaže da država funkcionira nego koji nameće negdje donesene političke odluke."
0:05:34,0:05:35,Tko je Milorad Dodik?
0:05:35,0:06:07,"Milorad Dodik je bio igrač međunarodne zajednice, dakle on je bio u početku socijaldemokrat unutar reformista Ante Markovića, jedne opcije koja je bila kao nadnacionalna pokušavala nekakvu tranziciju tada još raspadajuće Jugoslavije u demokratsko društvo u ratu nije imao nikakvu ulogu i on je karta na kojoj je međunarodna zajednica igrala poslije rata da u Republici Srpskoj skine ratnu SDS-ovu vlast i to su i uspjeli."
0:06:08,0:06:22,Ali im se dogodilo po onoj narodnoj tjeralistici u istjeralvuka da su na kraju dobili još tvrđeg srpskog političara kojemu nakon toga onda godinama evo sad već desetljećima nastoje politički doći glave.
0:06:22,0:06:30,"Ali evo i da se makne taj dodik možemo dobiti samo čvršću, mlađu, energičniju srpsku opciju."
0:06:30,0:06:59,I meni je najkomičnija stvar gledati neupućene ljude u hrvatskoj politici i medijima koji nešto likuju kao evo oslabljen Dodig ili Pašće Dodig pa mislim neki dan je za jedan portal ozbiljna žena starija upućena inače u stvari pita hoće li sada padom Dodiga Srbi se približiti jedinstvenoj beiha Pa ne postoji Srbin u Republici Srpskoj niti opcija Srpska koja bi milimetra odstupila od ingerencija Republike Srpske.
0:07:00,0:07:09,"Najbolji primjer i najplastičniji je ovo što se dogodilo sa Banja Lučkim gradonačelnikom, novim Stanim Vukovarom."
0:07:09,0:07:13,"sad ga je Dodik rekao odliku je to potpuno svejedno, dakle što se dogodilo?"
0:07:14,0:07:25,Ajde čulo se tu malo koliko se ovdje uopće prati u medijima i u politici stanje u beiha nekakav mladi kandidat pobijedio Dodikovog čovjeka na izborima za gradonačelnika Banja Luke.
