Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:20,"I naprimjer istraživanje koje radi Harvard Business Review, ako se ne varam na godišnjoj razini, radi istraživanje koji su najčešći, tojest koji su primarni načini korištenja e-alata poput 4GPT-a, Đemina i drugih za većinu korisnika."
0:00:20,0:00:22,I dobili smo izvještaj za 2025.
0:00:23,0:00:33,"koja kaže da je na prvo mjesto razloga korištenja skočio kategorija koja se zove companionship, tojest prijateljjevanje."
0:00:34,0:00:44,"Znači ljudi i osobno poznajem ljude koji kažem jedva čekam da dođem doma na večer da ispričam svoj dan, će GPT-u."
0:00:44,0:01:01,"Sada, mi se tu možemo čuditi, može nam to biti nejasno, ali isto tako to nije dobro iz više segmenata, ali isto tako trebamo imati empatiju na neki način prema tim ljudima i probati razumjeti šta dovodi do toga."
0:01:02,0:01:42,"Danas s obzirom na trendove u smislu jako smo se kao društvo individualizirali, atomizirali, život je jako stresan, u smislu živimo jako brzo, jako smo navezani na tehnologiju i odnosi su neka stvar koja nam je onako teška, koja nije jednostavna za uspostaviti ako krećeš, sad ću karikirati od nule ili ako nemaš već neke stabilne odnose, a s druge strane čekate jedan alat koji je sve prihvaćajući, vječito strpljiv, pun komplimenata koji isto tako potiče tvoj narcizam i ljudi znaju jednostavno otići za time."
0:01:42,0:02:12,"Ali tu treba biti svjestan da, to ja često znam reći u smislu ta vrsta pod navodnicima odnosa, jer to odnos nije, to je tvoja interakcija s tehnologijom koja podsjeća na odnos, je zapravo fast food za odnose, jer dobiješ neke kratke dopaminske hitove, dobiješ privid razumijevanja od druge strane, a zapravo dobiješ jedne osjećaje i emocije koji su bazirane na kognitivnoj spoznaji."
0:02:12,0:02:16,Dok je naprimjer pravi ljudski odnos ima puno više elemenata.
0:02:16,0:02:25,"Mi imamo i emocionalni, fizički, neki kažu i ja osobno to vjerujem, duhovni dio i isto tako u razgovoru sad sa tobom kao posljedicu."
0:02:25,0:02:26,ću ja imati bolji odnos.
0:02:26,0:02:29,A ovdje ugasim aplikaciju i opet krećemo od nule.
0:02:39,0:02:42,"Dragi prijatelji, dobrodošli na novi podcast udruge Mladi za domovinu."
0:02:42,0:03:00,"Danas u podcastu je iz moje perspektive dugo iščekivani podcast jer je ovdje moj prijatelj Filip Macukić, slobodno mogu reći stručnjak za umjetnu inteligenciju, vjerojatno jedna od osoba koja će nam najbolje otvoriti ovaj svijet umjetne inteligencije, posebno iz perspektive kako ga etično koristiti."
0:03:01,0:03:02,što je nama katolicima izrazito bitno.
0:03:03,0:03:30,"Filip je inače poduzetnik, osnivač i direktor kompanije Mediartem AI koja se upravo bavi ovime što sam sada rekao, ali malo će tu priču više Filip prodobiti u ovom podcastu, pa evo za sve one koje će zanimati o tome kako umjetna inteligencija funkcionira, koji su sve dometi umjetne inteligencije, koliko treba biti oprezan, kako ju pristupiti, evo, veselim se da ću u ovom podcastu imati priliku popričati upravo sa Filipom Macukićem."
0:03:30,0:03:31,"Filipe, dobrodošao u podcast."
0:03:32,0:03:33,"Hvala ti, hvala na pozivu Gabriele."
0:03:35,0:03:47,"Prijatelji smo, evo pričali smo o tome i prije nikako da zapravo dotaknemo se te teme umjetne inteligencije u tim našim razgovorima, ali zato sam te baš doveo da se više posvetimo tome jer tema je prevažna, prebitna."
0:03:48,0:03:58,"Znam da se sad baviš time doslovno zadnjih godinu i pol dana poslovno, ali naravno još i prije toga si se time bavio rekreativno, možemo to tako reći."
0:03:58,0:04:08,"Tako da baš mi je drago da si ovdje i evo veseli me da će puno ljudi saznati neke nove stvari i vjerujem izvući neke korisne informacije, a prvenstveno i ja."
0:04:11,0:04:18,"Ajmo ovako jednostavno, koji je neki tvoj background i kako si se našao uopće u prostoru umjetne inteligencije?"
0:04:19,0:04:22,"Super, pa background je, mislim, po..."
0:04:24,0:04:24,isprike?
0:04:25,0:04:25,Po ovaj...
0:04:26,0:04:27,Malo smo prehlađeni.
0:04:28,0:04:30,"Malo smo prehlađeni ja i drugi, tako da čaj je ovdje."
0:04:30,0:04:32,Svi sponzori koji se žele javiti.
0:04:33,0:04:35,"Da, da, čajevi, čajevi, samo javite."
0:04:37,0:04:44,"Pozadina je, završio sam ti RIT u Zagrebu, znači biznis uvijek vezan s tehnologijom."
0:04:45,0:04:49,"Tamo sam bečlor i master završio, master je bio vodstvo u uslužnim."
0:04:49,0:04:50,djelatnostima i inovacije.
0:04:52,0:05:08,"I uvijek sam ti bio nekako vezan za IT, čak prva kompanija koju sam bio otvorio je bila zapravo digitalna agencija koja se bavila uslugama digitalnog marketinga, ali i izradom mobilnih i web aplikacija."
0:05:09,0:05:26,"I uvijek sam nekako bio vezan za informatiku, ali naravno mnoštvo drugih interesa, što je zanimljivo, se sve nekako spojilo u temi umjetne inteligencije koja je zapravo, pa mogu reći, koja se miješa u svaki segment života skoro."
0:05:28,0:06:05,"I sve to nekako, ta razna poslovna iskustva su me dovela do rada u Googleu gdje sam se bavio policy and government affairs, znači kao odnosi sa vladama i tu sam se isto bavio politikama vezanim uz AI i za vrijeme mog rada za Google zapravo izlazi 4GPT i ja vam doslovno ulazim u aplikaciju i ne izlazim iz nje peda, znači ono, baš sam bio s jedne strane ono nisam mogao vjerovati da je to moguće, a pazite to je bio model prije tri godine."
0:06:05,0:06:09,"Znači o čemu pričamo danas kad se, da, kad se razbilo petsto tisuća puta više."
0:06:09,0:06:15,"Da, mislim ono je bilo sad kad gledaš ono crno-bijeli televizor a i dalje je bilo nevjerojatno."
0:06:15,0:06:47,"I tu zapravo ulazimo u temu, Google malo kasni, mi u kompaniji smo bili dosta iznenađeni sa tim svim i Google nakon, mislim da je bilo nakon dva mjeseca lansira svoju inačicu large language modela koja se zvala BARD, danas je to Jemmenite i ja nekako postajem kao neki interni edukator u timu, ono pokazujem kako to koristiti, ali sve me više zanima ta politika vezano za AI."
0:06:48,0:07:14,"I tu zapravo primjećujem da kako inače onako dosta, pa ajmo reći da imam te neke po Gallup Strengths Finderu talente futurističke, strateške itede primjećujem da će to sve promijeniti, da promijenit će primarno poslovnu sferu ali i cijelo društvo, ta tehnologija kao što je internet promijenio."
0:07:14,0:07:40,"I zapravo primjećujem isto tako da se nitko u Hrvatskoj ne bavi tom temom na način koji sam ja smatrao da bi bio adekvatan u smislu da se pristupa temi cjelovito, ne isključivo iz područja efikasnosti iako je to primarni interes većine kompanija, ali isto tako sigurnosti, privatnosti, etike, znači da imamo čovjeka u centru kad pričamo o toj tehnologiji."
0:07:40,0:08:00,"I tu se nekako splet okolnosti je doveo do toga da se otvorila jedna prilika iznimno rano, znači mi pričamo to je bilo tipa nekoliko mjeseci nakon izlaska čgpti ako se ne varam, lažem, to je bilo neki desetak mjeseci nakon."
0:08:00,0:09:18,"Tu govorimo o dvije tisuće dvadeset dva za dvije tisuće trideset tri sad već znači dvije tisuće dvadeset dva jedanaest mjesec zašto čgpti ja sam već stekao iskustva u korištenju njega i otvara se prilika da se napravi edukacija za poduzetnike u dubrovniku ja već promišljam o toj temi razmišljamo o budućnosti karijere da li ostati u googlu mijenjati poziciju ili ići u nešto svoje i sa kolegom koji danas evo i radi sa mnom, radimo edukaciju, osmosatna edukacija praktična u smislu to je više radionica, trening nego klasična edukacija i njih tridesetak dvadesetak je bilo oduševljeno, odmah se iduća popunila i zapravo tu primjećujem ok, nađen je service market fit tojest nađeno je usluga koja je potrebna tržištu s kojom su zadovoljni i tu zapravo se odlučujem otići u LIN, otvorit MediArtem AI i evo priča sad u nekom širem kontekstu će u prvom mjesecu biti dvije godine da se isključivo bavim treninzima, konzultingom kako koristiti tu tehnologiju."
0:09:18,0:09:25,"Pričat ćemo sigurno još o firmama jer vjerujem da su te dvije godine izogađalo puno toga, puno si ti rastao, puno je i ta umjetna inteligencija rasla."
0:09:26,0:09:34,"Posebno me zanima, doći ćemo do toga kasnije, ali posebno me zanima taj proces adaptacije tebe kao poduzetnika u nešto što nije toliko jasno predvidljivo."
0:09:34,0:09:41,"Znači ulaziš u neki svijet koji je vrlo nejasan, u u kojem će smjeru ići, od tebe će se očekivati na neki način da se adaptiraš tim promjenama."
0:09:41,0:09:46,Tako da mislim da će to biti vrijedno za sve ljude koje će zanimati ova poduzetnička strana priče.
0:09:46,0:09:50,"Ali mene sad zanima više tvoj neki psihološki stav, odnosno dojam."
0:09:50,0:09:56,"Rekao si, vidio si, procijenio si da će umjetna inteligencija promijeniti sve."
0:09:57,0:10:01,"Zašto misliš da, kakav ti bio osjećaj, zašto misliš da će to sve promijeniti?"
0:10:01,0:10:02,Šta ti je ono bilo u tebi?
0:10:02,0:10:03,U dobro pitanje.
0:10:04,0:10:08,Probat ću sad analizirati slijed misli.
0:10:12,0:10:32,"Znaš kako se kaže u smislu, kad pokušavaš predvidjeti recimo u poslu nešto što će se desiti u budućnosti, kaže se da povezivanjem nekoliko trendova s time da trendovi mogu biti čvrsti i meki."
0:10:32,0:10:42,"Recimo čvrst trend bi bio, sad ću karikirati, u Hrvatskoj je sve manje ljudi, osim ako maknemo migracije."
0:10:42,0:10:44,Znači sve manje ljudi se rađa.
0:10:44,0:10:52,"I to se tehnički može reći činjenično da je to tvrdi trend jer već 15 godina je tako, ne vidimo ništa drugo da će utjecati."
0:10:53,0:11:01,"I sad, kad imaš tako nekoliko čvrstih trendova, spoj njih ti zapravo daje činjenicu iz budućnosti."
0:11:02,0:11:02,Na neki način.
0:11:03,0:11:04,Ako ima smisla.
0:11:04,0:11:15,"Da, i tako sam primijetio u smislu, recimo, umjetna inteligencija na toj razini, nemoguće je da se neće razvijati."
0:11:15,0:11:26,"Znači, čvrsti trend je da će ta tehnologija biti sve bolja, isto tako kako su pokazivali mjeseci, da će biti sve jeftinijiija za korištenje."
0:11:27,0:11:36,"U smislu, nešto što je u 4GPT-u koštalo prije 25 eura, danas 10 puta moćniji model imamo besplatno."
0:11:37,0:11:45,"Znači, istovremeno ta tehnologija postaje bolja, postaje jeftinija i postaje dostupnija svima."
0:11:47,0:12:01,"Isto tako sam primijetio da se miješa u sve kognitivne sfere rada, a s obzirom da danas svi smo primarno u većoj mjeri radi."
0:12:01,0:12:09,"Radnici znanja, tojest knowledge workers, ne radi nas puno fizički, nego većinom se svi bavimo uslužnim djelatnostima."
0:12:09,0:12:17,I ova tehnologija zapravo može utjecati na preko 90% naših kognitivnih procesa.
