Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:06,Ono što je sad taj interesantan moment da ta baza više nije spremna sve to bijanko potpisivati.
0:00:07,0:00:24,"Nije spremna bijanko potpisivati za početak ekonomsku priču jer se tvrdilo da će joj biti bolje nego ikad po pitanju hipotekarnih kredita, po pitanju nezaposlenosti pa čak i inflacija veća nego što bi trebala biti, nema obračuna sa ogromnim javnim dugom, ta priča je isto umrla, to je bila predizborna priča."
0:00:24,0:00:38,"Što se tiče međunarodnih odnosa, ako im se reklo no forever wars, nema pomoći Ukrajini, nema pomoći Tajvanu, onda ne shvaćaju zašto onda može razmatranje intervencije u Iranu, zašto mogu ove operacije u Kugranulu ili jedno ili drugo."
0:00:38,0:01:13,"Od trumpisma će u smislu republikanske baze ostati definitivno odijem i bijes prema mainstream medijima iako su oni sve efemerniji, ostat će ljevi pogled na gospodarstvo, barem u odnosu na ono što je prije bila matrica, često i robotizirano ponavljanje republikanske stranke, ostat će nedosljednost u međunarodnim odnosima, ona svodit će se na neku vrstu trenutka, neku vrstu impulsa, prilike, brze reakcije, kodificiran ostaje ovaj kulturološki pomak u desno i tu demokrati neće više napraviti grešku da šalju neke luđake sa društvenim eksperimentima jer vide da ne mogu dobiti."
0:01:14,0:01:22,"izbore na taj način, oni će vjerojatno malo u tom smislu, barem ili prividno, možda i potpuno neiskrenost krenuti, malo se centrirati."
0:01:34,0:01:36,"Donald Trump, 45."
0:01:36,0:01:37,i 47.
0:01:38,0:01:42,"predsjednik SAD-a, najkontroverznija je politička ličnost 21."
0:01:43,0:01:49,"stoljeća i kad se spominje njega i kad se spominje njegovo u politiku, toliko je emocija, toliko je emocija."
0:01:49,0:02:03,"Toliko je nabrijanih strana da u tom šumi emocija teško je doći do toga što trumpisam objektivno je, kako ga definirati i ono što je najvažnije što će ostati iza tog trumpisma, isto tako kako je došlo do njega."
0:02:04,0:02:27,"Stoga ja sam stvarno želio odraditi jednu objektivnu analizu ovoga pokreta i za tu temu i za tu misiju sam izabrao jednog objektivnog analitičara, mislim da nisam mogao izabrati boljeg, a to je Aleksandar Musić, politolog, kolumnist i dugogodišnji komentator petog dana, svi ga poznajete, Aleksandarre, dobrodošao i fati što si tu."
0:02:27,0:02:47,"Poštovanje, izrazito sam sretan što ćemo popričati malo o stanovitom Trumpu i što ćemo popričati po drugi put u kratko vrijeme jer moramo reći gledateljima da smo prije nekih mjesec dana mi snimili ovaj podcast, a u međuvremenu i to je dokaz u kakvom svijetu živimo i koliko se brzo, bolno i okrutno rađa jedan novi svijet."
