Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:11,0:00:14,"Dragi prijatelji, dobrodošli u novi podcast Udruge Mladi za domovinu."
0:00:15,0:00:22,"Ja sam Gabriel Lukić, a moj današnji gost je dragi profesor sa ekonomskog fakulteta i to pročelni katedar za organizaciju i menadžment, Domagoji Hruška."
0:00:23,0:00:26,Domagoji i ja ćemo danas pričati o temi lidarstva.
0:00:26,0:00:54,"To je tema koja je izrazito važna, posebno u našem hrvatskom kontekstu, jer vidimo da oko nas manjka onih pravih vođa i lidera, pa želimo se pitati tko je lider, kakav bismo mi trebali odnos imati prema njemu, kako unaprijediti naše kapacitete vodstva, koja je razlika između menadžera i lidera i volio bi da je ovaj razgovor s jedne strane stručniji, a s druge strane prijateljski da svatko od nas može u jednoj otpuštenoj atmosferi naučiti nove informacije."
0:00:54,0:01:24,"Ali prije nego krenemo u podcast pozivam vas da lajkate ovaj videozapis kako bi došao do što većeg broja ljudi da se pretplatite na naš YouTube kanal i ako nas želite financijski podržati to možete učiniti tako da naručite neke proizvode sa naše stranice to je krobaj.hr to su proizvodi ovakvi slični od bračkog kamena, drveta, majice i slično, evo nije neka velika i skupa cijena, a može pomoći nama da nastavimo ovaj naš neovisni rad, pa evo zahvaljujem se svima onima koji će tako i učiniti."
0:01:24,0:01:30,"A sad idemo na onaj važniji dio, to je podcast, evo dragi profesore, dobrodošli u podcast Mladi za domovinu."
0:01:30,0:01:55,"Hvala Gabrijel, hvala na pozivu što ste prepoznali evo da možemo nešto zanimljivo pričati i što ste zapravo spremni afirmirati ovu temu koja je dosta bitna i kako što ste rekli mislim da ljudi dosta često imaju krivu koncepciju što zapravo znači, što zapravo znači vodstvo, kako ta uloga može zapravo pomoći zajednicama da rastu i razvijaju se?"
0:01:55,0:02:29,"Pa sigurno da, da, da i zato mi je jako važno da ste tu jer imam osjećaj da mi Hrvati ono već zadnjih jedna tisuća godina ili ono zadnjih devetsto godina nemamo neki kontinuitet vladanja ili ono uvijek kad je netko nad nama uvijek mi gledamo njega kao nešto uokrenut ili nekom briselu ili nekom beogradu ili nekom drugom budimpešti beču nemam pojma i onda na neki način gubimo povjerenje u te te lidere i samim time postajemo nacija koja nema ljude u koje bi se trebala uzdati odnosno koji će ih voditi."
0:02:29,0:02:35,"Imamo neku stigmu prema tim ljudima, zapravo svatko od nas bi potencijalno mogao biti lider ili ne."
0:02:35,0:02:36,Ali evo danas ćemo to popričati.
0:02:36,0:02:39,"Pa evo, možda za početak, tko je lider, tko je vođa?"
0:02:40,0:02:56,"Pa evo da, mislim to je dobro, dobro ste pokrenuli sa dobru priču i to pitanje ambivalencije Hrvatske, rekao bih hrvatskog naroda prema vođama je nešto što se može protumačiti, ali evo krenimo od nekih definicija."
0:02:56,0:03:07,"Znači vođa je ona osoba koja usmjerava druge prema ostvarenju neke organizacijske svrhe, prema ostvarenju nečega što smatramo zajedno važnim."
0:03:08,0:03:12,"Naime, bez svrhe ne možemo govoriti o vodstvu."
0:03:14,0:03:16,Svrha je naravno važna za svakog pojedinca.
0:03:16,0:03:30,"Ako ne znamo čemu težimo, zašto radimo sve što radimo, taj naš napor će biti ograničen, nećemo dati sve od sebe i imat ćemo brojne poteškoće u ostvarivanju bilo kakvih ciljeva."
0:03:31,0:03:42,"Isto vrijedi i za organizacije, čak i više nego za pojedinca, vrijedi i za za skupinu ljudi jer organizacija je svaka skupina ljudi koje zajednički rade na ostvarenju neke svrhe."
0:03:42,0:03:45,Znači nas dvojica smo sada jedna organizacija.
0:03:46,0:03:47,Zašto?
0:03:47,0:03:49,"Jer smo obojica ljudi, jasno."
0:03:49,0:03:52,I jer zajednički radimo na ostvarenju neke svrhe.
0:03:52,0:03:53,Koja je naša svrha?
0:03:55,0:04:26,"Evo kako ste vi rekli, naša svrha je možda da upoznamo bolje područje vodstva, da vidimo koliko je svrha važna za organizacije, za zajednice i zašto zajednice koje nemaju jasnu svrhu imaju taj svojvrsni odklon od ostvarivanja svojih ciljeva, zašto se dezintegriraju, zašto se iscrpljuju međusobnim sukobima oko tema koje uopće nisu važne umjesto da se fokusiraju na stvari koje su realno relevantne za ostvarenje organizacijske svrhe."
0:04:27,0:04:34,"Mora li svrha biti nešto duboko, nešto ili nešto površno, kako definirati svrhu, kako znati da smo dobro definirali svrhu?"
0:04:34,0:04:46,"Znači svaka kažem organizacija, organizacije su kao svojevrsni instrumenti jer mi zaista ljudi jesmo tako da kažem pragmatično i funkcionalno orijentirani i evolucijski i na svaki drugi način."
0:04:47,0:05:05,"I nama je suštinska, znači mi imamo svojevrsnu krizu svrhe i ovo pitanje koje postavljate je sjajno pitanje, a ta kriza svrhe proizlazi iz činjenice da nam je pred dobro, imamo prevelik taj bufer i ekonomski znači i na svaki drugi način."
0:05:05,0:05:17,"Kad kažem mi onda mislim na cijelo čovječanstvo jer prije dvjesto godina glavna svrha pojedinaca i zajednica, znači od obitelji pa do plemenskih zajednica, širi zajednica, bila je preživljavanje."
0:05:17,0:05:19,Ljudi su se borili protiv elemenata.
0:05:19,0:05:28,"Znači nama kao muškarcima, kao osobama je ključno bilo da možemo prehraniti sebe i svoju obitelj i da se ne smrznemo zimi."
0:05:28,0:05:35,"To je bilo, to je bio znači jedan cilj, jedna svrha koja je bila konstantno pred nama pred očima i nama u mislima."
0:05:36,0:05:54,"Danas to nije tako jer imamo previše tih mogućnosti koje tako da kažem nas neće dovesti do toga da su te egzistencijalne svrhe ugrožene, ali zato imamo tu krizu svrhe što vi kako vi kažete ne znamo zapravo čemu težimo i što želimo ostvariti."
0:05:55,0:06:02,"Svrha ne mora nužno biti nešto kažem osobito, osobito duboko, imamo primjerice jednu vrstu organizacije jedna od vrsta organizacija su poduzeća."
0:06:03,0:06:07,"Poduzeća imaju specifičnu svrhu, a to je da stvaraju ekonomsku vrijednost."
0:06:07,0:06:18,"Ako poduzeće ne stvara ekonomsku vrijednost, onda ono zapravo ne ispunjava svoju svrhu kao nekakav alat koji ne funkcionira, recimo ne znam, FEN za Kosovo koji ne radi, nema svoju funkciju."
0:06:18,0:06:40,"Imamo i druge vrste organizacija, jasno imamo razne neprofitne organizacije, imamo primjerice vojne organizacije, recimo Ukrajinska vojska, Američka vojska, Iranska vojska, znači to su sve vrste različitih organizacija, isto tako religijske organizacije kao što je Crkva, terorističke organizacije, mafija, obitelj, jedna organizacija kojoj svi pripadamo."
0:06:41,0:06:45,"Koja je svrha obitelji, recimo, koja bi trebala biti zajednička svrha obitelji?"
0:06:45,0:06:52,"Znači možemo se kod toga dogovoriti, jedna od ideja može biti rasti razvoj svih članova organizacije, da je to možda cilj obitelji."
0:06:53,0:07:08,"Uglavnom ono što je važno da članovi organizacije međusobno se mogu tako da kažem dogovoriti kad bi se potrudili oko toga što je njihova svrha i zašto su oni, zašto su oni, zašto oni zajedno rade ono što rade."
0:07:08,0:07:20,"Znači zašto su tu, za svakoga člana organizacije ta svrha je pomaloalo drugačija, ali postoji jedna niz koherencije među njima koja čini njihovo razumijevanje identičnim."
