Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:05,0:00:11,"Evo ja ovako malo kao školarac, ovaj storbom, a svi smo mi u Božjoj školi i dalje."
0:00:14,0:00:28,"Tako da sve ove riječi uvodne treba uzeti uvjetno, treba to sve potvrđivati iz dana u dan i da je do mene Bog svih služi onim nekim slabim ljudima i tako nama svima, tako slabima."
0:00:29,0:00:35,"Tako da da nije bilo Boga, da nije bilo Duha Svetoga, ništa od toga što se sad spomenulo ne bi bilo."
0:00:37,0:00:42,"Što se tiče, mislim malo me iznenadio, čovjek stavimo istu rečenicu s Danteom."
0:00:43,0:00:49,"A što se tiče djece, rekao bi sportski direktor Hajduka Nikolić, bit će toga još."
0:00:59,0:01:01,"Ne znam, smijem li uzeti ovaj mikrofon?"
0:01:01,0:01:05,Ja baš ne bih htio svećenicima uzimati ovo mjesto.
0:01:06,0:01:07,Ja volim više ovako.
0:01:09,0:01:09,Malo.
0:01:09,0:01:13,"Imam tu šala bakter, imam i ovo, ne znam, Mladu koliko imam."
0:01:13,0:01:13,vremena.
0:01:17,0:01:18,"Ako budem dosadan, mašite."
0:01:22,0:01:31,"Evo, ja zahvaljujem na pozivu i ovo mi je prvi put na Mladi festu i, hvala evo da sam napokon tu."
0:01:33,0:02:34,"Dakle, Marin Perić, što ste već ovo čuli, ja radim u izdavačkoj kući Salezijana, to je izdavačka kuća Salezijanaca, redovnika koji rade uglavnom s mladima, to je nekako njihova karizma i osim što izdajemo različite knjige, mi organiziramo i različite događaje za roditelje, za mlade vezano uz odgoj uglavnom, dakle ne samo odgoj u vjeri nego odgoj općenito, evo to je ono čime se bavimo, a povremeno dakle radim i za lauda, to snimamo tu božansku, no nije to vrhunac ni humora ni ne znam čega, ne mislim ja to ni ne mislimo mi to, mi smo to pokrenuli zbog uglavnom zbog mladih, svi smo mi ovdje mladi, više manje u duhu, pokrenuli smo to, želja je bila da evangeliziramo, da navještamo Božju riječ na jedan malo drugačiji način, blizak mladima, a humor je tu samo jedan mamac, nekad uspijemo bolje, nekad uspijemo lošije, mi smo tu svi amateri u tom smislu, ali evo vjerujem da smo kroz godine napredovali."
0:02:36,0:02:54,"Hvala na pozivu da svjedočim, uvijek nekako, moj prvi poriv kad me zovu da svjedočim je uvijek ono slab sam, što mislim, što ću sad tamo ja nešto, uvijek te on nekako može ispasti kao da ja se sad tu hvalim i nešto vama dolazim soliti pamet, evo pa odmah se ograđujem od toga."
0:02:55,0:03:20,"Ja sam nekako i uvijek prihvaćam svjedočanstva zbog toga što uvijek pomognu i meni., zato što me uvijek pozivaju da ja razmislim o Božjem djelovanju u mom životu, dakle u svom životu i to je dobro, evo to je neki nekakav prijedlog i vama, poticaj vama da nekad stanete malo u tišini i na papir zapišete gdje ste prepoznali da je Bog djelovao u vašem životu."
0:03:21,0:03:37,"I kad napišete sve te stvari, natuknice, ja vjerujem da bi se ispunio jedan papir cijeli svima nama, dobro je da se onda povremeno vraćamo na taj papir, kad smo u krizi, kad se dogodi neka teškoća, dogodi se, dobro je da uzmemo taj papir i da vidimo opipljivo da Bog djeluje u našem životu."
0:03:37,0:03:46,"Tako da je i ova prilika da svjedočim meni bila prilika da se opet sjetim i podsjetim i potaknem na jedan odnos s gospodinom, da vidim koliko Bog djeluje u mom životu."
0:03:47,0:03:57,"I ovo što ću ja govoriti i ako neke stvari kažem ja ću reći dakle što Bog djeluje, što Bog radi u mom životu, što je učinio u mom životu, kako je lijepo živjeti s Bogom."
0:03:57,0:04:06,"Evo ja ću nastojati to posjedovati, naravno i nekako i svoju slabost kroz sve to i kako Bog i to nastoji popraviti, popravlja i dan danas."
0:04:09,0:04:13,"Dobro, ja sam odrastao, vrlo kratko, dakle ja sam odrastao u Varšu, u Varšu u Splitu."
0:04:14,0:04:20,"Varš vam je kvart koji svi narkomani u Hrvatskoj poznaju, evo samo ukratko da znate."
0:04:20,0:04:27,"Dakle, narkoman u Vukovaru zna za Varšu u Splitu, u Dubrovniku svi koji dođu u Split traže Varš, evo samo da znate."
0:04:27,0:04:38,"Dakle, dvadeset metara od moga stana sa trećeg kata diler ovako spušta štipunicu, kako vi to zovete štipaljku, e i on stavi dolje novac i on mu baci drogu."
0:04:38,0:04:46,"Dakle, ja sam to gledao kao mali, to je bilo vrijeme rata, ja sam imao možda ne znam šest sedam godina, ja sam osamdeset šest g."
0:04:47,0:05:01,"dakle gleda što prolaziš ulicom, najnormalnije dakle, drugi diler je odmah deset metara od njega sa ekipicom, sa psima, moja mama prođe on s mitraljezom, njegovi kolege, on kaže nemoj to mi je susjeda i takav kvart."
0:05:01,0:05:02,Evo.
0:05:02,0:05:08,"I inače prije nekoliko godina bilo je ono pucanje jel tako u Splitu, to je naravno bilo dvadeset metara od moje kuće."
0:05:08,0:05:32,"Evo, tako da vidite kontekst, dakle ja sam rastao u tom kontekstu, bilo je zahtjevno, vidio sam svašta u svojoj mladosti, dakle puno mladosti izgubljene, doslovno zombi koji su šetali ulicama moga kvarta i ono, gledao sam to i vidio sam što onaj život koji su oni živjeli, oni su govorili, a znači ono, droga, alkohol, da sam ne spominjem neke riječi, ima i djece."
0:05:32,0:05:42,"Dakle, taj jedan lagani, lagani život sve treba isprobati i to, ja sam to vidio dokle to vodi, zorno, dakle vidio sam taj dio vrlo jasno."
0:05:42,0:06:44,"es druge strane, dakle, moj kontekst obiteljski je bio također, ta svjedočanstva redovito počinju tako, moja obitelj je bila vjernika, ali tradicionalno i tako, a tako je bilo, mislim tako moram reći, moji su se jako mladi vjenčali i ja njih i ja njih i jako volim svoje roditelje i razumijem da oni nisu imali prilike koje imamo mi, nisu imali svako malo Mladifest da dođu, napune se, da čuju ne znam o predvrcnoj čistoći, da čuju o ne znam o rastu s gospodinom ovome, onome, dakle oni su bili na neki način u toj duhovnosti, vrlo često onako, misao je ono što se nudilo, naravno išli su i to je bilo onako tradicija i to, ali nisu imali možda neke prilike da uđu u to dublje, ovisilo je, imali su i svoje možda roditelje, moj otac imao oca koji je bio u Njemačkoj, njega ni vidio, dakle bio je bez oca na neki način odrastao i zato ja njih razumijem i ovo što govorim, govorim kao činjenično stanje, ja vjerujem da ono, svatko ima svoj neki problem kući, nekakav drugačiji."
0:06:44,0:07:15,"A ja sam imao taj da se moji roditelji vjenčali su se mladi, nije tu bilo dobre komunikacije, moj otac Sinjan je tvrdio, on bi on rekao volim te ženi, nemate sile, to je lakše bi bilo ne znam cijeli šleper napuniti nego reći njoj volim te, ma ili bilo čime nečim pokazati neku, e sad, svi mi znamo da kad roditelj pokazuje ljubav djetetu, to je dobro, ali to djetetu nije dovoljno, djetet treba vidjeti ljubav roditelja međusobno, te nekakve, ne samo izjave ljubavi nego nekakve geste ljubavi."
0:07:15,0:07:17,Evo ja to recimo nisam imao u svojoj obitelji.
0:07:17,0:07:22,Što se tiče katoličkog dijela to je bilo onako molitva minimalno.
0:07:22,0:07:28,"Znači ono molitva prije spavanja, eventualno prije jela, Božić s kruhom se ga, se sviče i tako, to je bilo nešto."
0:07:29,0:07:33,Nedjeljom vrlo često bi moji preskočili ali mene bi slali.
0:07:33,0:07:35,Naravno po kome je bilo evanđelje jel tako?
0:07:36,0:07:50,"A to je vrlo jedan minimalan zapravo loš vjerski odgoj kad sagledam iz ove perspektive jer ako roditelj ne ide džabeti sve, znači onako ti primjerom ne pokazuje onda evo toliko da vidite malo ta taj kontekst."
0:07:50,0:07:51,Zašto ovo sve govorim?
0:07:52,0:07:55,Zato što moja obitelj nipočemu nije bila drugačija.
0:07:56,0:08:05,"Znači, ti kad uzmeš neku obitelj vjerničku i kad uzmeš moju osim tih par nekih, evo ono molitava navečer, nekad nedjelju, nipočemu drugačije, sve je bilo dobrodošlo."
0:08:05,0:08:27,"Moja mate redovito gadala sa svojim prijateljicama iz šalice kave, čitale su se svakakve knjige pa i antivjerske, sve može, znaš ono, vjernici smo, ali ni psovke bilo, svega je praktički naš, nije nitko mogao reći ko što su rekli prvim kršćanima, gle kako se ljube, toga nije bilo."
0:08:27,0:08:33,"Dakle, samo primjećujem, dakle, sad kad razmišljamo o tom periodu, to je bio moj kontekst, ali šta je?"
0:08:34,0:08:45,"Druga stvar koju vam želim ovdje istaknuti, jedna stvar, od Malena, od Malena sam skužio da smo stavljeni pred jedan izbor i svi smo mi svakodnevno stavljeni pred izbor, dobro ili zlo, nema sredine."
0:08:45,0:08:49,"Dakle, svi naši izbori se mogu svesti na dva temeljna izbora, dobro ili zlo."
