Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:02,Hvala Isusu i Marija.
0:00:04,0:00:05,Nadam se da ste dobro danas.
0:00:07,0:00:33,"Mi smo jučer počeli sa jednim radom, danas bi htio nastaviti tamo gdje smo stali, pa ćemo se na početku kratko pomoliti tek toliko da se saberemo da naš duh može biti sabran na Božju prisutnost u njegovoj riječi i da nam Bog da snagu da je možemo pustiti u svoju um i u svoje srce da nas iznutra preobražava."
0:00:34,0:00:52,"Gospodine Isuse, mi te molimo da nas blagosloviš i posebno te molimo za sabranost Duha, pošalji Duha svojega da u njegovom svjetlu možemo razumjeti tvoju riječ i da je možemo primiti u srce da postane živa i djelotvorna."
0:00:53,0:00:56,Slava Ocu i sinu i Duhu Svetom.
0:01:02,0:01:11,"Dakle, naš zadatak je jedno od osam blažih stavova koje glasi blagomirotvorcima, oni će se sinovima Božjim zvati."
0:01:11,0:01:55,"I prvi korak koji smo napravili sinoć je da vidimo kontekst u kojem je ta rečenica rečena i otkrili smo da je ona rečena u jednom kontekstu koji je vrlo važan, a to je da je riječ o preobraznoj snazi, snazi koja dolazi iz Božje riječi i našli smo je daleko, vrlo u početku Biblije, tamo u životu Josipova pravednoga i onda smo otkrili da je to isti način kako je Isus govorio, drugim riječima, tamo gdje su naše nevolje i kad mi vidimo samo nevolje, ako se otvorimo Bogu pokazuje se ne samo izlaz iz nevolja, nego se pokazuje širi kontekst u kojem te nevolje postaju Božja prisutnost i snaga."
0:01:55,0:01:58,To je jedna od važnijih stvari za svaki ljudski život.
0:02:00,0:02:08,"Dakle u samoj rečenici blago o mirotvorcima, oni će se sinovima Božjim zvati, leži nešto što ti ljudi nisu znali."
0:02:09,0:02:20,"Oni su se trudili oko mira, bili su odbacivani, a Isus u njima vidi da su sinovi Božji, upravo zato što su dopustili da taj mir njih iznutra preobražava."
0:02:21,0:02:28,Večeras ćemo napraviti drugi korak jer nam je jako važno razumjeti od čega treba očistiti svoje srce da bismo mogli biti mirotvorci.
0:02:29,0:02:44,"Naravno da srce ima puno loših stvari, srce je leglo loših stvari koje treba sve izbaciti vani, ali jedna stvar stalno upada u oči i s njom ćemo se nekako morati suočiti."
0:02:44,0:02:51,"Nekoliko puta i to smo susreli jučer, Biblija ponavlja da je krupni i važni problem zavist."
0:02:53,0:02:59,Mi smo jučer vidjeli da je jako važno da ne razumijemo sebe onako kako se mi osjećamo.
0:03:00,0:03:10,"Naši osjećaji ne kažu tko smo mi, oni nam kažu kako smo i kako nam je u određenom trenutku, ali tko smo mi, to je puno šire nego što naši osjećaji mogu reći."
0:03:10,0:03:16,"To je jedna od zabluda suvremenog svijeta gdje nam sugeriraju ti si to što ti osjećaš, to je jako krivo."
0:03:17,0:03:24,"Jedan dan osjećaš rado, drugi dan osjećaš tugu, tebi je tako, tako se osjećaš i to je točno, ali ti si puno više."
0:03:24,0:03:27,"I druga stvar, ti nisi to što drugi ljudi o tebi misle."
0:03:27,0:03:37,"Ako dopustiš da misliš o sebi, da si ono što drugi misle o tebi, ti si izručen njima u ruke i oni će manipulirati s tobom kako im se prohtije."
0:03:38,0:03:49,I mi smo već susreli da je čovjek ono što je u Božjim očima i da nam je jako važno da dođemo do otle kako možemo vidjeti kako nas Bog vidi.
0:03:50,0:03:52,"Dakle, jedna od prepreka je zavist."
0:03:52,0:04:01,A zavist vam je ništa drugo doli pitanje kako mi vidimo druge i kako drugi vide nas.
0:04:01,0:04:10,Mi smo susreli jučer problem zavisti u obitelji Jakovljevoj koja je pogodila Josipa.
0:04:11,0:04:22,Kad odete u djela apostolska onda imate tamo jedan dugi govor Stjepana prije nego će biti kamenovan i u tom dugom govoru on to isto kaže.
0:04:22,0:04:35,"Kaže ovako, rodozačetnici to su naši oci, pak iz zavisti Josipa predadoše u Egipat, ali Bog bijaše s njim te ga izbavljaše iz svih nevolja."
0:04:36,0:04:42,U tu jednu rečenicu Josip u tom svom dugom govoru sabire cijelu tu priču.
0:04:42,0:04:47,Imate Josipa koji je predan iz zavisti i Bog bijaše s njime.
0:04:48,0:04:54,Drugim riječima ako hoćemo otkriti kako je Bog s nama moramo se suočiti sa zavišću.
0:04:54,0:05:01,Ta zavist je jedan krupni problem i to toliko veliki da mi u Katoličkoj Crkvi smo smjestili zavist gdje?
0:05:02,0:05:05,Među sedam smrtnih grijeha.
0:05:05,0:05:07,Što znači smrtni grijeh?
0:05:07,0:05:12,To znači to je čin koji uništava život u nama.
0:05:13,0:05:18,Ali nekada je to tolika sila da fizički uništi ljudske živote.
0:05:19,0:05:26,"Josip je skoro fizički izgubio život od zavesti, ali zavest uguši u nama prvenstveno taj Božji život."
0:05:27,0:05:34,Drugi jedan tekst iz Novog zavjeta je jako važan da shvatimo što to znači biti mirotvorci.
0:05:34,0:05:39,"On je uzeti iz jedne poslanice, kratke poslanice, poslanice svetog Jakova."
0:05:40,0:05:47,"Ja ću vam ga pročitati zato što u njemu imamo i zavist i imamo mirotvorstvo, pa ćemo vidjeti kako on to povezuje."
0:05:48,0:05:52,"Kaže Jakov, je li tko mudar i razborit među vama?"
0:05:52,0:05:57,Neka dobrim življenjem pokaže svoja djela u mudroj blagosti.
0:05:58,0:06:07,"Ako u srcu imate gorku zavist i svadljivost, ne uznosite se i ne lažite protiv istine."
