Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:24,"E sada mi je jako veliko zadovoljstvo najaviti našeg sljedećeg gosta, naše sljedeće svjedočanstvo, a to je svećenik Franjevačke, Hercegovinske provincije, fra Renato Galić, a mislim da se neće ljutiti ako kažem ovo, da je danas obranio magisterij jel tako?"
0:00:27,0:00:34,"Obranio magisterij a dolazi ovdje, vidite, evo, da to nije žrtva, ali prepozna ono što je bolje."
0:00:35,0:00:40,"Kao kaže Ivan Križ, bolje je izabrati ono što je teže nego što je lakše jer izaber ono što je bolje."
0:00:40,0:00:41,Ono što je bolje.
0:00:42,0:01:05,"Kažu za njega da njegove propovijedi nas vode ka miru, a znamo odakle on dolazi, nema s nama župnika Međugorskog, ali zato je s nama Ranato Galić, pa molim vas da časti dođite, naš Mari neka dođe novinar ovdje, najprije će vam on nešto reći, a onda će ga naš novinar malo nešto pitati."
0:01:08,0:01:17,"Moje propovijedi vode miru jer nekad uspavaju pa je čovjeku uplaženo miru, a što ima ljepše od sna."
0:01:17,0:01:32,"Ja moram reći da sam prvi put u Sisku i mislio sam da je to dalje od Zagreba, ali u stvarnosti je ni sat vremena pa moglo bi se doći češće ako budu zvali sišćani."
0:01:33,0:02:18,"Ja sam frar Ranato Galić, svećenik, fratar Hrvatske franjevačke provincije, trenutno trideset tri godine imam tu sam u zagrebačkoj dubravi mi smo odgojna kuća moja uloga je da budem pomoćni odgojitelj bogoslova imamo dvadeset trojicu mladih ratara koji se sprema jednog dana biti svećenici punopravni članovi naše zajednice osim toga uz braću u samostanu radim kao bolnički kapelan u kliničkoj bolnici dubrava i radim s mladima imamo framu franjemačku mladež šezdesettak mladih koji se dva puta tjedno okupljaju u našem samostanu u Dubravi."
0:02:18,0:02:23,Toliko meni ne bih ja ništa više htio.
0:02:26,0:02:37,"Evo mi smo ovdje na Mladi festivalu tako htjeli malo saznati više o vama da kažete evo mladima poziv, kako ste ostvarili svoj svećenički poziv."
0:02:40,0:02:47,"Sad je bio naš branitelj, uvijek je lijepo čut branitelje i njihova svjedočanstva, prije toga je bila i časna sestra."
0:02:47,0:02:55,"Ja volim reći da moje iskustvo, moj dolazak u samostan je obilježen redovitošću."
0:02:55,0:03:10,"Nije bilo naučeno gledati ništa spektakularno, često kad se slušaju neka svjedočanstva, većinom se radi o nekim velikim prekretnicama kad je Bog možda postao djelotvoran u životu neke obitelji."
0:03:10,0:03:20,Ja kad se osvrnem unazad trinaest četrnaest godina kad sam ušao u samostan i život prije toga stvarno nije bilo ništa naročito.
0:03:20,0:04:28,"Radovita hercogačka obitelj, više-manje obiteljska molitva, nije to bilo sa Bog zna koliko, više mama i tata mole sad, otkad sam ja samostalno, možda nego što smo molili ranije, svake nedjelje smo išli na nedjelju Euharistiju na brig i tu sam nekako počeo s bratima više ulaziti u kontakt, više se družiti i kad sam u nas je na Širokom brigu, srednja škola odmah uz gimnaziju, odmah uz crkvu na brigu, sad je malo nastradala u požaru, šteta, tako da smo mi prije škole redovito odlazili po molitve u crkvu i u drugom razredu srednje škole sam se upisao na framu, franjevačku mladež, nas je tu bilo negdje dvjesto pedeset tristo mladih redoviti susreti svakog petka i neke aktivnosti koje su bili a mimo toga i tu sam nekako počeo više ulaziti u vjeru više se družiti s mladima i više molit ono što je i najvažnije bilo i ja bih tu volio istaknuti tek jednu stvar."
0:04:28,0:04:45,"Nama su susreti bili petkom u velikoj dvorani i prije svakog susreta smo molili Frajnju kruncu, to je dvanaest očanaša, dvanaest Drago Marija i dvanaest Slava Ocu i svaki framaš bi zamolio jedan očanaš Drago Mariju Slava Ocu."
0:04:45,0:04:55,"I nakon tih dvanaest očanaša, jedan framaš koga bi zapalo, to je svatko izbjegavao, molili smo jedan desetak krunice za nova duhovna redončka zvanja."
0:04:56,0:04:59,Znači dvanaest očanaša stoće naša i za toga desetak runica je.
0:05:00,0:05:11,"Za mlade, za srednjoškolce nije baš malo i većina je željela što prije završiti molitvu da krene u onaj zabavniji dio susreta."
0:05:11,0:05:30,"I ja sam se strašno plašio da mene ne zapadne taj desetak, uvijek sam izbjegavao jer zamislite da ti moliš za duhovna redovna zvanja jer tribalo je na mikrofon pred dvjesto pedeset mladih reći izmolićemo jedan desetak za nova duhovna zvanja iz naše frame."
0:05:30,0:05:45,"Znači mi smo molili samo za duhovna zvanja iz naše frame i mogu reći kako te to s jedne strane plaši, bojiš se molit za nova duhovna zvanja, a s druge strane te nekako taj novi to i privlači."
0:05:45,0:05:51,"es jedne strane te plaši, a s druge strane te na jedan čudesan način privlači."
0:05:51,0:06:09,"I nekoliko puta sam ja u tih četiri pet godina molio taj desetak i sad kad se s ove svoje točke gledišta vratim u prošlost stvarno mogu reći da je ta molitva za duhovna zvanja i kad gledate zadnjih 15-20 godina, sa širgog brijega je negdje."
0:06:41,0:06:51,"o svećeničkom pozivu, o redovničkom biti, evo sad sam to čuo jučer, a i geslo od mlade, to jeste nekako u skladu, molite dakle gospodara žetve da pošalje radnike žetvu svoju."
0:06:52,0:07:19,"Sljedeće pitanje koje bismo vas pitali je, dvije tisuće dvadeset četiri godine međugorje je dobilo status njih ili opstart evo da nam malo to pojasnite što to za nas vjernike znači ok mi svaka hercogačka obitelj više manje redovovito ide u Međugorje i kad čovjek je onako u srednjim godinama, srednjoškolac, odnos prema Međugorju shvaća na jednoj emocionalnoj možda razini."
0:07:19,0:07:29,Kasnije kada sam upisao filozofsko-teološki studij čovjek počne racionalno promišljati i počne se pitati može li tu biti nešto.
0:07:30,0:07:48,Ja sam u jednom trenutku pitao se što se to stvarno događa u Međugorju i nakon završetka fakulteta tri godine sam proveo u Međugorju kao svećenik i tek kad upoznate Međugorje iznutra HZMO-a upoznate zapravo što je Međugorje i upoznate duhovne plodove.
0:07:48,0:08:00,"Prošle godine je zapravo bio najvažniji crkveni dokument što se tiče Međugorja, njihil opstat, ne znam sad točno kako ide ona definicija, ja bih istaknuo tri stvari."
0:08:01,0:08:06,"Njihil opstat znači ništa ne priječi, ništa ne priječi."
0:08:06,0:08:10,Ako netko želi ići negdje nema zapreke.
0:08:10,0:08:15,Evo sad je naš branitelj govorio kako je sa osamnaest godina išao u rat.
0:08:15,0:08:25,Ja se primjerice sjećam svoje profesorice iz osnovne škole koja je govorila pitajte svoje roditelje kako bi oni sada reagirali da im vi kažete idete u rat.
0:08:25,0:08:29,Jer nijedan roditelj ne želi pustiti dijete gdje nije sigurno.
0:08:30,0:08:41,"Roditelji se često misle hoće li dijete pustiti u grad možda ili pustiti ga u disko, pustiti ga u neki izlazak gdje ima i alkohola i gdje ima možda nekih neželjenih stvari."
0:08:41,0:08:52,"Crkva kad je donijela ovu odluku kaže ništa ne prijeći i na jednom mjestu kaže ništa nema sporno, ništa dvojbeno, to će reći sigurno je."
0:08:52,0:09:25,"A nama u današnjem vremenu koje je nekako obilježeno i pluralnošću gdje svatko ima pravo i na svoje mišljenje, gdje svatko može tvrditi što god želi, kad jedan crkveni autoritet za jedno malo hercegačko mjesto kaže ništa ne priječi, sigurno je, nema nikakvih moralnih ogromnih dilema, ja vjerujem da to može nekako ohrabriti vjernike da idu tamo jer idemo gdje je sigurno i gdje znamo gdje možda neće nastradati ni naša vjera ni naš odnos s Bogom."
0:09:26,0:09:35,I prva stvar koja se kaže u toj odluci je ta da se u tom mjestu osjeti snažno djelovanje Božjeg Duha.
0:09:36,0:09:44,"Znači ništa nema sporno, a na drugom mjestu se kaže da je Duh Božji posebno djelotvoran na tom mjestu."
0:09:44,0:09:46,U biti Duh Sveti je uvijek djelotvoran.
0:09:46,0:09:54,"Kasnije kad budemo slavili Euharistiju, na jednom mjestu ćemo zazvati Božjeg Duha da siđe na kruh i na vino."
0:09:54,0:09:59,I kad čitate sve to pismo vidite na kojim mjestima je djelovao Duh Božji.
0:10:00,0:10:15,"Na početku prilikom stvaranja svijeta, Isusovo začet će se događati po Duhu Svetom, Isusovo krštenje, silazak Duha Svetoga prije Isusa odlaska na nebo, Isus daruje učenicima Duha svoga."
0:10:16,0:10:24,"Zapravo, Duh Sveti se veže uz neke specifične događaje u Isusovu životu i u životu Crkve."
