Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:10,0:00:13,"Hvaljeni su svi Marija, pratitelji mreža riječi."
0:00:14,0:00:18,"S vama je večeras naša suradnica, sestra Nina Benedikt Krapić."
0:00:18,0:00:31,"Osim toga što je časna sestra, ona je edukantica, vješta od psihologije i logoterapije, pravnica, novinarka, studentica, voditeljica socijalne službe riječnog karitasa."
0:00:31,0:00:32,Mislim da je nešto zaboravio Nina.
0:00:32,0:00:35,Samo sam se nadala da je tokso.
0:00:37,0:00:37,Misliš da je dosta?
0:00:38,0:00:39,Previše je.
0:00:40,0:00:44,Pozdravljam tebe i sve gledatelje mreže riječi.
0:00:44,0:00:44,Hvala.
0:00:45,0:00:52,"Evo prvo pitanje, kako uspiješ u svom dnevnom rasporedu ukomponirati sve te brojne odluke?"
0:00:54,0:00:55,"Pa, vrlo često ne uspije."
0:00:58,0:01:07,"Nekad i kasnim srokovima, dopustim si i to, učim ono što je realno u mojej mogućnosti."
0:01:08,0:01:11,Zašto tako puno različitih stvari?
0:01:13,0:01:16,Nekako sam se uvjerila s Ragnolom da mi.
0:01:17,0:01:23,Za jedno cjelovito djelovanje jednostavno nije dovoljno biti samo u jednoj stvari.
0:01:24,0:01:24,Vraćam na jednu stvar.
0:01:25,0:01:27,I to je nešto čemu me novinarstvo naučilo.
0:01:28,0:01:34,"Da nikada ne možeš biti dobar, dovoljno dobar novinar ako pratiš isključivo samo svoj sektor."
0:01:36,0:01:47,"Tako da sam se tu naučila skupljati znanja, iskustva iz različitih sektora i primijeniti ih na ono što konkretno radim u sadašnjem trenutku."
0:01:48,0:01:51,Je li uspješ naći mirna kajda?
0:01:52,0:01:55,Uspijem naravno naći mirna kajda.
0:01:55,0:01:55,"Naravno, znači na kraju dana."
0:01:56,0:02:02,"I to su oni trenuci kad se vratim u samostan, i kad odsunem samo s gospodinom."
0:02:03,0:02:13,"U tom trenutku si miraja u povečeriju i u našoj samostanskoj kapeli, i tu nekako je saberen dan, i susretnem se ponovno s gospodinom."
0:02:14,0:02:26,"Mislim da bez toga bi bilo dosta teško preživjeti uopće, pronaći nekakav smiren, odnosno konačnost u tom danu."
0:02:28,0:02:41,"S obzirom da si voditeljica socijalne službe u Riječkoj Karitasu, Kako je došao tvoj put, kako te je doveo put do margina, do migranata?"
0:02:44,0:03:11,"Pa ja sam imala zapravo tu radost raditi sa više skupina, više ranjivih skupina osoba, sa žrtvama nasilja, sa ovisnicima o alkoholu, sa ugroženim skupinama ljudi na centru za socijalnu skrb, na sudu i na koncu me put doveo do mira."
0:03:12,0:03:22,Zapravo jedine skupine ranjivih osoba s kojima do sada nisam uopće dolazila u kontaktu u okviru rada u socijalnoj skrbi.
0:03:23,0:03:40,"I moram priznati na početku kada je Caritas tu angažiran u toj migratskoj krizi koja je pogodila Rijeku, imala sam odmak od straha, od neznanja gdje ja to idem, da nisam dovoljno kompetentna da bi preuzela tako nešto."
0:03:41,0:03:49,"Naime, Rijeku je, samo da vam poznam, naše gledatelje sadisila spremna lokalna humanitarna kriza, možda."
0:03:51,0:04:17,"Kada je prošle godine, ljeti, dogodilo se to da je oko željezničkog polodvora na ulicama na trgu se našlo po stotine ljudi koji su bili u tranzitu, dakle čekali su prijevoz prema Isteri, dolazili bi pješice ili plakom, autobusom i spavali su u pocest i to je bio veliki šok za zagađene rijeke."
0:04:17,0:04:26,"Naravno, nešto teško prihvatiti da odjednom u gradu stoje stotine ljudi kojima nisu zadovoljene osnovne životne potrebe."
0:04:27,0:04:45,"I tu su se građani Rijeke samo organizirali i onda bi kuhali kod kuće pa bi donosili i u ruksacima ljekove, vodu, hranu i tako, no međutim su vrlo brzo shvatili da ne mogu oni pokriti te potrebe, oni nemaju te kapacitete i tražili su da reagiraju institucije."
0:04:46,0:05:14,"I između ostalih pisali su i riječkom na biskupu Matiu Ziniću i on je tu odmah odlučio intervenirati, angažirao je i Karita Srbije na biskupije, uključuje se i grad, Srbeni križ i druge organizacije gdje je donesena odluka da će se napraviti jedan transitni punkt, kako ga zovemo, dakle jedno mjesto koje zauzima dio kolodvora gdje će se migrantima pružati osobna humanitarna pomoć."
0:05:14,0:05:20,Ono što ja danas radim je koordiniran rad toga punkta.
0:05:21,0:05:24,"Evo, tako je zapravo došlo do mog angažmana."
0:05:25,0:05:40,"Evo, koliko god hvale vrijedna bila improvizacija građana, očito dugoročno ne može obstati pa s obzirom na tvoju uključenost u cijeli taj proces, kako je za vas to jedan radni dan na tom punktu?"
0:05:42,0:05:43,Punkt je otvoren svaki dan.
0:05:44,0:05:48,Otvoren je vikendom i praznicima i blagdanima.
0:05:49,0:05:55,Otvara se u 10 sati i radi najmanje 8 sati u jednom danu.
0:05:56,0:06:01,"Mi ne znamo što ćemo zatrčiti ujutro, odnosno koliki broj migranata."
0:06:02,0:06:06,Ljeti je to zalo biti do 280 migranata.
0:06:07,0:06:10,Onda nakon ulaska u Schengen nešto manje.
0:06:11,0:06:16,"U ožujku do 120, travanj do 80, tu se negdje krećemo."
0:06:17,0:06:20,Mi ne znamo hoće li nas to čekati obitelj.
0:06:20,0:06:29,"obitelji sa malom djecom, možda će biti ljudi koji su potrebni hitne medicinske skrbi itd."
0:06:30,0:06:36,Tako da je svaki dan i nama jedan veliki izazov kad dolazimo na punkt.
0:06:37,0:06:41,Otvaramo vrata tih naših kontejnera u kojima se nalazimo.
0:06:42,0:06:57,"Jedan je za podjelu odjeće i voduče, drugi je sanitarni kontejner sa šest ušema, dva umivaonika, sa tericom za rublje, sušilicom i imamo šator u kojem borave migranti, u kojem prespavaju."
0:06:58,0:07:04,"Otvaramo im takozvani hamam, dakle to je prostor gdje se oni traširaju i obavljaju svoju higijenu."
0:07:05,0:07:08,Podijelimo odjeću i obuću ovisno o potrebama na terenu.
0:07:09,0:07:11,"Podijelimo doručak, topli čaj."
0:07:12,0:07:16,Nastavimo kuhati ono što bar podsjeća nekako na njihov dom.
0:07:17,0:07:24,To su osobe koje su godinama na putu prema tim zemljama koje su za njih ideal.
0:07:25,0:07:31,"Pa tako kad im recimo skuhamo zeleni čaj, to ih jako obrazuje, mora biti jako sladak."
0:07:33,0:07:37,"Kuhamo im u riječkoj bogoslovi, tako da ako poodne i pohodne."
0:07:37,0:07:40,"Oni, da recimo, ručak koji je začinjen njihovim zračenjem."
0:07:41,0:07:43,Tako je.
0:07:44,0:07:56,"I moram reći da svaku stvar, komad hrane, odjeće koju dajemo, oni su izuzetno zahvalni, pa i na onom najmanjem komadu kruha."
0:07:56,0:08:15,"I jedna zahvalnost, to sam više puta govorila, koju ja dosta dugo nisam vidjela, bez obzira što dugo radimo u sustavu socijalne skrbi i nekako mi živimo u toj kršćanskoj kulturi gdje je zahvalnost sasvimni dio naše kulture, ali takvu dječju."
0:08:15,0:08:20,čisto zahvalnost na komadu suhog kruha.
0:08:22,0:08:24,"Mislim, s ovim se dobro došlo slovo nešto doživjeti."
0:08:25,0:08:29,Možeš možda s nama podijeliti neki događaj koji ti se urezao pamćenje?
0:08:32,0:08:38,"Svakako, susreti s osobama."
0:08:40,0:08:42,Nas diskurs varamo.
0:08:43,0:08:47,"Mi govorimo jako često o anonimnim skupinama ljudi, pa kažemo migranti."
0:08:48,0:08:52,To nam više znači zašto se mi ne možemo nikako povezati sa.
0:08:55,0:08:58,"Pa kao što kažem, beskućnici, ovisnici, migranti itd."
0:08:58,0:08:59,ništa od toga.
0:09:01,0:09:06,To će samo udaljiti od osobe i stvoriti možda jedan odmak.
0:09:06,0:09:15,"Osobito kad govorimo o migrantima koji se najčešće spominju u kontekstu sigurnosti i politike međunarodnih odnosa, tako da to nikome nije blisko."
0:09:16,0:09:28,"No kad dođete među ljude i kad počnete stvarati odnose makartekarstvo, zato što se migranti kod nas zadržavaju dan dva, jako se promijeni perspektiva."
0:09:30,0:09:33,Imala sam nekoliko dojmljivih razgovora.
0:09:36,0:09:48,"Sjećam se razgovora sa jednim mladim dečkom na kojem sam vidjela odmah pri prosluci da je vrlo, vrlo inteligentan, da savršeno dobro govori engleski jezik."
0:09:50,0:09:56,Pozvala me sa strane i rekao mi je ne pitaj me što ga te zanima.
0:09:56,0:10:02,"Ja sam ga pitala, molim te, odjasni mi kako si se ti odlučio za put."
0:10:03,0:10:08,"On je rekao da je, ako se ne radim, liječnik s tom otrovom u pravom medicinske struke."
0:10:10,0:10:14,Rekao je da mu je otac obnašao u visoku dužnost u Afganistanu.
0:10:16,0:10:20,"I sam u jednom trenutku rekao: Ali otac više nema, obitelj je prognana."
0:10:21,0:10:26,I taj mladić koji se tako stambeno držao do tog trenutka se rasplakao.
0:10:29,0:10:36,"I rekao mi je: Vidiš, prema meni život nije fair, a prema tebi je fair."
0:10:39,0:10:43,I mi je rekao: Idem prema tome da i za mene postane fair.
0:10:46,0:10:56,"Taj potencijal u tom djetetu, mnom je 24 godinu, je ogroman."
0:10:57,0:11:06,Njegove prilike su minus i to je mene baš ono stresalo.
0:11:07,0:11:22,"Taj razgovor s njima je stresao i nekako me ti su sredićine da preispitam svoj način života, da preispitujem način života u našoj zemlji, u Evropi općenito."
0:11:24,0:11:35,"Ovoljava bi da više ljudi dobije priliku imati takve susrete, zato što mi bježimo od te patnje, ali ta patnja nužno mijenja nas."
0:11:35,0:11:40,"Mi bježimo zapravo od vlastite promjene, kad bježimo od ljudi koji paten."
0:11:40,0:11:44,Mislim da bi svakome jako dobro došli takvi susreti.
0:11:45,0:11:50,"Da pređemo iz ovoga statistika, stvarni život i životna priča koja se krije."
0:11:51,0:12:01,"Po čemu tebe kao službenicu crkve, po čemu se crkva razlikuje od nekoga nevladine organizacije koja je zadužena za pomoć migrantima?"
0:12:01,0:12:02,Što to crkva danas.
0:12:03,0:12:08,Može dati daje konkretno u Rijeci što ne može neka nevladina organizacija?
0:12:09,0:12:22,"Pa ja mislim da odgovor na to pitanje se čak ne odnosi samo na migrante, nego na rad sa bilo kojom osobito, sa bilo kojom ranjivom skupinom ljudi i sa svim drugim osobama."
0:12:23,0:12:30,"I to je jedna bolja crkva danas, a to je što se crkvene organizacije pretvaraju u NGO-e."
0:12:32,0:12:38,ili vrlo slične centru za socijalnu skrb jer mu djeluju kao ekspoziture itd.
0:12:40,0:12:50,"I mislim da je to jedna prava pošast koja je zahvatila i crkvene službenike, i crkvene ustanove, a ljudi to od nas ne traže."
0:12:52,0:12:59,"Mi se pretvaramo u profesionalne socijalne radnike i stajemo na tome, i to je samo to."
0:13:00,0:13:04,Nesporujem da naše ustanove djeluju sjajno.
0:13:05,0:13:05,Čine dobro.
0:13:06,0:13:07,"Čine jako dobro, tako je."
0:13:08,0:13:16,"Ali često nam fali ono jedino zbog čega ljudi dolaze u naše ustanove, a to je ljubav."
0:13:18,0:13:19,Ono je ekstra.
0:13:19,0:13:27,"što ćemo dati, znači mi ne stajemo na zakonu, mi ne stajemo na profesionalnosti, nego smo pozvani na ljubav."
0:13:29,0:13:34,"Iskasati konkretnu ljubav, prioženu ljubav prema osobi koja nam dolazi u susret."
0:13:35,0:13:41,U njoj prepoznati Krista i navijestiti ime Gospodina Šegarisa Krista.
0:13:43,0:13:56,"Mislim da osobito mi koji radimo u socijalnoj skrbi i naše ustanove trebaju biti svjesne toga da je naša, ajmo tako reći, korporacijskim rječnikom organizacijska kultura."
0:13:58,0:14:11,"I da je prvo ono što treba vladati u nekoj od naših organizacija je ljubav među onima koji djeluju, koja će onda postati naviještaje."
0:14:13,0:14:35,"Gdje ne trebamo, ne znam, dijeliti Biblije, već će sama Biblija, odnosno sama riječ Isusa, biti to kad oni koji nam to donose u susret vide da mi živimo nekim drugačijim načinom života, da imamo neku drugu nadu i da se ljubimo tako."
0:14:35,0:14:41,Tako da prepoznaju Krista u nama i nema jačeg svjedočanstva od toga.
0:14:42,0:14:44,Hvala tebi na tome svjedočanstvu.
0:14:45,0:14:54,"Nego ja sam čuo da tebe put vodi dalje prema Rimu i to na vještanju, rado ste vijesti o Božjoj, pa nam možeš reći nešto više o tome."
0:14:55,0:14:57,Gdje je tvoj sljedeći punkt?
0:14:58,0:15:00,Sljedeći je u Vatikanu.
0:15:02,0:15:18,"Evo, ja sam pozvan na to strane Dikaesterija za komunikacije preko jednog projekta koji se zove Pentakost projekt koji se tiče komunikacije, osobito komunikacije redovništva u vatikanske medije."
0:15:18,0:15:24,"Tako da evo odlazimo u jednu novu avanturu, digasteriju za komunikacije."
0:15:24,0:15:30,"Ali možeš možda našim čitateljem, gledateljima reći što je to digasterija za komunikacije?"
0:15:31,0:15:32,Da li ćemo profitirati od toga?
0:15:32,0:15:33,Što bi to bilo?
0:15:34,0:15:57,"Pa evo ovako opet nekim civilnim rječnikom reći, to bi bilo kao papirno ministarstvo za komunikacije unutar kojeg je spojeno, zapravo spojeni su vatikanski mediji, radio, televizija i papepijar."
0:15:58,0:16:09,"Tako da tu se stvara i kuhva ste ono što izlazi van, stvarna strateška komunikacija crkve se negdje tu planira."
0:16:10,0:16:14,I gdje si ti naž pronaći možda u tom internshipu svoje mjesto?
0:16:14,0:16:18,"Je li ima nešto što te privlači više, što bi željela možda iskustvo si htjela stvariti?"
0:16:20,0:16:27,"Evo, ja mislim da ćemo proći zapravo sve te dijelove digastrijeza komunikacije."
0:16:27,0:16:29,Ja se nekako najbolje snalazim na radiju.
0:16:29,0:16:36,"zato što mi je to prirodno okruženje, na radiju sam radila dugi niz godina, ali možda je to samo komfortzona."
0:16:37,0:16:55,"Tako da, evo, voljela bi se svakako još okušati dalje u strateškoj komunikaciji, u PR-u, iskušati možda digitalne medije, podcast formu, vidjeti što je to novo što crkva može donijeti, odnosno nove načine crkvene komunikacije."
0:16:55,0:17:06,"Pa svakako je evo i podcast jedan od tih u kojem još nije službeno za jerahisti crkva dovoljno jaka u Europi, u Americi je."
0:17:07,0:17:10,"Ima sjajnih podkasta čak i biskupa, fantastičnih."
0:17:11,0:17:16,"Pa evo ja mislim da je to nešto novo što mi trebamo donijeti u Evropu, u osvijetu Hrvatskom."
0:17:17,0:17:19,"Draga Nina, puno hvala na ovom razgovoru."
0:17:20,0:17:23,Radujemo se već unaprijed sljedećem kada nam se vratiš iz Rima.
0:17:23,0:17:28,Hvala tebi Nino i hvala svim našim gledateljima mreža riječi.
