Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:08,0:00:42,"Hvaljeni su si Marija, danas razmišljamo o Evanđelju dvadeset osam nedjelje kroz godinu poslušajmo riječi svetoga evanđelja po mataju u ono vrijeme isus ponovno prozbori svećeničkim glavarima i starješinama naroda u prispodobama kraljevstvo je nebesko kao kad neki kralj pripremi svatbu sinu svomu posla sluge da pozovu uzvanike na svatbu, no oni ne htjeli doći."
0:00:43,0:00:58,"Opet posla druge sluge govoreći, recite uzvanicima, evo objed sam ugotovio, junci su moji itovljenici poklani i sve je pripremljeno, dođite na svadbu."
0:01:00,0:01:12,"Ali oni ne mareći, odeše jedan na svoju nivu, drugi za svojom trgovinom, ostali uhvate njegove sluge, zlostavljaju ih i ubiju."
0:01:14,0:01:20,"Na to se kralj razgnjevi, posla svoju vojsku, i pogubi one ubojice, a grad im spali."
0:01:22,0:01:31,"Tada kaže slugama, Svadba je evo pripremljena, ali uzvanici nebijahu dostojni."
0:01:32,0:01:37,Pođite stoga na raskršća i koga god nađete pozovite na svadbu.
0:01:39,0:01:46,"Sluge iziđuše na putove i sabraše sve koje nađoše, i zle i dobre."
0:01:47,0:01:50,I svadbena se dvorana napuni gostiju.
0:01:52,0:02:00,"Kad kralj uđe pogledati goste, spazi onda čovjeka koji ne bijaše odjeven u svadbeno ruho."
0:02:01,0:02:10,"Kaže mu prijatelju kako si ovamo ušao bez svadbenoga ruha, a on zanemije."
0:02:11,0:02:23,"Tada kralj reče poslužiteljima, svježite mu ruke i noge i bacite ga van u tamo gdje će biti plač i škrgu zubi."
0:02:24,0:02:29,Doista mnogo je zvanih malo izabranih.
0:02:32,0:03:20,"Prispodoba o svadbenoj gosbi kraljeva sina, treća je u nizu prispodoba koje Isus upućuje svećeničkim glavarima i starješinama naroda i ona je slična prethodnim prispodobama o vinogradu, onoj u kojoj otac šalje svoja dva sina u vinograd pa ga je jedan poslušao, drugi nije i onoj o zlim vinogradarima koje je gospodar vinograda smaknuo i vinograd predao drugim vinogradarima koji će mu davati urod u svoje vrijeme."
0:03:21,0:03:52,"I u ovoj prispodobi imamo poruku u kojoj se jedna skupina ljudi zamjenjuje drugima, prvi uzvanici na svadbu nisu se odazvali pa je kralj da bi proslavio svadbu svoga sina, poslao sluge na raskršća da pokupe s ulice, s puta, s s puta sve koje tamo nađu."
0:03:53,0:04:13,Uvućemo prispodobu danas malo promotriti u svjetlu naših kršćanskih slavlja tojest u svjetlu najvećega našega kršćanskoga slavlja a to je Euharistija.
0:04:14,0:04:54,"Od svih sakramenata Euharistija je jedini sakrament koji se uspoređuje sa svadbom naravno računajući sakrament ženede koji je svadba baš u doslovnom smislu riječi, ali Euharistija je svadba u kojoj smo mi pozvani da kao tijelo Kristovo budemo sjedinjeni sa svojom glavom kao što se zaručnik i zaručnica sjedinjuju u sakramentu ženidbe."
0:04:56,0:05:07,"Sada postavimo sebi pitanje kako se mi odnosimo prema toj svadbenoj gosbi, kako se na nju odazivamo."
0:05:08,0:05:29,"Kada pogledamo našu praksu vidimo da u našem narodu, u Hrvatskome barem imamo veliki postotak ljudi koji se javno deklariraju kao kršćani i to kao katolici."
0:05:30,0:05:54,"Ali taj postotak ne odgovara matematički, statistički, postotku onih ljudi koji redovito na dan Gospodnji idu slaviti Svetu Misiju, okupljaju se sa kršćanskom zajednicom da bi slavili svadbu Jagančevu."
0:05:55,0:06:16,"I možemo postaviti pitanje zašto je to tako, zbog čega veliki dio onih koji se nazivaju vjernicima, kršćanima, katolicima nedjeljom ne sudjeluju u euharistijskom svadbenom slavlju."
0:06:17,0:06:34,Ova prispodoba daje nam odgovor na to pitanje jer vidimo da oni prvi uzvanici koje je kralj pozvao na svadbu svoga sina imaju taj dan nešto važnije.
0:06:35,0:06:53,"Dakle, jedan je otišao na svoju nivu, drugi je otišao za svojom trgovinom, a ostali su čak ubili one sluge koji su ih pozvali na svadbu."
0:06:55,0:06:59,Što je nedostajalo ovim uzvanicima.
0:07:00,0:07:10,"Pa ja bih rekao to vrlo jednostavno jednom riječju, nedostajala im je ljubav."
0:07:12,0:08:58,"Jer na nedjelju Euharistijsko slavlje ne ide se da bi se ispunila neka dužnost, izvršila zapovijed ili nešto tomu slično, nego idemo slaviti Euharistijsko slavlje, idemo na svadbu Jadrančevu, zato jer ljubimo svoga gospodina koji je kada je ustanovio sakramenat Euharistije na posljednjoj večeri sa svojim učenicima rekao ovo činite meni na spomen, dakle dao je jednu zapovijed koju mi izvršavamo samo zato što ga ljubimo, ne zato što smo u potpunosti proniknuli u to otajstvo nego zato jer ljubimo svoga gospodina i učitelja i dolazimo na onu svadbu, na onu svadbenu glazbu koju nam on iz jednoga u drugo Euharistijsko slavlje priprema posebno na onaj Euharistijski dan, dan Gospodnji koji mi nazivamo nedjeljom, dakle danom kada se ne rade drugi poslovi, ne samo zato da bismo se odmorili, da bismo počinili, nije to glavna svrha nedjelje iako naravno da i to spada na sadržaj nedjeljnoga slavlja, ali glavni razlog zašto ne radimo nedjeljom jest upravo u tome da bismo dali prednost dolasku na svadbu."
0:09:01,0:09:27,Isusova prispodoba ipak nije završila s time da je gospodar tojest kralj pozvao na svadbu druge ljude budući da se oni prvi uzvanici nisu odazvali nego nastavlja i sa opisom nečega što se dogodilo na toj svadbi.
0:09:28,0:09:54,"Kao dobar domaćin, kralj je obilazio svoje uzvanike, goste na svatbi, svakom je htio dati svoju pažnju i onda je među gostima, uzvanicima koji su se odazvali primijetio jednoga koji nije imao svadbenu haljenu, koji nije bio dolično obučen."
0:09:55,0:10:32,"Naravno da ovo ima preneseno značenje, da se ovdje ne radi o tome da čovjek nije imao što obući pa evo zato nije bio odjeven u svadbenu haljenu, nego se radi o tome da je čovjek bio neprikladan za sudjelovanje u svadbi zato što je neobukao svadbenu haljenu zapravo prezreo kralja, prezreo je onoga koji ga je pozvao na svadbu."
0:10:33,0:11:00,"Dok kralj svojim gostima pokazuje poštovanje, prihvaća ih sa dostojanstvom, evo ovaj jedan, trebamo i to zapaziti, samo jedan je ovdje spomenut, jedan od onih koji su se odazvali na svadbu nije bio prikladno obučen tojest nije sudjelovao na toj svadbi na prikladan način."
0:11:01,0:11:14,"Gospodar mu se obraća vrlo pristojno, čak ga naziva prijateljem, kaže prijatelju kako si ovamo ušao bez svadbenoga ruha."
0:11:14,0:11:22,"Samo mu je to pitanje postavio, a on je na to zanemio i kasnije je izbačen vani."
0:11:23,0:11:47,"Slučaj ovoga čovjeka povezan je sa jednim prethodno iznesenim podatkom, a to je da su kraljeve sluge kada su išli pozivati na raskršćima ljude da dođu na svadbu, sabrali sve koji su našli, izle i dobre."
0:11:48,0:12:17,"Sada kada to primijenimo na nas koji se okupljamo na Euharistijsko slavlje, to znači da kada se saberemo slaviti svetu Euharistiju, onda među nama ima i onih koji su zli i dobri ili mogli bismo se nekako blaže izraziti koji nisu na istoj moralnoj razini."
0:12:17,0:12:26,"Ima ljudi sveta života, ali ima i onih koji su slabiji, slabiji i grešniji od drugih."
0:12:27,0:12:46,"Što znači da Crkva nije neko elitističko društvo u kojem nema mjesta za one koji su grešniji i slabi, samo se prisjetimo da se na svakom našem Euharistijskom slavlju na početku mi kajemo za svoje grijehe."
0:12:46,0:12:51,"Dakle, svako naše slavlje započinje time da ispovijedamo svoje grijehe."
0:12:52,0:13:06,"Ja ne znam koja se to druga zajednica okuplja na takav način kada se saberemo da kažemo ispovijedam svoje grijehe, jedan moj grijeh, moj grijeh, moj preveliki grijeh."
0:13:06,0:13:16,Izgleda da je ovom gostu koji nije imao svadbeno ruho upravo to nedostajalo.
0:13:17,0:14:32,"Ne da je on, ne da drugi ljudi nisu bili grešni, da su bili ne znam, sveti od njega, ali su oni priznavši svoju grešnost poput onih carinika i pludnica koji pretječu u Kraljevstvo Božje svećeničke glavare i starješine, priznali se potrebnima onoga odjela koji je Bog dao jer sjetimo se na samome početku svetoga pisma kada se pripovijeda o prvom čovjekovu grijehu na nakon kojega su muškarci i žene spoznali da su goli pa sami sebi napravili pregače od smokova lišća, da je Bog na to reagirao tako, da im je on dao čitavu haljenu, jednu haljenu od krzna, ne bilo kakvu odjeću, nego odjeću koja je pokrivala čitavo njihovo tijelo, što znači da je Bog imao razumijevanja za njihove grijehe, da ih je Bog na neki način tom odjećom pokrio svojom milošću."
0:14:33,0:14:43,Svadbeno ruho kralj na ovoj svadbi daje svim uzvanicima koji na to dođu.
0:14:44,0:15:00,"I kad se nađe netko tko to svadbeno ruho odbija, tko odbija odjeću koju Bog daje onda jednostavno nije prikladan za sudjelovanje na toj svadbi."
