Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:07,0:00:16,"hvaljeni su se Marija, danas razmišljamo o svetkovini svih svetih, poslušajmo riječi svetoga Evanđelja po Mateju."
0:00:18,0:00:25,"U ono vrijeme Isus ugledavši mnoštvo uziđe na goru i kad sjede, pristupe mu učenici."
0:00:26,0:00:28,On progovori i stane ih naučavati.
0:00:29,0:00:33,"Blagosiromasima duhom, njihovo je kraljevstvo nebesko."
0:00:35,0:01:15,"Blagosralošćenima, oni će se utješiti, blagokrotkima oni će baštiniti zemlju, blagokladnima i žednima pravednosti oni će se nasititi, blagomilosrdnima oni će zadobiti milosrđe, blagokristima srcem oni će Boga gledati, blagokrotvorcima oni će se sinovima Božjim zvati, blagokroganjima zbog pravednosti njihovo je kraljevstvo nebesko, blagovama kad vas zbog mene pogrde i prognaju iz i sve zlo slažu protiv vas."
0:01:16,0:01:22,"Radojte se i kličite, velika je plaća vaša na nebesima."
0:01:23,0:01:26,Da progonili su tako proroke prije vas.
0:01:30,0:02:13,"Uz svjetkovinu svih svetih često ćemo čuti tvrdnju kako na tu svjetkovinu slavimo one svete ljude, anonimne muževe i žene, ljude svih uzrasta i životnih stanja koji nisu službeno proglašeni svetima, ne nalazimo ih u našem kalendaru pa im na neki način Crkva na svetkovinu svih svetih odaje poštovanje i častimo ih ovom svetkovinom."
0:02:14,0:02:16,To je samo djelomično točno.
0:02:17,0:02:37,"Istina je da i oni ljudi koji su živjeli svetim evangelijskim životom na zemlju i zaslužili time Kraljevstvo Nebesko, a nisu službeno proglašeni svetima, također pripadaju u sve svete."
0:02:38,0:02:51,"Dakle, oni se slave na svetkovinu svih svetih, ali se na ovu svetkovinu slave svi sveti kao što kaže i naziv ove svetkovine."
0:02:51,0:03:02,"Ona nije samo za one koje inače ne slavimo, nego je ovo svetkovina kada slavimo sve svete."
0:03:04,0:03:22,"A to je veoma važno istaknuti zato jer onda prepoznajemo duboki istinski smisao ove svetkovine, a to je da sve svete slavimo jednim zajedničkim slavljenjem."
0:03:23,0:03:41,"Dakle ne slavimo pojedine svece po njihovim zaslugama i nekim specifičnostima kao što to svaki svetac ima, nego i sve slavimo jednom svetkovinom i na taj način stavljamo u prvi plan njihovo zajedništvo."
0:03:43,0:03:47,I to je jedna od temeljnih istina naše vjere.
0:03:48,0:04:04,"Naravno da je svaki čovjek poseban, da će kako kaže i Sveto pismo svatko za sebe Bog dati račun, ali mi ne možemo postati svetima izvan zajedništva svetih."
0:04:05,0:04:30,"Tako da na svetkovinu svih svetih trebamo razmišljati na taj način kako slavimo zajedništvo svetih onih koji su otišli s ovoga svijeta, preselili se, a ostavili su trag svetosti, da bismo po uzoru na njih mi ovdje također živjeli zajedništvo svetih."
0:04:32,0:04:45,"U današnjem Evanđelju čitamo odlomak iz Isusova govora na gori i to sami početak, Isusov govor o blaženstvima."
0:04:46,0:05:19,"To je jedan od možda najljepših i najkomentiranijih tekstova svetoga pisma, pa možda je na neki način i težak za komentiranje jer kada ga počnemo čitati zapnemo odmah na prvom blaženstvu koje glasi blago siromasima duhom, njihovo je kraljevstvo nebesko i pitamo se što znače te riječi, što znači biti siromašan duhom."
0:05:21,0:05:27,"Postoje naravno različita tumačenja, ja bih spomenuo ono najjednostavnije."
0:05:29,0:05:35,Siromaštvo o kojem se ovdje govori jest evanđeosko siromaštvo.
0:05:36,0:05:52,Siromaštvo o kojem se ovdje govori nije ona materijalna i druga bijeda i oskudica kada čovjek nema onih najosnovnijih sredstava za život.
0:05:54,0:06:07,"Protiv takve vrste siromaštva treba se boriti svim silama, takvih će siromaha uvijek biti, ali smo dužni svi pomagati takvim siromasima."
0:06:08,0:06:15,A da bismo mogli pomagati takvim siromasima onda mi sami trebamo biti siromašni duhom.
0:06:16,0:06:43,"Svi zapravo trebamo biti siromašni duhom, a siromašni duhom smo onda kada imamo ono što nam je potrebno za život, imamo što jesti, što piti, u što se obući, imamo krov nad glavom, zadovoljene su one naše osnovne potrebe bez kojih jednostavno ne možemo živjeti i time smo zadovoljni."
0:06:45,0:07:00,"Onaj tko je siromašan duhom on je zadovoljan s onim što ima, a tko nije siromašan duhom nije zadovoljan ni s onim što ima ni s onim što nema."
0:07:03,0:07:12,Za sva Isusova blaženstva vrijedi jedna važna i vremenska odrednica.
0:07:14,0:07:22,a to je da je u istoj rečenici izražena sadašnjost i budućnost.
0:07:23,0:07:36,"Isus kaže blagožalošćenima oni će se utješiti, blagokrotkima oni će baštiniti zemlju, blagogladnima i žednima pravednosti oni će se nasititi."
0:07:37,0:07:51,"Dakle, tek u budućnosti bit će ispunjeno ono za čime gladuju, žeđaju, tek u budućnosti ožalošteni će biti utješeni."
0:07:52,0:08:07,"Međutim, to ne znači da život trebamo odgađati, da svoj vjerski život trebamo odgađati za neka buduća vremena, upravo suprotno."
0:08:09,0:08:19,"Kad Isus kaže blago ožaloštenima oni će se utješiti, to znači da ovo blaženstvo vrijedi već sada i ovdje."
0:08:20,0:08:32,"Premda smo ožalošteni, mi smo blaženi jer tu svoju žalost živimo na kršćanski, na evangelijski, na kristov način."
0:08:34,0:08:57,"Ako smo i gladni i žedni pravednosti, mi možemo već sada biti blaženi jer znamo da ćemo se u budućnosti nasititi, da će pravda naći svoj put, da će se pravda ispuniti, ali mi ne trebamo čekati da se pravda ispuni pa da tek tada budemo sretni."
0:08:59,0:09:10,"To isto vrijedi i za progonstvo, to je nešto što se posebno ističe u ovom Isusovu govoru."
0:09:10,0:09:24,On posebno kaže blago onima koji su progonjeni i to ne zbog bilo čega nego zbog onih koji su progonjeni zbog samoga Isusa Krista.
0:09:25,0:09:37,Biti progonjen zbog Isusa Krista naravno da nije ugodno kao što nije ugodno biti progonjen ni na bilo koji način ni iz bilo kojega drugoga razloga.
0:09:38,0:09:57,"Ali ako smo progonjeni zbog Krista, ako smo progonjeni zbog istine, ako smo progonjeni zbog pravednosti, ako smo progonjeni zbog toga što u ovom svijetu svjedočimo ljubav i mir, mi smo blaženi i naša je radost nepomućena."
0:10:00,0:10:24,Isus ove riječi govori i na početku svoga govora na gori što znači da su one kao nekakav temelj ili preduvjet da bismo shvatili i primijenili na život čitav Isusov govor u kojem nam daje jednostavna evanđelska pravila za naš život.
0:10:26,0:10:47,"U drugom čitanju iz prve Ivanove poslanice stoje riječi gledajte koliko nam je ljubav darovao otac, djeca se Božja, zovemo i jesmo, onda malo dalje kaže ljubljeni, sad smo djeca Božja i još se ne očitova što ćemo biti."
0:10:47,0:11:10,"Evo to je u potpunom skladu sa Isusovim blaženstvom jer mi smo već sada blaženi, premda to nije u potpunosti ispunjeno, kao što smo već sada djeca Božja, ali još se ne očitova što ćemo biti jer mi ne znamo od jednoga djeteta što će od njega kasnije biti u životu."
0:11:10,0:11:31,"Ali ako to dijete raste kao dijete Božje, onda će to dijete rasti u svom sinovskom odnosu s Bogom koji do svoga potpunoga ispunjenja dolazi u našem suobličavanju sa Božjim Sinom Isusom Kristom."
0:11:35,0:12:10,"Trebamo reći i to da je u našoj tradiciji, kulturi svetkovina svih svetih srasla, gotovo neodvojivo srasla i sa spomenom svih vjernih mrtvih sa dušnim danom koji se slavi dva studenoga odmah dan poslije, ali već svetkovinu svih svetih doživljavamo i kao spomen na svoje pokojne."
0:12:11,0:12:46,"Naravno da je to sadržajno jako povezano jer kada slavimo svetkovinu svih svetih, kada slavimo njihovo zajedništvo onda je sasvim naravno da u to zajedništvo želimo uključiti svu našu braću i sestre koji su otišli s ovoga svijeta pa sve ako i nisu na ovome svijetu postigli onaj stupanj svetosti kao što su to sveci koji slavimo na svetkovinu svih svetih."
0:12:48,0:12:58,Ono što viđamo ovih dana posebno nad našim grobljima su cvijeće i svijeće.
0:13:00,0:13:19,Gledajući vjernicima to nije samo izražavanje poštovanja prema našim pokojnicima ili našoj ljubavi našega sjećanja nego je to i izraz naše vjere.
0:13:21,0:13:34,"Nema ništa ružnije od smrti, nema ništa ružnije od mrtvoga tijela koje se raspada, tu nema nikakve ljepote."
0:13:36,0:13:52,"Pa ipak mi na grobove naših pokojnika nosimo nešto što je lijepo, što je po prirodi lijepo i simbolizira vječnu ljepotu, a to je cvijeće."
0:13:54,0:14:10,"Tako da noseći cvijeće na grobove naših pokojnika, mi izražavamo vjeru u ljubav koja je ono istinsko ostvarenje ljepote."
0:14:12,0:14:15,"Palimo cvijeće, razne vrste cvijeća."
0:14:16,0:14:48,"Ali ja bih sada spomenuo nešto što je baš posebno za spomen svih vjernih mrtvih, a to je kada u čašu stavimo vodu, pa onda iznad te vode stavimo ulje i onda iznad ulja stavimo dušicu koju zapalimo, to kažemo lumi, od riječi lumen što znači svjetlo."
0:14:49,0:15:12,Možda nismo ni svjesni da tim činom na jedan vizualan način predstavljamo ono što je zapisano na samom početku svetoga pisma gdje piše kako je u početku stvorio Bog nebo i zemlju.
0:15:14,0:15:22,"Zemlja je bila pusta i prazna, a Duh Božji lebdio je nad vodama."
0:15:24,0:15:32,Ta voda u čaši simbolizira upravo tu zemlju na početku stvaranja svijeta kada je ona bila sva pod vodom.
