Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:08,0:00:41,"hvaljeni su svi Marija, razmišljamo o Evanđelju trideset jedan nedjelje kroz godinu poslušajmo riječi svetoga evanđelja po mateju u ono vrijeme isus prozbori mnoštvu i svojim učenicima na moju sjevu stolicu zasjedoše pismoznanci i farizeji činite dakle i obdržavajte sve što vam kažu ali se nemojte ravnati po njihovim djelima jer govore a ne čine."
0:00:42,0:00:49,Vežu i ljudima na pleća tovar je teška bremena a sami ni da bi ih prstom makli.
0:00:51,0:00:59,"Sva svoja djela čine zato da ih ljudi vide, doista proširuju zapise svoje i produljuju reze."
0:01:01,0:01:10,"Vole pročelja na gospama, prva sjedala u sinagogama, pozdrave na trgovima i da ih ljudi zovu rabi."
0:01:12,0:01:19,"Vi pak ne dajte se zvati rabi jer jedan je učitelj vaš, a svi ste vi pratča."
0:01:20,0:01:28,"Ni ocem ne zovite nikoga na zemlji jer jedan je otac vaš, onaj na nebesima."
0:01:29,0:01:34,"I ne dajte da vas vođama zovu jer jedan je vaš vođa, Krist."
0:01:36,0:01:39,Najveći među vama neka vam bude poslužitelj.
0:01:40,0:01:48,"Tko se god uzvisuje, bit će ponižen, a tko se ponizuje, bit će uzvišen."
0:01:53,0:02:03,Rečenicu na Mojsijevu stolicu zasjedoše pismoznanci i farizeji možemo izgovoriti različitim tonom.
0:02:05,0:02:42,"Znači će se u čitanju ove rečenice čuti onaj ton kao da su pismoznanci i farizeji na Mojsijevu stolicu zasjeli u smislu da su je uzurpirali, da je to nešto što njima ne pripada, oni su to zaposjeli i ne daju nikom drugom da na tu Mojsijevu stolicu sjedne, a ta Mojsijeva stolica simbolizira autoritet poznavanja i tumačenja Mojsijeva zakona."
0:02:43,0:03:07,"Iz Isusovih riječi ne bismo rekli da je to ton kojim trebamo izgovoriti ovu rečenicu jer Isus nakon što je rekao na Mojsijevu stolicu zasjedoše pismoznanci i farizeji, nastavlja i kaže ljudima činite dakle i obdržavajte sve što vam kažu."
0:03:08,0:03:22,"Prema tome, Isus potvrđuje autoritet pismoznanaca i farizeja koji oni imaju u poznavanju i tumačenju Mojsijeva zakona."
0:03:23,0:03:32,"Međutim, pismoznancima i farizejima o kojima Isus ovdje govori ipak nešto nedostaje."
0:03:33,0:03:38,"Nedostaje im autentičnost, nedostaje im vjerodostojnost."
0:03:39,0:03:54,"Jer Isus dok kaže činite dakle i obdržavajte sve što vam kažu, nastavlja, ali nemojte se ravnati po njihovim djelima."
0:03:55,0:03:59,I u tome leži sav problem.
0:04:00,0:04:19,"Pismoznanci i farizeji poznaju zakon, pismoznanci i farizeji znaju tumačiti zakon, iako se Isus nije slagao sa svim njihovim tumačenjem, ali oni su znali argumentirati svoje tumačenje."
0:04:19,0:04:26,"Međutim, ono što Isus u ovom slučaju ističe jest njihova neautentičnost."
0:04:27,0:04:35,"Oni će poznavati zakon, protumačiti će ga, ali ga sami neće vršiti."
0:04:36,0:05:06,"Isus kaže kako oni vežu i ljudima na pleća tovare teška bremena, što se odnosi na stvarnost koja je doista postojala u Isusovo vrijeme, a to je da su farizeji mnoge propise Mojsijeva zakona proširivali, interpretirali na takav način da su ih činili težima nego što ti propisi doista i jesu."
0:05:06,0:06:14,"naprimjer farizeji su jednostavnu Božju zapovijed spomeni se da svetkuješ dan subotij opteretili sa mnogim detaljnim propisima u kojima su točno određivali što se u subotu smije raditi, što se u subotu ne smije raditi, točno su odredili duljinu subotnjoga hoda koja se udaljenost taj dan smije prijeći, tako mnoge druge detalje, tako da su od jednoga dana koji je trebao biti dan počinka, dan u kojem Božji narod slavi svoju slobodu jer je subota ustanovljena nakon izlaska iz egipatskog grobstva, dakle oni su taj dan počinka, dan slobode, dan radosti pretvorili u dan stresa jer su ljudi stalno bili u nekoj napetosti i strahu da ne bi ovim ili onim činom prekršili subotu."
0:06:14,0:06:37,"To je ono proširivanje zapisa i produljivanje resa o kojima Isus govori jer ovi zapisi i reze odnose se upravo na Božje zapovijedi, na Zakon Božji koji su farizeji opisali."
0:06:37,0:06:41,se i opterećivali mnogim dodatnim propisima.
0:06:42,0:06:54,"Drugo što je negativno kod farizeja i pismoznanaca o kojima Isus ovdje govori, to ističem zato jer to ne vrijedi za sve farizeje i pismoznance."
0:06:55,0:07:01,Ima i farizeja i pismoznanaca koje je Isus pohvalio.
0:07:02,0:07:58,"Međutim, izgleda da su ipak dominirali oni farizeji i pismoznanci koji su bili ovakvi kako ih ovdje opisuje pa nekako se govori općenito o pismoznancima i farizejima kao ljudima koji su postupali na taj način da su produljivali reise i proširivali zapise i bili častokletni, voljeli su prva mjesta, voljeli su da im se ljudi obraćaju visokim titulama, a titula koja se ovdje spominje jest titula rabi koja se i dan danas upotrebljava u židovstvu za židovske učitelje, za predstojnike sinagoga."
0:07:59,0:08:34,"Riječ je rabi, malo ćemo o hebrejskom jeziku, riječ je koja u korijenu ima riječ raba što znači velik, znači i velik u brojčanome smislu, mogli bi reći i mnogobrojan, a ovaj prefiks i je osvojena zamjenica tako da bi rabi kada bi doslovno preveli na hrvatski jezik značilo moj veliki i podrazumijeva se učitelj."
0:08:35,0:08:56,"A ovo veliki odnosi se prvenstveno na veliko znanje koje su učitelji imali, ne toliko na njihov položaj u društvu koliko na veliko znanje koje su imali poznavajući zakon i način tumačenja toga zakona."
0:08:57,0:09:16,"Međutim, ovdje ipak vidimo da se radi o jednom oslovljavanju visokom titulom što su farizeji i pismoznanci htjeli da ih ljudi na taj način zovu pa na taj način ih pohvaljuju zbog njihovoga velikoga znanja."
0:09:17,0:09:29,A Isus kaže vi ipak ne dajte se zvati rabij jer jedan je učitelj vaš a svi ste vi braća.
0:09:31,0:09:38,Ovdje se ne radi toliko o tome da Isus zabranjuje upotrebu titule rabi.
0:09:39,0:10:15,"Ona se koristila u Isusu ovo vrijeme, koristila se i poslije koristi se i dan danas i nije problem u oslovljavanju, to je zapravo jedno lijepo i pristojno oslovljavanje, nego problem je kada onaj rabi, kada onaj učitelj koji je stekao znanje, sam sebe smatra izvorom toga znanja ili to znanje drži zatučano i nikomu ga ne dijeli."
0:10:15,0:10:37,"Ali istinsko znanje nije ono što se zna nego istinsko znanje je ono što se daje i dijeli drugima jer nema nikakve koristi od nečijega znanja ako on to znanje drži samo za sebe, ako ga smatra nečim svojim."
0:10:38,0:10:49,"Isus kaže i mi ocem ne zovite nikoga na zemlji jer jedan je otac vaš, onaj na nebesima."
0:10:50,0:10:56,I ovdje mi uviđamo određenu kontradiktornost sa našom praksom.
0:10:57,0:11:05,Mi se papi obraćamo sa riječima ne samo oče nego čak sveti oče.
0:11:06,0:11:18,"U mnogim našim krajevima običaj je da se svećenicima, redovnicima pogotovo ljudi obraćaju sa riječju oče."
0:11:19,0:11:55,"I naravno da ni to nije nikakav problem ako se radi o jednome vjerodostojnom oslovljavanju, a ne o tome da netko sebi prisvaja tu titulu zaboravljajući da je samo jedan otac nebeski i da od tog nebeskog oca dolazi kako stoji u poslanici Efežanima ime svakom očinstvu i na nebu i na zemlji."
0:11:55,0:12:00,Nije problem nikoga zvati ocem niti time griješimo.
0:12:01,0:12:24,ako pri tome ne zaboravimo da je izvor očinstva samo Otac Nebeski i da svi oni koje nazivamo Ocem na ovoj zemlji to su uistinu onoliko koliko to njihovo očinstvo potječe od Oca Nebeskoga.
0:12:25,0:13:04,"Isus još kaže i ne dajte da vas vođama zovu jer jedan je vaš vođa, to je osoba koja zna cilj i koja zna put do toga cilja i ako nekoga smatramo i zovemo vođom, to znači da imamo povjerenja u tu osobu, to znači da smatramo da nas ta osoba vodi do pravoga cilja."
0:13:07,0:13:16,"Međutim, iskustva nas uče da postoje i one voće koje vode u propast."
0:13:17,0:13:39,"I kada Isus kaže jedan je vaš vođa Krist, eto znači da je jedini pravi cilj onaj koji Krist poznaje i da je jedini pravi put do toga cilja put nasljedovanja Isusa Krista."
0:13:40,0:13:45,U tome smislu Krist je jedini vođa.
0:13:46,0:14:15,"Svi ostali koji su možda na tom putu napredniji od nas, zapravo su nam suputnici braća i sestre koji nam mogu na tom putu pomoći da bolje naslijedimo Isusa Krista, da bolje idemo njegovim putem i dođemo do onoga cilja života koji je zapravo sam Krist."
0:14:17,0:14:30,Ovaj odlomak završava jednom porukom koja ističe služi služenje kao način nasljedovanja Isusa Krista.
0:14:31,0:15:01,"Očito je pismoznancima i farizejima Isusova vremena nedostajalo poniznosti u smislu da svoju ulogu u narodu, svoju ulogu u društvu žive kao poslužitelji riječi, kao poslužitelji zakona, kao poslužitelji onoga što je Bog dao MOST-u."
0:15:01,0:15:13,"kao Mojsiju kada mu je objavio zakon na Sinaju, a taj zakon je dao narodu da živi, da živi u zajedništvu s Bogom."
0:15:14,0:15:56,"I potrebno je poznavati taj zakon, potrebno je o njemu razmišljati kao što kaže psa nam jedan cijelo, po cijeli dan i cijelu noć i blaženje čovjek koji tako čini, ali to treba činiti u poniznosti jer kaže Isus tko se god uzvisuje bit će ponižen, dakle tko uzvisuje samoga sebe neminovno će biti ponižen, a tko se ponižuje taj će biti uzvišen."
