Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:14,"Draga braćo i sestre, današnji dan nazvan Veliki četvrtak vraća nas mislima i srcem na završne događaje Isusova javnog djelovanja."
0:00:16,0:00:24,Na večer ovoga dana započeo je proces njegove muke koji će završiti tragično razapinjanjem na križu.
0:00:26,0:00:43,"Prije tog procesa muke Isus daje još neke važne ukute svojim mučenicima, a iznad svega im iskazuje neizrecive osjećaje svoje ljubavi, kao što smo čuli veli evangelist, ljubio ih je do kraja."
0:00:45,0:00:57,Ova večer veliko u četvrtka ispunjena je toliko važnim događajima koji bi zahtijevali naše poduže razmatranje što jedna okomilija ne može obuhvatiti.
0:00:59,0:01:13,Sve se zbivalo na dvije lokacije koje su postale posebno svetim mjestima za sve kršćane a to je dvorana posljednje večere i zaselak zvani Gecemanski vrt.
0:01:16,0:01:30,U dvorani u kojoj Isus blaguje Pasku sa svojim učenicima zbivaju se veliki događaji koji će ući u same temelje kršćanske vjere i kršćanske prepoznatljivosti.
0:01:32,0:01:51,"Tu Isus uspostavlja Euharistiju, uspostavlja svećeništvo Novog saveza, daje novu zapovijed ljubavi, a sa gestom pranja nogu daje temeljnu pouku poniznosti i služenja kao bitno obilježje Isusova učenika."
0:01:53,0:01:58,"Sve se odvija u klimi intimnosti, prijateljstva i neizmjerne ljubavi."
0:02:00,0:02:14,"U Getsemanu je atmosfera napetosti i dramatičnosti, tu se Isus krvlju znoji od straha pred mukom i smrću koja ga čeka, kao i svako ljudsko biće koje je pozvano na život."
0:02:17,0:02:31,"Opisujući ove događaje, evangelisti stavljaju naglasak da Isus zna unaprijed sve što će mu se dogoditi i s punom svijesti i slobodom prihvaća to sve iz očevske ruke."
0:02:33,0:02:41,Ali sve to ne može eliminirati strah i drhtanje pred patnjom kojoj se ljudska narava silno opire.
0:02:43,0:03:00,Koliko se puta Isus prije ovoga energično usprotivio kada su ga i njegovi učenici pokušali nagovoriti da izbjegne ovaj put ili ovaj čas tame kako će ga sam Isus nazvati.
0:03:01,0:03:08,On je prihvatio ovaj put iz očeve ruke s puno ljubavi jer je to tajstvo spasenja svijeta.
0:03:10,0:03:23,"Ali i pored svega toga ne može sakriti kako velivenđelist Marko, užas i tjeskobu što su ga spopale kad je patnja postajala sve bliža."
0:03:25,0:03:37,"Prije nego će se suočiti sa svojim stradanjem, Isus okuplja svoje učenike i u tom času vidi se da više misli na njih negoli na sebe."
0:03:40,0:03:56,"S njima on želi proslaviti Pasku, veliki blagdan svoga naroda, spomen na izbavljenje iz ropstva koji će od sada po njegovoj žrtvi postati paska Novoga i Vječnoga saveza."
0:03:59,0:04:09,Što se događalo u dvorani posljednje večere čuli smo djelomično iz poslanice apostola Pavla evangelijskog odlomka od sv.
0:04:10,0:04:15,"Ivana koji je bio sudionik, očevidac svih tih događaja."
