Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:16,0:00:18,Hvaljeni su Marija.
0:00:19,0:00:37,"Danas je četvrta nedjelja kroz godinu, ali ove godine na ovu nedjelju pada blagdan svjetnice ili prikazanja gospodinova u hramu koji se slavi 40 dana nakon slavlja svetkovine gospodinova rođenja."
0:00:38,0:00:40,Poslušajmo riječi sv.
0:00:40,0:00:41,Evanđelja po Luki.
0:00:43,0:01:03,"Kad se po Mojsiju u zakonu navršiš dan i njihova čišćenja, poniješe Isusa u Jeruzalem da ga prikažu gospodinu, kao što piše u zakonu Gospodnjem, svako muško prvorođenče neka se posveti gospodinu i da prinesu žrtvu, kako je rečeno u zakonu Gospodnjem, dvije grlice ili dva golubića."
0:01:05,0:01:23,"Živio tada u Jeruzalemu čovjek po imenu Šimun, taj čovjek pravedan i bogobojazan, iščekivaše utjehu Izraelovu i Duh Svetiveti da neće vidjeti smrti dok ne vidi pomazanika Gospodnjega."
0:01:24,0:01:41,"Ponukano od Duha dođe u hram i kad roditelj uniješe dijete Isusa do obave što o njemu propisuje zakon, primi ga on u naručje, blagoslovi Boga i reče, sad otpuštaš slugu svojega gospodaru po riječi svojoj u miru."
0:01:42,0:01:49,"Da vidješ oči moje, spasenje tvoje koje si pripravio pred licem svih naroda."
0:01:50,0:01:55,"Svjetlost na prosvjetljenje naroda, slavu puka svoga Izraela."
0:01:57,0:02:01,"Otac, njegovi majka divili se što se to o njemu govori."
0:02:02,0:02:06,Šimunih blagoslovi i reče Mariji majci njegovoj.
0:02:07,0:02:20,"Ovaj je evo postavljen na propast i uzdignuće mnogima u Izraelu i za znak osporavan, a i tebi će samo i mač probosti dušu da se razkriju namisli mnogih srca."
0:02:22,0:02:30,"A bila je še neka proročica Anna Kći Penuelova iz plemena Ašerova, žena veoma odmakla u godinama."
