Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:17,0:00:33,"Hvaljeni su si Marija, danas je peta nedjelja kroz godinu, u Litvijsku smo godini C i tema današnjih misnih čitanja je Božji poziv osoba."
0:00:34,0:01:13,"koje sebe smatraju nedostojnima toga poziva, nesposobnima za poslanje koje im je Bog namijenio i u njihovom dijalogu s Bogom koji ih poziva osjeća se opiranje tom pozivu, ali to opiranje ima jedno veoma pozitivno značenje jer to znači da se radi o autentičnom pozivu, da se ne radi o tome da su ljudi pozvali sami sebe, da su se nametnuli nego da ih doista Bog poziva i Bog zna zašto ih poziva."
0:01:14,0:01:39,"U prvom čitanju iz knjige proroka Izaije čitamo opis poziva ovog velikoga proroka koji se dogodio u jeruzalemskome hramu, u mjestu gdje se okuplja čitav narod da bi Bogu iskazivao štovanje, prinosio žrtve, da bi se svi ljudi koji dolaze u hram molili."
0:01:39,0:02:19,"I u tom kontekstu hrama, hramskoga bogoslužja na kojem se okuplja mnoštvo naroda događa se poziv ovoga proroka koji se opire tom pozivu ispričavajući se da je čovjek nečistih usana i da prebiva u narodu nečistih usana, ali Bog šalje svoga anđela koji dotiče žeravicom sa žrtvenika usta proroka Izaije i on se odaziva na Božji poziv."
0:02:20,0:02:24,U drugom čitanju iz prve poslanice sv.
0:02:25,0:03:03,"Pavla apostola Korinčanima, apostol Pavao govori o sebi, govori o svom pozivu kojemu se dogodio kao nedonošćetu jer je veliki dio svoga života proveo kao onaj koji se borio protiv kršćana koji nije prihvaćao Isusa nazorečenina kao Krista, a onda se dogodio jedan događaj na putu za Damask koji nam je poznat iz djela apostolskih i iz drugih mjesta gdje sam apostol Pavao o tome govori."
0:03:04,0:03:40,"I u tom događaju na jedan čudesan način, iznenada način susreo je uskrsloga Krista i upravo u petnaest poglavlju prve poslanice Korinčanima gdje govori o temi uskrsnuća Kristova i uskrsnuća našega, Pa Vau govori i o svojoj nedostojnosti za apostolski poziv, ali i o svome trudu koji je ulagao kada je taj poziv prihvatio."
0:03:40,0:03:50,"Međutim, on kaže kako se truži, trudio, ali ne toliko on, nego se trudila Božja milost s njime."
0:03:51,0:04:04,"Trudio sam se više nego svi oni, mislim na ostale apostole, ali ne ja, nego milost Božja sa mnom i milošću Božjom jesam što jesam, dakle i apostol."
0:04:04,0:04:37,"Pa Vau, svoj apostolski poziv dobiva od gospodina, on mu ga je dao i on ga je prihvatio premda se smatrao nedostoljnim toga poziva i slabim da ispuni ono poslanje koje mu je Bog dao, ali se ipak trudio i s njime se još više trudila Božja milost, tako da je njegovo djelovanje, njegovo propovijedanje, njegovo navještanje Evanđelja bilo uspješno."
