Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:17,0:00:24,"Hvaljen Jesus i Marija, danas je sedma nedjelja kroz godinu u liturgijskoj godini C."
0:00:26,0:00:38,U prvom čitanju iz prve knjige o Samuelu čitamo o jednoj epizodi iz sukoba kralja.
0:00:38,0:01:00,"Kralja Šaula, odbačenoga, prvoga i odbačenoga židovskoga, kralja Šaula, odbačenoga zbog toga što nije njegovo srce bilo u potpunosti privrženo Jahvi i Davida, novoga, kralja koji je u potpunosti bio privržen Jahvi."
0:01:00,0:01:25,"Šaul je progonio Davida i u odlomku koji čitamo na današnju nedjelju vidimo jedan događaj kada je David imao prigodu ubiti kralja Šaula, ali David tu prigodu nije htio iskoristiti."
0:01:27,0:02:02,Na taj način pokazao je poštovanje prema kralju koji je pomazanik Božji kao kralj bez obzira kakav je on kao čovjek i vidimo jedan izraz ljubavi prema neprijatelju jer David nije htio iskoristiti situaciju kada je Šaul spavao pa da ga ubije iako su mu to savjetovali njegovi drugovi koji su zajedno s njime bili.
0:02:04,0:02:28,"U drugom čitanju iz prve poslanice svetoga Pavla apostola Korinčanima, apostol Pavao govori o prvom čovjeku Adamu koji je postao živa duša kada je prema drugom opisu stvaranja svijeta Bog čovjeku udahnuo u nosnice dah života."
0:02:30,0:02:38,"i o posljednjem Adamu koji je duh životvorni, a taj posljednji Adam zapravo je Krist."
0:02:39,0:02:57,"Prvi Adam naziva se zemljani, a drugi Adam naziva se nebeskim i kaže apostol Pavao kao što smo nosili sliku zemljanoga, tako ćemo nositi i sliku nebeskoga Adama."
0:02:57,0:03:05,Te Pavlove riječi podsjećaju nas na prvi opis stvaranja svijeta i čovjeka.
0:03:06,0:03:11,gdje je rečeno da je Bog stvorio čovjeka na svoju sliku.
0:03:12,0:03:34,"Stvoreni smo na Božju sliku, a to znači da smo pozvani i biti poput Boga u svojim odnosima prema stvorenome svijetu, u svojim odnosima jednih prema drugima i naravno u svom temeljnom odnosu prema Bogu."
0:03:35,0:04:32,"Živjeti kao slika Božja, svjesni toga da smo djeca Božja, da smo sinovi i kćeri Božje, svjesni da smo svi međusobno braća i sestre i svjesni da nam je Bog povjerio sva ostala stvorenja da njima gospodarimo, ali ne da gospodarimo njima u smislu nekakvog bezobzirnog, absolutističkoga vladanja, nego da gospodarimo ostalim stvorenjima kao slika Božja, tojest da se prema ostalim stvorenjima ponašamo onako kako se ponaša Bog koji ih je stvorio, koji im je dao moć da se razmnožavaju i da napune zemlju i koji im je dao životni prostor i hranu."
0:04:34,0:04:41,Sve to uvodi nas u odlomak iz Evanđelja poluki koju ćemo sada čuti.
0:04:42,0:05:01,"U ono vrijeme, reče Isus svojim učenicima, vama koji slušate, velim, ljubite svoje neprijatelje, dobro činite svojim mrziteljima, blagoslivljajte one koji vas proklinju, molite za one koji vas zlostavljaju."
0:05:03,0:05:07,"Onomu tko te udari po jednom obrazu, pruži i drugi."
0:05:08,0:05:12,"I onomu tko ti otima gornju haljenu, ne krati ni donje."
0:05:14,0:05:20,"Svakomu tko od tebe ište daj, a od onoga tko od tvoje otima ne potraži."
0:05:21,0:05:25,"I kako želite da ljudi vama čine, tako činite i vi njima."
0:05:27,0:05:33,"Ako ljubite one koji vas ljube, kakvo li vam uzdar je, taj i grešnici ljube ljubitelje svoje."
0:05:35,0:05:40,"Jednako tako ako dobro činite svojim dobročiniteljima, kakvo li vam uzdar je?"
0:05:41,0:05:43,I grašnici to isto čine.
0:05:44,0:05:49,"Ako pozajmljujete samo onima od kojih se nadate dobiti, kakvo li vam uzdar je?"
0:05:50,0:05:54,I grašnici grašnicima pozajmljuju da im se jednako vrati.
0:05:56,0:06:04,"Nego ljubite neprijatelje svoje, činite dobro i pozajmljujte ne nadajući se odatle ničemu."
0:06:05,0:06:15,I bit će vam plaća velika i bit ćete sinovi Svevišnjega jer je on dobrostiv i prema nezahvalnicima i prema opakima.
0:06:16,0:06:20,Budite milosrdni kao što je otac vaš milosrdan.
0:06:21,0:06:23,Ne sudite i nećete biti suđeni.
0:06:25,0:06:28,Ne osuđujte i nećete biti osuđeni.
0:06:29,0:06:31,Praštajte i oprosti će vam se.
0:06:32,0:06:48,"Dajte i da će vam se mjera dobra, nabijena, natresena, preobilna, da će se u krilo vaše, jer mjerom kojom mjerite vama će se zauzvrat mjeriti."
0:06:52,0:07:20,"Ova posljednja rečenica, mjerom kojom mjerite, vama će se zauzvrat mjeriti kao da je u nekakvoj suprotnosti sa svim onim što je prethodno rečeno jer Isus od svojih učenika ne očekuje da postupaju prema ostalima jednako onako kako drugi postupaju prema njima."
0:07:22,0:07:37,"Dakle, Isus ne očekuje osvojiti od svojih učenika da ispunjavaju tu vrstu pravednosti da se mjeri jednakom mjerom kako ti meni tako i ja tebi."
0:07:38,0:07:45,Dok kaže tebi će biti onako kako ti budeš prema drugima.
0:07:45,0:07:57,Vidimo dakle da ovdje ne vrijedi jednako ako se polazi od sebe i ako se polazi od drugoga.
0:07:58,0:08:36,"Kada Isus govori svojim učenicima da polaze od sebe tojest kako se oni trebaju ponašati onda im kao princip ponašanja ne daje druge, ne kaže ponašajte se onako kako se drugi ponašaju prema vama, kaže im nego se vi ponašajte onako kako biste željeli da se drugi ponašaju prema vama ili još jasnije budite milosrdni kao što je vaš otac milosrdan, dakle temelj našega ponašanja treba biti Bog."
0:08:36,0:08:51,"Stvoreni smo na sliku Božju, pa prema tome trebamo se onda i ponašati onako kao što se Bog ponaša, biti milosrdni onako kao što je milosrdan Otac naš nebeski."
0:08:53,0:09:11,"Ako se doista tako postavimo, ako se postavimo kao sinovi i kćeri nebeskoga Oca, onda imamo kao što se to izražava evangelist Ivan, moć koju imaju djeca Božja."
0:09:12,0:09:26,"Kaže evangelist Ivan u svome prelijepome proslavu svojima dođe, njegovi ga ne primiše, a onima koji ga primiše podade moć da postanu djeca Božja."
0:09:28,0:10:16,"U ovom kontekstu Evanđelja po Luki možemo te riječi iz Evanđelja po Ivanu shvatiti upravo na taj način da je moć biti dijete Božje očitovana upravo u ovakvom ponašanju koje Isus oček kaže, ljubite svoje neprijatelje, dobro činite svojim mrziteljima, onda se radi upravo o tome da djeca Božja, da oni koji su sinovi svemišnjega, kako kaže evangelist Luka, imaju tu moć da ljube svoje neprijatelje, da dobro čine svojim mrziteljima."
0:10:17,0:10:20,Mi tu moć nemamo sami po sebi.
0:10:21,0:10:26,"Ljubiti svoje neprijatelje nije prirodno, nije naravno."
0:10:27,0:10:31,To je nešto što možemo jedino nadnaravnim snagama.
0:10:31,0:10:46,"To ne možemo činiti po slici onog zemljanoga Adama, nego to možemo činiti zato što smo mi slika i onoga nebeskoga Adama, a to je gospodin naš Isus Krist, Sin Božji."
0:10:47,0:11:24,"I mi kao njegovi učenici, kao krštenici koji smo krštenjem pritjelovljeni tijelu Kristovu, ušli u sinovski odnos s Bogom po Isusu Kristu, e onda mi imamo tu moć da možemo ljubiti svoje neprijatelje, da možemo dobro činiti svojim mržiteljima, da možemo blagoslivljati one koji nas proklinju, da možemo živjeti onu ljubav koja ne traži svoje pa onomu tko nam nešto želi oteti mi zapravo to dajemo."
0:11:25,0:11:39,Naravan zemljani čovjek to teško shvaća i zato je kao što smo rekli potrebno da živimo kao sinovi i kćeri Božje.
0:11:40,0:12:05,"Potrebno je naravno i protumačiti da kada Isus govori o ljubavi prema neprijateljima, ne govori o osjećajima, ne govori o emocijama, nego govori o našem načinu ponašanja, našem stavu prema onima koji su naši neprijatelji, koji nas mrze."
0:12:05,0:13:00,"Dakle, ne radi se o tome da mi moramo prema tim ljudima imati neke emocije prijateljske, a oni su nam neprijatelji, to se jednostavno ne može ni očekivati, niti stvoriti, to su, to emocije se ne mogu kupiti niti proizvesti i o tome se ovdje ne radi, nego se radi o onoj djelotvornoj ljubavi, o onoj agape, kako se to izražava Novi zavjet, te radi se o onoj božanskoj bezuvjetnoj ljubavi koja ljubi čovjeka bez ikakvih uvjeta, ljubi ga i ako je dobar i ako je zao, iako je pravedan i ako je nepravedan kao što i Božje sunce svjetli i pravednicima i nepravednicima."
0:13:01,0:13:09,Tako da ljubiti svoje neprijatelje jednostavno znači činiti dobro i onima koji nama ne čine dobro.
0:13:10,0:13:22,"Već u Starom zavjetu imamo riječi koje kažu ako je neprijatelj tvoj gladan na hrani ga, ako je neprijatelj tvoj žedan napoji ga."
0:13:22,0:13:37,"Dakle u onim osnovnim ljudskim potrebama kao što su hrana, piće, odjeća, krov na glavu očituje se jesmo li ili nismo sinovi i kćeri svevišnjega."
0:13:37,0:13:52,"Ako prema svim ljudima bez razlike postupamo onako kako prema njima postupa Bog koji nikomu ne uskraćuje svoju ljubav, onda doista živimo evanđelje."
