Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:15,0:00:18,"Dobar vam dan, poštovani gledatelji portala mreže riječi."
0:00:18,0:00:24,"Danas imam čast ugostiti jednog profesora, vodećeg hrvatskog komunikologa, profesora Daniela Labaša."
0:00:25,0:00:26,"Profesore Daniele, dobrodošli."
0:00:27,0:00:28,Hvala vam lijep na poslu.
0:00:28,0:00:34,"Evo da se malo upoznamo, možete nam ako želite reći nešto o sebi gdje radite, čime se trenutno bavite."
0:00:35,0:00:58,"Evo trenutno sam zaposlen sam na Hrvatvatskom katoličkom sveučilištu, pročelnik sam odjela našeg sveučilišnog odjela za komunikologiju, a nekako težište mog rada su između onih nekih osnova komunikacijskih znanosti i semiotike, a zapravo sam najviše onako iskreno sa svojim studentima, s ekipom s kojom surađujem posvećen zapravo pitanjima medijske pismenosti."
0:00:59,0:01:02,Evo možda nam objasnite šta je to medijska pismenost.
0:01:03,0:01:06,"Mi idemo odmah i medija sve, jel da nema čekanja."
0:01:06,0:01:35,"Pa mi onako kad razgovaramo zapravo o toj medijskoj pismenosti onda mislimo da je ona plod ili rezultat nekakvog medijskog odbgoja i obrazovanja u kojemu sebe kao odrasle osobe, ali ponajviše nekako i djecu, stručne suradnike u školama pa i roditelje onda podučavamo i činimo svjesnima o tome kako smo danas okruženi medijima, kako svi imamo pristup medijima pa nam je onda potrebno nekako u tri koraka naučiti mnoge stvari."
0:01:35,0:01:54,"Prvo moramo naučiti i to je jedan od sastavnih dijelova medijske pismenosti kako medije analizirati, dakle da znamo ono osnovne stvari ne znam o radijskom novinarstvu ili o radijskim formama, da znamo nešto o televiziji, nešto o društvenim mrežama i da znamo te sadržaje onda analizirati, da znamo razlikovati."
0:01:54,0:02:08,"Drugi važan korak je da znamo procijeniti tojest evaluirati ono što je pozitivno, što je dobro, što je primjereno kod djece za njihovu dob, kod nas odraslih za nas i za naš nekakav intelektualni, moralni, duhovni rast recimo to tako."
0:02:09,0:02:12,I zadnji korak bi onda da jedni druge potaknemo zapravo da stvaramo medije.
0:02:13,0:02:45,"Evo kao što vi ovim podcastom stvarate jedan novi medij i sadržaj, tako mi pokušavamo zapravo sve one s kojima radimo na našim radionicama i na našim predavanjima potaknuti da ne stoje sa strane nego taj veliki svijet zapravo koji je onu tu veliku platformu internetsku koja nam je svima na raspolaganju na različite načine da ju pokušaju napuniti nekako dobrim sadržajima jer smo vrlo svjesni da nisu svi sadržaji baš ono što želimo vidjeti i što bismo voljeli da se na bilo koji način promovira."
0:02:45,0:02:49,"Također ste voditelj jednog projekta, projekta zove Djeca medija?"
0:02:50,0:03:05,"Je, zapravo to je jedan veliki projekt koji smo počeli još tamo, ja to uvijek kažem neformalno dvije tisuće osam godine pa se sad već dičemo dakle desetljeć desetletnim i više od desetljeća našim praktičnim radom."
0:03:06,0:03:45,"Pokrenuli smo ga nakon jedne komunikološke škole Matice Hrvatske i na našem kolegiju, ja sam tada predavao na fakultetu hrvatskih studija pa sam sa studentima na medijskoj pedagogiji razmišljao o tim stvarima i oni su došli na ideju kako bismo mogli zapravo možda ne samo teorijski na sveučilišnoj razini pristupati tim pitanjima koja se nas sve tiču nego i praktično, odnosno pokrenuli projekt kojega smo nekako u početku smo mislili da ćemo se baviti studentima našim, da ćemo ići na sveučilište pa ćemo u udrugama studentskim razgovarati o tim temama, neke praktične stvari kako bi oni u buduće nešto mogli od toga imati neku korist."
0:03:46,0:04:02,"Međutim, vrlo brzo sam primijetio da bi puno možda bolje bilo kad smo već tako dobra ekipa i kad su studenti pokazali veliki interes i danas ih je više od sto u udruzi manje-više aktivnih dvadeset aktivnih volontera, uvijek ih imamo na raspolaganju."
0:04:03,0:04:30,"Tako da smo onda počeli i zamislili smo da idemo i da radimo zapravo sa svim skupinama koje se ja ću to tako reći vrte i i vrte ili su dio odgojno-obrazovnog sustava, jako su nam važna djeca, pa onda studenti provode radionice i drže predavanja interaktivna za djecu u školama, mi kao profesori, mi kao stariji, mi se bavimo od roditeljima i stručne suradnicima i nastavnicima."
0:04:30,0:04:54,"Dakle mi predajemo ili imamo interaktivne radionice za naše nastavnike jer su nam i sami nastavnici u više navrata pa i u različitim istraživanjima rekli da se ne osjećaju kompetentnima predavati predmet medijska pismenost i medijska kultura koji je nekako međupredmetna nastava malo ga imate u Hrvatskoj, malo u informatici, malo u likovno, malo negdje drugdje u nekim drugim predmetima."
0:04:54,0:05:03,"E dakako sad učitelj mora ispuniti taj nekakav svoj plan, on ima cijeli nastavni plan koji mora provoditi, za medijsku kulturu ostaje malo vremena."
0:05:04,0:05:38,"I primijetili smo zapravo da su kurikuli onako dosta ograničeni, da su oni stali na nekakvoj razini medijske kulture koja se svodi onda na filmsku kulturu, na informatici smo primijetili da su posvećeni manje-više pitanjima sigurnosti i zaštite nekako na internetu, a mi smo htjeli zapravo proširiti tu cijelu temu na mnoge teme koje su našoj djeci bitne, ja bih rekao važne i u kojima mi vidimo da bi oni mogli naići na određene poteškoće i da im u tome možemo pomoći."
0:05:38,0:05:56,"Ne znam ono od igranja videoigara, od prekomjernog korištenja interneta i društvenih mreža, od preranog otvaranja profila na društvenim mrežama, od pitanja nerazumijevanja baš prava na privatnost i kako se zaštititi svoje privatno jer vrlo često objavljuju stvari koje nisu za javnost djeca."
0:05:57,0:05:58,Kako izgleda sad vaš projekt naprimjer?
0:05:59,0:05:59,Koliko da plaćate?
0:05:59,0:06:00,"Pa dobro, hvala da se javljate."
0:06:01,0:06:03,Kako bi nam prvo mogao doći do projekta?
0:06:04,0:06:44,"Zapravo, pa dolazimo mi, dakle, Split nama nije strano mjesto, bili smo mi u mnogim školama, mi obično imamo projekte koje prijavljujemo, bilo da je riječ o europskim projektima, bilo da je riječ o našim domaćim, različitim udrugama, ali prije svega Ministarstvo znanosti i obrazovanja, Ministarstvo kulture, Ministarstvo demografije, mladih, zapravo, sad će se ono drukčije zvati, pa da u to ne ulazim, dakle prijavljujemo te projekte i mi zapravo projekt onda za školu provodimo besplatno jer za putni nano i za sve ostale stvari koje mi trebamo pokrijemo financijski iz tih projekata koje smo prijavili i mi vam jednostavno dođemo ako neka škola osjeti potrebu."
0:06:44,0:06:57,"Vrlo često mi zapravo, ja bih to mogao tako reći da mi ove akademske godine ili ove školske godine pa već i za sljedeću za prvo polugodište gotovo da nemamo praznih termina."
0:06:58,0:07:31,"Mi smo svaki tjedan, ja bih rekao u tri škole i stalno smo prisutni negdje i stalno nas zovu i trebaju samo zato što smo stvorili tako tu jednu sliku, ja bih rekao da naši studenti jako dobro rade, da su nastavnici, ravnatelji, pedagozi i psiholozi u školama jako zadovoljni kako oni to provode te naše projekte i aktivnosti i da djeca zapravo i to nas jako veseli jer na kraju uvijek imamo nakon tog predavanja ili neke radionice uvijek provodimo evaluacije."
0:07:31,0:07:42,"Dakle, ocjene za te projekte zapravo za te radionice su uvijek izvrsne i djeca uvijek kažu da bi voljela čuti još i više, naučiti još i više."
0:07:42,0:07:44,Tako da obrađujemo različite teme.
0:07:45,0:08:03,"I imamo sve više natječaja zapravo za mlade, za srednju školce, sad radimo isto jedan veliki projekt, sad smo se odlučili da prijeđemo malo i na TikTok pa snimamo različite materijale, kratke prvo za roditelje da njih malo isto i duciramo da im malo pomognemo ali radimo i s djecom."
0:08:03,0:08:39,"Sad smo si odabrali jednu srednju školu u Zlataru u Zagorju i tamo sa srednjoškolcima snimamo isto tako kratke te TikTok videozapise i oni zapravo onda govore vrlo iskreno o tome što pronalaze u TikToku, u čemu misle da im je TikTok problem, zašto misle da bi se trebalo moći odlijepiti tojest skinuti s TikToka jer i oni sami prepoznaju jedne od srednjoškolki, lijepo rekla u jednom kratkom videu koji je sad već ovaj i možete ga pogledati na našem TikToku, onda je rekla i ja sam žrtva TikToka."
0:08:40,0:09:02,"Dakle mi smo sami svjesni koliko vremena provodimo s medijima, a kako su mediji jako priblačni onda nam se nekad dogodi da eto htjeli ste biti ne znam deset minuta pogledati neki video koji vas zanima a onda ste ostali dvadeset pet minuta sat vremena i tako o tome djeca vrlo iskreno s nama razgovaraju roditelji isto tako onda upozoravaju na te neke stvari."
0:09:02,0:09:22,"Dakle, ako nama cilj nije plašiti bilo koga sa društvenim mrežama i društvenim medijima, mi na to gledamo pozitivno, mi gledamo otprilike kako piše u crkvenim dokumentima da su komunikacijska sredstva Božji dar, a da je na nama onda odluka kako ćemo ju iskoristiti za dobro ili za ono što nije dobro."
0:09:22,0:09:33,"I mi nastavimo s djecom, dakle, ne hijerarhijski razgovarati, ne docirati joj zašto si, pa ne bi smio imati društvenu mrežu, nemaš još trinaest godina."
0:09:33,0:09:52,"Pa kad nam netko kaže, tko ima deset godina, da mu je netko otvorio profil ili da je sam uspio otvoriti profil onda mi s njim razgovaramo o tome aha dobro, a jeste znaš li da možda ne bi trebao, znaš da ima puno sadržaja koji nisu primjereni, jesi se suočio s nekim susreo, je li te nešto zabrinulo."
0:09:52,0:10:13,"Dakle idemo u nekakav razgovor u kojemu mi zapravo potičemo njegovo razmišljanje, refleksiju, a ne ono sad čuti a je zabranio, zabranio sam, neće zabraniti ništa jer zabrana ništa nikad nije riješila u životu, pa to onda mi tako pokušavamo prenijeti kroz jedan razgovor i potaknuti na zajedničko razmišljanje i reći aj ti to malo odgoditi."
0:10:14,0:10:15,"Dakle, nemoj još."
0:10:16,0:10:48,"Ali ako si sad već tu i ne možeš bez toga i mama i tata su ti to dopustili, ajde probaj onda to regulirati, onda razgovaraju sa ne samo sa svojim vršnjacima o tome jer oni međusobno razmjenjuju sve te sadržaje i sve što nađu to je njima vrlo atraktivno nego razgovaraju sa učiteljem, razgovaraju sa mamom i tatom, razmišljaju o tome s njima što bi bilo onda dobro za tebe, što ne mogu iskrivati da imaš otvoren profil, kada će mama i tata saznati pa će biti razočarani, sve skupa."
0:10:48,0:11:09,"Dakle, može se i na taj način isto pristupiti kako se djecu ne bi povrijedilo jer čujte oni žele biti dio tog svijeta, mnogi njihovi vršnjaci su u tome unutra i sad je potrebno s njima o tome razgovarati, ali potrebno je roditelje upozoriti da mi u svojim istraživanjima od djece neke stvari saznajemo koje djeca njima nikad ne kažu."
0:11:10,0:11:11,Pa evo onda to.
0:11:12,0:11:20,"A čujte recimo djeca su vam onako vrlo otvorena, a u toj otvorenosti onda ponekad i vrlo najavljena."
0:11:20,0:11:26,Recimo oni će vam otići na susrete s osobama koje nisu nikad upoznali osim na internetu.
0:11:26,0:11:38,Oni ne percipiraju baš do kraja da bi neka zlonamjerna odrasla osoba mogla reći ja sam ne znam Ivan imam trinaest godina i htio biti ovaj prijatelj.
0:11:39,0:11:47,"Na TikToku je to katastrofa, tamo se djeci javljaju, odrasli muškarci, odrasle žene s perveznim namjerama, ono bezobrazni su prema njima."
0:11:47,0:12:04,"Oni nama to sve otvoreno kažu, ovo nam kažu malo stariji, ali to se događa i onim mlađima i onda znate, njih se negdje u toj njihovoj osjetljivosti u finoćite njihove duše povrijedi, oni nose ranu, oni su žrtve, a ne usude se nikome reći jer se srame."
0:12:05,0:12:09,Pa i mi onda roditelji upozoravamo na to da s djecom treba razgovarati.
0:12:10,0:12:36,"I baš jučer kad smo u udruzi razgovarali malo ujutro, kažem naša tajnica, one su sad neke fokusgrupe u okviru jednog projekta baš provodile u jednoj zagrebačkoj osnovnoj školi i rekli su, nama su tamo djeca, učenici u školi rekli kad razgovaramo o tome i kaže uvijek se nešto nama djeci kao prigovara, joj je nesmiješno, joj je nesmiješno, morao bi ovako, morao bi onako."
0:12:36,0:12:41,"Kaže mi te medije volimo, a voljeli bi kad bi nas roditelji o tome pitali."
0:12:41,0:13:03,"Kaže pa pitajte nas, mi nećemo baš ono kao sve za tajne i dobro je da mi potičemo roditelje da kod kuće sklope jedan obiteljski sporazum o vremenu korištenja dakle društvenih mreža, kad negdje zajedno idu da se i oni kao roditelji odreknu jer je najbolje dati dobar primjer, pa ako idemo negdje na izlet, ja neću nositi mobitel."
0:13:04,0:13:13,"Ako idem negdje na šetnju sa svojom djecom, ne znam u park ili negdje drugdje, pa neću ni ja nositi mobitel ili ću ga isključiti i neću se javljati tih sati."
0:13:13,0:14:04,"tih sat dva koliko provodim da na taj način i da se kod kuće isto stvori nekakav onaj prostor sigurnosti u kojem će reći mi tu nećemo sad imati internet, tu nećemo se služiti time ne znam barem za vrijeme obroka u blagovonici ili u kuhinji već gdje ručamo ili jedemo tako da malo i od toga se maknemo i onda ono što je još važnije nije samo važno koliko vremena provodimo uz internet nego uz što provodimo, koji su sadržaji koje mi pratimo, jesu li to sadržaji koji nam služe na nekakvu izgradnju ili su to samo ono tako plitki i zabavni sadržaj da mi sad gledamo ne znam jedno vrijeme pomažem, među djecom bila da su gledali jedni druge, oni bi uključili tu svoju društvenu, gledali drugog nekakvog sukobašnjaka kako jede i to bi oni mogli satima."
0:14:04,0:14:28,"Međutim, ono autokritično ako gledate onda to treba i roditeljima reći da i oni vjerojatno imaju možda nešto što im odvlači pozornost, a jedan od problema nam onda u komunikaciji između jednih i drugih i ja to koliko će često primijetiti jer meni moji isto kažu, ovaj kad sam negdje u nečemu radim ili sam na mobitelu, oni mi nešto govore, kažu oče me ne slušaš."
0:14:31,0:14:32,"Nisam me niti čuo, tako i mi."
0:14:33,0:14:43,"Dakle, problem usredotočenosti je veliki problem svima nama i djeci i roditeljima, možda čak i učiteljima u školama jer nam ovo stalno nešto zvuči."
0:14:43,0:14:48,"Evo ja sad imam tu svoj mobitel, ja sad mogu čuti fantomske zvukove kao da me netko zvao, a nije me zvao."
0:14:49,0:14:55,"Ja mogu sebi pomisliti da mi je došla neka obavijest na neku moju društvenu mrežu ili komunikacijski kanal, a nije."
0:14:56,0:15:07,"I onda sve te notifikacije mi stalno bez obzira je li došlo ili nije, mi stalno provjeravamo i to nam isto djeca u našim istraživanjima kažu, oni ne znam u sat vremena pedeset puta ide provjeravat."
0:15:08,0:15:19,"E sad mi njih učimo da se to onda u nekakvoj našoj literaturi s područja medijske pismenosti zapravo zove homofobija ili fear of missing out, strah da ćeš nešto propustiti."
0:15:20,0:15:31,"Uvijek ti se čini da je ono što se nalazi kao sadržaj tvojeg interneta, tvoje društvene mreže i mjesto gdje je tvoj prijatelj je bolje nego ono mjesto gdje si ti sada."
0:15:32,0:15:36,"I dakako da to onda možeš onda dovesti i do frustracija, do nezadovoljstva."
0:15:36,0:15:37,Ej sad sam na HZMO-a.
0:15:37,0:15:47,"Još sad sam na nastavi, brate dragi, a tako bi sad rado bio, prijatelj mi je onaj drugi turnus, on će ići popodne u školu, on je negdje sada na igralištu s nekim ili radi nešto zabavno."
0:15:47,0:15:50,I to nas može zapravo ometati.
0:15:50,0:16:25,"Tako da u tom kontekstu onda i u okviru projekta potišemo, ja sad u zadnje vrijeme vrlo često govorim o potrebi digitalnog minimalizma, to je jedna sjajna knjiga koju je napisao Cole Newport koji je sam profesor računarstva, dakle on nema ništa protiv računala, protiv društvenih mreža, nego samo primjećuje da smo previše s time i nudi nam onda savjete na koji način napraviti stanku od trideset dana, ugasiti aplikacije koje ne koristimo, koje nam ne treba kako bismo se ponovno usredotočili na ono što nam je u životu važno."
0:16:25,0:17:22,"Djeci je važno školovanje, roditeljima njihov posao, njihova obitelj, učiteljima je važno kako će predavati i kakva će im biti nastava i u tom kontekstu dakle bismo se trebali nekako vratiti tim normalnom korištenju društvenih mreža jer prema svim statistikama i istraživanjima mi smo na razini opće populacije pa šest dobrih sati svakodnevno vezani uz društvene mreže, sad dakako da će netko reći pa nije samo to za zabavu, naravno mi se preko društvenih mreža danas sve češće informiramo, mi jednako tako koristimo sve više internetskog prostora i društvenih mreža i za odgoj i obrazovanje i mi bismo voljeli okrenuti to, dakle za sad je pretežito korištenje vezano uz zabavu, a mi bismo voljeli to okrenuti u onom smjeru da mi ne koristimo toliko za zabavu nego i za odgojno-obrazovne ove svrhe i da prepoznamo onda sve moguće poteškoće."
0:17:22,0:18:36,"Bavimo se manipulacijom i učimo djecu na koji način mediji njima manipuliraju, posebno oglašavanje, prikriveno oglašavanje, youtuberi tojest influenceri koji manje-više prodaju neki proizvod onako vrlo, onako suptilno tako i neiskreno znate to je čak i prijevara po Zakonu o medijima jer prikriveno oglašavanje je zabranjeno, ali društvene mreže nisu regulirane, nisu zahvaćene Zakonom o medijima pa onda one još uvijek prolaze ispod radara, ali tu se i djeci nanosi ozbiljna šteta jer su oni žrtve onda to kompulzivno kupovanje, to je samo jedan dio internetske ovisnosti kada si djeca više ne mogu pomoći pa onda moram imat ovo, moram imat ono, to se i nama odraslima događa, onda ne bismo mislili da samo djeca kompulzivno kupuju i mi možemo upasti u to brzino kolo iz kojeg je onda dosta teško izaći, onda razmišljate samo o tome je li nešto na popustu, a nije pitanje više da li vam to uopće da vam treba, ne treba vam, ali eto, kupit ćete karticom, dakle, kao što je jednom pokojnim pater Mirkom Mateošić rekao Franjevac, znaš, da često kupujemo posebno na internetu stvari koje ne trebamo novcem kojeg nemamo, tako da je to jedna dobra poduka i u tome i djeca isto to vide."
0:18:36,0:18:52,"Dakle, puno je tu pitanja o kojima onda možemo razgovarati, o propagandi razgovaramo s njima, o lažnim prikazima ljepote, o senzacionalizmu u medijima, o mamilicama koje nas privlače da nešto pročitamo, a zapravo u vijesti nema ništa."
0:18:52,0:19:11,"I upozoravamo na to da znaju prepoznati dezinformacije, sve one velike i ogromne ove prevarante, da se znaju zaštititi svoju privatnost i ono što je isto tako važno da se znaju nekad osamiti, da znaju isključiti mobitel, biti malo sami, malo razmišljati, ne moraju nužno moliti."
0:19:11,0:19:32,"I mi ne govorimo to naravno u školama nek sjednu, nek odu u kapelicu i nek molim, ali ih učimo da samo kad si sam sa sobom petnaest minuta dnevno pol sata onda sam sebe vidiš malo analiziraš, razmišljaš malo o svojem identitetu, onome što jesi, što bi htio biti i kako ćeš onda to postići što želiš biti."
0:19:33,0:19:36,"Dakle to je puno, medijska pismenost zapravo obuhvaća puno."
0:19:37,0:19:40,Evo dotakli ste se pojma ovisnosti o medijima.
0:19:41,0:19:43,To je danas goruća tema.
0:19:44,0:19:55,"Evo kako prepoznati cij naše dijete ovisno o medijima, o internetu, kako razlučiti kad je nešto previše i kad je."
0:19:56,0:20:10,"E sad, to pitanje prekomjernog korištenja interneta je jako, rekao bih to tako jako važno pitanje i simptomi se vrlo lako prepoznaju."
0:20:10,0:20:32,"Mi smo čak i prema jednom upitniku za dijagnosticiranje ovisnosti ili pak pretjerano korištenje interneta, smo pripremili jedan samo test za učenike, možete ga pronaći i na našim stranicama djecamediaorg, org i možete se sami testirati jer on je i za odraslu populaciju, mi smo prilagodili samo za djecu."
0:20:32,0:20:40,"Kroz dvanaest pitanja sami sebe bodujete, ja vam mogu to pokazati, ja sam to sad kako to zapravo vidite izgleda."
0:20:40,0:20:50,"Dakle, mi smo to napravili kao jeste li ovisni o internetu, tu je samo test, tu smo jednu skalu imali, jedan ključen prilagodili i vi sad odgovarate ovdje na trinaesttak pitanja."
0:20:51,0:20:59,"Bodujete se sami od jedan do četiri, na kraju se izbrojite bodove i onda pronađete rezultate."
0:20:59,0:21:08,Ako imate od trinaest do trideset jedan boda onda umjereno koristite internet ako imate više onda znači trebali biste malo razmisliti o tom korištenju interneta.
0:21:08,0:21:10,E sad koji su simptomi?
