Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:15,0:00:18,"Hvala svima, dragi gledatelji mreže riječi."
0:00:18,0:00:22,Naš današnji gost je Đakon Don Mario Katalinić.
0:00:23,0:00:24,"Don Mario, dobro nam došao."
0:00:24,0:00:25,Dobro vas našao.
0:00:26,0:00:31,Evo zaista mi je drago što ste nam došli u podcast mreža riječi.
0:00:31,0:00:35,"I evo za početak nam recite iz koje nam župe dolazite, od kuda dolazite?"
0:00:35,0:00:40,"Župa je sve to obitelj iz Novemo Koštica što je blizu Dubrovnika, predgrađa."
0:00:41,0:00:46,"I samo ovako ukratko kako vam je tamo, kako ste zadovoljni životom u Dubrovniku."
0:00:46,0:00:49,Meni je jako lijepo zbog toga što ja jesam tamo inače.
0:00:50,0:00:57,"Znači od svoje pet godine to je moje mjesto, moja županija domaći teren."
0:00:58,0:01:01,A kako ste uopće odlučili postati svećenik?
0:01:01,0:01:07,"Evo to je recimo nešto što zanima našu publiku, naše mlade koji će možda ovo gledati tako."
0:01:07,0:01:09,"A i mene zanima, evo iskreno."
0:01:09,0:01:21,"Pa za postati svećenik bio je malo duži put, nije bilo nešto kratko, znači negdje nakon moje srednje škole gdje sam bio onako prilično na sve strane."
0:01:23,0:01:44,"U jednom trenutku vidio sam da mi potpuno se gubi smisao života, a sestra mi je kroz to vrijeme jako puno govorila o Bogu, ona se obratila malo prije, tako jako mi je puno govorila o Bogu, njega mi je pokušala približiti, a obično sam i odbio kad kad bi i poslušao što govori."
0:01:44,0:01:59,"I sjećam se baš jednog trenutka kad sam se vraćao od doma iz jednog od izlazaka da sam shvatio baš da negdje duboko u sebi da ustvari u Bogu mogu naći ono što tražim, znači taj smisao."
0:01:59,0:02:03,Ne znam kako točno objasniti taj trenutak zbog toga što nije bilo baš nešto.
0:02:05,0:02:07,"Ali vi ste bili sigurni da je to to, to je najbitnije."
0:02:07,0:02:08,Sto posto i glas je bio to.
0:02:10,0:02:31,"I onda sam malo pomalo počeo ići u crkvu malo pomalo zbiljnije shvaćati sve stvari, čitati Bibliju, ispovijedat se, pričašćivati tako ali cijeli taj proces od tog trenutka pa do mog pristanka znači da se odlučim da idem za svećenik u stvari je trajao nekih osam godina."
0:02:31,0:02:33,Ja sam baš htjela pitati koliko da ozbiljno.
0:02:33,0:02:33,Prilično.
0:02:34,0:02:38,"Znači na početku uopće nisam razmišljala, razmišljala sam samo išao, razmišljao sam samo o Bogu i odnosu sa njim."
0:02:40,0:03:06,"Nakon nekog vremena došao je jedan svećenik u Dubrovnik, jedan Franjevac koji je preuzeo jednu molitvenu grupu u kojoj sam ja bio i njegov način kako je tumačio sve to pismo, kako je tumačio riječ Božju je malo pomalo, opet nije bilo odjedanput nego malo pomalo je u meni promijenio taj, kako reći, kao da sam malo dublje čuo ustvari što Bog želi od mene."
0:03:07,0:03:14,U tom trenutku sam stvarno shvatio dobro ovo je put kojim on hoće i što Bog želi od mene i krenuo.
0:03:14,0:03:20,Ako sam dobro shvatila zapravo sestra i taj svećenik su zapravo utjecali.
0:03:20,0:03:41,"Bili su ključni ljudi u cijelom tom procesu iako naravno nisu jedini zbog toga što uvijek je bilo još mnogo drugih dobrih ljudi koji su pomagali, ali recimo dvoje ključnih bi, znači u samom obraćenju bi bila malo više moja sestra, a u samom pozivu za svećenika ili što bi bio taj svećenik."
0:03:41,0:03:43,A kako je u obitelji reagirala sestra?
0:03:43,0:03:44,Oka evo sad znam da je.
0:03:45,0:03:47,Sestra znači ona je bila jako.
0:03:47,0:03:50,"Da je bila zaslužna za nju, a roditelji."
0:03:50,0:03:57,"Ovako, roditelji, znači otac mi je samo postavio jednu jedno pitanje, jesam li siguran?"
0:03:58,0:04:00,"Ja sam rekao jesam, on je rekao dobro."
0:04:00,0:04:15,"I to je bilo cijeli njegov komentar, jedan jedini, ništa drugo lijepo komentirao, majka malo teže, znači joj je trebalo godinu da se navikne na to, znači njoj je baš trebao jedan proces, ali ona je sada jako zadovoljna."
0:04:18,0:04:25,"A kako biste postali svećenik, naravno, trebali ste završiti teologiju i to je zapravo proces koji traje koliko?"
0:04:26,0:04:31,"Pet godina sama teologija plus ova posljednja godina, znači pastoralna šesta."
0:04:32,0:04:34,"I tada ste živjeli, pretpostavljljeno bogoslov?"
0:04:35,0:04:40,"Da, bogoslov, znači što reći o bogoslovu?"
0:04:40,0:04:41,Koji je uopće smisao?
0:04:41,0:05:00,"Evo približite našim gledateljima koji možda ne znaju koji je smisao bogoslovije i kako ste vi vidjeli, kako ste je vi doživjeli i zapravo postoje li neke prepreke da ljudi shvaćaju bogosloviju možda malo kruto ili čisto iz prve ruke da nam kažete."
0:05:00,0:05:05,Pa bogoslovija ima nekoliko elemenata koji su njoj bitni.
0:05:05,0:05:18,Prva i osnovna jest da osoba koja uđe u nju razluči da li je stvarno taj poziv kojega osjeća je li to stvarno sto posto taj poziv ono što ja želim posvetiti cijeli svoj život.
0:05:20,0:06:00,"Od toga što netko može osjetiti na početku svoga života pogotovo kada se obrati osjeti dosta bliže Božjoj prisutnosti misli da ovdje jedanput mora postati svećenik možda ne mora možda nije to njegov poziv tako da ima taj prvi osnovni dio razlučivanja a onda ako već idemo prema svećeništvu onda ipak se treba naučiti kako biti svećenik to ne možemo naučiti samo studirajući teologiju nego treba i biti određenđeni ljudi i određene osobe koje vas vode, koje se brinu oko vas, koje vam pokušavaju to približiti na što bolji i normalniji način."
0:06:00,0:06:29,"Znači naučit vas prvo i osnovno kako ima dobar odnos sa Bogom, a onda i kako biti svećenik koji je stvarno nekako po srcu gospodinu, znači koji bi bio tu u odnosu sa Bogom, ali i u odnosu za druge ljude i koji bi mogao u sebi nekako razviti taj žar da bude da prenese čovjeku Boga upravo tako."
0:06:30,0:06:47,"A šta mislite koja bi zapravo bila neka prepreka, zašto mladi možda teže ulaze u Bogoslov, šta bi bilo nešto što njih ajmo reći ne približava nego udaljava, ima li nešto što ili se teško donosi odluka da je to možda samo razlog ili?"
0:06:48,0:07:04,"Pa možda sama Bogoslovija kao institucija mnogima djeluje poprilično strana jer naravno ako nikad nisi stupio u nju i malo proveo koji dan unutra, sad ti to djeluje kao padanje s Marsa."
0:07:06,0:07:17,Ali mislim da jako često ljudi zašto imaju problem i približiti se svemu tome možda je više u samom vlastitom odnosu sa Bogom koji imamo.
0:07:20,0:07:41,"Jer ako mi se potrudimo malo sa gospodinom kao što se gospodin trudi s nama, ako ja doživim stvarno Božju prisutnost onda i ako doživim tu njegovu baš brigu onda vjerujem da čovjek i malo lakše se prepušta nekim stvarima koje su nepoznate, koje su možda na prvi pogled."
0:07:41,0:07:45,Zna da ga zapravo čeka put koji je Bog odabrao za njega.
0:07:46,0:08:03,"Mislim da danas ljudi isto imaju kao možda manjak toga osobnog odnosa sa gospodinom, ne znam koliko im i mi to prenosimo kao Đaković svećenici, kao Crkva sama, ne samo mi posvećeni nego i svi ostali."
0:08:03,0:08:09,"Znači koliko im možemo prenijeti neku sliku gospodina koji je živi, koji je tu za njih."
0:08:10,0:08:22,"A onda naravno i današnje vrijeme, jest vrijeme kako jest gdje ima toliko opcija i toliko mogućnosti da ljudi možda se kad kad osjećaju i izgubljeno u svemu tome."
0:08:24,0:08:32,"A recite mi dok ste studirali kako je to izgledalo, koja vam je zapravo teološka grana bila najbliža, šta vam je bilo najdraže?"
0:08:33,0:08:38,Meni osobno su bili najdraži neki dogmatski predmeti kao što su Kristologija i trojstvo.
0:08:40,0:08:42,Prvo i osnovno što sam imao izvrsnog profesora.
0:08:43,0:08:45,To je zapravo bitna stavka.
0:08:45,0:08:46,To je jako bitna stavka.
0:08:47,0:08:56,A drugo zlato je što sami misterij Boga kakav jest u sebi je nešto predivno.
0:08:57,0:09:23,"Znači samo razmišljati o njemu kakav je u sebi kao trojstvo, a zatim kao onaj koji je čovjekom postao, znači kakav je to Isus Krist bio Bog koji postaje čovjekom je ipak nešto iznad naših mogućnosti i shvaćanja, ali opet Bog nas i traži od nas da mu se približimo, da ga shvatimo, da shvatimo koja je to ljubav da on kao Bog postane jednostavno stvorenje."
0:09:24,0:09:26,Kako to najlakše čovjeku približiti?
0:09:29,0:09:31,Pogotovo današnjem čovjeku današnjeg vremena.
0:09:37,0:09:44,"Malo je teže odgovoriti na ovo pitanje, ali mislim da je meni je, uvijek mi pomaže ona iz prva poslovnice sv."
0:09:44,0:09:47,"Ivana Apostola, kada objašnjavamo da je Bog ljubav."
0:09:49,0:10:17,"Znači ako je Bog ljubav, a svi znamo da je ljubav ona prava, jedna stvarnost koja približava, koja spaja, koja stvara jedno zajedništvo koje je toliko puno razumijevanja, puno dobrote, puno milosrđa jer ako nekoga voliš onda čak i ako bi ta osoba htjela nešto radit što tebi se i ne sviđa, toliko svejedno radi te ljubavi ćeš to učiniti."
0:10:19,0:10:28,"Tako nekako gled, kada razmišljamo o Bogu, on je toliko nas ljubbio da je toliko spreman postati dio nas."
0:10:30,0:10:51,"Znači nije samo jedan Bog koji stoji jako daleko, koji je tamo negdje na svom nebeskom prijestolju i čuva sve za sebe i samo je zapovijedao nama, nego je toliko je htio biti s nama da je stvarno postao jedan od nas, da bi nas i spasio i preobrazio i da bi bio jedno s nama."
0:10:53,0:11:04,"Također imam jedna zanimljiva propovijed svetog Leona Velikog, pape, na dan kada je na uznesenje gospodinovo."
0:11:05,0:11:17,"Kad kaže Leon da apostoli gledaju Isusa Krista kako se vraća k Ocu, ali vraća se sa ljudskom prirodom, uskrsnom, ali i sa ljudskom prirodom."
0:11:17,0:11:29,To mi je jako lijepa scena kad on kaže kao gledaju svoju ljudsku prirodu u Isusu Kristu koja se ne zaustavlja niti na jednom od korova anđela nego se zaustavlja s desne očeve.
0:11:29,0:11:35,"Jer taj dio mi je baš ono, o tim nekim stvarima razmišljate baš prelijepo."
0:11:37,0:11:42,"Znači, koje dostojanstvo i na koje dostojanstvo je Bog pozvao čovjeka?"
0:11:44,0:11:58,"Da, o ovome bi mogli jako puno pričati još i bilo bi vrlo interesantno i zapravo mislim da je vaš zadatak jako veliki da to prenesete malom čovjeku današnjice jel, današnjem čovjeku."
0:11:59,0:12:08,"I ovaj, međutim vi ćete sad skoro postati svećenik odnosno zaredit ćete se i postati djecezenski svećenik."
0:12:08,0:12:15,"Što to zapravo znači, evo malo da ljudi znaju i koja je onako razlika u odnosu na druge svećenike?"
0:12:16,0:12:16,Na redovničke.
0:12:17,0:12:17,Da.
0:12:18,0:12:32,"Dakle, biskupijskeski svećenici, znači djeca iz Zanske, Petrovci takozvani, mi pripadamo direktno našoj biskupiji i predajemo se potpuno, znači tom narodu u kojem jesmo."
0:12:34,0:12:49,"Redovnički svećenici, oni najprije pripadaju svojim vlastitim redovničkim zajednicama, ali isto tako i oni se šalju unutar biskupije na određeno mjesto i djeluju kao redovnička zajednica."
0:12:50,0:13:16,"Nama se jako često dogodi da budemo poslani na župu sami, šta je ipak mrvicu u mrvicu različito i izazovno, ali opet nikad nisi sam jer si unutar tog svećeničkog zajedništva, unutar tog naroda Božje kojem si pozvan, poslan i unutar cijele te biskupijske zajednice koja je ustvari tvoja obitelj najbliža."
0:13:17,0:13:38,"To je jedno od mojih pitanja koje sam vas htjela pitati, recimo nema veze što nije po redu, ali koje, da li se vi zapravo bojite samoće ili zapravo smatrate da ćete biti usamljeni i kako to izgleda jel, kako je vaš pogled na to obzirom da ćete biti zapravo među ljudima, da li ćete osjećati samoću ili ne?"
0:13:39,0:13:40,To ću vidjeti kada dođe do toga.
0:13:41,0:13:42,Šta mislite sada?
0:13:43,0:13:46,"Trenutačno ne, nemam nekakvog velikog straha od toga."
0:13:47,0:14:15,"Zbog toga što ipak jako puno ljudi poznam unutar, jer Biskupija je tolika kolika jest, nismo mi toliko udaljeni jedni od drugih svi, tako da imamo i svećenike koji su mi blizu i s kojima sam dobro i svoje prijatelje, a opet unutar se toga naroda kojemu si poslan, naravno da ćeš se upoznati sa njima i da ćeš biti s njima."
0:14:16,0:14:16,To je logična stvar.
0:14:18,0:14:35,"jest kod djecezanskih svećenika može biti možda taj nezgodan trenutak kada se vratiš doma sam i sjedneš i ne možeš s nekim podijeliti neku stvar što se dogodilo tog dana, ali tada postoji Bog."
0:14:35,0:14:35,Tako je.
0:14:37,0:14:41,Možda je dobro i s njime podijeliti nekakva stvar.
