Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:15,0:00:16,"Hvaljeni su svi, Marija."
0:00:16,0:00:21,"Dragi poštovani gledatelji i slušatelji, Frante i ja dođemo do 30."
0:00:21,0:00:22,"rjetka, 6."
0:00:22,0:00:28,poglavlja i Marko jevanđelja i onog dijela gdje Jesus hrani 5000 ljudi.
0:00:29,0:00:33,"Tu scenu ste vi čuli već sto puta, sigurno, odnosno o njoj nešto znate."
0:00:33,0:00:37,"Neke osnovne, ako vas zanimaju detalji, slobodno prečitajte, sami imate dolje ispod videa."
0:00:38,0:00:38,Frante je ovaj.
0:00:38,0:00:51,"Vratite, a on je lagano od početka ovdje, piše okupe se apostoli oko Isusa, izvijeste ga o svemu što su činili i naučavali i kažem, Isus, ajde malo u osamu, malo odpočinite."
0:00:52,0:01:15,"Dakle, prva scena koja je išla nakon svih događanja koja su pratila poslanje apostola dva po dva se ticala Ivana, njegove smrti i manipulacije koje su se dogodile na Herodovu dvoru."
0:01:15,0:01:15,I sad.
0:01:17,0:01:21,"Marko nas upućuje na drugu stvar koja se dogodila, a to da su učenici vratili."
0:01:22,0:01:27,"Mislim da je ovaj detalj jako važan, skupljili su se oko i su sad izvijestili ga."
0:01:28,0:01:46,"Drugim riječima, imamo jednu važnu potrebu da kad nešto značajno radim, a posebno kad je riječ o nekoj moći koju ti je dao Bog ili da u njegovo ime radiš nešto, postoji nakon toga potreba oni koji su to radili da to ispričaju, da to iznesu vladi."
0:01:47,0:01:50,Ne da se komentiraju nego da uđe u riječ.
0:01:50,0:01:51,To je važno.
0:01:51,0:02:05,"Mislim mi to možemo danas svesti i na potrebu za supervizijom da mi netko da signal kako sam odradio, da ja to na neki način bolje vidim."
0:02:06,0:02:11,Ja nikad ne mogu znati do kraja kako su se stvari događale ukoliko ja to ne kažem.
0:02:12,0:02:17,Sam čin da ja to pričam nekom drugom meni čini da mi bude jasnije.
0:02:17,0:02:31,"Dakle, ta strahovita potreba da ispričamo što se događa kad radimo u Božje ime, to smatram jako važnim zato što mi se čini da ponekad i zanemarujemo to."
0:02:31,0:02:42,Ja smatram da je recimo jedan svećenički život mladih ljudi osiromašen ako nemaju nekog dobrog sugovornika s kim mogu podijeliti to što im se događa.
