Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:16,0:00:25,"Hvaljeni su svi Marija, danas je svetkovina bogojavljenja koju u pučki nazivamo i tri kralja."
0:00:26,0:00:56,"Iako znamo da u odlomku iz Evanđelja po Mateju koju čitamo na ovaj dan nemamo spomena nikakvih kraljeva nego se spominju mudraci s istoka ali tijekom povijesti, oni su dobili i kraljevske titule što je sasvim u redu, ali mi ćemo se u razmatranju nad ovim odlomkom iz Evanđelja po Mateju usredotočiti baš na to da su nazvani mudracima."
0:00:56,0:01:10,"U grčkom jeziku tu stoji riječ magoi koja zvuči kao magi, ali zapravo se radi o ljudima koji su istraživali svijet, koji su istraživali prirodu."
0:01:10,0:01:13,Možemo jednostavno nazvati prirodosnanstvenicima.
0:01:13,0:01:17,Pa poslušajmo najprije riječi svetoga Evanđelja.
0:01:17,0:01:18,po Mateju.
0:01:19,0:01:34,"Kad se Isus rodio u Betlehemu Judejskome u dane Heroda kralja, gle mudraci se s istoka pojaviše u Jeruzalemu raspitujući se gdje je taj novorođeni kralj židovski."
0:01:34,0:01:38,Vidjeli smo gdje izlazi zvijezda njegova pa mu se došli smo pokloniti.
0:01:39,0:01:51,"Kada to dođe u kralj Herod uznemiri se on i sav Jeruzalem s njime, sazva sve glavare svećeničke pismoznance narodne pa ih ispitivaje gdje se kristima roditi."
0:01:52,0:02:09,"Oni mu odgovoriše u Betlehemu judeskome jer ovako piše prorok, a ti Betlehem je zemlja ljudina, nipošto nisi najmanji među kneževstvima ljudinim jer iz tebe će izaći vladalac koji će pasti narod moj Izraela."
0:02:10,0:02:16,Tada Herod potajno dozvola mudrace i razazna od njih vrijeme kad se pojavila zvijezda.
0:02:17,0:02:28,"Zatim ih posla u Betlehem, pođite reče i pomno se raspitajte za dijete, kad ga nađete javite mi da i ja pođem te mu se poklonim."
0:02:29,0:02:41,"Oni saslušavši kralja Pođoše i gle zvijezda kojoj vidješ je izlazak, iđaš je pred njima sve dok ne stiže i zaustavi se povrh mjesta gdje bijaše djete."
0:02:42,0:02:46,"Kad ugledaš zvijezdu, obradovaš je se radošću veoma velikom."
0:02:47,0:03:02,"Uđu u kuću, ugledaju djete s Marijom, majkom njegovom, padnu ničice i poklone mu se, otvore zatim svoje blago i prinesu mu darove, zlato, tamjan i smirnu."
0:03:03,0:03:10,"Upućeni zatim usnu da se ne vraćaju Herodu, otiđaš je drugim putom u svoju zemlju."
0:03:12,0:03:17,Mudraci s istoka ugledali su jednu novu zvijezdu.
0:03:18,0:03:26,To podrazumijeva da se radi o ljudima koji nisu tu zvijezdu ugledali slučajno.
0:03:27,0:03:31,"Oni su istraživali prirodu, istraživali su svemir."
0:03:32,0:03:43,"Možemo reći da su u ovom slučaju čak bili i astrolozi, dakle ljudi koji su istraživali kretanja nebeskih tijela."
0:03:44,0:04:13,"I u prirodnim zakonima koji kada čovjek istražuje, primjećuje stanovitu predvidivost, da se sve događa po nekom ustaljenom redu i zakonu, da se nebeska tijela pravilno kreću, kao što sunce navečer zalazi, ali mi zbog toga nismo niti malo tužni jer znamo da će ponovno ujutro izići."
0:04:14,0:04:16,Sve je tako predvidivo.
0:04:17,0:04:22,"Međutim, događaju se i nepredvidive stvari."
0:04:23,0:04:32,Tako se u njihovom promatranju svemira odjednom pojavila zvijezda koju do tada nisu vidjeli.
0:04:32,0:04:45,"I ne samo da se pojavila zvijezda koju do tada nisu vidjeli u smislu evo sada su je otkrili, a ona je tu postojala od uvijek, nego se radilo o nečemu doista neobičnom."
0:04:46,0:04:52,Ta zvijezda bila je zvijezda novorođenoga židovskoga kralja.
0:04:53,0:05:05,"Oni su od nekud doznali, ako nam to u tekstu nije izričito rečeno, da je ta zvijezda koja je izašla, zvijezda koja predstavlja novorođenoga kralja."
0:05:06,0:05:12,i oni su osjetili poziv da se idu tom novorođenome kralju pokloniti.
0:05:13,0:05:17,I ta zvijezda kod njih je izazvala osjećaj radosti.
0:05:18,0:05:34,"I tu imamo jednu lijepu poruku koja nam želi reći kako je s jedne strane Bog stvorio prirodu i prirodne zakone u kojima se, kako reko smo, stvari mogu predvidjeti."
