Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:15,0:00:20,"Dragi ljubitelji Marka Evanđelja, dobrodošli u našu današnju epizodu."
0:00:20,0:00:26,Franta i ja dolazimo do desetog poglavlja i teme nerazriješivosti ženidbe.
0:00:27,0:00:31,"Franta, tema je pipava, osjetljiva, teška."
0:00:31,0:00:34,Danas smo svi ljudi i sve više ljudi se danas rastavlja.
0:00:36,0:00:37,Šta ćemo s tim fenomenom u crkvi?
0:00:41,0:00:46,"Naslov je ovdje stavljen nerazriješivost, to bi značilo da je brak vezanost."
0:00:49,0:00:54,Ta dvoje ljudi su toliko vezani da se više ne može dobro razdvojiti.
0:00:54,0:01:12,"To je, ja mislim, onako dobar početak, dobra uputa što je to između dvoje ljudi da ih čini tako bliskima da se svaki pokuša razdvajanja ne može dobro dogoditi."
0:01:13,0:01:19,To je kasnije će nam biti vrlo arhaički elementarni princip s početka.
0:01:19,0:01:22,"Biblije, to je da njih dvoje budu jedno tijelo."
0:01:22,0:01:29,"Kad kažemo jedno tijelo, onda svaki komad tijela koji razdvojiš je rez cijelog tijela, gubitak."
0:01:30,0:01:44,"U Katoličkoj crkvi mi do dana današnjega imamo temeljnu ideju kad je riječ o braku koji je sklopljen na dobar način i u kojem se dogodio brak, nema razrješenja braka."
0:01:44,0:01:53,Ono što mi danas imamo to je proglašenje jednog odnosa između muškarca i žene ne brakom ili nije se brak ni dogodio.
0:01:54,0:02:11,"I to se umrožilo i učestalo zbog različitih razloga, jedan vjerojatno od važnijih razloga je nezrelost u trenutku stupanja u brak koju je jako teško procijeniti kad je riječ o stupanju u brak."
0:02:12,0:02:14,Je li netko zreo koliko razumije?
0:02:15,0:02:28,"Ljudi redovito kažu razumijem sve što se od mene traži, znam, poznam sebe, poznam drugoga, ali onda nakon kratkog vremena kažu zapravo ja sam se prevario, to je bilo po sve krivo i onda tražimo razloge."
0:02:28,0:02:55,"Neću sad ulaziti u pravni svijet koji postoji u Katoličkoj crkvi u kojima postoje određeni razlozi po kojima se može procijeniti je li netko bio svjestan, zreo i jesu li postojale prepreke za braka koje tada nisu bile rečene, vidljive, skrivene itede Dobro, mislim u svakom trenutku u životu možeš reći evo nisam bio dovoljno zreo jer sam tek nakon pet godina, deset godina nešto naučio."
0:02:55,0:03:00,Tako da i sa pedeset godina čovjek može reći evo nisam toliko zreo kao sa sedamdeset kad sam nešto uopće.
0:03:00,0:03:41,"Da, stvar nije tako posve onako široko, on je definirao u tome da nisam bio zreo nego postoje određeni razlozi, postoje teški razlozi, recimo razlozi koji mogu biti trebara da jedan od supružnika ne kaže neku važnu stvar o sebi, o primjerice o nekoj svojoj ovisnosti, o nesposobnosti za brak itede I onda se naravno riječ je o jednoj obmanu u kojoj je netko išao sa dobrom vjerom da ima pred sobom nekoga tko je zdrav, a ništa mu nije mu bilo rečeno."
0:03:41,0:03:49,"Drugim riječima, da su te stvari bile rečene onda ne bi bilo obmane, ali obmana može biti teška prevara jednog ljudskog života."
